index,municipio,data,casosAcumulado,casosNovos,obitosAcumulado,obitosNovos,daily_cases_moving_average,daily_deaths_moving_average,sum_of_daily_cases_week,sum_of_daily_deaths_week
634524,Doutor Ulysses,2020-03-27,0.0,0,0,0,1.4285714285714286,0.14285714285714285,10.0,1.0
634525,Doutor Ulysses,2020-03-28,0.0,0,0,0,1.1428571428571428,0.14285714285714285,8.0,1.0
634526,Doutor Ulysses,2020-03-29,0.0,0,0,0,0.5714285714285714,0.14285714285714285,4.0,1.0
634527,Doutor Ulysses,2020-03-30,0.0,0,0,0,0.5714285714285714,0.14285714285714285,4.0,1.0
634528,Doutor Ulysses,2020-03-31,0.0,0,0,0,0.5714285714285714,0.14285714285714285,4.0,1.0
634529,Doutor Ulysses,2020-04-01,0.0,0,0,0,0.42857142857142855,0.14285714285714285,3.0,1.0
634530,Doutor Ulysses,2020-04-02,0.0,0,0,0,0.0,0.0,0.0,0.0
634531,Doutor Ulysses,2020-04-03,0.0,0,0,0,0.0,0.0,0.0,0.0
634532,Doutor Ulysses,2020-04-04,0.0,0,0,0,0.0,0.0,0.0,0.0
634533,Doutor Ulysses,2020-04-05,0.0,0,0,0,0.0,0.0,0.0,0.0
634534,Doutor Ulysses,2020-04-06,0.0,0,0,0,0.0,0.0,0.0,0.0
634535,Doutor Ulysses,2020-04-07,0.0,0,0,0,0.0,0.0,0.0,0.0
634536,Doutor Ulysses,2020-04-08,0.0,0,0,0,0.0,0.0,0.0,0.0
634537,Doutor Ulysses,2020-04-09,0.0,0,0,0,0.0,0.0,0.0,0.0
634538,Doutor Ulysses,2020-04-10,0.0,0,0,0,0.0,0.0,0.0,0.0
634539,Doutor Ulysses,2020-04-11,0.0,0,0,0,0.0,0.0,0.0,0.0
634540,Doutor Ulysses,2020-04-12,0.0,0,0,0,0.0,0.0,0.0,0.0
634541,Doutor Ulysses,2020-04-13,0.0,0,0,0,0.0,0.0,0.0,0.0
634542,Doutor Ulysses,2020-04-14,0.0,0,0,0,0.0,0.0,0.0,0.0
634543,Doutor Ulysses,2020-04-15,0.0,0,0,0,0.0,0.0,0.0,0.0
634544,Doutor Ulysses,2020-04-16,0.0,0,0,0,0.0,0.0,0.0,0.0
634545,Doutor Ulysses,2020-04-17,0.0,0,0,0,0.0,0.0,0.0,0.0
634546,Doutor Ulysses,2020-04-18,0.0,0,0,0,0.0,0.0,0.0,0.0
634547,Doutor Ulysses,2020-04-19,0.0,0,0,0,0.0,0.0,0.0,0.0
634548,Doutor Ulysses,2020-04-20,0.0,0,0,0,0.0,0.0,0.0,0.0
634549,Doutor Ulysses,2020-04-21,0.0,0,0,0,0.0,0.0,0.0,0.0
634550,Doutor Ulysses,2020-04-22,0.0,0,0,0,0.0,0.0,0.0,0.0
634551,Doutor Ulysses,2020-04-23,0.0,0,0,0,0.0,0.0,0.0,0.0
634552,Doutor Ulysses,2020-04-24,0.0,0,0,0,0.0,0.0,0.0,0.0
634553,Doutor Ulysses,2020-04-25,0.0,0,0,0,0.0,0.0,0.0,0.0
634554,Doutor Ulysses,2020-04-26,0.0,0,0,0,0.0,0.0,0.0,0.0
634555,Doutor Ulysses,2020-04-27,0.0,0,0,0,0.0,0.0,0.0,0.0
634556,Doutor Ulysses,2020-04-28,0.0,0,0,0,0.0,0.0,0.0,0.0
634557,Doutor Ulysses,2020-04-29,0.0,0,0,0,0.0,0.0,0.0,0.0
634558,Doutor Ulysses,2020-04-30,0.0,0,0,0,0.0,0.0,0.0,0.0
634559,Doutor Ulysses,2020-05-01,0.0,0,0,0,0.0,0.0,0.0,0.0
634560,Doutor Ulysses,2020-05-02,0.0,0,0,0,0.0,0.0,0.0,0.0
634561,Doutor Ulysses,2020-05-03,0.0,0,0,0,0.0,0.0,0.0,0.0
634562,Doutor Ulysses,2020-05-04,0.0,0,0,0,0.0,0.0,0.0,0.0
634563,Doutor Ulysses,2020-05-05,0.0,0,0,0,0.0,0.0,0.0,0.0
634564,Doutor Ulysses,2020-05-06,0.0,0,0,0,0.0,0.0,0.0,0.0
634565,Doutor Ulysses,2020-05-07,0.0,0,0,0,0.0,0.0,0.0,0.0
634566,Doutor Ulysses,2020-05-08,0.0,0,0,0,0.0,0.0,0.0,0.0
634567,Doutor Ulysses,2020-05-09,0.0,0,0,0,0.0,0.0,0.0,0.0
634568,Doutor Ulysses,2020-05-10,0.0,0,0,0,0.0,0.0,0.0,0.0
634569,Doutor Ulysses,2020-05-11,0.0,0,0,0,0.0,0.0,0.0,0.0
634570,Doutor Ulysses,2020-05-12,0.0,0,0,0,0.0,0.0,0.0,0.0
634571,Doutor Ulysses,2020-05-13,0.0,0,0,0,0.0,0.0,0.0,0.0
634572,Doutor Ulysses,2020-05-14,0.0,0,0,0,0.0,0.0,0.0,0.0
634573,Doutor Ulysses,2020-05-15,0.0,0,0,0,0.0,0.0,0.0,0.0
634574,Doutor Ulysses,2020-05-16,0.0,0,0,0,0.0,0.0,0.0,0.0
634575,Doutor Ulysses,2020-05-17,0.0,0,0,0,0.0,0.0,0.0,0.0
634576,Doutor Ulysses,2020-05-18,0.0,0,0,0,0.0,0.0,0.0,0.0
634577,Doutor Ulysses,2020-05-19,0.0,0,0,0,0.0,0.0,0.0,0.0
634578,Doutor Ulysses,2020-05-20,0.0,0,0,0,0.0,0.0,0.0,0.0
634579,Doutor Ulysses,2020-05-21,0.0,0,0,0,0.0,0.0,0.0,0.0
634580,Doutor Ulysses,2020-05-22,0.0,0,0,0,0.0,0.0,0.0,0.0
634581,Doutor Ulysses,2020-05-23,0.0,0,0,0,0.0,0.0,0.0,0.0
