index,municipio,data,casosAcumulado,casosNovos,obitosAcumulado,obitosNovos,daily_cases_moving_average,daily_deaths_moving_average,sum_of_daily_cases_week,sum_of_daily_deaths_week
694089,Elias Fausto,2020-03-27,0.0,0,0,0,0.5714285714285714,0.14285714285714285,4.0,1.0
694090,Elias Fausto,2020-03-28,0.0,0,0,0,0.42857142857142855,0.0,3.0,0.0
694091,Elias Fausto,2020-03-29,0.0,0,0,0,0.2857142857142857,0.0,2.0,0.0
694092,Elias Fausto,2020-03-30,0.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
694093,Elias Fausto,2020-03-31,0.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
694094,Elias Fausto,2020-04-01,0.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
694095,Elias Fausto,2020-04-02,0.0,0,0,0,0.0,0.0,0.0,0.0
694096,Elias Fausto,2020-04-03,0.0,0,0,0,0.0,0.0,0.0,0.0
694097,Elias Fausto,2020-04-04,0.0,0,0,0,0.0,0.0,0.0,0.0
694098,Elias Fausto,2020-04-05,0.0,0,0,0,0.0,0.0,0.0,0.0
694099,Elias Fausto,2020-04-06,0.0,0,0,0,0.0,0.0,0.0,0.0
694100,Elias Fausto,2020-04-07,0.0,0,0,0,0.0,0.0,0.0,0.0
694101,Elias Fausto,2020-04-08,0.0,0,0,0,0.0,0.0,0.0,0.0
694102,Elias Fausto,2020-04-09,0.0,0,0,0,0.0,0.0,0.0,0.0
694103,Elias Fausto,2020-04-10,0.0,0,0,0,0.0,0.0,0.0,0.0
694104,Elias Fausto,2020-04-11,0.0,0,0,0,0.0,0.0,0.0,0.0
694105,Elias Fausto,2020-04-12,0.0,0,0,0,0.0,0.0,0.0,0.0
694106,Elias Fausto,2020-04-13,0.0,0,0,0,0.0,0.0,0.0,0.0
694107,Elias Fausto,2020-04-14,0.0,0,0,0,0.0,0.0,0.0,0.0
694108,Elias Fausto,2020-04-15,0.0,0,0,0,0.0,0.0,0.0,0.0
694109,Elias Fausto,2020-04-16,0.0,0,0,0,0.0,0.0,0.0,0.0
694110,Elias Fausto,2020-04-17,0.0,0,0,0,0.0,0.0,0.0,0.0
694111,Elias Fausto,2020-04-18,0.0,0,0,0,0.0,0.0,0.0,0.0
694112,Elias Fausto,2020-04-19,0.0,0,0,0,0.0,0.0,0.0,0.0
694113,Elias Fausto,2020-04-20,1.0,1,0,0,0.14285714285714285,0.0,1.0,0.0
694114,Elias Fausto,2020-04-21,1.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
694115,Elias Fausto,2020-04-22,1.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
694116,Elias Fausto,2020-04-23,1.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
694117,Elias Fausto,2020-04-24,1.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
694118,Elias Fausto,2020-04-25,1.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
694119,Elias Fausto,2020-04-26,1.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
694120,Elias Fausto,2020-04-27,1.0,0,0,0,0.0,0.0,0.0,0.0
694121,Elias Fausto,2020-04-28,1.0,0,0,0,0.0,0.0,0.0,0.0
694122,Elias Fausto,2020-04-29,1.0,0,0,0,0.0,0.0,0.0,0.0
694123,Elias Fausto,2020-04-30,1.0,0,0,0,0.0,0.0,0.0,0.0
694124,Elias Fausto,2020-05-01,1.0,0,0,0,0.0,0.0,0.0,0.0
694125,Elias Fausto,2020-05-02,1.0,0,0,0,0.0,0.0,0.0,0.0
694126,Elias Fausto,2020-05-03,1.0,0,0,0,0.0,0.0,0.0,0.0
694127,Elias Fausto,2020-05-04,1.0,0,0,0,0.0,0.0,0.0,0.0
694128,Elias Fausto,2020-05-05,1.0,0,0,0,0.0,0.0,0.0,0.0
694129,Elias Fausto,2020-05-06,1.0,0,0,0,0.0,0.0,0.0,0.0
694130,Elias Fausto,2020-05-07,1.0,0,0,0,0.0,0.0,0.0,0.0
694131,Elias Fausto,2020-05-08,1.0,0,0,0,0.0,0.0,0.0,0.0
694132,Elias Fausto,2020-05-09,1.0,0,0,0,0.0,0.0,0.0,0.0
694133,Elias Fausto,2020-05-10,1.0,0,0,0,0.0,0.0,0.0,0.0
694134,Elias Fausto,2020-05-11,1.0,0,0,0,0.0,0.0,0.0,0.0
694135,Elias Fausto,2020-05-12,2.0,1,1,1,0.14285714285714285,0.14285714285714285,1.0,1.0
694136,Elias Fausto,2020-05-13,3.0,1,1,0,0.2857142857142857,0.14285714285714285,2.0,1.0
694137,Elias Fausto,2020-05-14,4.0,1,1,0,0.42857142857142855,0.14285714285714285,3.0,1.0
694138,Elias Fausto,2020-05-15,4.0,0,1,0,0.42857142857142855,0.14285714285714285,3.0,1.0
694139,Elias Fausto,2020-05-16,4.0,0,1,0,0.42857142857142855,0.14285714285714285,3.0,1.0
694140,Elias Fausto,2020-05-17,4.0,0,1,0,0.42857142857142855,0.14285714285714285,3.0,1.0
694141,Elias Fausto,2020-05-18,4.0,0,1,0,0.42857142857142855,0.14285714285714285,3.0,1.0
694142,Elias Fausto,2020-05-19,4.0,0,1,0,0.2857142857142857,0.0,2.0,0.0
694143,Elias Fausto,2020-05-20,4.0,0,1,0,0.14285714285714285,0.0,1.0,0.0
694144,Elias Fausto,2020-05-21,4.0,0,1,0,0.0,0.0,0.0,0.0
694145,Elias Fausto,2020-05-22,4.0,0,1,0,0.0,0.0,0.0,0.0
694146,Elias Fausto,2020-05-23,4.0,0,1,0,0.0,0.0,0.0,0.0
694147,Elias Fausto,2020-05-24,4.0,0,1,0,0.0,0.0,0.0,0.0
694148,Elias Fausto,2020-05-25,4.0,0,1,0,0.0,0.0,0.0,0.0
694149,Elias Fausto,2020-05-26,4.0,0,1,0,0.0,0.0,0.0,0.0
694150,Elias Fausto,2020-05-27,4.0,0,1,0,0.0,0.0,0.0,0.0
694151,Elias Fausto,2020-05-28,4.0,0,1,0,0.0,0.0,0.0,0.0
694152,Elias Fausto,2020-05-29,4.0,0,1,0,0.0,0.0,0.0,0.0
694153,Elias Fausto,2020-05-30,5.0,1,1,0,0.14285714285714285,0.0,1.0,0.0
694154,Elias Fausto,2020-05-31,5.0,0,1,0,0.14285714285714285,0.0,1.0,0.0
694155,Elias Fausto,2020-06-01,5.0,0,1,0,0.14285714285714285,0.0,1.0,0.0
694156,Elias Fausto,2020-06-02,6.0,1,1,0,0.2857142857142857,0.0,2.0,0.0
694157,Elias Fausto,2020-06-03,7.0,1,1,0,0.42857142857142855,0.0,3.0,0.0
694158,Elias Fausto,2020-06-04,7.0,0,1,0,0.42857142857142855,0.0,3.0,0.0
694159,Elias Fausto,2020-06-05,10.0,3,1,0,0.8571428571428571,0.0,6.0,0.0
694160,Elias Fausto,2020-06-06,12.0,2,1,0,1.0,0.0,7.0,0.0
694161,Elias Fausto,2020-06-07,12.0,0,1,0,1.0,0.0,7.0,0.0
694162,Elias Fausto,2020-06-08,13.0,1,1,0,1.1428571428571428,0.0,8.0,0.0
694163,Elias Fausto,2020-06-09,13.0,0,1,0,1.0,0.0,7.0,0.0
694164,Elias Fausto,2020-06-10,15.0,2,1,0,1.1428571428571428,0.0,8.0,0.0
694165,Elias Fausto,2020-06-11,18.0,3,1,0,1.5714285714285714,0.0,11.0,0.0
694166,Elias Fausto,2020-06-12,18.0,0,1,0,1.1428571428571428,0.0,8.0,0.0
694167,Elias Fausto,2020-06-13,18.0,0,1,0,0.8571428571428571,0.0,6.0,0.0
694168,Elias Fausto,2020-06-14,18.0,0,1,0,0.8571428571428571,0.0,6.0,0.0
694169,Elias Fausto,2020-06-15,18.0,0,1,0,0.7142857142857143,0.0,5.0,0.0
694170,Elias Fausto,2020-06-16,19.0,1,2,1,0.8571428571428571,0.14285714285714285,6.0,1.0
694171,Elias Fausto,2020-06-17,20.0,1,2,0,0.7142857142857143,0.14285714285714285,5.0,1.0
694172,Elias Fausto,2020-06-18,20.0,0,2,0,0.2857142857142857,0.14285714285714285,2.0,1.0
694173,Elias Fausto,2020-06-19,28.0,8,2,0,1.4285714285714286,0.14285714285714285,10.0,1.0
694174,Elias Fausto,2020-06-20,30.0,2,2,0,1.7142857142857142,0.14285714285714285,12.0,1.0
694175,Elias Fausto,2020-06-21,30.0,0,2,0,1.7142857142857142,0.14285714285714285,12.0,1.0
694176,Elias Fausto,2020-06-22,31.0,1,2,0,1.8571428571428572,0.14285714285714285,13.0,1.0
694177,Elias Fausto,2020-06-23,31.0,0,2,0,1.7142857142857142,0.0,12.0,0.0
694178,Elias Fausto,2020-06-24,32.0,1,2,0,1.7142857142857142,0.0,12.0,0.0
694179,Elias Fausto,2020-06-25,34.0,2,2,0,2.0,0.0,14.0,0.0
694180,Elias Fausto,2020-06-26,36.0,2,2,0,1.1428571428571428,0.0,8.0,0.0
694181,Elias Fausto,2020-06-27,37.0,1,2,0,1.0,0.0,7.0,0.0
694182,Elias Fausto,2020-06-28,37.0,0,2,0,1.0,0.0,7.0,0.0
694183,Elias Fausto,2020-06-29,37.0,0,2,0,0.8571428571428571,0.0,6.0,0.0
694184,Elias Fausto,2020-06-30,40.0,3,4,2,1.2857142857142858,0.2857142857142857,9.0,2.0
694185,Elias Fausto,2020-07-01,46.0,6,4,0,2.0,0.2857142857142857,14.0,2.0
694186,Elias Fausto,2020-07-02,50.0,4,4,0,2.2857142857142856,0.2857142857142857,16.0,2.0
694187,Elias Fausto,2020-07-03,50.0,0,4,0,2.0,0.2857142857142857,14.0,2.0
694188,Elias Fausto,2020-07-04,50.0,0,4,0,1.8571428571428572,0.2857142857142857,13.0,2.0
694189,Elias Fausto,2020-07-05,51.0,1,4,0,2.0,0.2857142857142857,14.0,2.0
694190,Elias Fausto,2020-07-06,53.0,2,4,0,2.2857142857142856,0.2857142857142857,16.0,2.0
694191,Elias Fausto,2020-07-07,56.0,3,4,0,2.2857142857142856,0.0,16.0,0.0
694192,Elias Fausto,2020-07-08,56.0,0,4,0,1.4285714285714286,0.0,10.0,0.0
694193,Elias Fausto,2020-07-09,57.0,1,4,0,1.0,0.0,7.0,0.0
694194,Elias Fausto,2020-07-10,57.0,0,4,0,1.0,0.0,7.0,0.0
694195,Elias Fausto,2020-07-11,61.0,4,4,0,1.5714285714285714,0.0,11.0,0.0
694196,Elias Fausto,2020-07-12,65.0,4,4,0,2.0,0.0,14.0,0.0
694197,Elias Fausto,2020-07-13,65.0,0,4,0,1.7142857142857142,0.0,12.0,0.0
694198,Elias Fausto,2020-07-14,66.0,1,4,0,1.4285714285714286,0.0,10.0,0.0
694199,Elias Fausto,2020-07-15,66.0,0,4,0,1.4285714285714286,0.0,10.0,0.0
694200,Elias Fausto,2020-07-16,84.0,18,4,0,3.857142857142857,0.0,27.0,0.0
694201,Elias Fausto,2020-07-17,84.0,0,4,0,3.857142857142857,0.0,27.0,0.0
694202,Elias Fausto,2020-07-18,85.0,1,4,0,3.4285714285714284,0.0,24.0,0.0
694203,Elias Fausto,2020-07-19,85.0,0,4,0,2.857142857142857,0.0,20.0,0.0
694204,Elias Fausto,2020-07-20,86.0,1,4,0,3.0,0.0,21.0,0.0
694205,Elias Fausto,2020-07-21,89.0,3,4,0,3.2857142857142856,0.0,23.0,0.0
694206,Elias Fausto,2020-07-22,103.0,14,4,0,5.285714285714286,0.0,37.0,0.0
694207,Elias Fausto,2020-07-23,112.0,9,4,0,4.0,0.0,28.0,0.0
694208,Elias Fausto,2020-07-24,126.0,14,4,0,6.0,0.0,42.0,0.0
694209,Elias Fausto,2020-07-25,155.0,29,4,0,10.0,0.0,70.0,0.0
694210,Elias Fausto,2020-07-26,157.0,2,4,0,10.285714285714286,0.0,72.0,0.0
694211,Elias Fausto,2020-07-27,157.0,0,4,0,10.142857142857142,0.0,71.0,0.0
694212,Elias Fausto,2020-07-28,157.0,0,4,0,9.714285714285714,0.0,68.0,0.0
694213,Elias Fausto,2020-07-29,166.0,9,4,0,9.0,0.0,63.0,0.0
694214,Elias Fausto,2020-07-30,166.0,0,4,0,7.714285714285714,0.0,54.0,0.0
694215,Elias Fausto,2020-07-31,167.0,1,4,0,5.857142857142857,0.0,41.0,0.0
694216,Elias Fausto,2020-08-01,168.0,1,4,0,1.8571428571428572,0.0,13.0,0.0
694217,Elias Fausto,2020-08-02,178.0,10,4,0,3.0,0.0,21.0,0.0
694218,Elias Fausto,2020-08-03,179.0,1,4,0,3.142857142857143,0.0,22.0,0.0
694219,Elias Fausto,2020-08-04,196.0,17,4,0,5.571428571428571,0.0,39.0,0.0
694220,Elias Fausto,2020-08-05,204.0,8,4,0,5.428571428571429,0.0,38.0,0.0
694221,Elias Fausto,2020-08-06,206.0,2,4,0,5.714285714285714,0.0,40.0,0.0
694222,Elias Fausto,2020-08-07,206.0,0,4,0,5.571428571428571,0.0,39.0,0.0
694223,Elias Fausto,2020-08-08,211.0,5,4,0,6.142857142857143,0.0,43.0,0.0
694224,Elias Fausto,2020-08-09,215.0,4,5,1,5.285714285714286,0.14285714285714285,37.0,1.0
694225,Elias Fausto,2020-08-10,215.0,0,5,0,5.142857142857143,0.14285714285714285,36.0,1.0
694226,Elias Fausto,2020-08-11,235.0,20,5,0,5.571428571428571,0.14285714285714285,39.0,1.0
694227,Elias Fausto,2020-08-12,253.0,18,5,0,7.0,0.14285714285714285,49.0,1.0
694228,Elias Fausto,2020-08-13,259.0,6,5,0,7.571428571428571,0.14285714285714285,53.0,1.0
694229,Elias Fausto,2020-08-14,276.0,17,6,1,10.0,0.2857142857142857,70.0,2.0
694230,Elias Fausto,2020-08-15,289.0,13,6,0,11.142857142857142,0.2857142857142857,78.0,2.0
694231,Elias Fausto,2020-08-16,290.0,1,6,0,10.714285714285714,0.14285714285714285,75.0,1.0
694232,Elias Fausto,2020-08-17,295.0,5,6,0,11.428571428571429,0.14285714285714285,80.0,1.0
694233,Elias Fausto,2020-08-18,296.0,1,6,0,8.714285714285714,0.14285714285714285,61.0,1.0
694234,Elias Fausto,2020-08-19,297.0,1,7,1,6.285714285714286,0.2857142857142857,44.0,2.0
694235,Elias Fausto,2020-08-20,300.0,3,8,1,5.857142857142857,0.42857142857142855,41.0,3.0
694236,Elias Fausto,2020-08-21,313.0,13,8,0,5.285714285714286,0.2857142857142857,37.0,2.0
694237,Elias Fausto,2020-08-22,329.0,16,8,0,5.714285714285714,0.2857142857142857,40.0,2.0
694238,Elias Fausto,2020-08-23,331.0,2,9,1,5.857142857142857,0.42857142857142855,41.0,3.0
694239,Elias Fausto,2020-08-24,339.0,8,9,0,6.285714285714286,0.42857142857142855,44.0,3.0
694240,Elias Fausto,2020-08-25,340.0,1,9,0,6.285714285714286,0.42857142857142855,44.0,3.0
694241,Elias Fausto,2020-08-26,348.0,8,9,0,7.285714285714286,0.2857142857142857,51.0,2.0
694242,Elias Fausto,2020-08-27,356.0,8,9,0,8.0,0.14285714285714285,56.0,1.0
694243,Elias Fausto,2020-08-28,369.0,13,9,0,8.0,0.14285714285714285,56.0,1.0
694244,Elias Fausto,2020-08-29,371.0,2,10,1,6.0,0.2857142857142857,42.0,2.0
694245,Elias Fausto,2020-08-30,371.0,0,10,0,5.714285714285714,0.14285714285714285,40.0,1.0
694246,Elias Fausto,2020-08-31,371.0,0,10,0,4.571428571428571,0.14285714285714285,32.0,1.0
694247,Elias Fausto,2020-09-01,373.0,2,10,0,4.714285714285714,0.14285714285714285,33.0,1.0
694248,Elias Fausto,2020-09-02,412.0,39,10,0,9.142857142857142,0.14285714285714285,64.0,1.0
694249,Elias Fausto,2020-09-03,424.0,12,11,1,9.714285714285714,0.2857142857142857,68.0,2.0
694250,Elias Fausto,2020-09-04,426.0,2,11,0,8.142857142857142,0.2857142857142857,57.0,2.0
694251,Elias Fausto,2020-09-05,440.0,14,11,0,9.857142857142858,0.14285714285714285,69.0,1.0
694252,Elias Fausto,2020-09-06,450.0,10,11,0,11.285714285714286,0.14285714285714285,79.0,1.0
694253,Elias Fausto,2020-09-07,450.0,0,11,0,11.285714285714286,0.14285714285714285,79.0,1.0
694254,Elias Fausto,2020-09-08,451.0,1,11,0,11.142857142857142,0.14285714285714285,78.0,1.0
694255,Elias Fausto,2020-09-09,453.0,2,11,0,5.857142857142857,0.14285714285714285,41.0,1.0
694256,Elias Fausto,2020-09-10,469.0,16,11,0,6.428571428571429,0.0,45.0,0.0
694257,Elias Fausto,2020-09-11,472.0,3,11,0,6.571428571428571,0.0,46.0,0.0
694258,Elias Fausto,2020-09-12,476.0,4,11,0,5.142857142857143,0.0,36.0,0.0
694259,Elias Fausto,2020-09-13,477.0,1,11,0,3.857142857142857,0.0,27.0,0.0
694260,Elias Fausto,2020-09-14,477.0,0,11,0,3.857142857142857,0.0,27.0,0.0
694261,Elias Fausto,2020-09-15,488.0,11,13,2,5.285714285714286,0.2857142857142857,37.0,2.0
