index,municipio,data,casosAcumulado,casosNovos,obitosAcumulado,obitosNovos,daily_cases_moving_average,daily_deaths_moving_average,sum_of_daily_cases_week,sum_of_daily_deaths_week
701338,Entre Rios do Oeste,2020-03-27,0.0,0,0,0,2.5714285714285716,0.0,18.0,0.0
701339,Entre Rios do Oeste,2020-03-28,0.0,0,0,0,2.5714285714285716,0.0,18.0,0.0
701340,Entre Rios do Oeste,2020-03-29,0.0,0,0,0,1.1428571428571428,0.0,8.0,0.0
701341,Entre Rios do Oeste,2020-03-30,0.0,0,0,0,0.5714285714285714,0.0,4.0,0.0
701342,Entre Rios do Oeste,2020-03-31,0.0,0,0,0,0.42857142857142855,0.0,3.0,0.0
701343,Entre Rios do Oeste,2020-04-01,0.0,0,0,0,0.2857142857142857,0.0,2.0,0.0
701344,Entre Rios do Oeste,2020-04-02,0.0,0,0,0,0.0,0.0,0.0,0.0
701345,Entre Rios do Oeste,2020-04-03,0.0,0,0,0,0.0,0.0,0.0,0.0
701346,Entre Rios do Oeste,2020-04-04,0.0,0,0,0,0.0,0.0,0.0,0.0
701347,Entre Rios do Oeste,2020-04-05,0.0,0,0,0,0.0,0.0,0.0,0.0
701348,Entre Rios do Oeste,2020-04-06,0.0,0,0,0,0.0,0.0,0.0,0.0
701349,Entre Rios do Oeste,2020-04-07,0.0,0,0,0,0.0,0.0,0.0,0.0
701350,Entre Rios do Oeste,2020-04-08,0.0,0,0,0,0.0,0.0,0.0,0.0
701351,Entre Rios do Oeste,2020-04-09,0.0,0,0,0,0.0,0.0,0.0,0.0
701352,Entre Rios do Oeste,2020-04-10,0.0,0,0,0,0.0,0.0,0.0,0.0
701353,Entre Rios do Oeste,2020-04-11,0.0,0,0,0,0.0,0.0,0.0,0.0
701354,Entre Rios do Oeste,2020-04-12,0.0,0,0,0,0.0,0.0,0.0,0.0
701355,Entre Rios do Oeste,2020-04-13,0.0,0,0,0,0.0,0.0,0.0,0.0
701356,Entre Rios do Oeste,2020-04-14,0.0,0,0,0,0.0,0.0,0.0,0.0
701357,Entre Rios do Oeste,2020-04-15,0.0,0,0,0,0.0,0.0,0.0,0.0
701358,Entre Rios do Oeste,2020-04-16,0.0,0,0,0,0.0,0.0,0.0,0.0
701359,Entre Rios do Oeste,2020-04-17,0.0,0,0,0,0.0,0.0,0.0,0.0
701360,Entre Rios do Oeste,2020-04-18,0.0,0,0,0,0.0,0.0,0.0,0.0
701361,Entre Rios do Oeste,2020-04-19,0.0,0,0,0,0.0,0.0,0.0,0.0
701362,Entre Rios do Oeste,2020-04-20,0.0,0,0,0,0.0,0.0,0.0,0.0
701363,Entre Rios do Oeste,2020-04-21,0.0,0,0,0,0.0,0.0,0.0,0.0
701364,Entre Rios do Oeste,2020-04-22,0.0,0,0,0,0.0,0.0,0.0,0.0
701365,Entre Rios do Oeste,2020-04-23,0.0,0,0,0,0.0,0.0,0.0,0.0
701366,Entre Rios do Oeste,2020-04-24,0.0,0,0,0,0.0,0.0,0.0,0.0
701367,Entre Rios do Oeste,2020-04-25,0.0,0,0,0,0.0,0.0,0.0,0.0
701368,Entre Rios do Oeste,2020-04-26,0.0,0,0,0,0.0,0.0,0.0,0.0
701369,Entre Rios do Oeste,2020-04-27,0.0,0,0,0,0.0,0.0,0.0,0.0
701370,Entre Rios do Oeste,2020-04-28,0.0,0,0,0,0.0,0.0,0.0,0.0
701371,Entre Rios do Oeste,2020-04-29,0.0,0,0,0,0.0,0.0,0.0,0.0
701372,Entre Rios do Oeste,2020-04-30,0.0,0,0,0,0.0,0.0,0.0,0.0
701373,Entre Rios do Oeste,2020-05-01,0.0,0,0,0,0.0,0.0,0.0,0.0
701374,Entre Rios do Oeste,2020-05-02,0.0,0,0,0,0.0,0.0,0.0,0.0
701375,Entre Rios do Oeste,2020-05-03,0.0,0,0,0,0.0,0.0,0.0,0.0
701376,Entre Rios do Oeste,2020-05-04,0.0,0,0,0,0.0,0.0,0.0,0.0
701377,Entre Rios do Oeste,2020-05-05,0.0,0,0,0,0.0,0.0,0.0,0.0
701378,Entre Rios do Oeste,2020-05-06,0.0,0,0,0,0.0,0.0,0.0,0.0
701379,Entre Rios do Oeste,2020-05-07,0.0,0,0,0,0.0,0.0,0.0,0.0
701380,Entre Rios do Oeste,2020-05-08,0.0,0,0,0,0.0,0.0,0.0,0.0
701381,Entre Rios do Oeste,2020-05-09,0.0,0,0,0,0.0,0.0,0.0,0.0
701382,Entre Rios do Oeste,2020-05-10,0.0,0,0,0,0.0,0.0,0.0,0.0
701383,Entre Rios do Oeste,2020-05-11,0.0,0,0,0,0.0,0.0,0.0,0.0
701384,Entre Rios do Oeste,2020-05-12,0.0,0,0,0,0.0,0.0,0.0,0.0
701385,Entre Rios do Oeste,2020-05-13,0.0,0,0,0,0.0,0.0,0.0,0.0
701386,Entre Rios do Oeste,2020-05-14,0.0,0,0,0,0.0,0.0,0.0,0.0
701387,Entre Rios do Oeste,2020-05-15,0.0,0,0,0,0.0,0.0,0.0,0.0
701388,Entre Rios do Oeste,2020-05-16,0.0,0,0,0,0.0,0.0,0.0,0.0
701389,Entre Rios do Oeste,2020-05-17,0.0,0,0,0,0.0,0.0,0.0,0.0
701390,Entre Rios do Oeste,2020-05-18,0.0,0,0,0,0.0,0.0,0.0,0.0
701391,Entre Rios do Oeste,2020-05-19,0.0,0,0,0,0.0,0.0,0.0,0.0
701392,Entre Rios do Oeste,2020-05-20,0.0,0,0,0,0.0,0.0,0.0,0.0
701393,Entre Rios do Oeste,2020-05-21,0.0,0,0,0,0.0,0.0,0.0,0.0
701394,Entre Rios do Oeste,2020-05-22,0.0,0,0,0,0.0,0.0,0.0,0.0
701395,Entre Rios do Oeste,2020-05-23,0.0,0,0,0,0.0,0.0,0.0,0.0
