index,municipio,data,casosAcumulado,casosNovos,obitosAcumulado,obitosNovos,daily_cases_moving_average,daily_deaths_moving_average,sum_of_daily_cases_week,sum_of_daily_deaths_week
705600,Erval Seco,2020-03-27,0.0,0,0,0,0.0,0.0,0.0,0.0
705601,Erval Seco,2020-03-28,0.0,0,0,0,0.0,0.0,0.0,0.0
705602,Erval Seco,2020-03-29,0.0,0,0,0,0.0,0.0,0.0,0.0
705603,Erval Seco,2020-03-30,0.0,0,0,0,0.0,0.0,0.0,0.0
705604,Erval Seco,2020-03-31,0.0,0,0,0,0.0,0.0,0.0,0.0
705605,Erval Seco,2020-04-01,0.0,0,0,0,0.0,0.0,0.0,0.0
705606,Erval Seco,2020-04-02,0.0,0,0,0,0.0,0.0,0.0,0.0
705607,Erval Seco,2020-04-03,0.0,0,0,0,0.0,0.0,0.0,0.0
705608,Erval Seco,2020-04-04,0.0,0,0,0,0.0,0.0,0.0,0.0
705609,Erval Seco,2020-04-05,0.0,0,0,0,0.0,0.0,0.0,0.0
705610,Erval Seco,2020-04-06,0.0,0,0,0,0.0,0.0,0.0,0.0
705611,Erval Seco,2020-04-07,0.0,0,0,0,0.0,0.0,0.0,0.0
705612,Erval Seco,2020-04-08,0.0,0,0,0,0.0,0.0,0.0,0.0
705613,Erval Seco,2020-04-09,0.0,0,0,0,0.0,0.0,0.0,0.0
705614,Erval Seco,2020-04-10,0.0,0,0,0,0.0,0.0,0.0,0.0
705615,Erval Seco,2020-04-11,0.0,0,0,0,0.0,0.0,0.0,0.0
705616,Erval Seco,2020-04-12,0.0,0,0,0,0.0,0.0,0.0,0.0
705617,Erval Seco,2020-04-13,0.0,0,0,0,0.0,0.0,0.0,0.0
705618,Erval Seco,2020-04-14,0.0,0,0,0,0.0,0.0,0.0,0.0
705619,Erval Seco,2020-04-15,0.0,0,0,0,0.0,0.0,0.0,0.0
705620,Erval Seco,2020-04-16,0.0,0,0,0,0.0,0.0,0.0,0.0
705621,Erval Seco,2020-04-17,0.0,0,0,0,0.0,0.0,0.0,0.0
705622,Erval Seco,2020-04-18,0.0,0,0,0,0.0,0.0,0.0,0.0
705623,Erval Seco,2020-04-19,0.0,0,0,0,0.0,0.0,0.0,0.0
705624,Erval Seco,2020-04-20,0.0,0,0,0,0.0,0.0,0.0,0.0
705625,Erval Seco,2020-04-21,0.0,0,0,0,0.0,0.0,0.0,0.0
705626,Erval Seco,2020-04-22,0.0,0,0,0,0.0,0.0,0.0,0.0
705627,Erval Seco,2020-04-23,0.0,0,0,0,0.0,0.0,0.0,0.0
705628,Erval Seco,2020-04-24,0.0,0,0,0,0.0,0.0,0.0,0.0
705629,Erval Seco,2020-04-25,0.0,0,0,0,0.0,0.0,0.0,0.0
705630,Erval Seco,2020-04-26,0.0,0,0,0,0.0,0.0,0.0,0.0
705631,Erval Seco,2020-04-27,0.0,0,0,0,0.0,0.0,0.0,0.0
705632,Erval Seco,2020-04-28,0.0,0,0,0,0.0,0.0,0.0,0.0
