index,municipio,data,casosAcumulado,casosNovos,obitosAcumulado,obitosNovos,daily_cases_moving_average,daily_deaths_moving_average,sum_of_daily_cases_week,sum_of_daily_deaths_week
711370,Espírito Santo do Turvo,2020-03-27,0.0,0,0,0,18.857142857142858,0.7142857142857143,132.0,5.0
711371,Espírito Santo do Turvo,2020-03-28,0.0,0,0,0,16.857142857142858,0.7142857142857143,118.0,5.0
711372,Espírito Santo do Turvo,2020-03-29,0.0,0,0,0,13.0,0.5714285714285714,91.0,4.0
711373,Espírito Santo do Turvo,2020-03-30,0.0,0,0,0,9.857142857142858,0.14285714285714285,69.0,1.0
711374,Espírito Santo do Turvo,2020-03-31,0.0,0,0,0,0.14285714285714285,0.14285714285714285,1.0,1.0
711375,Espírito Santo do Turvo,2020-04-01,0.0,0,0,0,0.0,0.14285714285714285,0.0,1.0
711376,Espírito Santo do Turvo,2020-04-02,0.0,0,0,0,0.0,0.0,0.0,0.0
711377,Espírito Santo do Turvo,2020-04-03,0.0,0,0,0,0.0,0.0,0.0,0.0
711378,Espírito Santo do Turvo,2020-04-04,0.0,0,0,0,0.0,0.0,0.0,0.0
711379,Espírito Santo do Turvo,2020-04-05,0.0,0,0,0,0.0,0.0,0.0,0.0
711380,Espírito Santo do Turvo,2020-04-06,0.0,0,0,0,0.0,0.0,0.0,0.0
711381,Espírito Santo do Turvo,2020-04-07,0.0,0,0,0,0.0,0.0,0.0,0.0
711382,Espírito Santo do Turvo,2020-04-08,0.0,0,0,0,0.0,0.0,0.0,0.0
711383,Espírito Santo do Turvo,2020-04-09,0.0,0,0,0,0.0,0.0,0.0,0.0
711384,Espírito Santo do Turvo,2020-04-10,0.0,0,0,0,0.0,0.0,0.0,0.0
711385,Espírito Santo do Turvo,2020-04-11,0.0,0,0,0,0.0,0.0,0.0,0.0
711386,Espírito Santo do Turvo,2020-04-12,0.0,0,0,0,0.0,0.0,0.0,0.0
711387,Espírito Santo do Turvo,2020-04-13,0.0,0,0,0,0.0,0.0,0.0,0.0
711388,Espírito Santo do Turvo,2020-04-14,0.0,0,0,0,0.0,0.0,0.0,0.0
711389,Espírito Santo do Turvo,2020-04-15,0.0,0,0,0,0.0,0.0,0.0,0.0
711390,Espírito Santo do Turvo,2020-04-16,0.0,0,0,0,0.0,0.0,0.0,0.0
711391,Espírito Santo do Turvo,2020-04-17,0.0,0,0,0,0.0,0.0,0.0,0.0
