index,municipio,data,casosAcumulado,casosNovos,obitosAcumulado,obitosNovos,daily_cases_moving_average,daily_deaths_moving_average,sum_of_daily_cases_week,sum_of_daily_deaths_week
727575,Faxinalzinho,2020-03-27,0.0,0,0,0,5.857142857142857,0.0,41.0,0.0
727576,Faxinalzinho,2020-03-28,0.0,0,0,0,3.7142857142857144,0.0,26.0,0.0
727577,Faxinalzinho,2020-03-29,0.0,0,0,0,3.2857142857142856,0.0,23.0,0.0
727578,Faxinalzinho,2020-03-30,0.0,0,0,0,2.2857142857142856,0.0,16.0,0.0
727579,Faxinalzinho,2020-03-31,0.0,0,0,0,0.7142857142857143,0.0,5.0,0.0
727580,Faxinalzinho,2020-04-01,0.0,0,0,0,0.7142857142857143,0.0,5.0,0.0
727581,Faxinalzinho,2020-04-02,0.0,0,0,0,0.0,0.0,0.0,0.0
727582,Faxinalzinho,2020-04-03,0.0,0,0,0,0.0,0.0,0.0,0.0
727583,Faxinalzinho,2020-04-04,0.0,0,0,0,0.0,0.0,0.0,0.0
727584,Faxinalzinho,2020-04-05,0.0,0,0,0,0.0,0.0,0.0,0.0
727585,Faxinalzinho,2020-04-06,0.0,0,0,0,0.0,0.0,0.0,0.0
727586,Faxinalzinho,2020-04-07,0.0,0,0,0,0.0,0.0,0.0,0.0
727587,Faxinalzinho,2020-04-08,0.0,0,0,0,0.0,0.0,0.0,0.0
727588,Faxinalzinho,2020-04-09,0.0,0,0,0,0.0,0.0,0.0,0.0
727589,Faxinalzinho,2020-04-10,0.0,0,0,0,0.0,0.0,0.0,0.0
727590,Faxinalzinho,2020-04-11,0.0,0,0,0,0.0,0.0,0.0,0.0
727591,Faxinalzinho,2020-04-12,0.0,0,0,0,0.0,0.0,0.0,0.0
727592,Faxinalzinho,2020-04-13,0.0,0,0,0,0.0,0.0,0.0,0.0
727593,Faxinalzinho,2020-04-14,0.0,0,0,0,0.0,0.0,0.0,0.0
727594,Faxinalzinho,2020-04-15,0.0,0,0,0,0.0,0.0,0.0,0.0
727595,Faxinalzinho,2020-04-16,0.0,0,0,0,0.0,0.0,0.0,0.0
