index,municipio,data,casosAcumulado,casosNovos,obitosAcumulado,obitosNovos,daily_cases_moving_average,daily_deaths_moving_average,sum_of_daily_cases_week,sum_of_daily_deaths_week
702603,Ferreira Gomes,2020-03-27,0.0,0,0,0,47.0,1.4285714285714286,329.0,10.0
702604,Ferreira Gomes,2020-03-28,0.0,0,0,0,43.714285714285715,0.7142857142857143,306.0,5.0
702605,Ferreira Gomes,2020-03-29,0.0,0,0,0,36.714285714285715,0.42857142857142855,257.0,3.0
702606,Ferreira Gomes,2020-03-30,0.0,0,0,0,22.857142857142858,0.2857142857142857,160.0,2.0
702607,Ferreira Gomes,2020-03-31,0.0,0,0,0,6.285714285714286,0.14285714285714285,44.0,1.0
702608,Ferreira Gomes,2020-04-01,0.0,0,0,0,2.5714285714285716,0.0,18.0,0.0
702609,Ferreira Gomes,2020-04-02,0.0,0,0,0,0.0,0.0,0.0,0.0
702610,Ferreira Gomes,2020-04-03,0.0,0,0,0,0.0,0.0,0.0,0.0
702611,Ferreira Gomes,2020-04-04,0.0,0,0,0,0.0,0.0,0.0,0.0
702612,Ferreira Gomes,2020-04-05,0.0,0,0,0,0.0,0.0,0.0,0.0
702613,Ferreira Gomes,2020-04-06,0.0,0,0,0,0.0,0.0,0.0,0.0
702614,Ferreira Gomes,2020-04-07,0.0,0,0,0,0.0,0.0,0.0,0.0
702615,Ferreira Gomes,2020-04-08,0.0,0,0,0,0.0,0.0,0.0,0.0
702616,Ferreira Gomes,2020-04-09,0.0,0,0,0,0.0,0.0,0.0,0.0
702617,Ferreira Gomes,2020-04-10,0.0,0,0,0,0.0,0.0,0.0,0.0
702618,Ferreira Gomes,2020-04-11,0.0,0,0,0,0.0,0.0,0.0,0.0
702619,Ferreira Gomes,2020-04-12,0.0,0,0,0,0.0,0.0,0.0,0.0
702620,Ferreira Gomes,2020-04-13,0.0,0,0,0,0.0,0.0,0.0,0.0
702621,Ferreira Gomes,2020-04-14,0.0,0,0,0,0.0,0.0,0.0,0.0
702622,Ferreira Gomes,2020-04-15,0.0,0,0,0,0.0,0.0,0.0,0.0
702623,Ferreira Gomes,2020-04-16,0.0,0,0,0,0.0,0.0,0.0,0.0
702624,Ferreira Gomes,2020-04-17,0.0,0,0,0,0.0,0.0,0.0,0.0
702625,Ferreira Gomes,2020-04-18,0.0,0,0,0,0.0,0.0,0.0,0.0
702626,Ferreira Gomes,2020-04-19,0.0,0,0,0,0.0,0.0,0.0,0.0
702627,Ferreira Gomes,2020-04-20,0.0,0,0,0,0.0,0.0,0.0,0.0
702628,Ferreira Gomes,2020-04-21,0.0,0,0,0,0.0,0.0,0.0,0.0
702629,Ferreira Gomes,2020-04-22,0.0,0,0,0,0.0,0.0,0.0,0.0
702630,Ferreira Gomes,2020-04-23,0.0,0,0,0,0.0,0.0,0.0,0.0
702631,Ferreira Gomes,2020-04-24,0.0,0,0,0,0.0,0.0,0.0,0.0
702632,Ferreira Gomes,2020-04-25,0.0,0,0,0,0.0,0.0,0.0,0.0
702633,Ferreira Gomes,2020-04-26,0.0,0,0,0,0.0,0.0,0.0,0.0
702634,Ferreira Gomes,2020-04-27,0.0,0,0,0,0.0,0.0,0.0,0.0
702635,Ferreira Gomes,2020-04-28,0.0,0,0,0,0.0,0.0,0.0,0.0
702636,Ferreira Gomes,2020-04-29,0.0,0,0,0,0.0,0.0,0.0,0.0
702637,Ferreira Gomes,2020-04-30,0.0,0,0,0,0.0,0.0,0.0,0.0
702638,Ferreira Gomes,2020-05-01,0.0,0,0,0,0.0,0.0,0.0,0.0
702639,Ferreira Gomes,2020-05-02,1.0,1,0,0,0.14285714285714285,0.0,1.0,0.0
702640,Ferreira Gomes,2020-05-03,1.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
702641,Ferreira Gomes,2020-05-04,1.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
702642,Ferreira Gomes,2020-05-05,1.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
702643,Ferreira Gomes,2020-05-06,2.0,1,0,0,0.2857142857142857,0.0,2.0,0.0
702644,Ferreira Gomes,2020-05-07,3.0,1,1,1,0.42857142857142855,0.14285714285714285,3.0,1.0
702645,Ferreira Gomes,2020-05-08,3.0,0,1,0,0.42857142857142855,0.14285714285714285,3.0,1.0
702646,Ferreira Gomes,2020-05-09,4.0,1,1,0,0.42857142857142855,0.14285714285714285,3.0,1.0
702647,Ferreira Gomes,2020-05-10,4.0,0,1,0,0.42857142857142855,0.14285714285714285,3.0,1.0
702648,Ferreira Gomes,2020-05-11,4.0,0,1,0,0.42857142857142855,0.14285714285714285,3.0,1.0
702649,Ferreira Gomes,2020-05-12,6.0,2,1,0,0.7142857142857143,0.14285714285714285,5.0,1.0
702650,Ferreira Gomes,2020-05-13,10.0,4,1,0,1.1428571428571428,0.14285714285714285,8.0,1.0
702651,Ferreira Gomes,2020-05-14,11.0,1,1,0,1.1428571428571428,0.0,8.0,0.0
702652,Ferreira Gomes,2020-05-15,14.0,3,1,0,1.5714285714285714,0.0,11.0,0.0
702653,Ferreira Gomes,2020-05-16,18.0,4,1,0,2.0,0.0,14.0,0.0
702654,Ferreira Gomes,2020-05-17,18.0,0,1,0,2.0,0.0,14.0,0.0
702655,Ferreira Gomes,2020-05-18,18.0,0,1,0,2.0,0.0,14.0,0.0
702656,Ferreira Gomes,2020-05-19,18.0,0,1,0,1.7142857142857142,0.0,12.0,0.0
702657,Ferreira Gomes,2020-05-20,40.0,22,2,1,4.285714285714286,0.14285714285714285,30.0,1.0
702658,Ferreira Gomes,2020-05-21,40.0,0,2,0,4.142857142857143,0.14285714285714285,29.0,1.0
702659,Ferreira Gomes,2020-05-22,49.0,9,2,0,5.0,0.14285714285714285,35.0,1.0
702660,Ferreira Gomes,2020-05-23,54.0,5,2,0,5.142857142857143,0.14285714285714285,36.0,1.0
702661,Ferreira Gomes,2020-05-24,54.0,0,2,0,5.142857142857143,0.14285714285714285,36.0,1.0
702662,Ferreira Gomes,2020-05-25,54.0,0,2,0,5.142857142857143,0.14285714285714285,36.0,1.0
702663,Ferreira Gomes,2020-05-26,66.0,12,2,0,6.857142857142857,0.14285714285714285,48.0,1.0
702664,Ferreira Gomes,2020-05-27,69.0,3,2,0,4.142857142857143,0.0,29.0,0.0
702665,Ferreira Gomes,2020-05-28,75.0,6,2,0,5.0,0.0,35.0,0.0
702666,Ferreira Gomes,2020-05-29,85.0,10,2,0,5.142857142857143,0.0,36.0,0.0
702667,Ferreira Gomes,2020-05-30,85.0,0,2,0,4.428571428571429,0.0,31.0,0.0
702668,Ferreira Gomes,2020-05-31,85.0,0,2,0,4.428571428571429,0.0,31.0,0.0
702669,Ferreira Gomes,2020-06-01,93.0,8,2,0,5.571428571428571,0.0,39.0,0.0
702670,Ferreira Gomes,2020-06-02,110.0,17,2,0,6.285714285714286,0.0,44.0,0.0
702671,Ferreira Gomes,2020-06-03,115.0,5,2,0,6.571428571428571,0.0,46.0,0.0
702672,Ferreira Gomes,2020-06-04,123.0,8,2,0,6.857142857142857,0.0,48.0,0.0
702673,Ferreira Gomes,2020-06-05,141.0,18,2,0,8.0,0.0,56.0,0.0
702674,Ferreira Gomes,2020-06-06,142.0,1,2,0,8.142857142857142,0.0,57.0,0.0
702675,Ferreira Gomes,2020-06-07,143.0,1,2,0,8.285714285714286,0.0,58.0,0.0
702676,Ferreira Gomes,2020-06-08,149.0,6,2,0,8.0,0.0,56.0,0.0
702677,Ferreira Gomes,2020-06-09,161.0,12,2,0,7.285714285714286,0.0,51.0,0.0
702678,Ferreira Gomes,2020-06-10,166.0,5,2,0,7.285714285714286,0.0,51.0,0.0
702679,Ferreira Gomes,2020-06-11,175.0,9,2,0,7.428571428571429,0.0,52.0,0.0
702680,Ferreira Gomes,2020-06-12,176.0,1,2,0,5.0,0.0,35.0,0.0
702681,Ferreira Gomes,2020-06-13,178.0,2,2,0,5.142857142857143,0.0,36.0,0.0
702682,Ferreira Gomes,2020-06-14,178.0,0,2,0,5.0,0.0,35.0,0.0
702683,Ferreira Gomes,2020-06-15,189.0,11,2,0,5.714285714285714,0.0,40.0,0.0
702684,Ferreira Gomes,2020-06-16,190.0,1,2,0,4.142857142857143,0.0,29.0,0.0
702685,Ferreira Gomes,2020-06-17,191.0,1,2,0,3.5714285714285716,0.0,25.0,0.0
702686,Ferreira Gomes,2020-06-18,204.0,13,2,0,4.142857142857143,0.0,29.0,0.0
702687,Ferreira Gomes,2020-06-19,265.0,61,2,0,12.714285714285714,0.0,89.0,0.0
702688,Ferreira Gomes,2020-06-20,271.0,6,2,0,13.285714285714286,0.0,93.0,0.0
702689,Ferreira Gomes,2020-06-21,273.0,2,2,0,13.571428571428571,0.0,95.0,0.0
702690,Ferreira Gomes,2020-06-22,275.0,2,2,0,12.285714285714286,0.0,86.0,0.0
702691,Ferreira Gomes,2020-06-23,275.0,0,2,0,12.142857142857142,0.0,85.0,0.0
702692,Ferreira Gomes,2020-06-24,281.0,6,2,0,12.857142857142858,0.0,90.0,0.0
702693,Ferreira Gomes,2020-06-25,281.0,0,2,0,11.0,0.0,77.0,0.0
702694,Ferreira Gomes,2020-06-26,283.0,2,2,0,2.5714285714285716,0.0,18.0,0.0
702695,Ferreira Gomes,2020-06-27,283.0,0,2,0,1.7142857142857142,0.0,12.0,0.0
702696,Ferreira Gomes,2020-06-28,283.0,0,2,0,1.4285714285714286,0.0,10.0,0.0
702697,Ferreira Gomes,2020-06-29,285.0,2,2,0,1.4285714285714286,0.0,10.0,0.0
702698,Ferreira Gomes,2020-06-30,288.0,3,2,0,1.8571428571428572,0.0,13.0,0.0
702699,Ferreira Gomes,2020-07-01,295.0,7,2,0,2.0,0.0,14.0,0.0
702700,Ferreira Gomes,2020-07-02,303.0,8,2,0,3.142857142857143,0.0,22.0,0.0
702701,Ferreira Gomes,2020-07-03,312.0,9,2,0,4.142857142857143,0.0,29.0,0.0
702702,Ferreira Gomes,2020-07-04,315.0,3,2,0,4.571428571428571,0.0,32.0,0.0
702703,Ferreira Gomes,2020-07-05,315.0,0,2,0,4.571428571428571,0.0,32.0,0.0
702704,Ferreira Gomes,2020-07-06,318.0,3,2,0,4.714285714285714,0.0,33.0,0.0
702705,Ferreira Gomes,2020-07-07,335.0,17,2,0,6.714285714285714,0.0,47.0,0.0
702706,Ferreira Gomes,2020-07-08,347.0,12,2,0,7.428571428571429,0.0,52.0,0.0
702707,Ferreira Gomes,2020-07-09,361.0,14,2,0,8.285714285714286,0.0,58.0,0.0
702708,Ferreira Gomes,2020-07-10,374.0,13,2,0,8.857142857142858,0.0,62.0,0.0
702709,Ferreira Gomes,2020-07-11,385.0,11,2,0,10.0,0.0,70.0,0.0
702710,Ferreira Gomes,2020-07-12,385.0,0,2,0,10.0,0.0,70.0,0.0
702711,Ferreira Gomes,2020-07-13,388.0,3,2,0,10.0,0.0,70.0,0.0
