index,municipio,data,casosAcumulado,casosNovos,obitosAcumulado,obitosNovos,daily_cases_moving_average,daily_deaths_moving_average,sum_of_daily_cases_week,sum_of_daily_deaths_week
718612,Flores da Cunha,2020-03-27,0.0,0,0,0,3.5714285714285716,0.0,25.0,0.0
718613,Flores da Cunha,2020-03-28,0.0,0,0,0,3.2857142857142856,0.0,23.0,0.0
718614,Flores da Cunha,2020-03-29,0.0,0,0,0,3.2857142857142856,0.0,23.0,0.0
718615,Flores da Cunha,2020-03-30,0.0,0,0,0,2.7142857142857144,0.0,19.0,0.0
718616,Flores da Cunha,2020-03-31,0.0,0,0,0,2.142857142857143,0.0,15.0,0.0
718617,Flores da Cunha,2020-04-01,0.0,0,0,0,0.0,0.0,0.0,0.0
718618,Flores da Cunha,2020-04-02,0.0,0,0,0,0.0,0.0,0.0,0.0
718619,Flores da Cunha,2020-04-03,0.0,0,0,0,0.0,0.0,0.0,0.0
718620,Flores da Cunha,2020-04-04,0.0,0,0,0,0.0,0.0,0.0,0.0
718621,Flores da Cunha,2020-04-05,0.0,0,0,0,0.0,0.0,0.0,0.0
718622,Flores da Cunha,2020-04-06,0.0,0,0,0,0.0,0.0,0.0,0.0
718623,Flores da Cunha,2020-04-07,0.0,0,0,0,0.0,0.0,0.0,0.0
718624,Flores da Cunha,2020-04-08,0.0,0,0,0,0.0,0.0,0.0,0.0
718625,Flores da Cunha,2020-04-09,0.0,0,0,0,0.0,0.0,0.0,0.0
718626,Flores da Cunha,2020-04-10,0.0,0,0,0,0.0,0.0,0.0,0.0
718627,Flores da Cunha,2020-04-11,0.0,0,0,0,0.0,0.0,0.0,0.0
718628,Flores da Cunha,2020-04-12,0.0,0,0,0,0.0,0.0,0.0,0.0
718629,Flores da Cunha,2020-04-13,0.0,0,0,0,0.0,0.0,0.0,0.0
718630,Flores da Cunha,2020-04-14,0.0,0,0,0,0.0,0.0,0.0,0.0
718631,Flores da Cunha,2020-04-15,0.0,0,0,0,0.0,0.0,0.0,0.0
718632,Flores da Cunha,2020-04-16,0.0,0,0,0,0.0,0.0,0.0,0.0
718633,Flores da Cunha,2020-04-17,1.0,1,0,0,0.14285714285714285,0.0,1.0,0.0
718634,Flores da Cunha,2020-04-18,1.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
718635,Flores da Cunha,2020-04-19,1.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
