index,municipio,data,casosAcumulado,casosNovos,obitosAcumulado,obitosNovos,daily_cases_moving_average,daily_deaths_moving_average,sum_of_daily_cases_week,sum_of_daily_deaths_week
728784,Florestópolis,2020-03-27,0.0,0,0,0,0.0,0.0,0.0,0.0
728785,Florestópolis,2020-03-28,0.0,0,0,0,0.0,0.0,0.0,0.0
728786,Florestópolis,2020-03-29,0.0,0,0,0,0.0,0.0,0.0,0.0
728787,Florestópolis,2020-03-30,0.0,0,0,0,0.0,0.0,0.0,0.0
728788,Florestópolis,2020-03-31,0.0,0,0,0,0.0,0.0,0.0,0.0
728789,Florestópolis,2020-04-01,0.0,0,0,0,0.0,0.0,0.0,0.0
728790,Florestópolis,2020-04-02,0.0,0,0,0,0.0,0.0,0.0,0.0
728791,Florestópolis,2020-04-03,0.0,0,0,0,0.0,0.0,0.0,0.0
728792,Florestópolis,2020-04-04,0.0,0,0,0,0.0,0.0,0.0,0.0
728793,Florestópolis,2020-04-05,0.0,0,0,0,0.0,0.0,0.0,0.0
728794,Florestópolis,2020-04-06,0.0,0,0,0,0.0,0.0,0.0,0.0
728795,Florestópolis,2020-04-07,0.0,0,0,0,0.0,0.0,0.0,0.0
728796,Florestópolis,2020-04-08,0.0,0,0,0,0.0,0.0,0.0,0.0
728797,Florestópolis,2020-04-09,0.0,0,0,0,0.0,0.0,0.0,0.0
728798,Florestópolis,2020-04-10,0.0,0,0,0,0.0,0.0,0.0,0.0
728799,Florestópolis,2020-04-11,0.0,0,0,0,0.0,0.0,0.0,0.0
728800,Florestópolis,2020-04-12,0.0,0,0,0,0.0,0.0,0.0,0.0
728801,Florestópolis,2020-04-13,0.0,0,0,0,0.0,0.0,0.0,0.0
728802,Florestópolis,2020-04-14,0.0,0,0,0,0.0,0.0,0.0,0.0
728803,Florestópolis,2020-04-15,0.0,0,0,0,0.0,0.0,0.0,0.0
728804,Florestópolis,2020-04-16,0.0,0,0,0,0.0,0.0,0.0,0.0
728805,Florestópolis,2020-04-17,0.0,0,0,0,0.0,0.0,0.0,0.0
728806,Florestópolis,2020-04-18,0.0,0,0,0,0.0,0.0,0.0,0.0
728807,Florestópolis,2020-04-19,0.0,0,0,0,0.0,0.0,0.0,0.0
728808,Florestópolis,2020-04-20,0.0,0,0,0,0.0,0.0,0.0,0.0
728809,Florestópolis,2020-04-21,0.0,0,0,0,0.0,0.0,0.0,0.0
728810,Florestópolis,2020-04-22,0.0,0,0,0,0.0,0.0,0.0,0.0
728811,Florestópolis,2020-04-23,0.0,0,0,0,0.0,0.0,0.0,0.0
728812,Florestópolis,2020-04-24,0.0,0,0,0,0.0,0.0,0.0,0.0
728813,Florestópolis,2020-04-25,0.0,0,0,0,0.0,0.0,0.0,0.0
728814,Florestópolis,2020-04-26,0.0,0,0,0,0.0,0.0,0.0,0.0
728815,Florestópolis,2020-04-27,0.0,0,0,0,0.0,0.0,0.0,0.0
728816,Florestópolis,2020-04-28,0.0,0,0,0,0.0,0.0,0.0,0.0
728817,Florestópolis,2020-04-29,0.0,0,0,0,0.0,0.0,0.0,0.0
728818,Florestópolis,2020-04-30,0.0,0,0,0,0.0,0.0,0.0,0.0
728819,Florestópolis,2020-05-01,0.0,0,0,0,0.0,0.0,0.0,0.0
728820,Florestópolis,2020-05-02,0.0,0,0,0,0.0,0.0,0.0,0.0
728821,Florestópolis,2020-05-03,0.0,0,0,0,0.0,0.0,0.0,0.0
728822,Florestópolis,2020-05-04,0.0,0,0,0,0.0,0.0,0.0,0.0
728823,Florestópolis,2020-05-05,0.0,0,0,0,0.0,0.0,0.0,0.0
728824,Florestópolis,2020-05-06,0.0,0,0,0,0.0,0.0,0.0,0.0
728825,Florestópolis,2020-05-07,0.0,0,0,0,0.0,0.0,0.0,0.0
728826,Florestópolis,2020-05-08,0.0,0,0,0,0.0,0.0,0.0,0.0
728827,Florestópolis,2020-05-09,0.0,0,0,0,0.0,0.0,0.0,0.0
728828,Florestópolis,2020-05-10,0.0,0,0,0,0.0,0.0,0.0,0.0
728829,Florestópolis,2020-05-11,0.0,0,0,0,0.0,0.0,0.0,0.0
728830,Florestópolis,2020-05-12,0.0,0,0,0,0.0,0.0,0.0,0.0
728831,Florestópolis,2020-05-13,0.0,0,0,0,0.0,0.0,0.0,0.0
728832,Florestópolis,2020-05-14,0.0,0,0,0,0.0,0.0,0.0,0.0
728833,Florestópolis,2020-05-15,0.0,0,0,0,0.0,0.0,0.0,0.0
728834,Florestópolis,2020-05-16,0.0,0,0,0,0.0,0.0,0.0,0.0
728835,Florestópolis,2020-05-17,0.0,0,0,0,0.0,0.0,0.0,0.0
728836,Florestópolis,2020-05-18,0.0,0,0,0,0.0,0.0,0.0,0.0
728837,Florestópolis,2020-05-19,0.0,0,0,0,0.0,0.0,0.0,0.0
728838,Florestópolis,2020-05-20,0.0,0,0,0,0.0,0.0,0.0,0.0
728839,Florestópolis,2020-05-21,0.0,0,0,0,0.0,0.0,0.0,0.0
728840,Florestópolis,2020-05-22,0.0,0,0,0,0.0,0.0,0.0,0.0
728841,Florestópolis,2020-05-23,1.0,1,0,0,0.14285714285714285,0.0,1.0,0.0
728842,Florestópolis,2020-05-24,1.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
728843,Florestópolis,2020-05-25,1.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
728844,Florestópolis,2020-05-26,1.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
728845,Florestópolis,2020-05-27,2.0,1,0,0,0.2857142857142857,0.0,2.0,0.0
728846,Florestópolis,2020-05-28,2.0,0,0,0,0.2857142857142857,0.0,2.0,0.0
728847,Florestópolis,2020-05-29,2.0,0,0,0,0.2857142857142857,0.0,2.0,0.0
728848,Florestópolis,2020-05-30,2.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
728849,Florestópolis,2020-05-31,2.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
728850,Florestópolis,2020-06-01,2.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
728851,Florestópolis,2020-06-02,2.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
728852,Florestópolis,2020-06-03,2.0,0,0,0,0.0,0.0,0.0,0.0
728853,Florestópolis,2020-06-04,2.0,0,0,0,0.0,0.0,0.0,0.0
728854,Florestópolis,2020-06-05,2.0,0,0,0,0.0,0.0,0.0,0.0
728855,Florestópolis,2020-06-06,2.0,0,0,0,0.0,0.0,0.0,0.0
728856,Florestópolis,2020-06-07,2.0,0,0,0,0.0,0.0,0.0,0.0
728857,Florestópolis,2020-06-08,2.0,0,0,0,0.0,0.0,0.0,0.0
728858,Florestópolis,2020-06-09,4.0,2,0,0,0.2857142857142857,0.0,2.0,0.0
728859,Florestópolis,2020-06-10,5.0,1,0,0,0.42857142857142855,0.0,3.0,0.0
728860,Florestópolis,2020-06-11,5.0,0,0,0,0.42857142857142855,0.0,3.0,0.0
728861,Florestópolis,2020-06-12,5.0,0,0,0,0.42857142857142855,0.0,3.0,0.0
728862,Florestópolis,2020-06-13,5.0,0,0,0,0.42857142857142855,0.0,3.0,0.0
728863,Florestópolis,2020-06-14,5.0,0,0,0,0.42857142857142855,0.0,3.0,0.0
728864,Florestópolis,2020-06-15,5.0,0,0,0,0.42857142857142855,0.0,3.0,0.0
728865,Florestópolis,2020-06-16,5.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
728866,Florestópolis,2020-06-17,5.0,0,0,0,0.0,0.0,0.0,0.0
728867,Florestópolis,2020-06-18,5.0,0,0,0,0.0,0.0,0.0,0.0
728868,Florestópolis,2020-06-19,5.0,0,0,0,0.0,0.0,0.0,0.0
728869,Florestópolis,2020-06-20,5.0,0,0,0,0.0,0.0,0.0,0.0
728870,Florestópolis,2020-06-21,5.0,0,0,0,0.0,0.0,0.0,0.0
728871,Florestópolis,2020-06-22,5.0,0,0,0,0.0,0.0,0.0,0.0
728872,Florestópolis,2020-06-23,5.0,0,0,0,0.0,0.0,0.0,0.0
728873,Florestópolis,2020-06-24,5.0,0,0,0,0.0,0.0,0.0,0.0
728874,Florestópolis,2020-06-25,5.0,0,0,0,0.0,0.0,0.0,0.0
728875,Florestópolis,2020-06-26,5.0,0,0,0,0.0,0.0,0.0,0.0
728876,Florestópolis,2020-06-27,5.0,0,0,0,0.0,0.0,0.0,0.0
728877,Florestópolis,2020-06-28,5.0,0,0,0,0.0,0.0,0.0,0.0
728878,Florestópolis,2020-06-29,5.0,0,0,0,0.0,0.0,0.0,0.0
728879,Florestópolis,2020-06-30,9.0,4,0,0,0.5714285714285714,0.0,4.0,0.0
728880,Florestópolis,2020-07-01,9.0,0,0,0,0.5714285714285714,0.0,4.0,0.0
728881,Florestópolis,2020-07-02,10.0,1,0,0,0.7142857142857143,0.0,5.0,0.0
728882,Florestópolis,2020-07-03,10.0,0,0,0,0.7142857142857143,0.0,5.0,0.0
728883,Florestópolis,2020-07-04,11.0,1,0,0,0.8571428571428571,0.0,6.0,0.0
728884,Florestópolis,2020-07-05,11.0,0,0,0,0.8571428571428571,0.0,6.0,0.0
728885,Florestópolis,2020-07-06,17.0,6,0,0,1.7142857142857142,0.0,12.0,0.0
728886,Florestópolis,2020-07-07,21.0,4,0,0,1.7142857142857142,0.0,12.0,0.0
728887,Florestópolis,2020-07-08,23.0,2,1,1,2.0,0.14285714285714285,14.0,1.0
728888,Florestópolis,2020-07-09,23.0,0,1,0,1.8571428571428572,0.14285714285714285,13.0,1.0
728889,Florestópolis,2020-07-10,27.0,4,1,0,2.4285714285714284,0.14285714285714285,17.0,1.0
728890,Florestópolis,2020-07-11,28.0,1,1,0,2.4285714285714284,0.14285714285714285,17.0,1.0
728891,Florestópolis,2020-07-12,42.0,14,1,0,4.428571428571429,0.14285714285714285,31.0,1.0
728892,Florestópolis,2020-07-13,42.0,0,1,0,3.5714285714285716,0.14285714285714285,25.0,1.0
728893,Florestópolis,2020-07-14,43.0,1,1,0,3.142857142857143,0.14285714285714285,22.0,1.0
728894,Florestópolis,2020-07-15,44.0,1,1,0,3.0,0.0,21.0,0.0
728895,Florestópolis,2020-07-16,50.0,6,1,0,3.857142857142857,0.0,27.0,0.0
728896,Florestópolis,2020-07-17,55.0,5,1,0,4.0,0.0,28.0,0.0
728897,Florestópolis,2020-07-18,63.0,8,1,0,5.0,0.0,35.0,0.0
728898,Florestópolis,2020-07-19,63.0,0,1,0,3.0,0.0,21.0,0.0
728899,Florestópolis,2020-07-20,63.0,0,1,0,3.0,0.0,21.0,0.0
728900,Florestópolis,2020-07-21,80.0,17,1,0,5.285714285714286,0.0,37.0,0.0
728901,Florestópolis,2020-07-22,88.0,8,1,0,6.285714285714286,0.0,44.0,0.0
728902,Florestópolis,2020-07-23,88.0,0,1,0,5.428571428571429,0.0,38.0,0.0
728903,Florestópolis,2020-07-24,88.0,0,1,0,4.714285714285714,0.0,33.0,0.0
728904,Florestópolis,2020-07-25,96.0,8,1,0,4.714285714285714,0.0,33.0,0.0
728905,Florestópolis,2020-07-26,103.0,7,1,0,5.714285714285714,0.0,40.0,0.0
728906,Florestópolis,2020-07-27,104.0,1,1,0,5.857142857142857,0.0,41.0,0.0
728907,Florestópolis,2020-07-28,104.0,0,1,0,3.4285714285714284,0.0,24.0,0.0
728908,Florestópolis,2020-07-29,111.0,7,1,0,3.2857142857142856,0.0,23.0,0.0
728909,Florestópolis,2020-07-30,118.0,7,1,0,4.285714285714286,0.0,30.0,0.0
728910,Florestópolis,2020-07-31,119.0,1,1,0,4.428571428571429,0.0,31.0,0.0
728911,Florestópolis,2020-08-01,127.0,8,1,0,4.428571428571429,0.0,31.0,0.0
728912,Florestópolis,2020-08-02,141.0,14,1,0,5.428571428571429,0.0,38.0,0.0
728913,Florestópolis,2020-08-03,141.0,0,1,0,5.285714285714286,0.0,37.0,0.0
728914,Florestópolis,2020-08-04,146.0,5,1,0,6.0,0.0,42.0,0.0
728915,Florestópolis,2020-08-05,152.0,6,1,0,5.857142857142857,0.0,41.0,0.0
728916,Florestópolis,2020-08-06,153.0,1,1,0,5.0,0.0,35.0,0.0
728917,Florestópolis,2020-08-07,154.0,1,1,0,5.0,0.0,35.0,0.0
728918,Florestópolis,2020-08-08,154.0,0,1,0,3.857142857142857,0.0,27.0,0.0
728919,Florestópolis,2020-08-09,166.0,12,1,0,3.5714285714285716,0.0,25.0,0.0
728920,Florestópolis,2020-08-10,181.0,15,1,0,5.714285714285714,0.0,40.0,0.0
728921,Florestópolis,2020-08-11,182.0,1,1,0,5.142857142857143,0.0,36.0,0.0
728922,Florestópolis,2020-08-12,189.0,7,2,1,5.285714285714286,0.14285714285714285,37.0,1.0
728923,Florestópolis,2020-08-13,189.0,0,2,0,5.142857142857143,0.14285714285714285,36.0,1.0
728924,Florestópolis,2020-08-14,208.0,19,2,0,7.714285714285714,0.14285714285714285,54.0,1.0
728925,Florestópolis,2020-08-15,208.0,0,2,0,7.714285714285714,0.14285714285714285,54.0,1.0
728926,Florestópolis,2020-08-16,210.0,2,2,0,6.285714285714286,0.14285714285714285,44.0,1.0
728927,Florestópolis,2020-08-17,212.0,2,2,0,4.428571428571429,0.14285714285714285,31.0,1.0
