index,municipio,data,casosAcumulado,casosNovos,obitosAcumulado,obitosNovos,daily_cases_moving_average,daily_deaths_moving_average,sum_of_daily_cases_week,sum_of_daily_deaths_week
748000,Formosa da Serra Negra,2020-03-27,0.0,0,0,0,32.42857142857143,1.1428571428571428,227.0,8.0
748001,Formosa da Serra Negra,2020-03-28,0.0,0,0,0,32.57142857142857,1.1428571428571428,228.0,8.0
748002,Formosa da Serra Negra,2020-03-29,0.0,0,0,0,32.857142857142854,0.8571428571428571,230.0,6.0
748003,Formosa da Serra Negra,2020-03-30,0.0,0,0,0,32.857142857142854,0.8571428571428571,230.0,6.0
748004,Formosa da Serra Negra,2020-03-31,0.0,0,0,0,33.142857142857146,0.8571428571428571,232.0,6.0
748005,Formosa da Serra Negra,2020-04-01,0.0,0,0,0,32.857142857142854,0.8571428571428571,230.0,6.0
748006,Formosa da Serra Negra,2020-04-02,0.0,0,0,0,0.0,0.0,0.0,0.0
748007,Formosa da Serra Negra,2020-04-03,0.0,0,0,0,0.0,0.0,0.0,0.0
748008,Formosa da Serra Negra,2020-04-04,0.0,0,0,0,0.0,0.0,0.0,0.0
748009,Formosa da Serra Negra,2020-04-05,0.0,0,0,0,0.0,0.0,0.0,0.0
748010,Formosa da Serra Negra,2020-04-06,0.0,0,0,0,0.0,0.0,0.0,0.0
748011,Formosa da Serra Negra,2020-04-07,0.0,0,0,0,0.0,0.0,0.0,0.0
748012,Formosa da Serra Negra,2020-04-08,0.0,0,0,0,0.0,0.0,0.0,0.0
748013,Formosa da Serra Negra,2020-04-09,0.0,0,0,0,0.0,0.0,0.0,0.0
748014,Formosa da Serra Negra,2020-04-10,0.0,0,0,0,0.0,0.0,0.0,0.0
748015,Formosa da Serra Negra,2020-04-11,0.0,0,0,0,0.0,0.0,0.0,0.0
748016,Formosa da Serra Negra,2020-04-12,0.0,0,0,0,0.0,0.0,0.0,0.0
748017,Formosa da Serra Negra,2020-04-13,0.0,0,0,0,0.0,0.0,0.0,0.0
748018,Formosa da Serra Negra,2020-04-14,0.0,0,0,0,0.0,0.0,0.0,0.0
748019,Formosa da Serra Negra,2020-04-15,0.0,0,0,0,0.0,0.0,0.0,0.0
748020,Formosa da Serra Negra,2020-04-16,0.0,0,0,0,0.0,0.0,0.0,0.0
748021,Formosa da Serra Negra,2020-04-17,0.0,0,0,0,0.0,0.0,0.0,0.0
748022,Formosa da Serra Negra,2020-04-18,0.0,0,0,0,0.0,0.0,0.0,0.0
748023,Formosa da Serra Negra,2020-04-19,0.0,0,0,0,0.0,0.0,0.0,0.0
748024,Formosa da Serra Negra,2020-04-20,0.0,0,0,0,0.0,0.0,0.0,0.0
748025,Formosa da Serra Negra,2020-04-21,0.0,0,0,0,0.0,0.0,0.0,0.0
748026,Formosa da Serra Negra,2020-04-22,0.0,0,0,0,0.0,0.0,0.0,0.0
748027,Formosa da Serra Negra,2020-04-23,0.0,0,0,0,0.0,0.0,0.0,0.0
748028,Formosa da Serra Negra,2020-04-24,0.0,0,0,0,0.0,0.0,0.0,0.0
748029,Formosa da Serra Negra,2020-04-25,0.0,0,0,0,0.0,0.0,0.0,0.0
748030,Formosa da Serra Negra,2020-04-26,0.0,0,0,0,0.0,0.0,0.0,0.0
748031,Formosa da Serra Negra,2020-04-27,0.0,0,0,0,0.0,0.0,0.0,0.0
748032,Formosa da Serra Negra,2020-04-28,0.0,0,0,0,0.0,0.0,0.0,0.0
748033,Formosa da Serra Negra,2020-04-29,0.0,0,0,0,0.0,0.0,0.0,0.0
748034,Formosa da Serra Negra,2020-04-30,0.0,0,0,0,0.0,0.0,0.0,0.0
748035,Formosa da Serra Negra,2020-05-01,0.0,0,0,0,0.0,0.0,0.0,0.0
748036,Formosa da Serra Negra,2020-05-02,0.0,0,0,0,0.0,0.0,0.0,0.0
748037,Formosa da Serra Negra,2020-05-03,0.0,0,0,0,0.0,0.0,0.0,0.0
748038,Formosa da Serra Negra,2020-05-04,0.0,0,0,0,0.0,0.0,0.0,0.0
748039,Formosa da Serra Negra,2020-05-05,0.0,0,0,0,0.0,0.0,0.0,0.0
748040,Formosa da Serra Negra,2020-05-06,0.0,0,0,0,0.0,0.0,0.0,0.0
748041,Formosa da Serra Negra,2020-05-07,0.0,0,0,0,0.0,0.0,0.0,0.0
748042,Formosa da Serra Negra,2020-05-08,0.0,0,0,0,0.0,0.0,0.0,0.0
748043,Formosa da Serra Negra,2020-05-09,0.0,0,0,0,0.0,0.0,0.0,0.0
748044,Formosa da Serra Negra,2020-05-10,0.0,0,0,0,0.0,0.0,0.0,0.0
748045,Formosa da Serra Negra,2020-05-11,0.0,0,0,0,0.0,0.0,0.0,0.0
748046,Formosa da Serra Negra,2020-05-12,0.0,0,0,0,0.0,0.0,0.0,0.0
748047,Formosa da Serra Negra,2020-05-13,0.0,0,0,0,0.0,0.0,0.0,0.0
748048,Formosa da Serra Negra,2020-05-14,2.0,2,0,0,0.2857142857142857,0.0,2.0,0.0
748049,Formosa da Serra Negra,2020-05-15,2.0,0,0,0,0.2857142857142857,0.0,2.0,0.0
748050,Formosa da Serra Negra,2020-05-16,2.0,0,0,0,0.2857142857142857,0.0,2.0,0.0
748051,Formosa da Serra Negra,2020-05-17,2.0,0,0,0,0.2857142857142857,0.0,2.0,0.0
748052,Formosa da Serra Negra,2020-05-18,2.0,0,0,0,0.2857142857142857,0.0,2.0,0.0
748053,Formosa da Serra Negra,2020-05-19,2.0,0,0,0,0.2857142857142857,0.0,2.0,0.0
748054,Formosa da Serra Negra,2020-05-20,12.0,10,0,0,1.7142857142857142,0.0,12.0,0.0
748055,Formosa da Serra Negra,2020-05-21,14.0,2,0,0,1.7142857142857142,0.0,12.0,0.0
748056,Formosa da Serra Negra,2020-05-22,20.0,6,0,0,2.5714285714285716,0.0,18.0,0.0
748057,Formosa da Serra Negra,2020-05-23,20.0,0,0,0,2.5714285714285716,0.0,18.0,0.0
748058,Formosa da Serra Negra,2020-05-24,20.0,0,0,0,2.5714285714285716,0.0,18.0,0.0
748059,Formosa da Serra Negra,2020-05-25,20.0,0,0,0,2.5714285714285716,0.0,18.0,0.0
748060,Formosa da Serra Negra,2020-05-26,22.0,2,0,0,2.857142857142857,0.0,20.0,0.0
748061,Formosa da Serra Negra,2020-05-27,22.0,0,0,0,1.4285714285714286,0.0,10.0,0.0
748062,Formosa da Serra Negra,2020-05-28,23.0,1,0,0,1.2857142857142858,0.0,9.0,0.0
748063,Formosa da Serra Negra,2020-05-29,23.0,0,0,0,0.42857142857142855,0.0,3.0,0.0
748064,Formosa da Serra Negra,2020-05-30,26.0,3,0,0,0.8571428571428571,0.0,6.0,0.0
748065,Formosa da Serra Negra,2020-05-31,25.0,-1,0,0,0.7142857142857143,0.0,5.0,0.0
748066,Formosa da Serra Negra,2020-06-01,25.0,0,0,0,0.7142857142857143,0.0,5.0,0.0
748067,Formosa da Serra Negra,2020-06-02,25.0,0,0,0,0.42857142857142855,0.0,3.0,0.0
748068,Formosa da Serra Negra,2020-06-03,25.0,0,0,0,0.42857142857142855,0.0,3.0,0.0
748069,Formosa da Serra Negra,2020-06-04,25.0,0,0,0,0.2857142857142857,0.0,2.0,0.0
748070,Formosa da Serra Negra,2020-06-05,34.0,9,0,0,1.5714285714285714,0.0,11.0,0.0
748071,Formosa da Serra Negra,2020-06-06,40.0,6,0,0,2.0,0.0,14.0,0.0
748072,Formosa da Serra Negra,2020-06-07,40.0,0,0,0,2.142857142857143,0.0,15.0,0.0
748073,Formosa da Serra Negra,2020-06-08,40.0,0,1,1,2.142857142857143,0.14285714285714285,15.0,1.0
748074,Formosa da Serra Negra,2020-06-09,42.0,2,1,0,2.4285714285714284,0.14285714285714285,17.0,1.0
748075,Formosa da Serra Negra,2020-06-10,43.0,1,1,0,2.5714285714285716,0.14285714285714285,18.0,1.0
748076,Formosa da Serra Negra,2020-06-11,43.0,0,1,0,2.5714285714285716,0.14285714285714285,18.0,1.0
748077,Formosa da Serra Negra,2020-06-12,45.0,2,1,0,1.5714285714285714,0.14285714285714285,11.0,1.0
748078,Formosa da Serra Negra,2020-06-13,45.0,0,1,0,0.7142857142857143,0.14285714285714285,5.0,1.0
748079,Formosa da Serra Negra,2020-06-14,45.0,0,1,0,0.7142857142857143,0.14285714285714285,5.0,1.0
748080,Formosa da Serra Negra,2020-06-15,45.0,0,1,0,0.7142857142857143,0.0,5.0,0.0
748081,Formosa da Serra Negra,2020-06-16,46.0,1,1,0,0.5714285714285714,0.0,4.0,0.0
748082,Formosa da Serra Negra,2020-06-17,53.0,7,1,0,1.4285714285714286,0.0,10.0,0.0
748083,Formosa da Serra Negra,2020-06-18,53.0,0,1,0,1.4285714285714286,0.0,10.0,0.0
748084,Formosa da Serra Negra,2020-06-19,53.0,0,1,0,1.1428571428571428,0.0,8.0,0.0
748085,Formosa da Serra Negra,2020-06-20,53.0,0,1,0,1.1428571428571428,0.0,8.0,0.0
748086,Formosa da Serra Negra,2020-06-21,53.0,0,1,0,1.1428571428571428,0.0,8.0,0.0
748087,Formosa da Serra Negra,2020-06-22,56.0,3,1,0,1.5714285714285714,0.0,11.0,0.0
748088,Formosa da Serra Negra,2020-06-23,56.0,0,1,0,1.4285714285714286,0.0,10.0,0.0
748089,Formosa da Serra Negra,2020-06-24,57.0,1,1,0,0.5714285714285714,0.0,4.0,0.0
748090,Formosa da Serra Negra,2020-06-25,57.0,0,1,0,0.5714285714285714,0.0,4.0,0.0
748091,Formosa da Serra Negra,2020-06-26,59.0,2,1,0,0.8571428571428571,0.0,6.0,0.0
748092,Formosa da Serra Negra,2020-06-27,60.0,1,1,0,1.0,0.0,7.0,0.0
748093,Formosa da Serra Negra,2020-06-28,60.0,0,1,0,1.0,0.0,7.0,0.0
748094,Formosa da Serra Negra,2020-06-29,60.0,0,1,0,0.5714285714285714,0.0,4.0,0.0
748095,Formosa da Serra Negra,2020-06-30,66.0,6,1,0,1.4285714285714286,0.0,10.0,0.0
748096,Formosa da Serra Negra,2020-07-01,71.0,5,1,0,2.0,0.0,14.0,0.0
748097,Formosa da Serra Negra,2020-07-02,72.0,1,1,0,2.142857142857143,0.0,15.0,0.0
748098,Formosa da Serra Negra,2020-07-03,79.0,7,1,0,2.857142857142857,0.0,20.0,0.0
748099,Formosa da Serra Negra,2020-07-04,79.0,0,1,0,2.7142857142857144,0.0,19.0,0.0
748100,Formosa da Serra Negra,2020-07-05,79.0,0,1,0,2.7142857142857144,0.0,19.0,0.0
748101,Formosa da Serra Negra,2020-07-06,80.0,1,1,0,2.857142857142857,0.0,20.0,0.0
748102,Formosa da Serra Negra,2020-07-07,80.0,0,1,0,2.0,0.0,14.0,0.0
748103,Formosa da Serra Negra,2020-07-08,80.0,0,1,0,1.2857142857142858,0.0,9.0,0.0
748104,Formosa da Serra Negra,2020-07-09,95.0,15,1,0,3.2857142857142856,0.0,23.0,0.0
748105,Formosa da Serra Negra,2020-07-10,113.0,18,1,0,4.857142857142857,0.0,34.0,0.0
748106,Formosa da Serra Negra,2020-07-11,123.0,10,1,0,6.285714285714286,0.0,44.0,0.0
748107,Formosa da Serra Negra,2020-07-12,123.0,0,1,0,6.285714285714286,0.0,44.0,0.0
748108,Formosa da Serra Negra,2020-07-13,123.0,0,1,0,6.142857142857143,0.0,43.0,0.0
748109,Formosa da Serra Negra,2020-07-14,139.0,16,1,0,8.428571428571429,0.0,59.0,0.0
748110,Formosa da Serra Negra,2020-07-15,147.0,8,1,0,9.571428571428571,0.0,67.0,0.0
748111,Formosa da Serra Negra,2020-07-16,153.0,6,1,0,8.285714285714286,0.0,58.0,0.0
748112,Formosa da Serra Negra,2020-07-17,160.0,7,1,0,6.714285714285714,0.0,47.0,0.0
748113,Formosa da Serra Negra,2020-07-18,167.0,7,1,0,6.285714285714286,0.0,44.0,0.0
748114,Formosa da Serra Negra,2020-07-19,175.0,8,1,0,7.428571428571429,0.0,52.0,0.0
748115,Formosa da Serra Negra,2020-07-20,175.0,0,1,0,7.428571428571429,0.0,52.0,0.0
748116,Formosa da Serra Negra,2020-07-21,175.0,0,1,0,5.142857142857143,0.0,36.0,0.0
748117,Formosa da Serra Negra,2020-07-22,175.0,0,1,0,4.0,0.0,28.0,0.0
748118,Formosa da Serra Negra,2020-07-23,221.0,46,1,0,9.714285714285714,0.0,68.0,0.0
748119,Formosa da Serra Negra,2020-07-24,261.0,40,1,0,14.428571428571429,0.0,101.0,0.0
748120,Formosa da Serra Negra,2020-07-25,278.0,17,1,0,15.857142857142858,0.0,111.0,0.0
748121,Formosa da Serra Negra,2020-07-26,295.0,17,1,0,17.142857142857142,0.0,120.0,0.0
748122,Formosa da Serra Negra,2020-07-27,311.0,16,1,0,19.428571428571427,0.0,136.0,0.0
748123,Formosa da Serra Negra,2020-07-28,320.0,9,1,0,20.714285714285715,0.0,145.0,0.0
748124,Formosa da Serra Negra,2020-07-29,361.0,41,1,0,26.571428571428573,0.0,186.0,0.0
748125,Formosa da Serra Negra,2020-07-30,378.0,17,1,0,22.428571428571427,0.0,157.0,0.0
748126,Formosa da Serra Negra,2020-07-31,378.0,0,1,0,16.714285714285715,0.0,117.0,0.0
748127,Formosa da Serra Negra,2020-08-01,400.0,22,1,0,17.428571428571427,0.0,122.0,0.0
748128,Formosa da Serra Negra,2020-08-02,400.0,0,1,0,15.0,0.0,105.0,0.0
748129,Formosa da Serra Negra,2020-08-03,400.0,0,1,0,12.714285714285714,0.0,89.0,0.0
748130,Formosa da Serra Negra,2020-08-04,428.0,28,1,0,15.428571428571429,0.0,108.0,0.0
748131,Formosa da Serra Negra,2020-08-05,433.0,5,1,0,10.285714285714286,0.0,72.0,0.0
748132,Formosa da Serra Negra,2020-08-06,448.0,15,1,0,10.0,0.0,70.0,0.0
748133,Formosa da Serra Negra,2020-08-07,451.0,3,1,0,10.428571428571429,0.0,73.0,0.0
748134,Formosa da Serra Negra,2020-08-08,452.0,1,1,0,7.428571428571429,0.0,52.0,0.0
748135,Formosa da Serra Negra,2020-08-09,452.0,0,1,0,7.428571428571429,0.0,52.0,0.0
748136,Formosa da Serra Negra,2020-08-10,452.0,0,1,0,7.428571428571429,0.0,52.0,0.0
748137,Formosa da Serra Negra,2020-08-11,467.0,15,1,0,5.571428571428571,0.0,39.0,0.0
748138,Formosa da Serra Negra,2020-08-12,473.0,6,1,0,5.714285714285714,0.0,40.0,0.0
748139,Formosa da Serra Negra,2020-08-13,473.0,0,1,0,3.5714285714285716,0.0,25.0,0.0
748140,Formosa da Serra Negra,2020-08-14,505.0,32,1,0,7.714285714285714,0.0,54.0,0.0
748141,Formosa da Serra Negra,2020-08-15,540.0,35,1,0,12.571428571428571,0.0,88.0,0.0
748142,Formosa da Serra Negra,2020-08-16,540.0,0,1,0,12.571428571428571,0.0,88.0,0.0
748143,Formosa da Serra Negra,2020-08-17,540.0,0,1,0,12.571428571428571,0.0,88.0,0.0
748144,Formosa da Serra Negra,2020-08-18,555.0,15,1,0,12.571428571428571,0.0,88.0,0.0
748145,Formosa da Serra Negra,2020-08-19,558.0,3,1,0,12.142857142857142,0.0,85.0,0.0
748146,Formosa da Serra Negra,2020-08-20,560.0,2,1,0,12.428571428571429,0.0,87.0,0.0
748147,Formosa da Serra Negra,2020-08-21,561.0,1,1,0,8.0,0.0,56.0,0.0
748148,Formosa da Serra Negra,2020-08-22,563.0,2,1,0,3.2857142857142856,0.0,23.0,0.0
