index,municipio,data,casosAcumulado,casosNovos,obitosAcumulado,obitosNovos,daily_cases_moving_average,daily_deaths_moving_average,sum_of_daily_cases_week,sum_of_daily_deaths_week
740805,Formosa do Sul,2020-03-27,0.0,0,0,0,7.285714285714286,0.14285714285714285,51.0,1.0
740806,Formosa do Sul,2020-03-28,0.0,0,0,0,7.285714285714286,0.14285714285714285,51.0,1.0
740807,Formosa do Sul,2020-03-29,0.0,0,0,0,5.142857142857143,0.0,36.0,0.0
740808,Formosa do Sul,2020-03-30,0.0,0,0,0,4.0,0.0,28.0,0.0
740809,Formosa do Sul,2020-03-31,0.0,0,0,0,2.857142857142857,0.0,20.0,0.0
740810,Formosa do Sul,2020-04-01,0.0,0,0,0,0.8571428571428571,0.0,6.0,0.0
740811,Formosa do Sul,2020-04-02,0.0,0,0,0,0.0,0.0,0.0,0.0
740812,Formosa do Sul,2020-04-03,0.0,0,0,0,0.0,0.0,0.0,0.0
740813,Formosa do Sul,2020-04-04,0.0,0,0,0,0.0,0.0,0.0,0.0
740814,Formosa do Sul,2020-04-05,0.0,0,0,0,0.0,0.0,0.0,0.0
740815,Formosa do Sul,2020-04-06,0.0,0,0,0,0.0,0.0,0.0,0.0
740816,Formosa do Sul,2020-04-07,0.0,0,0,0,0.0,0.0,0.0,0.0
740817,Formosa do Sul,2020-04-08,0.0,0,0,0,0.0,0.0,0.0,0.0
740818,Formosa do Sul,2020-04-09,0.0,0,0,0,0.0,0.0,0.0,0.0
740819,Formosa do Sul,2020-04-10,0.0,0,0,0,0.0,0.0,0.0,0.0
740820,Formosa do Sul,2020-04-11,0.0,0,0,0,0.0,0.0,0.0,0.0
740821,Formosa do Sul,2020-04-12,0.0,0,0,0,0.0,0.0,0.0,0.0
740822,Formosa do Sul,2020-04-13,0.0,0,0,0,0.0,0.0,0.0,0.0
740823,Formosa do Sul,2020-04-14,0.0,0,0,0,0.0,0.0,0.0,0.0
740824,Formosa do Sul,2020-04-15,0.0,0,0,0,0.0,0.0,0.0,0.0
740825,Formosa do Sul,2020-04-16,0.0,0,0,0,0.0,0.0,0.0,0.0
740826,Formosa do Sul,2020-04-17,0.0,0,0,0,0.0,0.0,0.0,0.0
740827,Formosa do Sul,2020-04-18,0.0,0,0,0,0.0,0.0,0.0,0.0
740828,Formosa do Sul,2020-04-19,0.0,0,0,0,0.0,0.0,0.0,0.0
740829,Formosa do Sul,2020-04-20,0.0,0,0,0,0.0,0.0,0.0,0.0
740830,Formosa do Sul,2020-04-21,0.0,0,0,0,0.0,0.0,0.0,0.0
740831,Formosa do Sul,2020-04-22,0.0,0,0,0,0.0,0.0,0.0,0.0
740832,Formosa do Sul,2020-04-23,0.0,0,0,0,0.0,0.0,0.0,0.0
740833,Formosa do Sul,2020-04-24,0.0,0,0,0,0.0,0.0,0.0,0.0
740834,Formosa do Sul,2020-04-25,0.0,0,0,0,0.0,0.0,0.0,0.0
740835,Formosa do Sul,2020-04-26,0.0,0,0,0,0.0,0.0,0.0,0.0
740836,Formosa do Sul,2020-04-27,0.0,0,0,0,0.0,0.0,0.0,0.0
740837,Formosa do Sul,2020-04-28,0.0,0,0,0,0.0,0.0,0.0,0.0
740838,Formosa do Sul,2020-04-29,0.0,0,0,0,0.0,0.0,0.0,0.0
740839,Formosa do Sul,2020-04-30,0.0,0,0,0,0.0,0.0,0.0,0.0
740840,Formosa do Sul,2020-05-01,0.0,0,0,0,0.0,0.0,0.0,0.0
740841,Formosa do Sul,2020-05-02,0.0,0,0,0,0.0,0.0,0.0,0.0
740842,Formosa do Sul,2020-05-03,0.0,0,0,0,0.0,0.0,0.0,0.0
740843,Formosa do Sul,2020-05-04,0.0,0,0,0,0.0,0.0,0.0,0.0
740844,Formosa do Sul,2020-05-05,0.0,0,0,0,0.0,0.0,0.0,0.0
740845,Formosa do Sul,2020-05-06,0.0,0,0,0,0.0,0.0,0.0,0.0
740846,Formosa do Sul,2020-05-07,0.0,0,0,0,0.0,0.0,0.0,0.0
740847,Formosa do Sul,2020-05-08,0.0,0,0,0,0.0,0.0,0.0,0.0
740848,Formosa do Sul,2020-05-09,0.0,0,0,0,0.0,0.0,0.0,0.0
740849,Formosa do Sul,2020-05-10,0.0,0,0,0,0.0,0.0,0.0,0.0
740850,Formosa do Sul,2020-05-11,0.0,0,0,0,0.0,0.0,0.0,0.0
740851,Formosa do Sul,2020-05-12,0.0,0,0,0,0.0,0.0,0.0,0.0
740852,Formosa do Sul,2020-05-13,0.0,0,0,0,0.0,0.0,0.0,0.0
740853,Formosa do Sul,2020-05-14,0.0,0,0,0,0.0,0.0,0.0,0.0
740854,Formosa do Sul,2020-05-15,0.0,0,0,0,0.0,0.0,0.0,0.0
740855,Formosa do Sul,2020-05-16,0.0,0,0,0,0.0,0.0,0.0,0.0
740856,Formosa do Sul,2020-05-17,0.0,0,0,0,0.0,0.0,0.0,0.0
740857,Formosa do Sul,2020-05-18,0.0,0,0,0,0.0,0.0,0.0,0.0
740858,Formosa do Sul,2020-05-19,0.0,0,0,0,0.0,0.0,0.0,0.0
740859,Formosa do Sul,2020-05-20,0.0,0,0,0,0.0,0.0,0.0,0.0
740860,Formosa do Sul,2020-05-21,0.0,0,0,0,0.0,0.0,0.0,0.0
740861,Formosa do Sul,2020-05-22,0.0,0,0,0,0.0,0.0,0.0,0.0
740862,Formosa do Sul,2020-05-23,0.0,0,0,0,0.0,0.0,0.0,0.0
740863,Formosa do Sul,2020-05-24,0.0,0,0,0,0.0,0.0,0.0,0.0
740864,Formosa do Sul,2020-05-25,0.0,0,0,0,0.0,0.0,0.0,0.0
740865,Formosa do Sul,2020-05-26,0.0,0,0,0,0.0,0.0,0.0,0.0
740866,Formosa do Sul,2020-05-27,0.0,0,0,0,0.0,0.0,0.0,0.0
740867,Formosa do Sul,2020-05-28,0.0,0,0,0,0.0,0.0,0.0,0.0
740868,Formosa do Sul,2020-05-29,0.0,0,0,0,0.0,0.0,0.0,0.0
740869,Formosa do Sul,2020-05-30,0.0,0,0,0,0.0,0.0,0.0,0.0
740870,Formosa do Sul,2020-05-31,0.0,0,0,0,0.0,0.0,0.0,0.0
740871,Formosa do Sul,2020-06-01,0.0,0,0,0,0.0,0.0,0.0,0.0
740872,Formosa do Sul,2020-06-02,0.0,0,0,0,0.0,0.0,0.0,0.0
740873,Formosa do Sul,2020-06-03,0.0,0,0,0,0.0,0.0,0.0,0.0
740874,Formosa do Sul,2020-06-04,0.0,0,0,0,0.0,0.0,0.0,0.0
740875,Formosa do Sul,2020-06-05,0.0,0,0,0,0.0,0.0,0.0,0.0
740876,Formosa do Sul,2020-06-06,0.0,0,0,0,0.0,0.0,0.0,0.0
740877,Formosa do Sul,2020-06-07,0.0,0,0,0,0.0,0.0,0.0,0.0
740878,Formosa do Sul,2020-06-08,0.0,0,0,0,0.0,0.0,0.0,0.0
740879,Formosa do Sul,2020-06-09,0.0,0,0,0,0.0,0.0,0.0,0.0
740880,Formosa do Sul,2020-06-10,0.0,0,0,0,0.0,0.0,0.0,0.0
740881,Formosa do Sul,2020-06-11,0.0,0,0,0,0.0,0.0,0.0,0.0
740882,Formosa do Sul,2020-06-12,0.0,0,0,0,0.0,0.0,0.0,0.0
740883,Formosa do Sul,2020-06-13,0.0,0,0,0,0.0,0.0,0.0,0.0
740884,Formosa do Sul,2020-06-14,0.0,0,0,0,0.0,0.0,0.0,0.0
740885,Formosa do Sul,2020-06-15,0.0,0,0,0,0.0,0.0,0.0,0.0
740886,Formosa do Sul,2020-06-16,0.0,0,0,0,0.0,0.0,0.0,0.0
740887,Formosa do Sul,2020-06-17,0.0,0,0,0,0.0,0.0,0.0,0.0
740888,Formosa do Sul,2020-06-18,0.0,0,0,0,0.0,0.0,0.0,0.0
740889,Formosa do Sul,2020-06-19,0.0,0,0,0,0.0,0.0,0.0,0.0
740890,Formosa do Sul,2020-06-20,0.0,0,0,0,0.0,0.0,0.0,0.0
740891,Formosa do Sul,2020-06-21,0.0,0,0,0,0.0,0.0,0.0,0.0
740892,Formosa do Sul,2020-06-22,0.0,0,0,0,0.0,0.0,0.0,0.0
740893,Formosa do Sul,2020-06-23,0.0,0,0,0,0.0,0.0,0.0,0.0
740894,Formosa do Sul,2020-06-24,0.0,0,0,0,0.0,0.0,0.0,0.0
740895,Formosa do Sul,2020-06-25,0.0,0,0,0,0.0,0.0,0.0,0.0
740896,Formosa do Sul,2020-06-26,0.0,0,0,0,0.0,0.0,0.0,0.0
740897,Formosa do Sul,2020-06-27,0.0,0,0,0,0.0,0.0,0.0,0.0
740898,Formosa do Sul,2020-06-28,0.0,0,0,0,0.0,0.0,0.0,0.0
740899,Formosa do Sul,2020-06-29,0.0,0,0,0,0.0,0.0,0.0,0.0
740900,Formosa do Sul,2020-06-30,0.0,0,0,0,0.0,0.0,0.0,0.0
740901,Formosa do Sul,2020-07-01,0.0,0,0,0,0.0,0.0,0.0,0.0
740902,Formosa do Sul,2020-07-02,0.0,0,0,0,0.0,0.0,0.0,0.0
740903,Formosa do Sul,2020-07-03,0.0,0,0,0,0.0,0.0,0.0,0.0
740904,Formosa do Sul,2020-07-04,0.0,0,0,0,0.0,0.0,0.0,0.0
740905,Formosa do Sul,2020-07-05,0.0,0,0,0,0.0,0.0,0.0,0.0
740906,Formosa do Sul,2020-07-06,1.0,1,0,0,0.14285714285714285,0.0,1.0,0.0
740907,Formosa do Sul,2020-07-07,2.0,1,0,0,0.2857142857142857,0.0,2.0,0.0
740908,Formosa do Sul,2020-07-08,2.0,0,0,0,0.2857142857142857,0.0,2.0,0.0
740909,Formosa do Sul,2020-07-09,3.0,1,0,0,0.42857142857142855,0.0,3.0,0.0
740910,Formosa do Sul,2020-07-10,2.0,-1,0,0,0.2857142857142857,0.0,2.0,0.0
740911,Formosa do Sul,2020-07-11,6.0,4,0,0,0.8571428571428571,0.0,6.0,0.0
740912,Formosa do Sul,2020-07-12,8.0,2,0,0,1.1428571428571428,0.0,8.0,0.0
740913,Formosa do Sul,2020-07-13,8.0,0,0,0,1.0,0.0,7.0,0.0
740914,Formosa do Sul,2020-07-14,8.0,0,0,0,0.8571428571428571,0.0,6.0,0.0
740915,Formosa do Sul,2020-07-15,8.0,0,0,0,0.8571428571428571,0.0,6.0,0.0
740916,Formosa do Sul,2020-07-16,8.0,0,0,0,0.7142857142857143,0.0,5.0,0.0
740917,Formosa do Sul,2020-07-17,8.0,0,0,0,0.8571428571428571,0.0,6.0,0.0
740918,Formosa do Sul,2020-07-18,9.0,1,0,0,0.42857142857142855,0.0,3.0,0.0
740919,Formosa do Sul,2020-07-19,9.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
740920,Formosa do Sul,2020-07-20,15.0,6,0,0,1.0,0.0,7.0,0.0
740921,Formosa do Sul,2020-07-21,17.0,2,0,0,1.2857142857142858,0.0,9.0,0.0
