index,municipio,data,casosAcumulado,casosNovos,obitosAcumulado,obitosNovos,daily_cases_moving_average,daily_deaths_moving_average,sum_of_daily_cases_week,sum_of_daily_deaths_week
762538,Galvão,2020-03-27,0.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
762539,Galvão,2020-03-28,0.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
762540,Galvão,2020-03-29,0.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
762541,Galvão,2020-03-30,0.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
762542,Galvão,2020-03-31,0.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
762543,Galvão,2020-04-01,0.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
762544,Galvão,2020-04-02,0.0,0,0,0,0.0,0.0,0.0,0.0
762545,Galvão,2020-04-03,0.0,0,0,0,0.0,0.0,0.0,0.0
762546,Galvão,2020-04-04,0.0,0,0,0,0.0,0.0,0.0,0.0
762547,Galvão,2020-04-05,0.0,0,0,0,0.0,0.0,0.0,0.0
762548,Galvão,2020-04-06,0.0,0,0,0,0.0,0.0,0.0,0.0
762549,Galvão,2020-04-07,0.0,0,0,0,0.0,0.0,0.0,0.0
762550,Galvão,2020-04-08,0.0,0,0,0,0.0,0.0,0.0,0.0
762551,Galvão,2020-04-09,0.0,0,0,0,0.0,0.0,0.0,0.0
762552,Galvão,2020-04-10,0.0,0,0,0,0.0,0.0,0.0,0.0
762553,Galvão,2020-04-11,0.0,0,0,0,0.0,0.0,0.0,0.0
762554,Galvão,2020-04-12,0.0,0,0,0,0.0,0.0,0.0,0.0
762555,Galvão,2020-04-13,0.0,0,0,0,0.0,0.0,0.0,0.0
762556,Galvão,2020-04-14,0.0,0,0,0,0.0,0.0,0.0,0.0
762557,Galvão,2020-04-15,0.0,0,0,0,0.0,0.0,0.0,0.0
762558,Galvão,2020-04-16,0.0,0,0,0,0.0,0.0,0.0,0.0
762559,Galvão,2020-04-17,0.0,0,0,0,0.0,0.0,0.0,0.0
762560,Galvão,2020-04-18,0.0,0,0,0,0.0,0.0,0.0,0.0
762561,Galvão,2020-04-19,0.0,0,0,0,0.0,0.0,0.0,0.0
