index,municipio,data,casosAcumulado,casosNovos,obitosAcumulado,obitosNovos,daily_cases_moving_average,daily_deaths_moving_average,sum_of_daily_cases_week,sum_of_daily_deaths_week
756576,Geminiano,2020-03-27,0.0,0,0,0,5.0,0.0,35.0,0.0
756577,Geminiano,2020-03-28,0.0,0,0,0,4.571428571428571,0.0,32.0,0.0
756578,Geminiano,2020-03-29,0.0,0,0,0,4.571428571428571,0.0,32.0,0.0
756579,Geminiano,2020-03-30,0.0,0,0,0,4.571428571428571,0.0,32.0,0.0
756580,Geminiano,2020-03-31,0.0,0,0,0,2.857142857142857,0.0,20.0,0.0
756581,Geminiano,2020-04-01,0.0,0,0,0,0.2857142857142857,0.0,2.0,0.0
756582,Geminiano,2020-04-02,0.0,0,0,0,0.0,0.0,0.0,0.0
756583,Geminiano,2020-04-03,0.0,0,0,0,0.0,0.0,0.0,0.0
756584,Geminiano,2020-04-04,0.0,0,0,0,0.0,0.0,0.0,0.0
756585,Geminiano,2020-04-05,0.0,0,0,0,0.0,0.0,0.0,0.0
756586,Geminiano,2020-04-06,0.0,0,0,0,0.0,0.0,0.0,0.0
756587,Geminiano,2020-04-07,0.0,0,0,0,0.0,0.0,0.0,0.0
756588,Geminiano,2020-04-08,0.0,0,0,0,0.0,0.0,0.0,0.0
756589,Geminiano,2020-04-09,0.0,0,0,0,0.0,0.0,0.0,0.0
756590,Geminiano,2020-04-10,0.0,0,0,0,0.0,0.0,0.0,0.0
756591,Geminiano,2020-04-11,0.0,0,0,0,0.0,0.0,0.0,0.0
756592,Geminiano,2020-04-12,0.0,0,0,0,0.0,0.0,0.0,0.0
756593,Geminiano,2020-04-13,0.0,0,0,0,0.0,0.0,0.0,0.0
756594,Geminiano,2020-04-14,0.0,0,0,0,0.0,0.0,0.0,0.0
756595,Geminiano,2020-04-15,0.0,0,0,0,0.0,0.0,0.0,0.0
756596,Geminiano,2020-04-16,0.0,0,0,0,0.0,0.0,0.0,0.0
756597,Geminiano,2020-04-17,0.0,0,0,0,0.0,0.0,0.0,0.0
756598,Geminiano,2020-04-18,0.0,0,0,0,0.0,0.0,0.0,0.0
756599,Geminiano,2020-04-19,0.0,0,0,0,0.0,0.0,0.0,0.0
756600,Geminiano,2020-04-20,0.0,0,0,0,0.0,0.0,0.0,0.0
756601,Geminiano,2020-04-21,0.0,0,0,0,0.0,0.0,0.0,0.0
756602,Geminiano,2020-04-22,0.0,0,0,0,0.0,0.0,0.0,0.0
756603,Geminiano,2020-04-23,0.0,0,0,0,0.0,0.0,0.0,0.0
756604,Geminiano,2020-04-24,0.0,0,0,0,0.0,0.0,0.0,0.0
756605,Geminiano,2020-04-25,0.0,0,0,0,0.0,0.0,0.0,0.0
756606,Geminiano,2020-04-26,0.0,0,0,0,0.0,0.0,0.0,0.0
756607,Geminiano,2020-04-27,0.0,0,0,0,0.0,0.0,0.0,0.0
756608,Geminiano,2020-04-28,0.0,0,0,0,0.0,0.0,0.0,0.0
756609,Geminiano,2020-04-29,0.0,0,0,0,0.0,0.0,0.0,0.0
756610,Geminiano,2020-04-30,0.0,0,0,0,0.0,0.0,0.0,0.0
756611,Geminiano,2020-05-01,0.0,0,0,0,0.0,0.0,0.0,0.0
756612,Geminiano,2020-05-02,0.0,0,0,0,0.0,0.0,0.0,0.0
756613,Geminiano,2020-05-03,0.0,0,0,0,0.0,0.0,0.0,0.0
756614,Geminiano,2020-05-04,0.0,0,0,0,0.0,0.0,0.0,0.0
756615,Geminiano,2020-05-05,0.0,0,0,0,0.0,0.0,0.0,0.0
756616,Geminiano,2020-05-06,0.0,0,0,0,0.0,0.0,0.0,0.0
756617,Geminiano,2020-05-07,0.0,0,0,0,0.0,0.0,0.0,0.0
