index,municipio,data,casosAcumulado,casosNovos,obitosAcumulado,obitosNovos,daily_cases_moving_average,daily_deaths_moving_average,sum_of_daily_cases_week,sum_of_daily_deaths_week
762268,General Sampaio,2020-03-27,0.0,0,0,0,1.4285714285714286,0.2857142857142857,10.0,2.0
762269,General Sampaio,2020-03-28,0.0,0,0,0,1.4285714285714286,0.2857142857142857,10.0,2.0
762270,General Sampaio,2020-03-29,0.0,0,0,0,1.4285714285714286,0.2857142857142857,10.0,2.0
762271,General Sampaio,2020-03-30,0.0,0,0,0,0.42857142857142855,0.2857142857142857,3.0,2.0
762272,General Sampaio,2020-03-31,0.0,0,0,0,0.42857142857142855,0.2857142857142857,3.0,2.0
762273,General Sampaio,2020-04-01,0.0,0,0,0,0.2857142857142857,0.2857142857142857,2.0,2.0
762274,General Sampaio,2020-04-02,0.0,0,0,0,0.0,0.0,0.0,0.0
762275,General Sampaio,2020-04-03,0.0,0,0,0,0.0,0.0,0.0,0.0
762276,General Sampaio,2020-04-04,0.0,0,0,0,0.0,0.0,0.0,0.0
762277,General Sampaio,2020-04-05,0.0,0,0,0,0.0,0.0,0.0,0.0
762278,General Sampaio,2020-04-06,0.0,0,0,0,0.0,0.0,0.0,0.0
762279,General Sampaio,2020-04-07,0.0,0,0,0,0.0,0.0,0.0,0.0
762280,General Sampaio,2020-04-08,0.0,0,0,0,0.0,0.0,0.0,0.0
762281,General Sampaio,2020-04-09,0.0,0,0,0,0.0,0.0,0.0,0.0
762282,General Sampaio,2020-04-10,0.0,0,0,0,0.0,0.0,0.0,0.0
762283,General Sampaio,2020-04-11,0.0,0,0,0,0.0,0.0,0.0,0.0
762284,General Sampaio,2020-04-12,0.0,0,0,0,0.0,0.0,0.0,0.0
762285,General Sampaio,2020-04-13,0.0,0,0,0,0.0,0.0,0.0,0.0
762286,General Sampaio,2020-04-14,0.0,0,0,0,0.0,0.0,0.0,0.0
762287,General Sampaio,2020-04-15,0.0,0,0,0,0.0,0.0,0.0,0.0
762288,General Sampaio,2020-04-16,0.0,0,0,0,0.0,0.0,0.0,0.0
762289,General Sampaio,2020-04-17,0.0,0,0,0,0.0,0.0,0.0,0.0
762290,General Sampaio,2020-04-18,0.0,0,0,0,0.0,0.0,0.0,0.0
762291,General Sampaio,2020-04-19,0.0,0,0,0,0.0,0.0,0.0,0.0
762292,General Sampaio,2020-04-20,0.0,0,0,0,0.0,0.0,0.0,0.0
762293,General Sampaio,2020-04-21,0.0,0,0,0,0.0,0.0,0.0,0.0
762294,General Sampaio,2020-04-22,0.0,0,0,0,0.0,0.0,0.0,0.0
762295,General Sampaio,2020-04-23,0.0,0,0,0,0.0,0.0,0.0,0.0
762296,General Sampaio,2020-04-24,0.0,0,0,0,0.0,0.0,0.0,0.0
762297,General Sampaio,2020-04-25,0.0,0,0,0,0.0,0.0,0.0,0.0
762298,General Sampaio,2020-04-26,0.0,0,0,0,0.0,0.0,0.0,0.0
762299,General Sampaio,2020-04-27,0.0,0,0,0,0.0,0.0,0.0,0.0
762300,General Sampaio,2020-04-28,0.0,0,0,0,0.0,0.0,0.0,0.0
762301,General Sampaio,2020-04-29,1.0,1,0,0,0.14285714285714285,0.0,1.0,0.0
762302,General Sampaio,2020-04-30,1.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
762303,General Sampaio,2020-05-01,2.0,1,0,0,0.2857142857142857,0.0,2.0,0.0
762304,General Sampaio,2020-05-02,2.0,0,0,0,0.2857142857142857,0.0,2.0,0.0
762305,General Sampaio,2020-05-03,2.0,0,0,0,0.2857142857142857,0.0,2.0,0.0
762306,General Sampaio,2020-05-04,2.0,0,0,0,0.2857142857142857,0.0,2.0,0.0
762307,General Sampaio,2020-05-05,2.0,0,0,0,0.2857142857142857,0.0,2.0,0.0
762308,General Sampaio,2020-05-06,2.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
762309,General Sampaio,2020-05-07,3.0,1,0,0,0.2857142857142857,0.0,2.0,0.0
762310,General Sampaio,2020-05-08,4.0,1,1,1,0.2857142857142857,0.14285714285714285,2.0,1.0
762311,General Sampaio,2020-05-09,6.0,2,1,0,0.5714285714285714,0.14285714285714285,4.0,1.0
762312,General Sampaio,2020-05-10,6.0,0,1,0,0.5714285714285714,0.14285714285714285,4.0,1.0
762313,General Sampaio,2020-05-11,6.0,0,1,0,0.5714285714285714,0.14285714285714285,4.0,1.0
762314,General Sampaio,2020-05-12,6.0,0,1,0,0.5714285714285714,0.14285714285714285,4.0,1.0
762315,General Sampaio,2020-05-13,7.0,1,3,2,0.7142857142857143,0.42857142857142855,5.0,3.0
762316,General Sampaio,2020-05-14,7.0,0,3,0,0.5714285714285714,0.42857142857142855,4.0,3.0
762317,General Sampaio,2020-05-15,7.0,0,3,0,0.42857142857142855,0.2857142857142857,3.0,2.0
762318,General Sampaio,2020-05-16,7.0,0,3,0,0.14285714285714285,0.2857142857142857,1.0,2.0
762319,General Sampaio,2020-05-17,8.0,1,3,0,0.2857142857142857,0.2857142857142857,2.0,2.0
762320,General Sampaio,2020-05-18,10.0,2,3,0,0.5714285714285714,0.2857142857142857,4.0,2.0
762321,General Sampaio,2020-05-19,10.0,0,3,0,0.5714285714285714,0.2857142857142857,4.0,2.0
762322,General Sampaio,2020-05-20,10.0,0,3,0,0.42857142857142855,0.0,3.0,0.0
762323,General Sampaio,2020-05-21,11.0,1,3,0,0.5714285714285714,0.0,4.0,0.0
762324,General Sampaio,2020-05-22,12.0,1,3,0,0.7142857142857143,0.0,5.0,0.0
762325,General Sampaio,2020-05-23,12.0,0,3,0,0.7142857142857143,0.0,5.0,0.0
762326,General Sampaio,2020-05-24,12.0,0,3,0,0.5714285714285714,0.0,4.0,0.0
762327,General Sampaio,2020-05-25,11.0,-1,3,0,0.14285714285714285,0.0,1.0,0.0
762328,General Sampaio,2020-05-26,11.0,0,3,0,0.14285714285714285,0.0,1.0,0.0
762329,General Sampaio,2020-05-27,12.0,1,4,1,0.2857142857142857,0.14285714285714285,2.0,1.0
762330,General Sampaio,2020-05-28,12.0,0,4,0,0.14285714285714285,0.14285714285714285,1.0,1.0
762331,General Sampaio,2020-05-29,12.0,0,4,0,0.0,0.14285714285714285,0.0,1.0
762332,General Sampaio,2020-05-30,12.0,0,4,0,0.0,0.14285714285714285,0.0,1.0
762333,General Sampaio,2020-05-31,12.0,0,4,0,0.0,0.14285714285714285,0.0,1.0
762334,General Sampaio,2020-06-01,27.0,15,4,0,2.2857142857142856,0.14285714285714285,16.0,1.0
762335,General Sampaio,2020-06-02,28.0,1,4,0,2.4285714285714284,0.14285714285714285,17.0,1.0
762336,General Sampaio,2020-06-03,28.0,0,4,0,2.2857142857142856,0.0,16.0,0.0
762337,General Sampaio,2020-06-04,28.0,0,4,0,2.2857142857142856,0.0,16.0,0.0
762338,General Sampaio,2020-06-05,28.0,0,4,0,2.2857142857142856,0.0,16.0,0.0
