index,municipio,data,casosAcumulado,casosNovos,obitosAcumulado,obitosNovos,daily_cases_moving_average,daily_deaths_moving_average,sum_of_daily_cases_week,sum_of_daily_deaths_week
746028,Goianira,2020-03-27,0,0,0,0,24.571428571428573,0.14285714285714285,172.0,1.0
746029,Goianira,2020-03-28,0,0,0,0,22.0,0.14285714285714285,154.0,1.0
746030,Goianira,2020-03-29,0,0,0,0,20.857142857142858,0.14285714285714285,146.0,1.0
746031,Goianira,2020-03-30,0,0,0,0,16.285714285714285,0.14285714285714285,114.0,1.0
746032,Goianira,2020-03-31,0,0,0,0,15.857142857142858,0.14285714285714285,111.0,1.0
746033,Goianira,2020-04-01,0,0,0,0,11.0,0.14285714285714285,77.0,1.0
746034,Goianira,2020-04-02,0,0,0,0,0.0,0.0,0.0,0.0
746035,Goianira,2020-04-03,0,0,0,0,0.0,0.0,0.0,0.0
746036,Goianira,2020-04-04,0,0,0,0,0.0,0.0,0.0,0.0
746037,Goianira,2020-04-05,0,0,0,0,0.0,0.0,0.0,0.0
746038,Goianira,2020-04-06,0,0,0,0,0.0,0.0,0.0,0.0
746039,Goianira,2020-04-07,0,0,0,0,0.0,0.0,0.0,0.0
746040,Goianira,2020-04-08,0,0,0,0,0.0,0.0,0.0,0.0
746041,Goianira,2020-04-09,0,0,0,0,0.0,0.0,0.0,0.0
746042,Goianira,2020-04-10,0,0,0,0,0.0,0.0,0.0,0.0
746043,Goianira,2020-04-11,0,0,0,0,0.0,0.0,0.0,0.0
746044,Goianira,2020-04-12,0,0,0,0,0.0,0.0,0.0,0.0
746045,Goianira,2020-04-13,0,0,0,0,0.0,0.0,0.0,0.0
746046,Goianira,2020-04-14,1,1,0,0,0.14285714285714285,0.0,1.0,0.0
746047,Goianira,2020-04-15,1,0,0,0,0.14285714285714285,0.0,1.0,0.0
746048,Goianira,2020-04-16,1,0,0,0,0.14285714285714285,0.0,1.0,0.0
746049,Goianira,2020-04-17,1,0,0,0,0.14285714285714285,0.0,1.0,0.0
746050,Goianira,2020-04-18,1,0,0,0,0.14285714285714285,0.0,1.0,0.0
746051,Goianira,2020-04-19,1,0,0,0,0.14285714285714285,0.0,1.0,0.0
746052,Goianira,2020-04-20,1,0,0,0,0.14285714285714285,0.0,1.0,0.0
746053,Goianira,2020-04-21,1,0,0,0,0.0,0.0,0.0,0.0
746054,Goianira,2020-04-22,1,0,0,0,0.0,0.0,0.0,0.0
746055,Goianira,2020-04-23,1,0,0,0,0.0,0.0,0.0,0.0
746056,Goianira,2020-04-24,1,0,0,0,0.0,0.0,0.0,0.0
746057,Goianira,2020-04-25,1,0,0,0,0.0,0.0,0.0,0.0
746058,Goianira,2020-04-26,1,0,0,0,0.0,0.0,0.0,0.0
746059,Goianira,2020-04-27,1,0,0,0,0.0,0.0,0.0,0.0
746060,Goianira,2020-04-28,1,0,0,0,0.0,0.0,0.0,0.0
746061,Goianira,2020-04-29,1,0,0,0,0.0,0.0,0.0,0.0
746062,Goianira,2020-04-30,1,0,0,0,0.0,0.0,0.0,0.0
746063,Goianira,2020-05-01,1,0,0,0,0.0,0.0,0.0,0.0
746064,Goianira,2020-05-02,1,0,0,0,0.0,0.0,0.0,0.0
746065,Goianira,2020-05-03,1,0,0,0,0.0,0.0,0.0,0.0
746066,Goianira,2020-05-04,1,0,0,0,0.0,0.0,0.0,0.0
746067,Goianira,2020-05-05,1,0,0,0,0.0,0.0,0.0,0.0
746068,Goianira,2020-05-06,2,1,0,0,0.14285714285714285,0.0,1.0,0.0
746069,Goianira,2020-05-07,2,0,0,0,0.14285714285714285,0.0,1.0,0.0
746070,Goianira,2020-05-08,3,1,0,0,0.2857142857142857,0.0,2.0,0.0
746071,Goianira,2020-05-09,3,0,0,0,0.2857142857142857,0.0,2.0,0.0
746072,Goianira,2020-05-10,3,0,0,0,0.2857142857142857,0.0,2.0,0.0
746073,Goianira,2020-05-11,3,0,0,0,0.2857142857142857,0.0,2.0,0.0
746074,Goianira,2020-05-12,3,0,0,0,0.2857142857142857,0.0,2.0,0.0
746075,Goianira,2020-05-13,3,0,0,0,0.14285714285714285,0.0,1.0,0.0
746076,Goianira,2020-05-14,3,0,0,0,0.14285714285714285,0.0,1.0,0.0
746077,Goianira,2020-05-15,3,0,0,0,0.0,0.0,0.0,0.0
746078,Goianira,2020-05-16,3,0,0,0,0.0,0.0,0.0,0.0
746079,Goianira,2020-05-17,3,0,0,0,0.0,0.0,0.0,0.0
746080,Goianira,2020-05-18,3,0,0,0,0.0,0.0,0.0,0.0
746081,Goianira,2020-05-19,3,0,0,0,0.0,0.0,0.0,0.0
746082,Goianira,2020-05-20,3,0,0,0,0.0,0.0,0.0,0.0
746083,Goianira,2020-05-21,3,0,0,0,0.0,0.0,0.0,0.0
746084,Goianira,2020-05-22,3,0,0,0,0.0,0.0,0.0,0.0
746085,Goianira,2020-05-23,3,0,0,0,0.0,0.0,0.0,0.0
746086,Goianira,2020-05-24,3,0,0,0,0.0,0.0,0.0,0.0
746087,Goianira,2020-05-25,3,0,0,0,0.0,0.0,0.0,0.0
746088,Goianira,2020-05-26,4,1,0,0,0.14285714285714285,0.0,1.0,0.0
746089,Goianira,2020-05-27,4,0,0,0,0.14285714285714285,0.0,1.0,0.0
746090,Goianira,2020-05-28,4,0,0,0,0.14285714285714285,0.0,1.0,0.0
746091,Goianira,2020-05-29,4,0,0,0,0.14285714285714285,0.0,1.0,0.0
