index,municipio,data,casosAcumulado,casosNovos,obitosAcumulado,obitosNovos,daily_cases_moving_average,daily_deaths_moving_average,sum_of_daily_cases_week,sum_of_daily_deaths_week
779373,Guaporema,2020-03-27,0.0,0,0,0,8.0,0.0,56.0,0.0
779374,Guaporema,2020-03-28,0.0,0,0,0,7.714285714285714,0.0,54.0,0.0
779375,Guaporema,2020-03-29,0.0,0,0,0,7.428571428571429,0.0,52.0,0.0
779376,Guaporema,2020-03-30,0.0,0,0,0,6.571428571428571,0.0,46.0,0.0
779377,Guaporema,2020-03-31,0.0,0,0,0,3.4285714285714284,0.0,24.0,0.0
779378,Guaporema,2020-04-01,0.0,0,0,0,2.2857142857142856,0.0,16.0,0.0
779379,Guaporema,2020-04-02,0.0,0,0,0,0.0,0.0,0.0,0.0
779380,Guaporema,2020-04-03,0.0,0,0,0,0.0,0.0,0.0,0.0
779381,Guaporema,2020-04-04,0.0,0,0,0,0.0,0.0,0.0,0.0
779382,Guaporema,2020-04-05,0.0,0,0,0,0.0,0.0,0.0,0.0
779383,Guaporema,2020-04-06,0.0,0,0,0,0.0,0.0,0.0,0.0
779384,Guaporema,2020-04-07,0.0,0,0,0,0.0,0.0,0.0,0.0
779385,Guaporema,2020-04-08,0.0,0,0,0,0.0,0.0,0.0,0.0
779386,Guaporema,2020-04-09,0.0,0,0,0,0.0,0.0,0.0,0.0
779387,Guaporema,2020-04-10,0.0,0,0,0,0.0,0.0,0.0,0.0
779388,Guaporema,2020-04-11,0.0,0,0,0,0.0,0.0,0.0,0.0
779389,Guaporema,2020-04-12,0.0,0,0,0,0.0,0.0,0.0,0.0
779390,Guaporema,2020-04-13,0.0,0,0,0,0.0,0.0,0.0,0.0
779391,Guaporema,2020-04-14,0.0,0,0,0,0.0,0.0,0.0,0.0
779392,Guaporema,2020-04-15,0.0,0,0,0,0.0,0.0,0.0,0.0
779393,Guaporema,2020-04-16,0.0,0,0,0,0.0,0.0,0.0,0.0
779394,Guaporema,2020-04-17,0.0,0,0,0,0.0,0.0,0.0,0.0
779395,Guaporema,2020-04-18,0.0,0,0,0,0.0,0.0,0.0,0.0
779396,Guaporema,2020-04-19,0.0,0,0,0,0.0,0.0,0.0,0.0
779397,Guaporema,2020-04-20,0.0,0,0,0,0.0,0.0,0.0,0.0
779398,Guaporema,2020-04-21,0.0,0,0,0,0.0,0.0,0.0,0.0
779399,Guaporema,2020-04-22,0.0,0,0,0,0.0,0.0,0.0,0.0
779400,Guaporema,2020-04-23,0.0,0,0,0,0.0,0.0,0.0,0.0
779401,Guaporema,2020-04-24,0.0,0,0,0,0.0,0.0,0.0,0.0
779402,Guaporema,2020-04-25,0.0,0,0,0,0.0,0.0,0.0,0.0
779403,Guaporema,2020-04-26,0.0,0,0,0,0.0,0.0,0.0,0.0
779404,Guaporema,2020-04-27,0.0,0,0,0,0.0,0.0,0.0,0.0
779405,Guaporema,2020-04-28,0.0,0,0,0,0.0,0.0,0.0,0.0
779406,Guaporema,2020-04-29,0.0,0,0,0,0.0,0.0,0.0,0.0
779407,Guaporema,2020-04-30,0.0,0,0,0,0.0,0.0,0.0,0.0
779408,Guaporema,2020-05-01,0.0,0,0,0,0.0,0.0,0.0,0.0
779409,Guaporema,2020-05-02,0.0,0,0,0,0.0,0.0,0.0,0.0
779410,Guaporema,2020-05-03,0.0,0,0,0,0.0,0.0,0.0,0.0
779411,Guaporema,2020-05-04,0.0,0,0,0,0.0,0.0,0.0,0.0
779412,Guaporema,2020-05-05,0.0,0,0,0,0.0,0.0,0.0,0.0
779413,Guaporema,2020-05-06,0.0,0,0,0,0.0,0.0,0.0,0.0
779414,Guaporema,2020-05-07,0.0,0,0,0,0.0,0.0,0.0,0.0
779415,Guaporema,2020-05-08,0.0,0,0,0,0.0,0.0,0.0,0.0
779416,Guaporema,2020-05-09,0.0,0,0,0,0.0,0.0,0.0,0.0
779417,Guaporema,2020-05-10,0.0,0,0,0,0.0,0.0,0.0,0.0
779418,Guaporema,2020-05-11,0.0,0,0,0,0.0,0.0,0.0,0.0
779419,Guaporema,2020-05-12,0.0,0,0,0,0.0,0.0,0.0,0.0
779420,Guaporema,2020-05-13,0.0,0,0,0,0.0,0.0,0.0,0.0
779421,Guaporema,2020-05-14,0.0,0,0,0,0.0,0.0,0.0,0.0
779422,Guaporema,2020-05-15,0.0,0,0,0,0.0,0.0,0.0,0.0
779423,Guaporema,2020-05-16,0.0,0,0,0,0.0,0.0,0.0,0.0
779424,Guaporema,2020-05-17,0.0,0,0,0,0.0,0.0,0.0,0.0
779425,Guaporema,2020-05-18,0.0,0,0,0,0.0,0.0,0.0,0.0
779426,Guaporema,2020-05-19,0.0,0,0,0,0.0,0.0,0.0,0.0
779427,Guaporema,2020-05-20,0.0,0,0,0,0.0,0.0,0.0,0.0
779428,Guaporema,2020-05-21,0.0,0,0,0,0.0,0.0,0.0,0.0
779429,Guaporema,2020-05-22,0.0,0,0,0,0.0,0.0,0.0,0.0
779430,Guaporema,2020-05-23,0.0,0,0,0,0.0,0.0,0.0,0.0
779431,Guaporema,2020-05-24,0.0,0,0,0,0.0,0.0,0.0,0.0
779432,Guaporema,2020-05-25,0.0,0,0,0,0.0,0.0,0.0,0.0
779433,Guaporema,2020-05-26,0.0,0,0,0,0.0,0.0,0.0,0.0
779434,Guaporema,2020-05-27,1.0,1,0,0,0.14285714285714285,0.0,1.0,0.0
779435,Guaporema,2020-05-28,1.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
779436,Guaporema,2020-05-29,4.0,3,0,0,0.5714285714285714,0.0,4.0,0.0
779437,Guaporema,2020-05-30,4.0,0,0,0,0.5714285714285714,0.0,4.0,0.0
779438,Guaporema,2020-05-31,6.0,2,0,0,0.8571428571428571,0.0,6.0,0.0
779439,Guaporema,2020-06-01,6.0,0,0,0,0.8571428571428571,0.0,6.0,0.0
779440,Guaporema,2020-06-02,6.0,0,0,0,0.8571428571428571,0.0,6.0,0.0
779441,Guaporema,2020-06-03,6.0,0,0,0,0.7142857142857143,0.0,5.0,0.0
779442,Guaporema,2020-06-04,6.0,0,1,1,0.7142857142857143,0.14285714285714285,5.0,1.0
779443,Guaporema,2020-06-05,6.0,0,1,0,0.2857142857142857,0.14285714285714285,2.0,1.0
779444,Guaporema,2020-06-06,7.0,1,1,0,0.42857142857142855,0.14285714285714285,3.0,1.0
779445,Guaporema,2020-06-07,8.0,1,1,0,0.2857142857142857,0.14285714285714285,2.0,1.0
779446,Guaporema,2020-06-08,8.0,0,1,0,0.2857142857142857,0.14285714285714285,2.0,1.0
