index,municipio,data,casosAcumulado,casosNovos,obitosAcumulado,obitosNovos,daily_cases_moving_average,daily_deaths_moving_average,sum_of_daily_cases_week,sum_of_daily_deaths_week
779976,Guaraniaçu,2020-03-27,0,0,0,0,1.0,0.0,7.0,0.0
779977,Guaraniaçu,2020-03-28,0,0,0,0,1.0,0.0,7.0,0.0
779978,Guaraniaçu,2020-03-29,0,0,0,0,0.8571428571428571,0.0,6.0,0.0
779979,Guaraniaçu,2020-03-30,0,0,0,0,0.7142857142857143,0.0,5.0,0.0
779980,Guaraniaçu,2020-03-31,0,0,0,0,0.7142857142857143,0.0,5.0,0.0
779981,Guaraniaçu,2020-04-01,0,0,0,0,0.2857142857142857,0.0,2.0,0.0
779982,Guaraniaçu,2020-04-02,0,0,0,0,0.0,0.0,0.0,0.0
779983,Guaraniaçu,2020-04-03,0,0,0,0,0.0,0.0,0.0,0.0
779984,Guaraniaçu,2020-04-04,2,2,0,0,0.2857142857142857,0.0,2.0,0.0
779985,Guaraniaçu,2020-04-05,2,0,0,0,0.2857142857142857,0.0,2.0,0.0
779986,Guaraniaçu,2020-04-06,2,0,0,0,0.2857142857142857,0.0,2.0,0.0
779987,Guaraniaçu,2020-04-07,2,0,0,0,0.2857142857142857,0.0,2.0,0.0
779988,Guaraniaçu,2020-04-08,2,0,0,0,0.2857142857142857,0.0,2.0,0.0
779989,Guaraniaçu,2020-04-09,3,1,0,0,0.42857142857142855,0.0,3.0,0.0
779990,Guaraniaçu,2020-04-10,3,0,0,0,0.42857142857142855,0.0,3.0,0.0
779991,Guaraniaçu,2020-04-11,3,0,0,0,0.14285714285714285,0.0,1.0,0.0
779992,Guaraniaçu,2020-04-12,4,1,0,0,0.2857142857142857,0.0,2.0,0.0
779993,Guaraniaçu,2020-04-13,4,0,0,0,0.2857142857142857,0.0,2.0,0.0
779994,Guaraniaçu,2020-04-14,4,0,0,0,0.2857142857142857,0.0,2.0,0.0
779995,Guaraniaçu,2020-04-15,4,0,0,0,0.2857142857142857,0.0,2.0,0.0
779996,Guaraniaçu,2020-04-16,5,1,0,0,0.2857142857142857,0.0,2.0,0.0
779997,Guaraniaçu,2020-04-17,5,0,0,0,0.2857142857142857,0.0,2.0,0.0
779998,Guaraniaçu,2020-04-18,5,0,0,0,0.2857142857142857,0.0,2.0,0.0
779999,Guaraniaçu,2020-04-19,5,0,0,0,0.14285714285714285,0.0,1.0,0.0
780000,Guaraniaçu,2020-04-20,5,0,0,0,0.14285714285714285,0.0,1.0,0.0
780001,Guaraniaçu,2020-04-21,5,0,0,0,0.14285714285714285,0.0,1.0,0.0
780002,Guaraniaçu,2020-04-22,5,0,0,0,0.14285714285714285,0.0,1.0,0.0
780003,Guaraniaçu,2020-04-23,5,0,0,0,0.0,0.0,0.0,0.0
780004,Guaraniaçu,2020-04-24,5,0,0,0,0.0,0.0,0.0,0.0
780005,Guaraniaçu,2020-04-25,5,0,0,0,0.0,0.0,0.0,0.0
780006,Guaraniaçu,2020-04-26,5,0,0,0,0.0,0.0,0.0,0.0
780007,Guaraniaçu,2020-04-27,5,0,0,0,0.0,0.0,0.0,0.0
780008,Guaraniaçu,2020-04-28,5,0,0,0,0.0,0.0,0.0,0.0
780009,Guaraniaçu,2020-04-29,5,0,0,0,0.0,0.0,0.0,0.0
780010,Guaraniaçu,2020-04-30,5,0,0,0,0.0,0.0,0.0,0.0
780011,Guaraniaçu,2020-05-01,5,0,0,0,0.0,0.0,0.0,0.0
780012,Guaraniaçu,2020-05-02,5,0,0,0,0.0,0.0,0.0,0.0
780013,Guaraniaçu,2020-05-03,5,0,0,0,0.0,0.0,0.0,0.0
780014,Guaraniaçu,2020-05-04,5,0,0,0,0.0,0.0,0.0,0.0
