index,municipio,data,casosAcumulado,casosNovos,obitosAcumulado,obitosNovos,daily_cases_moving_average,daily_deaths_moving_average,sum_of_daily_cases_week,sum_of_daily_deaths_week
837670,Ibirapuã,2020-03-27,0.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
837671,Ibirapuã,2020-03-28,0.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
837672,Ibirapuã,2020-03-29,0.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
837673,Ibirapuã,2020-03-30,0.0,0,0,0,0.0,0.0,0.0,0.0
837674,Ibirapuã,2020-03-31,0.0,0,0,0,0.0,0.0,0.0,0.0
837675,Ibirapuã,2020-04-01,0.0,0,0,0,0.0,0.0,0.0,0.0
837676,Ibirapuã,2020-04-02,0.0,0,0,0,0.0,0.0,0.0,0.0
837677,Ibirapuã,2020-04-03,0.0,0,0,0,0.0,0.0,0.0,0.0
837678,Ibirapuã,2020-04-04,0.0,0,0,0,0.0,0.0,0.0,0.0
837679,Ibirapuã,2020-04-05,0.0,0,0,0,0.0,0.0,0.0,0.0
837680,Ibirapuã,2020-04-06,0.0,0,0,0,0.0,0.0,0.0,0.0
837681,Ibirapuã,2020-04-07,0.0,0,0,0,0.0,0.0,0.0,0.0
837682,Ibirapuã,2020-04-08,0.0,0,0,0,0.0,0.0,0.0,0.0
837683,Ibirapuã,2020-04-09,0.0,0,0,0,0.0,0.0,0.0,0.0
837684,Ibirapuã,2020-04-10,0.0,0,0,0,0.0,0.0,0.0,0.0
837685,Ibirapuã,2020-04-11,0.0,0,0,0,0.0,0.0,0.0,0.0
837686,Ibirapuã,2020-04-12,0.0,0,0,0,0.0,0.0,0.0,0.0
837687,Ibirapuã,2020-04-13,0.0,0,0,0,0.0,0.0,0.0,0.0
837688,Ibirapuã,2020-04-14,0.0,0,0,0,0.0,0.0,0.0,0.0
837689,Ibirapuã,2020-04-15,0.0,0,0,0,0.0,0.0,0.0,0.0
837690,Ibirapuã,2020-04-16,0.0,0,0,0,0.0,0.0,0.0,0.0
837691,Ibirapuã,2020-04-17,0.0,0,0,0,0.0,0.0,0.0,0.0
837692,Ibirapuã,2020-04-18,0.0,0,0,0,0.0,0.0,0.0,0.0
837693,Ibirapuã,2020-04-19,0.0,0,0,0,0.0,0.0,0.0,0.0
837694,Ibirapuã,2020-04-20,0.0,0,0,0,0.0,0.0,0.0,0.0
837695,Ibirapuã,2020-04-21,0.0,0,0,0,0.0,0.0,0.0,0.0
837696,Ibirapuã,2020-04-22,0.0,0,0,0,0.0,0.0,0.0,0.0
837697,Ibirapuã,2020-04-23,0.0,0,0,0,0.0,0.0,0.0,0.0
837698,Ibirapuã,2020-04-24,0.0,0,0,0,0.0,0.0,0.0,0.0
837699,Ibirapuã,2020-04-25,0.0,0,0,0,0.0,0.0,0.0,0.0
837700,Ibirapuã,2020-04-26,0.0,0,0,0,0.0,0.0,0.0,0.0
837701,Ibirapuã,2020-04-27,0.0,0,0,0,0.0,0.0,0.0,0.0
837702,Ibirapuã,2020-04-28,0.0,0,0,0,0.0,0.0,0.0,0.0
837703,Ibirapuã,2020-04-29,0.0,0,0,0,0.0,0.0,0.0,0.0
837704,Ibirapuã,2020-04-30,0.0,0,0,0,0.0,0.0,0.0,0.0
837705,Ibirapuã,2020-05-01,0.0,0,0,0,0.0,0.0,0.0,0.0
837706,Ibirapuã,2020-05-02,0.0,0,0,0,0.0,0.0,0.0,0.0
837707,Ibirapuã,2020-05-03,0.0,0,0,0,0.0,0.0,0.0,0.0
837708,Ibirapuã,2020-05-04,0.0,0,0,0,0.0,0.0,0.0,0.0
837709,Ibirapuã,2020-05-05,0.0,0,0,0,0.0,0.0,0.0,0.0
837710,Ibirapuã,2020-05-06,0.0,0,0,0,0.0,0.0,0.0,0.0
837711,Ibirapuã,2020-05-07,0.0,0,0,0,0.0,0.0,0.0,0.0
837712,Ibirapuã,2020-05-08,0.0,0,0,0,0.0,0.0,0.0,0.0
837713,Ibirapuã,2020-05-09,0.0,0,0,0,0.0,0.0,0.0,0.0
837714,Ibirapuã,2020-05-10,0.0,0,0,0,0.0,0.0,0.0,0.0
837715,Ibirapuã,2020-05-11,0.0,0,0,0,0.0,0.0,0.0,0.0
837716,Ibirapuã,2020-05-12,0.0,0,0,0,0.0,0.0,0.0,0.0
837717,Ibirapuã,2020-05-13,0.0,0,0,0,0.0,0.0,0.0,0.0
837718,Ibirapuã,2020-05-14,0.0,0,0,0,0.0,0.0,0.0,0.0
837719,Ibirapuã,2020-05-15,0.0,0,0,0,0.0,0.0,0.0,0.0
837720,Ibirapuã,2020-05-16,0.0,0,0,0,0.0,0.0,0.0,0.0
837721,Ibirapuã,2020-05-17,0.0,0,0,0,0.0,0.0,0.0,0.0
837722,Ibirapuã,2020-05-18,0.0,0,0,0,0.0,0.0,0.0,0.0
837723,Ibirapuã,2020-05-19,0.0,0,0,0,0.0,0.0,0.0,0.0
837724,Ibirapuã,2020-05-20,0.0,0,0,0,0.0,0.0,0.0,0.0
837725,Ibirapuã,2020-05-21,0.0,0,0,0,0.0,0.0,0.0,0.0
837726,Ibirapuã,2020-05-22,0.0,0,0,0,0.0,0.0,0.0,0.0
837727,Ibirapuã,2020-05-23,1.0,1,0,0,0.14285714285714285,0.0,1.0,0.0
837728,Ibirapuã,2020-05-24,1.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
837729,Ibirapuã,2020-05-25,2.0,1,0,0,0.2857142857142857,0.0,2.0,0.0
837730,Ibirapuã,2020-05-26,2.0,0,0,0,0.2857142857142857,0.0,2.0,0.0
837731,Ibirapuã,2020-05-27,2.0,0,0,0,0.2857142857142857,0.0,2.0,0.0
837732,Ibirapuã,2020-05-28,2.0,0,0,0,0.2857142857142857,0.0,2.0,0.0
837733,Ibirapuã,2020-05-29,3.0,1,0,0,0.42857142857142855,0.0,3.0,0.0
837734,Ibirapuã,2020-05-30,5.0,2,0,0,0.5714285714285714,0.0,4.0,0.0
837735,Ibirapuã,2020-05-31,5.0,0,0,0,0.5714285714285714,0.0,4.0,0.0
837736,Ibirapuã,2020-06-01,5.0,0,0,0,0.42857142857142855,0.0,3.0,0.0
837737,Ibirapuã,2020-06-02,5.0,0,0,0,0.42857142857142855,0.0,3.0,0.0
837738,Ibirapuã,2020-06-03,18.0,13,1,1,2.2857142857142856,0.14285714285714285,16.0,1.0
837739,Ibirapuã,2020-06-04,20.0,2,1,0,2.5714285714285716,0.14285714285714285,18.0,1.0
837740,Ibirapuã,2020-06-05,22.0,2,1,0,2.7142857142857144,0.14285714285714285,19.0,1.0
837741,Ibirapuã,2020-06-06,23.0,1,1,0,2.5714285714285716,0.14285714285714285,18.0,1.0
837742,Ibirapuã,2020-06-07,23.0,0,1,0,2.5714285714285716,0.14285714285714285,18.0,1.0
837743,Ibirapuã,2020-06-08,23.0,0,1,0,2.5714285714285716,0.14285714285714285,18.0,1.0
837744,Ibirapuã,2020-06-09,30.0,7,1,0,3.5714285714285716,0.14285714285714285,25.0,1.0
837745,Ibirapuã,2020-06-10,33.0,3,1,0,2.142857142857143,0.0,15.0,0.0
837746,Ibirapuã,2020-06-11,34.0,1,1,0,2.0,0.0,14.0,0.0
837747,Ibirapuã,2020-06-12,35.0,1,1,0,1.8571428571428572,0.0,13.0,0.0
837748,Ibirapuã,2020-06-13,35.0,0,1,0,1.7142857142857142,0.0,12.0,0.0
837749,Ibirapuã,2020-06-14,35.0,0,1,0,1.7142857142857142,0.0,12.0,0.0
837750,Ibirapuã,2020-06-15,35.0,0,1,0,1.7142857142857142,0.0,12.0,0.0
837751,Ibirapuã,2020-06-16,39.0,4,1,0,1.2857142857142858,0.0,9.0,0.0
837752,Ibirapuã,2020-06-17,39.0,0,1,0,0.8571428571428571,0.0,6.0,0.0
837753,Ibirapuã,2020-06-18,39.0,0,1,0,0.7142857142857143,0.0,5.0,0.0
837754,Ibirapuã,2020-06-19,47.0,8,1,0,1.7142857142857142,0.0,12.0,0.0
837755,Ibirapuã,2020-06-20,50.0,3,1,0,2.142857142857143,0.0,15.0,0.0
837756,Ibirapuã,2020-06-21,50.0,0,1,0,2.142857142857143,0.0,15.0,0.0
837757,Ibirapuã,2020-06-22,51.0,1,1,0,2.2857142857142856,0.0,16.0,0.0
837758,Ibirapuã,2020-06-23,51.0,0,1,0,1.7142857142857142,0.0,12.0,0.0
837759,Ibirapuã,2020-06-24,51.0,0,1,0,1.7142857142857142,0.0,12.0,0.0
837760,Ibirapuã,2020-06-25,54.0,3,1,0,2.142857142857143,0.0,15.0,0.0
837761,Ibirapuã,2020-06-26,54.0,0,1,0,1.0,0.0,7.0,0.0
837762,Ibirapuã,2020-06-27,55.0,1,1,0,0.7142857142857143,0.0,5.0,0.0
837763,Ibirapuã,2020-06-28,55.0,0,1,0,0.7142857142857143,0.0,5.0,0.0
837764,Ibirapuã,2020-06-29,55.0,0,1,0,0.5714285714285714,0.0,4.0,0.0
837765,Ibirapuã,2020-06-30,55.0,0,1,0,0.5714285714285714,0.0,4.0,0.0
837766,Ibirapuã,2020-07-01,56.0,1,1,0,0.7142857142857143,0.0,5.0,0.0
837767,Ibirapuã,2020-07-02,57.0,1,1,0,0.42857142857142855,0.0,3.0,0.0
837768,Ibirapuã,2020-07-03,56.0,-1,1,0,0.2857142857142857,0.0,2.0,0.0
837769,Ibirapuã,2020-07-04,57.0,1,1,0,0.2857142857142857,0.0,2.0,0.0
837770,Ibirapuã,2020-07-05,61.0,4,1,0,0.8571428571428571,0.0,6.0,0.0
837771,Ibirapuã,2020-07-06,61.0,0,1,0,0.8571428571428571,0.0,6.0,0.0
837772,Ibirapuã,2020-07-07,61.0,0,1,0,0.8571428571428571,0.0,6.0,0.0
837773,Ibirapuã,2020-07-08,61.0,0,1,0,0.7142857142857143,0.0,5.0,0.0
837774,Ibirapuã,2020-07-09,61.0,0,1,0,0.5714285714285714,0.0,4.0,0.0
837775,Ibirapuã,2020-07-10,63.0,2,1,0,1.0,0.0,7.0,0.0
837776,Ibirapuã,2020-07-11,63.0,0,1,0,0.8571428571428571,0.0,6.0,0.0
837777,Ibirapuã,2020-07-12,65.0,2,1,0,0.5714285714285714,0.0,4.0,0.0
837778,Ibirapuã,2020-07-13,65.0,0,1,0,0.5714285714285714,0.0,4.0,0.0
