index,municipio,data,casosAcumulado,casosNovos,obitosAcumulado,obitosNovos,daily_cases_moving_average,daily_deaths_moving_average,sum_of_daily_cases_week,sum_of_daily_deaths_week
890560,Igrapiúna,2020-03-27,0.0,0,0,0,5.714285714285714,0.0,40.0,0.0
890561,Igrapiúna,2020-03-28,0.0,0,0,0,5.0,0.0,35.0,0.0
890562,Igrapiúna,2020-03-29,0.0,0,0,0,2.142857142857143,0.0,15.0,0.0
890563,Igrapiúna,2020-03-30,0.0,0,0,0,1.4285714285714286,0.0,10.0,0.0
890564,Igrapiúna,2020-03-31,0.0,0,0,0,0.0,0.0,0.0,0.0
890565,Igrapiúna,2020-04-01,0.0,0,0,0,0.0,0.0,0.0,0.0
890566,Igrapiúna,2020-04-02,0.0,0,0,0,0.0,0.0,0.0,0.0
890567,Igrapiúna,2020-04-03,0.0,0,0,0,0.0,0.0,0.0,0.0
890568,Igrapiúna,2020-04-04,0.0,0,0,0,0.0,0.0,0.0,0.0
890569,Igrapiúna,2020-04-05,0.0,0,0,0,0.0,0.0,0.0,0.0
890570,Igrapiúna,2020-04-06,0.0,0,0,0,0.0,0.0,0.0,0.0
890571,Igrapiúna,2020-04-07,0.0,0,0,0,0.0,0.0,0.0,0.0
890572,Igrapiúna,2020-04-08,0.0,0,0,0,0.0,0.0,0.0,0.0
890573,Igrapiúna,2020-04-09,0.0,0,0,0,0.0,0.0,0.0,0.0
890574,Igrapiúna,2020-04-10,0.0,0,0,0,0.0,0.0,0.0,0.0
890575,Igrapiúna,2020-04-11,0.0,0,0,0,0.0,0.0,0.0,0.0
890576,Igrapiúna,2020-04-12,0.0,0,0,0,0.0,0.0,0.0,0.0
890577,Igrapiúna,2020-04-13,0.0,0,0,0,0.0,0.0,0.0,0.0
890578,Igrapiúna,2020-04-14,0.0,0,0,0,0.0,0.0,0.0,0.0
890579,Igrapiúna,2020-04-15,0.0,0,0,0,0.0,0.0,0.0,0.0
890580,Igrapiúna,2020-04-16,0.0,0,0,0,0.0,0.0,0.0,0.0
890581,Igrapiúna,2020-04-17,0.0,0,0,0,0.0,0.0,0.0,0.0
890582,Igrapiúna,2020-04-18,0.0,0,0,0,0.0,0.0,0.0,0.0
890583,Igrapiúna,2020-04-19,0.0,0,0,0,0.0,0.0,0.0,0.0
890584,Igrapiúna,2020-04-20,0.0,0,0,0,0.0,0.0,0.0,0.0
890585,Igrapiúna,2020-04-21,0.0,0,0,0,0.0,0.0,0.0,0.0
890586,Igrapiúna,2020-04-22,0.0,0,0,0,0.0,0.0,0.0,0.0
890587,Igrapiúna,2020-04-23,0.0,0,0,0,0.0,0.0,0.0,0.0
890588,Igrapiúna,2020-04-24,0.0,0,0,0,0.0,0.0,0.0,0.0
890589,Igrapiúna,2020-04-25,0.0,0,0,0,0.0,0.0,0.0,0.0
890590,Igrapiúna,2020-04-26,0.0,0,0,0,0.0,0.0,0.0,0.0
890591,Igrapiúna,2020-04-27,0.0,0,0,0,0.0,0.0,0.0,0.0
890592,Igrapiúna,2020-04-28,0.0,0,0,0,0.0,0.0,0.0,0.0
