index,municipio,data,casosAcumulado,casosNovos,obitosAcumulado,obitosNovos,daily_cases_moving_average,daily_deaths_moving_average,sum_of_daily_cases_week,sum_of_daily_deaths_week
849846,Ilha Grande,2020-03-27,0.0,0,0,0,5.571428571428571,0.14285714285714285,39.0,1.0
849847,Ilha Grande,2020-03-28,0.0,0,0,0,3.7142857142857144,0.14285714285714285,26.0,1.0
849848,Ilha Grande,2020-03-29,0.0,0,0,0,2.142857142857143,0.14285714285714285,15.0,1.0
849849,Ilha Grande,2020-03-30,0.0,0,0,0,1.2857142857142858,0.0,9.0,0.0
849850,Ilha Grande,2020-03-31,0.0,0,0,0,0.0,0.0,0.0,0.0
849851,Ilha Grande,2020-04-01,0.0,0,0,0,0.0,0.0,0.0,0.0
849852,Ilha Grande,2020-04-02,0.0,0,0,0,0.0,0.0,0.0,0.0
849853,Ilha Grande,2020-04-03,0.0,0,0,0,0.0,0.0,0.0,0.0
849854,Ilha Grande,2020-04-04,0.0,0,0,0,0.0,0.0,0.0,0.0
849855,Ilha Grande,2020-04-05,0.0,0,0,0,0.0,0.0,0.0,0.0
849856,Ilha Grande,2020-04-06,0.0,0,0,0,0.0,0.0,0.0,0.0
849857,Ilha Grande,2020-04-07,0.0,0,0,0,0.0,0.0,0.0,0.0
849858,Ilha Grande,2020-04-08,0.0,0,0,0,0.0,0.0,0.0,0.0
849859,Ilha Grande,2020-04-09,0.0,0,0,0,0.0,0.0,0.0,0.0
849860,Ilha Grande,2020-04-10,0.0,0,0,0,0.0,0.0,0.0,0.0
849861,Ilha Grande,2020-04-11,0.0,0,0,0,0.0,0.0,0.0,0.0
849862,Ilha Grande,2020-04-12,0.0,0,0,0,0.0,0.0,0.0,0.0
849863,Ilha Grande,2020-04-13,0.0,0,0,0,0.0,0.0,0.0,0.0
849864,Ilha Grande,2020-04-14,0.0,0,0,0,0.0,0.0,0.0,0.0
849865,Ilha Grande,2020-04-15,0.0,0,0,0,0.0,0.0,0.0,0.0
849866,Ilha Grande,2020-04-16,0.0,0,0,0,0.0,0.0,0.0,0.0
849867,Ilha Grande,2020-04-17,0.0,0,0,0,0.0,0.0,0.0,0.0
849868,Ilha Grande,2020-04-18,0.0,0,0,0,0.0,0.0,0.0,0.0
849869,Ilha Grande,2020-04-19,0.0,0,0,0,0.0,0.0,0.0,0.0
849870,Ilha Grande,2020-04-20,0.0,0,0,0,0.0,0.0,0.0,0.0
849871,Ilha Grande,2020-04-21,0.0,0,0,0,0.0,0.0,0.0,0.0
849872,Ilha Grande,2020-04-22,0.0,0,0,0,0.0,0.0,0.0,0.0
849873,Ilha Grande,2020-04-23,0.0,0,0,0,0.0,0.0,0.0,0.0
849874,Ilha Grande,2020-04-24,0.0,0,0,0,0.0,0.0,0.0,0.0
849875,Ilha Grande,2020-04-25,1.0,1,0,0,0.14285714285714285,0.0,1.0,0.0
849876,Ilha Grande,2020-04-26,1.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
849877,Ilha Grande,2020-04-27,1.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
849878,Ilha Grande,2020-04-28,1.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
849879,Ilha Grande,2020-04-29,1.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
849880,Ilha Grande,2020-04-30,1.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
849881,Ilha Grande,2020-05-01,1.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
849882,Ilha Grande,2020-05-02,1.0,0,0,0,0.0,0.0,0.0,0.0
849883,Ilha Grande,2020-05-03,1.0,0,0,0,0.0,0.0,0.0,0.0
849884,Ilha Grande,2020-05-04,1.0,0,0,0,0.0,0.0,0.0,0.0
849885,Ilha Grande,2020-05-05,1.0,0,0,0,0.0,0.0,0.0,0.0
849886,Ilha Grande,2020-05-06,1.0,0,0,0,0.0,0.0,0.0,0.0
849887,Ilha Grande,2020-05-07,1.0,0,0,0,0.0,0.0,0.0,0.0
849888,Ilha Grande,2020-05-08,1.0,0,0,0,0.0,0.0,0.0,0.0
849889,Ilha Grande,2020-05-09,1.0,0,0,0,0.0,0.0,0.0,0.0
849890,Ilha Grande,2020-05-10,1.0,0,1,1,0.0,0.14285714285714285,0.0,1.0
849891,Ilha Grande,2020-05-11,1.0,0,1,0,0.0,0.14285714285714285,0.0,1.0
849892,Ilha Grande,2020-05-12,1.0,0,1,0,0.0,0.14285714285714285,0.0,1.0
849893,Ilha Grande,2020-05-13,1.0,0,1,0,0.0,0.14285714285714285,0.0,1.0
849894,Ilha Grande,2020-05-14,1.0,0,1,0,0.0,0.14285714285714285,0.0,1.0
849895,Ilha Grande,2020-05-15,1.0,0,1,0,0.0,0.14285714285714285,0.0,1.0
849896,Ilha Grande,2020-05-16,1.0,0,1,0,0.0,0.14285714285714285,0.0,1.0
849897,Ilha Grande,2020-05-17,1.0,0,1,0,0.0,0.0,0.0,0.0
849898,Ilha Grande,2020-05-18,1.0,0,1,0,0.0,0.0,0.0,0.0
849899,Ilha Grande,2020-05-19,1.0,0,1,0,0.0,0.0,0.0,0.0
849900,Ilha Grande,2020-05-20,1.0,0,1,0,0.0,0.0,0.0,0.0
849901,Ilha Grande,2020-05-21,3.0,2,1,0,0.2857142857142857,0.0,2.0,0.0
849902,Ilha Grande,2020-05-22,3.0,0,1,0,0.2857142857142857,0.0,2.0,0.0
