index,municipio,data,casosAcumulado,casosNovos,obitosAcumulado,obitosNovos,daily_cases_moving_average,daily_deaths_moving_average,sum_of_daily_cases_week,sum_of_daily_deaths_week
860271,Independência,2020-03-27,0.0,0,0,0,53.0,0.2857142857142857,371.0,2.0
860272,Independência,2020-03-28,0.0,0,0,0,44.714285714285715,0.2857142857142857,313.0,2.0
860273,Independência,2020-03-29,0.0,0,0,0,31.857142857142858,0.0,223.0,0.0
860274,Independência,2020-03-30,0.0,0,0,0,21.714285714285715,0.0,152.0,0.0
860275,Independência,2020-03-31,0.0,0,0,0,9.428571428571429,0.0,66.0,0.0
860276,Independência,2020-04-01,0.0,0,0,0,4.571428571428571,0.0,32.0,0.0
860277,Independência,2020-04-02,0.0,0,0,0,0.0,0.0,0.0,0.0
860278,Independência,2020-04-03,0.0,0,0,0,0.0,0.0,0.0,0.0
860279,Independência,2020-04-04,0.0,0,0,0,0.0,0.0,0.0,0.0
860280,Independência,2020-04-05,0.0,0,0,0,0.0,0.0,0.0,0.0
860281,Independência,2020-04-06,0.0,0,0,0,0.0,0.0,0.0,0.0
860282,Independência,2020-04-07,0.0,0,0,0,0.0,0.0,0.0,0.0
860283,Independência,2020-04-08,0.0,0,0,0,0.0,0.0,0.0,0.0
860284,Independência,2020-04-09,0.0,0,0,0,0.0,0.0,0.0,0.0
860285,Independência,2020-04-10,2.0,2,0,0,0.2857142857142857,0.0,2.0,0.0
860286,Independência,2020-04-11,2.0,0,0,0,0.2857142857142857,0.0,2.0,0.0
860287,Independência,2020-04-12,2.0,0,0,0,0.2857142857142857,0.0,2.0,0.0
860288,Independência,2020-04-13,2.0,0,0,0,0.2857142857142857,0.0,2.0,0.0
860289,Independência,2020-04-14,2.0,0,0,0,0.2857142857142857,0.0,2.0,0.0
860290,Independência,2020-04-15,2.0,0,0,0,0.2857142857142857,0.0,2.0,0.0
860291,Independência,2020-04-16,2.0,0,0,0,0.2857142857142857,0.0,2.0,0.0
860292,Independência,2020-04-17,3.0,1,0,0,0.14285714285714285,0.0,1.0,0.0
860293,Independência,2020-04-18,3.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
860294,Independência,2020-04-19,3.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
860295,Independência,2020-04-20,3.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
860296,Independência,2020-04-21,2.0,-1,0,0,0.0,0.0,0.0,0.0
860297,Independência,2020-04-22,2.0,0,0,0,0.0,0.0,0.0,0.0
860298,Independência,2020-04-23,2.0,0,0,0,0.0,0.0,0.0,0.0
860299,Independência,2020-04-24,3.0,1,1,1,0.0,0.14285714285714285,0.0,1.0
860300,Independência,2020-04-25,3.0,0,1,0,0.0,0.14285714285714285,0.0,1.0
860301,Independência,2020-04-26,3.0,0,1,0,0.0,0.14285714285714285,0.0,1.0
860302,Independência,2020-04-27,3.0,0,1,0,0.0,0.14285714285714285,0.0,1.0
860303,Independência,2020-04-28,3.0,0,1,0,0.14285714285714285,0.14285714285714285,1.0,1.0
860304,Independência,2020-04-29,3.0,0,1,0,0.14285714285714285,0.14285714285714285,1.0,1.0
860305,Independência,2020-04-30,3.0,0,1,0,0.14285714285714285,0.14285714285714285,1.0,1.0
860306,Independência,2020-05-01,3.0,0,1,0,0.0,0.0,0.0,0.0
860307,Independência,2020-05-02,3.0,0,1,0,0.0,0.0,0.0,0.0
860308,Independência,2020-05-03,3.0,0,1,0,0.0,0.0,0.0,0.0
860309,Independência,2020-05-04,4.0,1,1,0,0.14285714285714285,0.0,1.0,0.0
860310,Independência,2020-05-05,4.0,0,1,0,0.14285714285714285,0.0,1.0,0.0
860311,Independência,2020-05-06,4.0,0,1,0,0.14285714285714285,0.0,1.0,0.0
860312,Independência,2020-05-07,4.0,0,1,0,0.14285714285714285,0.0,1.0,0.0
860313,Independência,2020-05-08,4.0,0,1,0,0.14285714285714285,0.0,1.0,0.0
860314,Independência,2020-05-09,4.0,0,1,0,0.14285714285714285,0.0,1.0,0.0
860315,Independência,2020-05-10,4.0,0,1,0,0.14285714285714285,0.0,1.0,0.0
860316,Independência,2020-05-11,4.0,0,1,0,0.0,0.0,0.0,0.0
860317,Independência,2020-05-12,4.0,0,1,0,0.0,0.0,0.0,0.0
860318,Independência,2020-05-13,4.0,0,1,0,0.0,0.0,0.0,0.0
860319,Independência,2020-05-14,9.0,5,1,0,0.7142857142857143,0.0,5.0,0.0
860320,Independência,2020-05-15,11.0,2,1,0,1.0,0.0,7.0,0.0
860321,Independência,2020-05-16,11.0,0,1,0,1.0,0.0,7.0,0.0
860322,Independência,2020-05-17,11.0,0,1,0,1.0,0.0,7.0,0.0
860323,Independência,2020-05-18,15.0,4,1,0,1.5714285714285714,0.0,11.0,0.0
860324,Independência,2020-05-19,19.0,4,5,4,2.142857142857143,0.5714285714285714,15.0,4.0
860325,Independência,2020-05-20,19.0,0,5,0,2.142857142857143,0.5714285714285714,15.0,4.0
860326,Independência,2020-05-21,18.0,-1,4,-1,1.2857142857142858,0.42857142857142855,9.0,3.0
860327,Independência,2020-05-22,25.0,7,4,0,2.0,0.42857142857142855,14.0,3.0
860328,Independência,2020-05-23,25.0,0,4,0,2.0,0.42857142857142855,14.0,3.0
860329,Independência,2020-05-24,25.0,0,4,0,2.0,0.42857142857142855,14.0,3.0
860330,Independência,2020-05-25,25.0,0,4,0,1.4285714285714286,0.42857142857142855,10.0,3.0
860331,Independência,2020-05-26,26.0,1,4,0,1.0,-0.14285714285714285,7.0,-1.0
860332,Independência,2020-05-27,26.0,0,4,0,1.0,-0.14285714285714285,7.0,-1.0
860333,Independência,2020-05-28,26.0,0,4,0,1.1428571428571428,0.0,8.0,0.0
860334,Independência,2020-05-29,27.0,1,4,0,0.2857142857142857,0.0,2.0,0.0
860335,Independência,2020-05-30,24.0,-3,4,0,-0.14285714285714285,0.0,-1.0,0.0
860336,Independência,2020-05-31,24.0,0,4,0,-0.14285714285714285,0.0,-1.0,0.0
860337,Independência,2020-06-01,25.0,1,4,0,0.0,0.0,0.0,0.0
860338,Independência,2020-06-02,25.0,0,4,0,-0.14285714285714285,0.0,-1.0,0.0
860339,Independência,2020-06-03,28.0,3,4,0,0.2857142857142857,0.0,2.0,0.0
860340,Independência,2020-06-04,38.0,10,4,0,1.7142857142857142,0.0,12.0,0.0
860341,Independência,2020-06-05,38.0,0,4,0,1.5714285714285714,0.0,11.0,0.0
860342,Independência,2020-06-06,38.0,0,4,0,2.0,0.0,14.0,0.0
860343,Independência,2020-06-07,38.0,0,4,0,2.0,0.0,14.0,0.0
860344,Independência,2020-06-08,38.0,0,4,0,1.8571428571428572,0.0,13.0,0.0
860345,Independência,2020-06-09,44.0,6,4,0,2.7142857142857144,0.0,19.0,0.0
860346,Independência,2020-06-10,49.0,5,4,0,3.0,0.0,21.0,0.0
860347,Independência,2020-06-11,49.0,0,4,0,1.5714285714285714,0.0,11.0,0.0
860348,Independência,2020-06-12,50.0,1,4,0,1.7142857142857142,0.0,12.0,0.0
860349,Independência,2020-06-13,56.0,6,4,0,2.5714285714285716,0.0,18.0,0.0
860350,Independência,2020-06-14,56.0,0,4,0,2.5714285714285716,0.0,18.0,0.0
860351,Independência,2020-06-15,56.0,0,4,0,2.5714285714285716,0.0,18.0,0.0
860352,Independência,2020-06-16,56.0,0,4,0,1.7142857142857142,0.0,12.0,0.0
860353,Independência,2020-06-17,60.0,4,4,0,1.5714285714285714,0.0,11.0,0.0
860354,Independência,2020-06-18,64.0,4,4,0,2.142857142857143,0.0,15.0,0.0
860355,Independência,2020-06-19,65.0,1,4,0,2.142857142857143,0.0,15.0,0.0
860356,Independência,2020-06-20,65.0,0,4,0,1.2857142857142858,0.0,9.0,0.0
860357,Independência,2020-06-21,65.0,0,4,0,1.2857142857142858,0.0,9.0,0.0
860358,Independência,2020-06-22,65.0,0,4,0,1.2857142857142858,0.0,9.0,0.0
860359,Independência,2020-06-23,67.0,2,5,1,1.5714285714285714,0.14285714285714285,11.0,1.0
860360,Independência,2020-06-24,78.0,11,9,4,2.5714285714285716,0.7142857142857143,18.0,5.0
