index,municipio,data,casosAcumulado,casosNovos,obitosAcumulado,obitosNovos,daily_cases_moving_average,daily_deaths_moving_average,sum_of_daily_cases_week,sum_of_daily_deaths_week
936804,Indiaroba,2020-03-27,0.0,0,0,0,1.8571428571428572,0.7142857142857143,13.0,5.0
936805,Indiaroba,2020-03-28,0.0,0,0,0,0.5714285714285714,0.7142857142857143,4.0,5.0
936806,Indiaroba,2020-03-29,0.0,0,0,0,0.8571428571428571,0.5714285714285714,6.0,4.0
936807,Indiaroba,2020-03-30,0.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
936808,Indiaroba,2020-03-31,0.0,0,0,0,0.0,0.0,0.0,0.0
936809,Indiaroba,2020-04-01,0.0,0,0,0,0.0,0.0,0.0,0.0
936810,Indiaroba,2020-04-02,0.0,0,0,0,0.0,0.0,0.0,0.0
936811,Indiaroba,2020-04-03,0.0,0,0,0,0.0,0.0,0.0,0.0
936812,Indiaroba,2020-04-04,0.0,0,0,0,0.0,0.0,0.0,0.0
936813,Indiaroba,2020-04-05,0.0,0,0,0,0.0,0.0,0.0,0.0
936814,Indiaroba,2020-04-06,0.0,0,0,0,0.0,0.0,0.0,0.0
936815,Indiaroba,2020-04-07,0.0,0,0,0,0.0,0.0,0.0,0.0
936816,Indiaroba,2020-04-08,0.0,0,0,0,0.0,0.0,0.0,0.0
936817,Indiaroba,2020-04-09,0.0,0,0,0,0.0,0.0,0.0,0.0
936818,Indiaroba,2020-04-10,0.0,0,0,0,0.0,0.0,0.0,0.0
936819,Indiaroba,2020-04-11,0.0,0,0,0,0.0,0.0,0.0,0.0
936820,Indiaroba,2020-04-12,0.0,0,0,0,0.0,0.0,0.0,0.0
936821,Indiaroba,2020-04-13,0.0,0,0,0,0.0,0.0,0.0,0.0
936822,Indiaroba,2020-04-14,0.0,0,0,0,0.0,0.0,0.0,0.0
936823,Indiaroba,2020-04-15,0.0,0,0,0,0.0,0.0,0.0,0.0
936824,Indiaroba,2020-04-16,0.0,0,0,0,0.0,0.0,0.0,0.0
936825,Indiaroba,2020-04-17,0.0,0,0,0,0.0,0.0,0.0,0.0
936826,Indiaroba,2020-04-18,1.0,1,0,0,0.14285714285714285,0.0,1.0,0.0
936827,Indiaroba,2020-04-19,1.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
936828,Indiaroba,2020-04-20,1.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
936829,Indiaroba,2020-04-21,1.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
936830,Indiaroba,2020-04-22,1.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
936831,Indiaroba,2020-04-23,1.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
936832,Indiaroba,2020-04-24,1.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
936833,Indiaroba,2020-04-25,1.0,0,0,0,0.0,0.0,0.0,0.0
936834,Indiaroba,2020-04-26,1.0,0,0,0,0.0,0.0,0.0,0.0
936835,Indiaroba,2020-04-27,1.0,0,0,0,0.0,0.0,0.0,0.0
936836,Indiaroba,2020-04-28,2.0,1,0,0,0.14285714285714285,0.0,1.0,0.0
936837,Indiaroba,2020-04-29,2.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
936838,Indiaroba,2020-04-30,2.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
936839,Indiaroba,2020-05-01,2.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
936840,Indiaroba,2020-05-02,3.0,1,0,0,0.2857142857142857,0.0,2.0,0.0
936841,Indiaroba,2020-05-03,3.0,0,0,0,0.2857142857142857,0.0,2.0,0.0
936842,Indiaroba,2020-05-04,3.0,0,0,0,0.2857142857142857,0.0,2.0,0.0
936843,Indiaroba,2020-05-05,3.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
936844,Indiaroba,2020-05-06,3.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
936845,Indiaroba,2020-05-07,3.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
936846,Indiaroba,2020-05-08,3.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
936847,Indiaroba,2020-05-09,3.0,0,0,0,0.0,0.0,0.0,0.0
936848,Indiaroba,2020-05-10,4.0,1,0,0,0.14285714285714285,0.0,1.0,0.0
936849,Indiaroba,2020-05-11,3.0,-1,0,0,0.0,0.0,0.0,0.0
936850,Indiaroba,2020-05-12,3.0,0,0,0,0.0,0.0,0.0,0.0
936851,Indiaroba,2020-05-13,3.0,0,0,0,0.0,0.0,0.0,0.0
936852,Indiaroba,2020-05-14,3.0,0,0,0,0.0,0.0,0.0,0.0
936853,Indiaroba,2020-05-15,3.0,0,0,0,0.0,0.0,0.0,0.0
936854,Indiaroba,2020-05-16,5.0,2,0,0,0.2857142857142857,0.0,2.0,0.0
936855,Indiaroba,2020-05-17,5.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
936856,Indiaroba,2020-05-18,5.0,0,0,0,0.2857142857142857,0.0,2.0,0.0
936857,Indiaroba,2020-05-19,5.0,0,0,0,0.2857142857142857,0.0,2.0,0.0
936858,Indiaroba,2020-05-20,6.0,1,1,1,0.42857142857142855,0.14285714285714285,3.0,1.0
