index,municipio,data,casosAcumulado,casosNovos,obitosAcumulado,obitosNovos,daily_cases_moving_average,daily_deaths_moving_average,sum_of_daily_cases_week,sum_of_daily_deaths_week
956688,Ipiaú,2020-03-27,0.0,0,0,0,0.7142857142857143,0.0,5.0,0.0
956689,Ipiaú,2020-03-28,0.0,0,0,0,0.7142857142857143,0.0,5.0,0.0
956690,Ipiaú,2020-03-29,0.0,0,0,0,0.5714285714285714,0.0,4.0,0.0
956691,Ipiaú,2020-03-30,0.0,0,0,0,0.2857142857142857,0.0,2.0,0.0
956692,Ipiaú,2020-03-31,0.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
956693,Ipiaú,2020-04-01,1.0,1,0,0,0.14285714285714285,0.0,1.0,0.0
956694,Ipiaú,2020-04-02,1.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
956695,Ipiaú,2020-04-03,1.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
956696,Ipiaú,2020-04-04,1.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
956697,Ipiaú,2020-04-05,6.0,5,0,0,0.8571428571428571,0.0,6.0,0.0
956698,Ipiaú,2020-04-06,6.0,0,0,0,0.8571428571428571,0.0,6.0,0.0
956699,Ipiaú,2020-04-07,6.0,0,0,0,0.8571428571428571,0.0,6.0,0.0
956700,Ipiaú,2020-04-08,6.0,0,1,1,0.7142857142857143,0.14285714285714285,5.0,1.0
956701,Ipiaú,2020-04-09,12.0,6,0,-1,1.5714285714285714,0.0,11.0,0.0
956702,Ipiaú,2020-04-10,12.0,0,0,0,1.5714285714285714,0.0,11.0,0.0
956703,Ipiaú,2020-04-11,12.0,0,0,0,1.5714285714285714,0.0,11.0,0.0
956704,Ipiaú,2020-04-12,12.0,0,0,0,0.8571428571428571,0.0,6.0,0.0
956705,Ipiaú,2020-04-13,12.0,0,0,0,0.8571428571428571,0.0,6.0,0.0
956706,Ipiaú,2020-04-14,12.0,0,0,0,0.8571428571428571,0.0,6.0,0.0
956707,Ipiaú,2020-04-15,12.0,0,0,0,0.8571428571428571,-0.14285714285714285,6.0,-1.0
956708,Ipiaú,2020-04-16,13.0,1,0,0,0.14285714285714285,0.0,1.0,0.0
956709,Ipiaú,2020-04-17,15.0,2,0,0,0.42857142857142855,0.0,3.0,0.0
956710,Ipiaú,2020-04-18,15.0,0,0,0,0.42857142857142855,0.0,3.0,0.0
956711,Ipiaú,2020-04-19,15.0,0,1,1,0.42857142857142855,0.14285714285714285,3.0,1.0
956712,Ipiaú,2020-04-20,16.0,1,1,0,0.5714285714285714,0.14285714285714285,4.0,1.0
956713,Ipiaú,2020-04-21,15.0,-1,1,0,0.42857142857142855,0.14285714285714285,3.0,1.0
956714,Ipiaú,2020-04-22,15.0,0,1,0,0.42857142857142855,0.14285714285714285,3.0,1.0
956715,Ipiaú,2020-04-23,16.0,1,1,0,0.42857142857142855,0.14285714285714285,3.0,1.0
956716,Ipiaú,2020-04-24,16.0,0,1,0,0.14285714285714285,0.14285714285714285,1.0,1.0
956717,Ipiaú,2020-04-25,16.0,0,1,0,0.14285714285714285,0.14285714285714285,1.0,1.0
956718,Ipiaú,2020-04-26,16.0,0,1,0,0.14285714285714285,0.0,1.0,0.0
