index,municipio,data,casosAcumulado,casosNovos,obitosAcumulado,obitosNovos,daily_cases_moving_average,daily_deaths_moving_average,sum_of_daily_cases_week,sum_of_daily_deaths_week
930373,Iramaia,2020-03-27,0.0,0,0,0,0.7142857142857143,0.0,5.0,0.0
930374,Iramaia,2020-03-28,0.0,0,0,0,0.7142857142857143,0.0,5.0,0.0
930375,Iramaia,2020-03-29,0.0,0,0,0,0.7142857142857143,0.0,5.0,0.0
930376,Iramaia,2020-03-30,0.0,0,0,0,0.7142857142857143,0.0,5.0,0.0
930377,Iramaia,2020-03-31,0.0,0,0,0,0.5714285714285714,0.0,4.0,0.0
930378,Iramaia,2020-04-01,0.0,0,0,0,0.0,0.0,0.0,0.0
930379,Iramaia,2020-04-02,0.0,0,0,0,0.0,0.0,0.0,0.0
930380,Iramaia,2020-04-03,0.0,0,0,0,0.0,0.0,0.0,0.0
930381,Iramaia,2020-04-04,0.0,0,0,0,0.0,0.0,0.0,0.0
930382,Iramaia,2020-04-05,0.0,0,0,0,0.0,0.0,0.0,0.0
930383,Iramaia,2020-04-06,0.0,0,0,0,0.0,0.0,0.0,0.0
930384,Iramaia,2020-04-07,0.0,0,0,0,0.0,0.0,0.0,0.0
930385,Iramaia,2020-04-08,0.0,0,0,0,0.0,0.0,0.0,0.0
930386,Iramaia,2020-04-09,0.0,0,0,0,0.0,0.0,0.0,0.0
930387,Iramaia,2020-04-10,0.0,0,0,0,0.0,0.0,0.0,0.0
930388,Iramaia,2020-04-11,0.0,0,0,0,0.0,0.0,0.0,0.0
930389,Iramaia,2020-04-12,0.0,0,0,0,0.0,0.0,0.0,0.0
930390,Iramaia,2020-04-13,0.0,0,0,0,0.0,0.0,0.0,0.0
930391,Iramaia,2020-04-14,0.0,0,0,0,0.0,0.0,0.0,0.0
930392,Iramaia,2020-04-15,0.0,0,0,0,0.0,0.0,0.0,0.0
930393,Iramaia,2020-04-16,0.0,0,0,0,0.0,0.0,0.0,0.0
930394,Iramaia,2020-04-17,0.0,0,0,0,0.0,0.0,0.0,0.0
930395,Iramaia,2020-04-18,0.0,0,0,0,0.0,0.0,0.0,0.0
930396,Iramaia,2020-04-19,0.0,0,0,0,0.0,0.0,0.0,0.0
930397,Iramaia,2020-04-20,0.0,0,0,0,0.0,0.0,0.0,0.0
930398,Iramaia,2020-04-21,0.0,0,0,0,0.0,0.0,0.0,0.0
930399,Iramaia,2020-04-22,0.0,0,0,0,0.0,0.0,0.0,0.0
930400,Iramaia,2020-04-23,0.0,0,0,0,0.0,0.0,0.0,0.0
930401,Iramaia,2020-04-24,0.0,0,0,0,0.0,0.0,0.0,0.0
930402,Iramaia,2020-04-25,0.0,0,0,0,0.0,0.0,0.0,0.0
930403,Iramaia,2020-04-26,0.0,0,0,0,0.0,0.0,0.0,0.0
930404,Iramaia,2020-04-27,0.0,0,0,0,0.0,0.0,0.0,0.0
930405,Iramaia,2020-04-28,0.0,0,0,0,0.0,0.0,0.0,0.0
930406,Iramaia,2020-04-29,0.0,0,0,0,0.0,0.0,0.0,0.0
930407,Iramaia,2020-04-30,0.0,0,0,0,0.0,0.0,0.0,0.0
930408,Iramaia,2020-05-01,0.0,0,0,0,0.0,0.0,0.0,0.0
930409,Iramaia,2020-05-02,0.0,0,0,0,0.0,0.0,0.0,0.0
930410,Iramaia,2020-05-03,0.0,0,0,0,0.0,0.0,0.0,0.0
930411,Iramaia,2020-05-04,0.0,0,0,0,0.0,0.0,0.0,0.0
930412,Iramaia,2020-05-05,0.0,0,0,0,0.0,0.0,0.0,0.0
930413,Iramaia,2020-05-06,0.0,0,0,0,0.0,0.0,0.0,0.0
930414,Iramaia,2020-05-07,0.0,0,0,0,0.0,0.0,0.0,0.0
930415,Iramaia,2020-05-08,0.0,0,0,0,0.0,0.0,0.0,0.0
930416,Iramaia,2020-05-09,0.0,0,0,0,0.0,0.0,0.0,0.0
930417,Iramaia,2020-05-10,0.0,0,0,0,0.0,0.0,0.0,0.0
930418,Iramaia,2020-05-11,0.0,0,0,0,0.0,0.0,0.0,0.0
930419,Iramaia,2020-05-12,0.0,0,0,0,0.0,0.0,0.0,0.0
930420,Iramaia,2020-05-13,0.0,0,0,0,0.0,0.0,0.0,0.0
930421,Iramaia,2020-05-14,0.0,0,0,0,0.0,0.0,0.0,0.0
930422,Iramaia,2020-05-15,0.0,0,0,0,0.0,0.0,0.0,0.0
930423,Iramaia,2020-05-16,0.0,0,0,0,0.0,0.0,0.0,0.0
930424,Iramaia,2020-05-17,0.0,0,0,0,0.0,0.0,0.0,0.0
930425,Iramaia,2020-05-18,0.0,0,0,0,0.0,0.0,0.0,0.0
930426,Iramaia,2020-05-19,0.0,0,0,0,0.0,0.0,0.0,0.0
930427,Iramaia,2020-05-20,0.0,0,0,0,0.0,0.0,0.0,0.0
930428,Iramaia,2020-05-21,0.0,0,0,0,0.0,0.0,0.0,0.0
930429,Iramaia,2020-05-22,0.0,0,0,0,0.0,0.0,0.0,0.0
930430,Iramaia,2020-05-23,0.0,0,0,0,0.0,0.0,0.0,0.0
930431,Iramaia,2020-05-24,0.0,0,0,0,0.0,0.0,0.0,0.0
930432,Iramaia,2020-05-25,0.0,0,0,0,0.0,0.0,0.0,0.0
930433,Iramaia,2020-05-26,0.0,0,0,0,0.0,0.0,0.0,0.0
930434,Iramaia,2020-05-27,0.0,0,0,0,0.0,0.0,0.0,0.0
930435,Iramaia,2020-05-28,0.0,0,0,0,0.0,0.0,0.0,0.0
930436,Iramaia,2020-05-29,0.0,0,0,0,0.0,0.0,0.0,0.0
930437,Iramaia,2020-05-30,0.0,0,0,0,0.0,0.0,0.0,0.0
930438,Iramaia,2020-05-31,0.0,0,0,0,0.0,0.0,0.0,0.0
930439,Iramaia,2020-06-01,0.0,0,0,0,0.0,0.0,0.0,0.0
930440,Iramaia,2020-06-02,0.0,0,0,0,0.0,0.0,0.0,0.0
930441,Iramaia,2020-06-03,0.0,0,0,0,0.0,0.0,0.0,0.0
930442,Iramaia,2020-06-04,0.0,0,0,0,0.0,0.0,0.0,0.0
930443,Iramaia,2020-06-05,1.0,1,0,0,0.14285714285714285,0.0,1.0,0.0
930444,Iramaia,2020-06-06,1.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
930445,Iramaia,2020-06-07,1.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
930446,Iramaia,2020-06-08,1.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
930447,Iramaia,2020-06-09,1.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
930448,Iramaia,2020-06-10,2.0,1,0,0,0.2857142857142857,0.0,2.0,0.0
930449,Iramaia,2020-06-11,2.0,0,0,0,0.2857142857142857,0.0,2.0,0.0
930450,Iramaia,2020-06-12,2.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
930451,Iramaia,2020-06-13,2.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
930452,Iramaia,2020-06-14,2.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
930453,Iramaia,2020-06-15,2.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
930454,Iramaia,2020-06-16,2.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
930455,Iramaia,2020-06-17,2.0,0,0,0,0.0,0.0,0.0,0.0
930456,Iramaia,2020-06-18,2.0,0,0,0,0.0,0.0,0.0,0.0
930457,Iramaia,2020-06-19,2.0,0,0,0,0.0,0.0,0.0,0.0
930458,Iramaia,2020-06-20,2.0,0,0,0,0.0,0.0,0.0,0.0
930459,Iramaia,2020-06-21,2.0,0,0,0,0.0,0.0,0.0,0.0
930460,Iramaia,2020-06-22,2.0,0,0,0,0.0,0.0,0.0,0.0
930461,Iramaia,2020-06-23,2.0,0,0,0,0.0,0.0,0.0,0.0
930462,Iramaia,2020-06-24,2.0,0,0,0,0.0,0.0,0.0,0.0
930463,Iramaia,2020-06-25,2.0,0,0,0,0.0,0.0,0.0,0.0
930464,Iramaia,2020-06-26,2.0,0,0,0,0.0,0.0,0.0,0.0
930465,Iramaia,2020-06-27,2.0,0,0,0,0.0,0.0,0.0,0.0
930466,Iramaia,2020-06-28,2.0,0,0,0,0.0,0.0,0.0,0.0
930467,Iramaia,2020-06-29,2.0,0,0,0,0.0,0.0,0.0,0.0
930468,Iramaia,2020-06-30,2.0,0,0,0,0.0,0.0,0.0,0.0
930469,Iramaia,2020-07-01,2.0,0,0,0,0.0,0.0,0.0,0.0
930470,Iramaia,2020-07-02,2.0,0,0,0,0.0,0.0,0.0,0.0
930471,Iramaia,2020-07-03,2.0,0,0,0,0.0,0.0,0.0,0.0
930472,Iramaia,2020-07-04,2.0,0,0,0,0.0,0.0,0.0,0.0
930473,Iramaia,2020-07-05,2.0,0,0,0,0.0,0.0,0.0,0.0
930474,Iramaia,2020-07-06,2.0,0,0,0,0.0,0.0,0.0,0.0
930475,Iramaia,2020-07-07,2.0,0,0,0,0.0,0.0,0.0,0.0
930476,Iramaia,2020-07-08,2.0,0,0,0,0.0,0.0,0.0,0.0
930477,Iramaia,2020-07-09,2.0,0,0,0,0.0,0.0,0.0,0.0
930478,Iramaia,2020-07-10,4.0,2,0,0,0.2857142857142857,0.0,2.0,0.0
930479,Iramaia,2020-07-11,4.0,0,0,0,0.2857142857142857,0.0,2.0,0.0
930480,Iramaia,2020-07-12,6.0,2,0,0,0.5714285714285714,0.0,4.0,0.0
930481,Iramaia,2020-07-13,6.0,0,0,0,0.5714285714285714,0.0,4.0,0.0
930482,Iramaia,2020-07-14,6.0,0,0,0,0.5714285714285714,0.0,4.0,0.0
930483,Iramaia,2020-07-15,7.0,1,0,0,0.7142857142857143,0.0,5.0,0.0
930484,Iramaia,2020-07-16,7.0,0,0,0,0.7142857142857143,0.0,5.0,0.0
