index,municipio,data,casosAcumulado,casosNovos,obitosAcumulado,obitosNovos,daily_cases_moving_average,daily_deaths_moving_average,sum_of_daily_cases_week,sum_of_daily_deaths_week
949185,Irapuã,2020-03-27,0.0,0,0,0,2.5714285714285716,0.14285714285714285,18.0,1.0
949186,Irapuã,2020-03-28,0.0,0,0,0,2.5714285714285716,0.0,18.0,0.0
949187,Irapuã,2020-03-29,0.0,0,0,0,1.8571428571428572,0.0,13.0,0.0
949188,Irapuã,2020-03-30,0.0,0,0,0,0.8571428571428571,0.0,6.0,0.0
949189,Irapuã,2020-03-31,0.0,0,0,0,0.0,0.0,0.0,0.0
949190,Irapuã,2020-04-01,0.0,0,0,0,0.0,0.0,0.0,0.0
949191,Irapuã,2020-04-02,0.0,0,0,0,0.0,0.0,0.0,0.0
949192,Irapuã,2020-04-03,0.0,0,0,0,0.0,0.0,0.0,0.0
949193,Irapuã,2020-04-04,0.0,0,0,0,0.0,0.0,0.0,0.0
949194,Irapuã,2020-04-05,0.0,0,0,0,0.0,0.0,0.0,0.0
949195,Irapuã,2020-04-06,0.0,0,0,0,0.0,0.0,0.0,0.0
949196,Irapuã,2020-04-07,0.0,0,0,0,0.0,0.0,0.0,0.0
949197,Irapuã,2020-04-08,0.0,0,0,0,0.0,0.0,0.0,0.0
949198,Irapuã,2020-04-09,0.0,0,0,0,0.0,0.0,0.0,0.0
949199,Irapuã,2020-04-10,0.0,0,0,0,0.0,0.0,0.0,0.0
949200,Irapuã,2020-04-11,0.0,0,0,0,0.0,0.0,0.0,0.0
949201,Irapuã,2020-04-12,0.0,0,0,0,0.0,0.0,0.0,0.0
949202,Irapuã,2020-04-13,0.0,0,0,0,0.0,0.0,0.0,0.0
949203,Irapuã,2020-04-14,0.0,0,0,0,0.0,0.0,0.0,0.0
949204,Irapuã,2020-04-15,0.0,0,0,0,0.0,0.0,0.0,0.0
949205,Irapuã,2020-04-16,0.0,0,0,0,0.0,0.0,0.0,0.0
949206,Irapuã,2020-04-17,0.0,0,0,0,0.0,0.0,0.0,0.0
949207,Irapuã,2020-04-18,0.0,0,0,0,0.0,0.0,0.0,0.0
949208,Irapuã,2020-04-19,0.0,0,0,0,0.0,0.0,0.0,0.0
949209,Irapuã,2020-04-20,0.0,0,0,0,0.0,0.0,0.0,0.0
949210,Irapuã,2020-04-21,0.0,0,0,0,0.0,0.0,0.0,0.0
949211,Irapuã,2020-04-22,0.0,0,0,0,0.0,0.0,0.0,0.0
949212,Irapuã,2020-04-23,0.0,0,0,0,0.0,0.0,0.0,0.0
949213,Irapuã,2020-04-24,0.0,0,0,0,0.0,0.0,0.0,0.0
949214,Irapuã,2020-04-25,0.0,0,0,0,0.0,0.0,0.0,0.0
949215,Irapuã,2020-04-26,0.0,0,0,0,0.0,0.0,0.0,0.0
949216,Irapuã,2020-04-27,0.0,0,0,0,0.0,0.0,0.0,0.0
949217,Irapuã,2020-04-28,0.0,0,0,0,0.0,0.0,0.0,0.0
949218,Irapuã,2020-04-29,0.0,0,0,0,0.0,0.0,0.0,0.0
949219,Irapuã,2020-04-30,0.0,0,0,0,0.0,0.0,0.0,0.0
949220,Irapuã,2020-05-01,0.0,0,0,0,0.0,0.0,0.0,0.0
949221,Irapuã,2020-05-02,0.0,0,0,0,0.0,0.0,0.0,0.0
949222,Irapuã,2020-05-03,0.0,0,0,0,0.0,0.0,0.0,0.0
949223,Irapuã,2020-05-04,0.0,0,0,0,0.0,0.0,0.0,0.0
949224,Irapuã,2020-05-05,0.0,0,0,0,0.0,0.0,0.0,0.0
949225,Irapuã,2020-05-06,0.0,0,0,0,0.0,0.0,0.0,0.0
949226,Irapuã,2020-05-07,0.0,0,0,0,0.0,0.0,0.0,0.0
949227,Irapuã,2020-05-08,0.0,0,0,0,0.0,0.0,0.0,0.0
949228,Irapuã,2020-05-09,0.0,0,0,0,0.0,0.0,0.0,0.0
949229,Irapuã,2020-05-10,0.0,0,0,0,0.0,0.0,0.0,0.0
949230,Irapuã,2020-05-11,0.0,0,0,0,0.0,0.0,0.0,0.0
949231,Irapuã,2020-05-12,0.0,0,0,0,0.0,0.0,0.0,0.0
949232,Irapuã,2020-05-13,0.0,0,0,0,0.0,0.0,0.0,0.0
949233,Irapuã,2020-05-14,0.0,0,0,0,0.0,0.0,0.0,0.0
949234,Irapuã,2020-05-15,0.0,0,0,0,0.0,0.0,0.0,0.0
949235,Irapuã,2020-05-16,0.0,0,0,0,0.0,0.0,0.0,0.0
949236,Irapuã,2020-05-17,0.0,0,0,0,0.0,0.0,0.0,0.0
949237,Irapuã,2020-05-18,0.0,0,0,0,0.0,0.0,0.0,0.0
949238,Irapuã,2020-05-19,0.0,0,0,0,0.0,0.0,0.0,0.0
949239,Irapuã,2020-05-20,0.0,0,0,0,0.0,0.0,0.0,0.0
949240,Irapuã,2020-05-21,0.0,0,0,0,0.0,0.0,0.0,0.0
949241,Irapuã,2020-05-22,0.0,0,0,0,0.0,0.0,0.0,0.0
949242,Irapuã,2020-05-23,0.0,0,0,0,0.0,0.0,0.0,0.0
949243,Irapuã,2020-05-24,0.0,0,0,0,0.0,0.0,0.0,0.0
949244,Irapuã,2020-05-25,1.0,1,0,0,0.14285714285714285,0.0,1.0,0.0
949245,Irapuã,2020-05-26,1.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
949246,Irapuã,2020-05-27,1.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
949247,Irapuã,2020-05-28,2.0,1,0,0,0.2857142857142857,0.0,2.0,0.0
949248,Irapuã,2020-05-29,2.0,0,0,0,0.2857142857142857,0.0,2.0,0.0
949249,Irapuã,2020-05-30,2.0,0,0,0,0.2857142857142857,0.0,2.0,0.0
949250,Irapuã,2020-05-31,2.0,0,0,0,0.2857142857142857,0.0,2.0,0.0
949251,Irapuã,2020-06-01,2.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
949252,Irapuã,2020-06-02,2.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
949253,Irapuã,2020-06-03,2.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
949254,Irapuã,2020-06-04,3.0,1,0,0,0.14285714285714285,0.0,1.0,0.0
949255,Irapuã,2020-06-05,3.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
949256,Irapuã,2020-06-06,3.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
949257,Irapuã,2020-06-07,3.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
949258,Irapuã,2020-06-08,3.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
949259,Irapuã,2020-06-09,3.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
949260,Irapuã,2020-06-10,3.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
949261,Irapuã,2020-06-11,3.0,0,0,0,0.0,0.0,0.0,0.0
949262,Irapuã,2020-06-12,3.0,0,0,0,0.0,0.0,0.0,0.0
949263,Irapuã,2020-06-13,3.0,0,0,0,0.0,0.0,0.0,0.0
949264,Irapuã,2020-06-14,3.0,0,0,0,0.0,0.0,0.0,0.0
949265,Irapuã,2020-06-15,3.0,0,0,0,0.0,0.0,0.0,0.0
949266,Irapuã,2020-06-16,4.0,1,0,0,0.14285714285714285,0.0,1.0,0.0
949267,Irapuã,2020-06-17,4.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
949268,Irapuã,2020-06-18,4.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
949269,Irapuã,2020-06-19,4.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
949270,Irapuã,2020-06-20,4.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
949271,Irapuã,2020-06-21,4.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
