index,municipio,data,casosAcumulado,casosNovos,obitosAcumulado,obitosNovos,daily_cases_moving_average,daily_deaths_moving_average,sum_of_daily_cases_week,sum_of_daily_deaths_week
911886,Itacurubi,2020-03-27,0.0,0,0,0,3.2857142857142856,0.14285714285714285,23.0,1.0
911887,Itacurubi,2020-03-28,0.0,0,0,0,2.5714285714285716,0.14285714285714285,18.0,1.0
911888,Itacurubi,2020-03-29,0.0,0,0,0,2.5714285714285716,0.14285714285714285,18.0,1.0
911889,Itacurubi,2020-03-30,0.0,0,0,0,1.8571428571428572,0.14285714285714285,13.0,1.0
911890,Itacurubi,2020-03-31,0.0,0,0,0,1.2857142857142858,0.0,9.0,0.0
911891,Itacurubi,2020-04-01,0.0,0,0,0,0.2857142857142857,0.0,2.0,0.0
911892,Itacurubi,2020-04-02,0.0,0,0,0,0.0,0.0,0.0,0.0
911893,Itacurubi,2020-04-03,0.0,0,0,0,0.0,0.0,0.0,0.0
911894,Itacurubi,2020-04-04,0.0,0,0,0,0.0,0.0,0.0,0.0
911895,Itacurubi,2020-04-05,0.0,0,0,0,0.0,0.0,0.0,0.0
911896,Itacurubi,2020-04-06,0.0,0,0,0,0.0,0.0,0.0,0.0
911897,Itacurubi,2020-04-07,0.0,0,0,0,0.0,0.0,0.0,0.0
911898,Itacurubi,2020-04-08,0.0,0,0,0,0.0,0.0,0.0,0.0
911899,Itacurubi,2020-04-09,0.0,0,0,0,0.0,0.0,0.0,0.0
911900,Itacurubi,2020-04-10,0.0,0,0,0,0.0,0.0,0.0,0.0
911901,Itacurubi,2020-04-11,0.0,0,0,0,0.0,0.0,0.0,0.0
911902,Itacurubi,2020-04-12,0.0,0,0,0,0.0,0.0,0.0,0.0
911903,Itacurubi,2020-04-13,0.0,0,0,0,0.0,0.0,0.0,0.0
911904,Itacurubi,2020-04-14,0.0,0,0,0,0.0,0.0,0.0,0.0
911905,Itacurubi,2020-04-15,0.0,0,0,0,0.0,0.0,0.0,0.0
911906,Itacurubi,2020-04-16,0.0,0,0,0,0.0,0.0,0.0,0.0
911907,Itacurubi,2020-04-17,0.0,0,0,0,0.0,0.0,0.0,0.0
911908,Itacurubi,2020-04-18,0.0,0,0,0,0.0,0.0,0.0,0.0
911909,Itacurubi,2020-04-19,0.0,0,0,0,0.0,0.0,0.0,0.0
911910,Itacurubi,2020-04-20,0.0,0,0,0,0.0,0.0,0.0,0.0
911911,Itacurubi,2020-04-21,0.0,0,0,0,0.0,0.0,0.0,0.0
911912,Itacurubi,2020-04-22,0.0,0,0,0,0.0,0.0,0.0,0.0
911913,Itacurubi,2020-04-23,0.0,0,0,0,0.0,0.0,0.0,0.0
911914,Itacurubi,2020-04-24,0.0,0,0,0,0.0,0.0,0.0,0.0
911915,Itacurubi,2020-04-25,0.0,0,0,0,0.0,0.0,0.0,0.0
911916,Itacurubi,2020-04-26,0.0,0,0,0,0.0,0.0,0.0,0.0
911917,Itacurubi,2020-04-27,0.0,0,0,0,0.0,0.0,0.0,0.0
911918,Itacurubi,2020-04-28,0.0,0,0,0,0.0,0.0,0.0,0.0
911919,Itacurubi,2020-04-29,0.0,0,0,0,0.0,0.0,0.0,0.0
911920,Itacurubi,2020-04-30,0.0,0,0,0,0.0,0.0,0.0,0.0
911921,Itacurubi,2020-05-01,0.0,0,0,0,0.0,0.0,0.0,0.0
911922,Itacurubi,2020-05-02,0.0,0,0,0,0.0,0.0,0.0,0.0
911923,Itacurubi,2020-05-03,0.0,0,0,0,0.0,0.0,0.0,0.0
911924,Itacurubi,2020-05-04,0.0,0,0,0,0.0,0.0,0.0,0.0
911925,Itacurubi,2020-05-05,0.0,0,0,0,0.0,0.0,0.0,0.0
911926,Itacurubi,2020-05-06,0.0,0,0,0,0.0,0.0,0.0,0.0
911927,Itacurubi,2020-05-07,0.0,0,0,0,0.0,0.0,0.0,0.0
911928,Itacurubi,2020-05-08,0.0,0,0,0,0.0,0.0,0.0,0.0
911929,Itacurubi,2020-05-09,0.0,0,0,0,0.0,0.0,0.0,0.0
911930,Itacurubi,2020-05-10,0.0,0,0,0,0.0,0.0,0.0,0.0
911931,Itacurubi,2020-05-11,0.0,0,0,0,0.0,0.0,0.0,0.0
911932,Itacurubi,2020-05-12,0.0,0,0,0,0.0,0.0,0.0,0.0
911933,Itacurubi,2020-05-13,0.0,0,0,0,0.0,0.0,0.0,0.0
911934,Itacurubi,2020-05-14,0.0,0,0,0,0.0,0.0,0.0,0.0
911935,Itacurubi,2020-05-15,0.0,0,0,0,0.0,0.0,0.0,0.0
911936,Itacurubi,2020-05-16,0.0,0,0,0,0.0,0.0,0.0,0.0
911937,Itacurubi,2020-05-17,0.0,0,0,0,0.0,0.0,0.0,0.0
911938,Itacurubi,2020-05-18,0.0,0,0,0,0.0,0.0,0.0,0.0
911939,Itacurubi,2020-05-19,0.0,0,0,0,0.0,0.0,0.0,0.0
911940,Itacurubi,2020-05-20,0.0,0,0,0,0.0,0.0,0.0,0.0
911941,Itacurubi,2020-05-21,0.0,0,0,0,0.0,0.0,0.0,0.0
911942,Itacurubi,2020-05-22,0.0,0,0,0,0.0,0.0,0.0,0.0
911943,Itacurubi,2020-05-23,0.0,0,0,0,0.0,0.0,0.0,0.0
911944,Itacurubi,2020-05-24,0.0,0,0,0,0.0,0.0,0.0,0.0
911945,Itacurubi,2020-05-25,0.0,0,0,0,0.0,0.0,0.0,0.0
911946,Itacurubi,2020-05-26,0.0,0,0,0,0.0,0.0,0.0,0.0
911947,Itacurubi,2020-05-27,0.0,0,0,0,0.0,0.0,0.0,0.0
911948,Itacurubi,2020-05-28,0.0,0,0,0,0.0,0.0,0.0,0.0
911949,Itacurubi,2020-05-29,0.0,0,0,0,0.0,0.0,0.0,0.0
911950,Itacurubi,2020-05-30,0.0,0,0,0,0.0,0.0,0.0,0.0
911951,Itacurubi,2020-05-31,0.0,0,0,0,0.0,0.0,0.0,0.0
911952,Itacurubi,2020-06-01,0.0,0,0,0,0.0,0.0,0.0,0.0
911953,Itacurubi,2020-06-02,0.0,0,0,0,0.0,0.0,0.0,0.0
911954,Itacurubi,2020-06-03,0.0,0,0,0,0.0,0.0,0.0,0.0
911955,Itacurubi,2020-06-04,0.0,0,0,0,0.0,0.0,0.0,0.0
911956,Itacurubi,2020-06-05,9.0,9,0,0,1.2857142857142858,0.0,9.0,0.0
911957,Itacurubi,2020-06-06,9.0,0,0,0,1.2857142857142858,0.0,9.0,0.0
911958,Itacurubi,2020-06-07,9.0,0,0,0,1.2857142857142858,0.0,9.0,0.0
911959,Itacurubi,2020-06-08,9.0,0,0,0,1.2857142857142858,0.0,9.0,0.0
911960,Itacurubi,2020-06-09,9.0,0,0,0,1.2857142857142858,0.0,9.0,0.0
911961,Itacurubi,2020-06-10,9.0,0,0,0,1.2857142857142858,0.0,9.0,0.0
911962,Itacurubi,2020-06-11,9.0,0,0,0,1.2857142857142858,0.0,9.0,0.0
911963,Itacurubi,2020-06-12,9.0,0,0,0,0.0,0.0,0.0,0.0
911964,Itacurubi,2020-06-13,9.0,0,0,0,0.0,0.0,0.0,0.0
911965,Itacurubi,2020-06-14,9.0,0,0,0,0.0,0.0,0.0,0.0
911966,Itacurubi,2020-06-15,10.0,1,0,0,0.14285714285714285,0.0,1.0,0.0
911967,Itacurubi,2020-06-16,16.0,6,2,2,1.0,0.2857142857142857,7.0,2.0
911968,Itacurubi,2020-06-17,16.0,0,2,0,1.0,0.2857142857142857,7.0,2.0
911969,Itacurubi,2020-06-18,16.0,0,2,0,1.0,0.2857142857142857,7.0,2.0
911970,Itacurubi,2020-06-19,16.0,0,2,0,1.0,0.2857142857142857,7.0,2.0
911971,Itacurubi,2020-06-20,16.0,0,2,0,1.0,0.2857142857142857,7.0,2.0
911972,Itacurubi,2020-06-21,16.0,0,2,0,1.0,0.2857142857142857,7.0,2.0
911973,Itacurubi,2020-06-22,16.0,0,2,0,0.8571428571428571,0.2857142857142857,6.0,2.0
911974,Itacurubi,2020-06-23,18.0,2,2,0,0.2857142857142857,0.0,2.0,0.0
911975,Itacurubi,2020-06-24,18.0,0,2,0,0.2857142857142857,0.0,2.0,0.0
911976,Itacurubi,2020-06-25,18.0,0,2,0,0.2857142857142857,0.0,2.0,0.0
911977,Itacurubi,2020-06-26,18.0,0,2,0,0.2857142857142857,0.0,2.0,0.0
911978,Itacurubi,2020-06-27,18.0,0,2,0,0.2857142857142857,0.0,2.0,0.0
911979,Itacurubi,2020-06-28,18.0,0,2,0,0.2857142857142857,0.0,2.0,0.0
911980,Itacurubi,2020-06-29,18.0,0,2,0,0.2857142857142857,0.0,2.0,0.0
911981,Itacurubi,2020-06-30,18.0,0,2,0,0.0,0.0,0.0,0.0
911982,Itacurubi,2020-07-01,18.0,0,2,0,0.0,0.0,0.0,0.0
911983,Itacurubi,2020-07-02,18.0,0,2,0,0.0,0.0,0.0,0.0
911984,Itacurubi,2020-07-03,18.0,0,2,0,0.0,0.0,0.0,0.0
911985,Itacurubi,2020-07-04,18.0,0,2,0,0.0,0.0,0.0,0.0
911986,Itacurubi,2020-07-05,18.0,0,2,0,0.0,0.0,0.0,0.0
911987,Itacurubi,2020-07-06,18.0,0,2,0,0.0,0.0,0.0,0.0
911988,Itacurubi,2020-07-07,18.0,0,2,0,0.0,0.0,0.0,0.0
911989,Itacurubi,2020-07-08,18.0,0,2,0,0.0,0.0,0.0,0.0
