index,municipio,data,casosAcumulado,casosNovos,obitosAcumulado,obitosNovos,daily_cases_moving_average,daily_deaths_moving_average,sum_of_daily_cases_week,sum_of_daily_deaths_week
973726,Itambé do Mato Dentro,2020-03-27,0.0,0,0,0,12.714285714285714,0.2857142857142857,89.0,2.0
973727,Itambé do Mato Dentro,2020-03-28,0.0,0,0,0,12.285714285714286,0.14285714285714285,86.0,1.0
973728,Itambé do Mato Dentro,2020-03-29,0.0,0,0,0,11.714285714285714,0.14285714285714285,82.0,1.0
973729,Itambé do Mato Dentro,2020-03-30,0.0,0,0,0,11.428571428571429,0.0,80.0,0.0
973730,Itambé do Mato Dentro,2020-03-31,0.0,0,0,0,8.571428571428571,0.0,60.0,0.0
973731,Itambé do Mato Dentro,2020-04-01,0.0,0,0,0,7.714285714285714,0.0,54.0,0.0
973732,Itambé do Mato Dentro,2020-04-02,0.0,0,0,0,0.0,0.0,0.0,0.0
973733,Itambé do Mato Dentro,2020-04-03,0.0,0,0,0,0.0,0.0,0.0,0.0
973734,Itambé do Mato Dentro,2020-04-04,0.0,0,0,0,0.0,0.0,0.0,0.0
973735,Itambé do Mato Dentro,2020-04-05,0.0,0,0,0,0.0,0.0,0.0,0.0
973736,Itambé do Mato Dentro,2020-04-06,0.0,0,0,0,0.0,0.0,0.0,0.0
973737,Itambé do Mato Dentro,2020-04-07,0.0,0,0,0,0.0,0.0,0.0,0.0
973738,Itambé do Mato Dentro,2020-04-08,0.0,0,0,0,0.0,0.0,0.0,0.0
973739,Itambé do Mato Dentro,2020-04-09,0.0,0,0,0,0.0,0.0,0.0,0.0
973740,Itambé do Mato Dentro,2020-04-10,0.0,0,0,0,0.0,0.0,0.0,0.0
973741,Itambé do Mato Dentro,2020-04-11,0.0,0,0,0,0.0,0.0,0.0,0.0
973742,Itambé do Mato Dentro,2020-04-12,0.0,0,0,0,0.0,0.0,0.0,0.0
973743,Itambé do Mato Dentro,2020-04-13,0.0,0,0,0,0.0,0.0,0.0,0.0
973744,Itambé do Mato Dentro,2020-04-14,0.0,0,0,0,0.0,0.0,0.0,0.0
973745,Itambé do Mato Dentro,2020-04-15,0.0,0,0,0,0.0,0.0,0.0,0.0
973746,Itambé do Mato Dentro,2020-04-16,0.0,0,0,0,0.0,0.0,0.0,0.0
973747,Itambé do Mato Dentro,2020-04-17,0.0,0,0,0,0.0,0.0,0.0,0.0
973748,Itambé do Mato Dentro,2020-04-18,0.0,0,0,0,0.0,0.0,0.0,0.0
973749,Itambé do Mato Dentro,2020-04-19,0.0,0,0,0,0.0,0.0,0.0,0.0
973750,Itambé do Mato Dentro,2020-04-20,0.0,0,0,0,0.0,0.0,0.0,0.0
973751,Itambé do Mato Dentro,2020-04-21,0.0,0,0,0,0.0,0.0,0.0,0.0
973752,Itambé do Mato Dentro,2020-04-22,0.0,0,0,0,0.0,0.0,0.0,0.0
973753,Itambé do Mato Dentro,2020-04-23,0.0,0,0,0,0.0,0.0,0.0,0.0
973754,Itambé do Mato Dentro,2020-04-24,0.0,0,0,0,0.0,0.0,0.0,0.0
973755,Itambé do Mato Dentro,2020-04-25,0.0,0,0,0,0.0,0.0,0.0,0.0
973756,Itambé do Mato Dentro,2020-04-26,0.0,0,0,0,0.0,0.0,0.0,0.0
973757,Itambé do Mato Dentro,2020-04-27,0.0,0,0,0,0.0,0.0,0.0,0.0
973758,Itambé do Mato Dentro,2020-04-28,0.0,0,0,0,0.0,0.0,0.0,0.0
973759,Itambé do Mato Dentro,2020-04-29,0.0,0,0,0,0.0,0.0,0.0,0.0
973760,Itambé do Mato Dentro,2020-04-30,0.0,0,0,0,0.0,0.0,0.0,0.0
973761,Itambé do Mato Dentro,2020-05-01,0.0,0,0,0,0.0,0.0,0.0,0.0
973762,Itambé do Mato Dentro,2020-05-02,0.0,0,0,0,0.0,0.0,0.0,0.0
973763,Itambé do Mato Dentro,2020-05-03,0.0,0,0,0,0.0,0.0,0.0,0.0
973764,Itambé do Mato Dentro,2020-05-04,0.0,0,0,0,0.0,0.0,0.0,0.0
973765,Itambé do Mato Dentro,2020-05-05,0.0,0,0,0,0.0,0.0,0.0,0.0
973766,Itambé do Mato Dentro,2020-05-06,0.0,0,0,0,0.0,0.0,0.0,0.0
973767,Itambé do Mato Dentro,2020-05-07,0.0,0,0,0,0.0,0.0,0.0,0.0
