index,municipio,data,casosAcumulado,casosNovos,obitosAcumulado,obitosNovos,daily_cases_moving_average,daily_deaths_moving_average,sum_of_daily_cases_week,sum_of_daily_deaths_week
1009737,Itapetinga,2020-03-27,0.0,0,0,0,1.8571428571428572,0.0,13.0,0.0
1009738,Itapetinga,2020-03-28,0.0,0,0,0,1.0,0.0,7.0,0.0
1009739,Itapetinga,2020-03-29,0.0,0,0,0,0.5714285714285714,0.0,4.0,0.0
1009740,Itapetinga,2020-03-30,0.0,0,0,0,0.5714285714285714,0.0,4.0,0.0
1009741,Itapetinga,2020-03-31,0.0,0,0,0,0.5714285714285714,0.0,4.0,0.0
1009742,Itapetinga,2020-04-01,0.0,0,0,0,0.5714285714285714,0.0,4.0,0.0
1009743,Itapetinga,2020-04-02,0.0,0,0,0,0.0,0.0,0.0,0.0
1009744,Itapetinga,2020-04-03,0.0,0,0,0,0.0,0.0,0.0,0.0
1009745,Itapetinga,2020-04-04,1.0,1,1,1,0.14285714285714285,0.14285714285714285,1.0,1.0
1009746,Itapetinga,2020-04-05,1.0,0,1,0,0.14285714285714285,0.14285714285714285,1.0,1.0
1009747,Itapetinga,2020-04-06,1.0,0,1,0,0.14285714285714285,0.14285714285714285,1.0,1.0
1009748,Itapetinga,2020-04-07,2.0,1,1,0,0.2857142857142857,0.14285714285714285,2.0,1.0
1009749,Itapetinga,2020-04-08,3.0,1,1,0,0.42857142857142855,0.14285714285714285,3.0,1.0
1009750,Itapetinga,2020-04-09,3.0,0,1,0,0.42857142857142855,0.14285714285714285,3.0,1.0
1009751,Itapetinga,2020-04-10,3.0,0,1,0,0.42857142857142855,0.14285714285714285,3.0,1.0
1009752,Itapetinga,2020-04-11,4.0,1,1,0,0.42857142857142855,0.0,3.0,0.0
1009753,Itapetinga,2020-04-12,5.0,1,1,0,0.5714285714285714,0.0,4.0,0.0
1009754,Itapetinga,2020-04-13,5.0,0,1,0,0.5714285714285714,0.0,4.0,0.0
1009755,Itapetinga,2020-04-14,5.0,0,1,0,0.42857142857142855,0.0,3.0,0.0
