index,municipio,data,casosAcumulado,casosNovos,obitosAcumulado,obitosNovos,daily_cases_moving_average,daily_deaths_moving_average,sum_of_daily_cases_week,sum_of_daily_deaths_week
1005550,Itaubal,2020-03-27,0.0,0,0,0,3.2857142857142856,0.14285714285714285,23.0,1.0
1005551,Itaubal,2020-03-28,0.0,0,0,0,1.8571428571428572,0.14285714285714285,13.0,1.0
1005552,Itaubal,2020-03-29,0.0,0,0,0,1.8571428571428572,0.14285714285714285,13.0,1.0
1005553,Itaubal,2020-03-30,0.0,0,0,0,1.8571428571428572,0.14285714285714285,13.0,1.0
1005554,Itaubal,2020-03-31,0.0,0,0,0,1.5714285714285714,0.0,11.0,0.0
1005555,Itaubal,2020-04-01,0.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
1005556,Itaubal,2020-04-02,0.0,0,0,0,0.0,0.0,0.0,0.0
1005557,Itaubal,2020-04-03,0.0,0,0,0,0.0,0.0,0.0,0.0
1005558,Itaubal,2020-04-04,0.0,0,0,0,0.0,0.0,0.0,0.0
1005559,Itaubal,2020-04-05,0.0,0,0,0,0.0,0.0,0.0,0.0
1005560,Itaubal,2020-04-06,0.0,0,0,0,0.0,0.0,0.0,0.0
1005561,Itaubal,2020-04-07,0.0,0,0,0,0.0,0.0,0.0,0.0
1005562,Itaubal,2020-04-08,0.0,0,0,0,0.0,0.0,0.0,0.0
1005563,Itaubal,2020-04-09,0.0,0,0,0,0.0,0.0,0.0,0.0
1005564,Itaubal,2020-04-10,0.0,0,0,0,0.0,0.0,0.0,0.0
1005565,Itaubal,2020-04-11,0.0,0,0,0,0.0,0.0,0.0,0.0
1005566,Itaubal,2020-04-12,0.0,0,0,0,0.0,0.0,0.0,0.0
1005567,Itaubal,2020-04-13,0.0,0,0,0,0.0,0.0,0.0,0.0
1005568,Itaubal,2020-04-14,0.0,0,0,0,0.0,0.0,0.0,0.0
1005569,Itaubal,2020-04-15,0.0,0,0,0,0.0,0.0,0.0,0.0
1005570,Itaubal,2020-04-16,0.0,0,0,0,0.0,0.0,0.0,0.0
1005571,Itaubal,2020-04-17,0.0,0,0,0,0.0,0.0,0.0,0.0
