index,municipio,data,casosAcumulado,casosNovos,obitosAcumulado,obitosNovos,daily_cases_moving_average,daily_deaths_moving_average,sum_of_daily_cases_week,sum_of_daily_deaths_week
1023271,Itaí,2020-03-27,0.0,0,0,0,0.2857142857142857,0.0,2.0,0.0
1023272,Itaí,2020-03-28,0.0,0,0,0,0.2857142857142857,0.0,2.0,0.0
1023273,Itaí,2020-03-29,0.0,0,0,0,0.2857142857142857,0.0,2.0,0.0
1023274,Itaí,2020-03-30,0.0,0,0,0,0.0,0.0,0.0,0.0
1023275,Itaí,2020-03-31,0.0,0,0,0,0.0,0.0,0.0,0.0
1023276,Itaí,2020-04-01,0.0,0,0,0,0.0,0.0,0.0,0.0
1023277,Itaí,2020-04-02,0.0,0,0,0,0.0,0.0,0.0,0.0
1023278,Itaí,2020-04-03,0.0,0,0,0,0.0,0.0,0.0,0.0
1023279,Itaí,2020-04-04,0.0,0,0,0,0.0,0.0,0.0,0.0
1023280,Itaí,2020-04-05,0.0,0,0,0,0.0,0.0,0.0,0.0
1023281,Itaí,2020-04-06,0.0,0,0,0,0.0,0.0,0.0,0.0
1023282,Itaí,2020-04-07,0.0,0,0,0,0.0,0.0,0.0,0.0
1023283,Itaí,2020-04-08,0.0,0,0,0,0.0,0.0,0.0,0.0
1023284,Itaí,2020-04-09,0.0,0,0,0,0.0,0.0,0.0,0.0
1023285,Itaí,2020-04-10,0.0,0,0,0,0.0,0.0,0.0,0.0
1023286,Itaí,2020-04-11,0.0,0,0,0,0.0,0.0,0.0,0.0
1023287,Itaí,2020-04-12,0.0,0,0,0,0.0,0.0,0.0,0.0
1023288,Itaí,2020-04-13,0.0,0,0,0,0.0,0.0,0.0,0.0
1023289,Itaí,2020-04-14,0.0,0,0,0,0.0,0.0,0.0,0.0
1023290,Itaí,2020-04-15,0.0,0,0,0,0.0,0.0,0.0,0.0
1023291,Itaí,2020-04-16,0.0,0,0,0,0.0,0.0,0.0,0.0
1023292,Itaí,2020-04-17,0.0,0,0,0,0.0,0.0,0.0,0.0
1023293,Itaí,2020-04-18,0.0,0,0,0,0.0,0.0,0.0,0.0
1023294,Itaí,2020-04-19,0.0,0,0,0,0.0,0.0,0.0,0.0
1023295,Itaí,2020-04-20,0.0,0,0,0,0.0,0.0,0.0,0.0
1023296,Itaí,2020-04-21,0.0,0,0,0,0.0,0.0,0.0,0.0
1023297,Itaí,2020-04-22,0.0,0,0,0,0.0,0.0,0.0,0.0
1023298,Itaí,2020-04-23,0.0,0,0,0,0.0,0.0,0.0,0.0
1023299,Itaí,2020-04-24,0.0,0,0,0,0.0,0.0,0.0,0.0
1023300,Itaí,2020-04-25,0.0,0,0,0,0.0,0.0,0.0,0.0
1023301,Itaí,2020-04-26,0.0,0,0,0,0.0,0.0,0.0,0.0
1023302,Itaí,2020-04-27,0.0,0,0,0,0.0,0.0,0.0,0.0
1023303,Itaí,2020-04-28,0.0,0,0,0,0.0,0.0,0.0,0.0
1023304,Itaí,2020-04-29,0.0,0,0,0,0.0,0.0,0.0,0.0
1023305,Itaí,2020-04-30,0.0,0,0,0,0.0,0.0,0.0,0.0
1023306,Itaí,2020-05-01,1.0,1,0,0,0.14285714285714285,0.0,1.0,0.0
1023307,Itaí,2020-05-02,1.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
1023308,Itaí,2020-05-03,1.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
1023309,Itaí,2020-05-04,1.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
1023310,Itaí,2020-05-05,1.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
1023311,Itaí,2020-05-06,1.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
1023312,Itaí,2020-05-07,0.0,-1,0,0,0.0,0.0,0.0,0.0
1023313,Itaí,2020-05-08,0.0,0,0,0,-0.14285714285714285,0.0,-1.0,0.0
1023314,Itaí,2020-05-09,0.0,0,0,0,-0.14285714285714285,0.0,-1.0,0.0
1023315,Itaí,2020-05-10,0.0,0,0,0,-0.14285714285714285,0.0,-1.0,0.0
1023316,Itaí,2020-05-11,0.0,0,0,0,-0.14285714285714285,0.0,-1.0,0.0
1023317,Itaí,2020-05-12,0.0,0,0,0,-0.14285714285714285,0.0,-1.0,0.0
1023318,Itaí,2020-05-13,0.0,0,0,0,-0.14285714285714285,0.0,-1.0,0.0
1023319,Itaí,2020-05-14,0.0,0,0,0,0.0,0.0,0.0,0.0
1023320,Itaí,2020-05-15,1.0,1,0,0,0.14285714285714285,0.0,1.0,0.0
1023321,Itaí,2020-05-16,1.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
1023322,Itaí,2020-05-17,1.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
1023323,Itaí,2020-05-18,1.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
1023324,Itaí,2020-05-19,1.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
1023325,Itaí,2020-05-20,0.0,-1,0,0,0.0,0.0,0.0,0.0
1023326,Itaí,2020-05-21,0.0,0,0,0,0.0,0.0,0.0,0.0
1023327,Itaí,2020-05-22,0.0,0,0,0,-0.14285714285714285,0.0,-1.0,0.0
1023328,Itaí,2020-05-23,2.0,2,0,0,0.14285714285714285,0.0,1.0,0.0
1023329,Itaí,2020-05-24,2.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
1023330,Itaí,2020-05-25,2.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
1023331,Itaí,2020-05-26,2.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
1023332,Itaí,2020-05-27,4.0,2,0,0,0.5714285714285714,0.0,4.0,0.0
1023333,Itaí,2020-05-28,4.0,0,0,0,0.5714285714285714,0.0,4.0,0.0
1023334,Itaí,2020-05-29,4.0,0,0,0,0.5714285714285714,0.0,4.0,0.0
1023335,Itaí,2020-05-30,4.0,0,0,0,0.2857142857142857,0.0,2.0,0.0
1023336,Itaí,2020-05-31,4.0,0,0,0,0.2857142857142857,0.0,2.0,0.0
1023337,Itaí,2020-06-01,4.0,0,0,0,0.2857142857142857,0.0,2.0,0.0
1023338,Itaí,2020-06-02,5.0,1,0,0,0.42857142857142855,0.0,3.0,0.0
1023339,Itaí,2020-06-03,8.0,3,0,0,0.5714285714285714,0.0,4.0,0.0
1023340,Itaí,2020-06-04,9.0,1,0,0,0.7142857142857143,0.0,5.0,0.0
1023341,Itaí,2020-06-05,10.0,1,0,0,0.8571428571428571,0.0,6.0,0.0
1023342,Itaí,2020-06-06,11.0,1,0,0,1.0,0.0,7.0,0.0
1023343,Itaí,2020-06-07,11.0,0,0,0,1.0,0.0,7.0,0.0
1023344,Itaí,2020-06-08,11.0,0,0,0,1.0,0.0,7.0,0.0
1023345,Itaí,2020-06-09,11.0,0,0,0,0.8571428571428571,0.0,6.0,0.0
1023346,Itaí,2020-06-10,11.0,0,0,0,0.42857142857142855,0.0,3.0,0.0
1023347,Itaí,2020-06-11,12.0,1,0,0,0.42857142857142855,0.0,3.0,0.0
1023348,Itaí,2020-06-12,12.0,0,0,0,0.2857142857142857,0.0,2.0,0.0
1023349,Itaí,2020-06-13,12.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
1023350,Itaí,2020-06-14,12.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
1023351,Itaí,2020-06-15,12.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
1023352,Itaí,2020-06-16,12.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
1023353,Itaí,2020-06-17,12.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
1023354,Itaí,2020-06-18,12.0,0,0,0,0.0,0.0,0.0,0.0
1023355,Itaí,2020-06-19,12.0,0,0,0,0.0,0.0,0.0,0.0
1023356,Itaí,2020-06-20,12.0,0,0,0,0.0,0.0,0.0,0.0
1023357,Itaí,2020-06-21,12.0,0,0,0,0.0,0.0,0.0,0.0
1023358,Itaí,2020-06-22,12.0,0,0,0,0.0,0.0,0.0,0.0
1023359,Itaí,2020-06-23,12.0,0,0,0,0.0,0.0,0.0,0.0
1023360,Itaí,2020-06-24,12.0,0,0,0,0.0,0.0,0.0,0.0
1023361,Itaí,2020-06-25,12.0,0,0,0,0.0,0.0,0.0,0.0
1023362,Itaí,2020-06-26,12.0,0,0,0,0.0,0.0,0.0,0.0
1023363,Itaí,2020-06-27,20.0,8,0,0,1.1428571428571428,0.0,8.0,0.0
1023364,Itaí,2020-06-28,20.0,0,0,0,1.1428571428571428,0.0,8.0,0.0
1023365,Itaí,2020-06-29,20.0,0,0,0,1.1428571428571428,0.0,8.0,0.0
1023366,Itaí,2020-06-30,21.0,1,0,0,1.2857142857142858,0.0,9.0,0.0
1023367,Itaí,2020-07-01,22.0,1,0,0,1.4285714285714286,0.0,10.0,0.0
