index,municipio,data,casosAcumulado,casosNovos,obitosAcumulado,obitosNovos,daily_cases_moving_average,daily_deaths_moving_average,sum_of_daily_cases_week,sum_of_daily_deaths_week
1006803,Itaúba,2020-03-27,0.0,0,0,0,17.714285714285715,0.0,124.0,0.0
1006804,Itaúba,2020-03-28,0.0,0,0,0,17.714285714285715,0.0,124.0,0.0
1006805,Itaúba,2020-03-29,0.0,0,0,0,17.714285714285715,0.0,124.0,0.0
1006806,Itaúba,2020-03-30,0.0,0,0,0,17.714285714285715,0.0,124.0,0.0
1006807,Itaúba,2020-03-31,0.0,0,0,0,17.714285714285715,0.0,124.0,0.0
1006808,Itaúba,2020-04-01,0.0,0,0,0,3.142857142857143,0.0,22.0,0.0
1006809,Itaúba,2020-04-02,0.0,0,0,0,0.0,0.0,0.0,0.0
1006810,Itaúba,2020-04-03,0.0,0,0,0,0.0,0.0,0.0,0.0
1006811,Itaúba,2020-04-04,0.0,0,0,0,0.0,0.0,0.0,0.0
1006812,Itaúba,2020-04-05,0.0,0,0,0,0.0,0.0,0.0,0.0
1006813,Itaúba,2020-04-06,0.0,0,0,0,0.0,0.0,0.0,0.0
1006814,Itaúba,2020-04-07,0.0,0,0,0,0.0,0.0,0.0,0.0
1006815,Itaúba,2020-04-08,0.0,0,0,0,0.0,0.0,0.0,0.0
1006816,Itaúba,2020-04-09,0.0,0,0,0,0.0,0.0,0.0,0.0
1006817,Itaúba,2020-04-10,0.0,0,0,0,0.0,0.0,0.0,0.0
1006818,Itaúba,2020-04-11,0.0,0,0,0,0.0,0.0,0.0,0.0
1006819,Itaúba,2020-04-12,0.0,0,0,0,0.0,0.0,0.0,0.0
1006820,Itaúba,2020-04-13,0.0,0,0,0,0.0,0.0,0.0,0.0
1006821,Itaúba,2020-04-14,0.0,0,0,0,0.0,0.0,0.0,0.0
1006822,Itaúba,2020-04-15,0.0,0,0,0,0.0,0.0,0.0,0.0
1006823,Itaúba,2020-04-16,0.0,0,0,0,0.0,0.0,0.0,0.0
1006824,Itaúba,2020-04-17,0.0,0,0,0,0.0,0.0,0.0,0.0
1006825,Itaúba,2020-04-18,0.0,0,0,0,0.0,0.0,0.0,0.0
1006826,Itaúba,2020-04-19,0.0,0,0,0,0.0,0.0,0.0,0.0
1006827,Itaúba,2020-04-20,0.0,0,0,0,0.0,0.0,0.0,0.0
1006828,Itaúba,2020-04-21,0.0,0,0,0,0.0,0.0,0.0,0.0
1006829,Itaúba,2020-04-22,0.0,0,0,0,0.0,0.0,0.0,0.0
1006830,Itaúba,2020-04-23,0.0,0,0,0,0.0,0.0,0.0,0.0
1006831,Itaúba,2020-04-24,0.0,0,0,0,0.0,0.0,0.0,0.0
1006832,Itaúba,2020-04-25,0.0,0,0,0,0.0,0.0,0.0,0.0
1006833,Itaúba,2020-04-26,0.0,0,0,0,0.0,0.0,0.0,0.0
1006834,Itaúba,2020-04-27,0.0,0,0,0,0.0,0.0,0.0,0.0
1006835,Itaúba,2020-04-28,0.0,0,0,0,0.0,0.0,0.0,0.0
1006836,Itaúba,2020-04-29,0.0,0,0,0,0.0,0.0,0.0,0.0
