index,municipio,data,casosAcumulado,casosNovos,obitosAcumulado,obitosNovos,daily_cases_moving_average,daily_deaths_moving_average,sum_of_daily_cases_week,sum_of_daily_deaths_week
977244,Itororó,2020-03-27,0.0,0,0,0,0.7142857142857143,0.0,5.0,0.0
977245,Itororó,2020-03-28,0.0,0,0,0,0.5714285714285714,0.0,4.0,0.0
977246,Itororó,2020-03-29,1.0,1,0,0,0.7142857142857143,0.0,5.0,0.0
977247,Itororó,2020-03-30,1.0,0,0,0,0.7142857142857143,0.0,5.0,0.0
977248,Itororó,2020-03-31,1.0,0,0,0,0.5714285714285714,0.0,4.0,0.0
977249,Itororó,2020-04-01,1.0,0,0,0,0.42857142857142855,0.0,3.0,0.0
977250,Itororó,2020-04-02,1.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
977251,Itororó,2020-04-03,4.0,3,0,0,0.5714285714285714,0.0,4.0,0.0
977252,Itororó,2020-04-04,4.0,0,0,0,0.5714285714285714,0.0,4.0,0.0
977253,Itororó,2020-04-05,4.0,0,0,0,0.42857142857142855,0.0,3.0,0.0
977254,Itororó,2020-04-06,4.0,0,0,0,0.42857142857142855,0.0,3.0,0.0
977255,Itororó,2020-04-07,4.0,0,0,0,0.42857142857142855,0.0,3.0,0.0
977256,Itororó,2020-04-08,4.0,0,0,0,0.42857142857142855,0.0,3.0,0.0
977257,Itororó,2020-04-09,4.0,0,0,0,0.42857142857142855,0.0,3.0,0.0
977258,Itororó,2020-04-10,4.0,0,0,0,0.0,0.0,0.0,0.0
977259,Itororó,2020-04-11,4.0,0,0,0,0.0,0.0,0.0,0.0
977260,Itororó,2020-04-12,4.0,0,0,0,0.0,0.0,0.0,0.0
977261,Itororó,2020-04-13,4.0,0,0,0,0.0,0.0,0.0,0.0
977262,Itororó,2020-04-14,4.0,0,0,0,0.0,0.0,0.0,0.0
977263,Itororó,2020-04-15,4.0,0,0,0,0.0,0.0,0.0,0.0
977264,Itororó,2020-04-16,4.0,0,0,0,0.0,0.0,0.0,0.0
977265,Itororó,2020-04-17,4.0,0,0,0,0.0,0.0,0.0,0.0
977266,Itororó,2020-04-18,4.0,0,0,0,0.0,0.0,0.0,0.0
977267,Itororó,2020-04-19,4.0,0,0,0,0.0,0.0,0.0,0.0
977268,Itororó,2020-04-20,4.0,0,0,0,0.0,0.0,0.0,0.0
977269,Itororó,2020-04-21,4.0,0,0,0,0.0,0.0,0.0,0.0
977270,Itororó,2020-04-22,4.0,0,0,0,0.0,0.0,0.0,0.0
977271,Itororó,2020-04-23,4.0,0,0,0,0.0,0.0,0.0,0.0
977272,Itororó,2020-04-24,4.0,0,0,0,0.0,0.0,0.0,0.0
977273,Itororó,2020-04-25,4.0,0,0,0,0.0,0.0,0.0,0.0
977274,Itororó,2020-04-26,4.0,0,0,0,0.0,0.0,0.0,0.0
977275,Itororó,2020-04-27,4.0,0,0,0,0.0,0.0,0.0,0.0
977276,Itororó,2020-04-28,4.0,0,0,0,0.0,0.0,0.0,0.0
977277,Itororó,2020-04-29,4.0,0,0,0,0.0,0.0,0.0,0.0
977278,Itororó,2020-04-30,4.0,0,0,0,0.0,0.0,0.0,0.0
977279,Itororó,2020-05-01,4.0,0,0,0,0.0,0.0,0.0,0.0
977280,Itororó,2020-05-02,4.0,0,0,0,0.0,0.0,0.0,0.0
977281,Itororó,2020-05-03,4.0,0,0,0,0.0,0.0,0.0,0.0
977282,Itororó,2020-05-04,4.0,0,0,0,0.0,0.0,0.0,0.0
977283,Itororó,2020-05-05,4.0,0,0,0,0.0,0.0,0.0,0.0
977284,Itororó,2020-05-06,4.0,0,0,0,0.0,0.0,0.0,0.0
977285,Itororó,2020-05-07,4.0,0,0,0,0.0,0.0,0.0,0.0
977286,Itororó,2020-05-08,4.0,0,0,0,0.0,0.0,0.0,0.0
977287,Itororó,2020-05-09,4.0,0,0,0,0.0,0.0,0.0,0.0
977288,Itororó,2020-05-10,4.0,0,0,0,0.0,0.0,0.0,0.0
977289,Itororó,2020-05-11,4.0,0,0,0,0.0,0.0,0.0,0.0
977290,Itororó,2020-05-12,4.0,0,0,0,0.0,0.0,0.0,0.0
977291,Itororó,2020-05-13,4.0,0,0,0,0.0,0.0,0.0,0.0
977292,Itororó,2020-05-14,4.0,0,0,0,0.0,0.0,0.0,0.0
977293,Itororó,2020-05-15,4.0,0,0,0,0.0,0.0,0.0,0.0
977294,Itororó,2020-05-16,4.0,0,0,0,0.0,0.0,0.0,0.0
977295,Itororó,2020-05-17,4.0,0,0,0,0.0,0.0,0.0,0.0
977296,Itororó,2020-05-18,4.0,0,0,0,0.0,0.0,0.0,0.0
977297,Itororó,2020-05-19,4.0,0,0,0,0.0,0.0,0.0,0.0
977298,Itororó,2020-05-20,4.0,0,0,0,0.0,0.0,0.0,0.0
977299,Itororó,2020-05-21,5.0,1,0,0,0.14285714285714285,0.0,1.0,0.0
977300,Itororó,2020-05-22,5.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
977301,Itororó,2020-05-23,4.0,-1,0,0,0.0,0.0,0.0,0.0
977302,Itororó,2020-05-24,4.0,0,0,0,0.0,0.0,0.0,0.0
977303,Itororó,2020-05-25,4.0,0,0,0,0.0,0.0,0.0,0.0
977304,Itororó,2020-05-26,4.0,0,0,0,0.0,0.0,0.0,0.0
977305,Itororó,2020-05-27,4.0,0,0,0,0.0,0.0,0.0,0.0
977306,Itororó,2020-05-28,5.0,1,0,0,0.0,0.0,0.0,0.0
977307,Itororó,2020-05-29,5.0,0,0,0,0.0,0.0,0.0,0.0
977308,Itororó,2020-05-30,5.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
977309,Itororó,2020-05-31,5.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
977310,Itororó,2020-06-01,5.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
977311,Itororó,2020-06-02,5.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
977312,Itororó,2020-06-03,5.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
977313,Itororó,2020-06-04,5.0,0,0,0,0.0,0.0,0.0,0.0
977314,Itororó,2020-06-05,6.0,1,0,0,0.14285714285714285,0.0,1.0,0.0
977315,Itororó,2020-06-06,5.0,-1,0,0,0.0,0.0,0.0,0.0
977316,Itororó,2020-06-07,5.0,0,0,0,0.0,0.0,0.0,0.0
977317,Itororó,2020-06-08,5.0,0,0,0,0.0,0.0,0.0,0.0
977318,Itororó,2020-06-09,6.0,1,0,0,0.14285714285714285,0.0,1.0,0.0
977319,Itororó,2020-06-10,6.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
977320,Itororó,2020-06-11,6.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
977321,Itororó,2020-06-12,6.0,0,0,0,0.0,0.0,0.0,0.0
977322,Itororó,2020-06-13,6.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
977323,Itororó,2020-06-14,11.0,5,0,0,0.8571428571428571,0.0,6.0,0.0
977324,Itororó,2020-06-15,11.0,0,0,0,0.8571428571428571,0.0,6.0,0.0
977325,Itororó,2020-06-16,11.0,0,0,0,0.7142857142857143,0.0,5.0,0.0
977326,Itororó,2020-06-17,11.0,0,0,0,0.7142857142857143,0.0,5.0,0.0
977327,Itororó,2020-06-18,11.0,0,0,0,0.7142857142857143,0.0,5.0,0.0
977328,Itororó,2020-06-19,11.0,0,0,0,0.7142857142857143,0.0,5.0,0.0
977329,Itororó,2020-06-20,18.0,7,0,0,1.7142857142857142,0.0,12.0,0.0
977330,Itororó,2020-06-21,18.0,0,0,0,1.0,0.0,7.0,0.0
977331,Itororó,2020-06-22,19.0,1,1,1,1.1428571428571428,0.14285714285714285,8.0,1.0
977332,Itororó,2020-06-23,19.0,0,1,0,1.1428571428571428,0.14285714285714285,8.0,1.0
977333,Itororó,2020-06-24,21.0,2,1,0,1.4285714285714286,0.14285714285714285,10.0,1.0
977334,Itororó,2020-06-25,21.0,0,1,0,1.4285714285714286,0.14285714285714285,10.0,1.0
977335,Itororó,2020-06-26,21.0,0,1,0,1.4285714285714286,0.14285714285714285,10.0,1.0
977336,Itororó,2020-06-27,23.0,2,1,0,0.7142857142857143,0.14285714285714285,5.0,1.0
977337,Itororó,2020-06-28,24.0,1,1,0,0.8571428571428571,0.14285714285714285,6.0,1.0
977338,Itororó,2020-06-29,25.0,1,1,0,0.8571428571428571,0.0,6.0,0.0
977339,Itororó,2020-06-30,28.0,3,1,0,1.2857142857142858,0.0,9.0,0.0
977340,Itororó,2020-07-01,28.0,0,1,0,1.0,0.0,7.0,0.0
977341,Itororó,2020-07-02,29.0,1,1,0,1.1428571428571428,0.0,8.0,0.0
977342,Itororó,2020-07-03,31.0,2,1,0,1.4285714285714286,0.0,10.0,0.0
977343,Itororó,2020-07-04,31.0,0,1,0,1.1428571428571428,0.0,8.0,0.0
977344,Itororó,2020-07-05,36.0,5,1,0,1.7142857142857142,0.0,12.0,0.0
977345,Itororó,2020-07-06,36.0,0,1,0,1.5714285714285714,0.0,11.0,0.0
977346,Itororó,2020-07-07,38.0,2,1,0,1.4285714285714286,0.0,10.0,0.0
977347,Itororó,2020-07-08,40.0,2,1,0,1.7142857142857142,0.0,12.0,0.0
977348,Itororó,2020-07-09,45.0,5,1,0,2.2857142857142856,0.0,16.0,0.0
977349,Itororó,2020-07-10,45.0,0,1,0,2.0,0.0,14.0,0.0
977350,Itororó,2020-07-11,46.0,1,1,0,2.142857142857143,0.0,15.0,0.0
977351,Itororó,2020-07-12,47.0,1,1,0,1.5714285714285714,0.0,11.0,0.0
977352,Itororó,2020-07-13,48.0,1,1,0,1.7142857142857142,0.0,12.0,0.0
977353,Itororó,2020-07-14,49.0,1,1,0,1.5714285714285714,0.0,11.0,0.0
977354,Itororó,2020-07-15,51.0,2,1,0,1.5714285714285714,0.0,11.0,0.0
