index,municipio,data,casosAcumulado,casosNovos,obitosAcumulado,obitosNovos,daily_cases_moving_average,daily_deaths_moving_average,sum_of_daily_cases_week,sum_of_daily_deaths_week
1010344,Ivatuba,2020-03-27,0.0,0,0,0,6.0,0.42857142857142855,42.0,3.0
1010345,Ivatuba,2020-03-28,0.0,0,0,0,5.857142857142857,0.14285714285714285,41.0,1.0
1010346,Ivatuba,2020-03-29,0.0,0,0,0,5.857142857142857,0.0,41.0,0.0
1010347,Ivatuba,2020-03-30,0.0,0,0,0,3.0,0.0,21.0,0.0
1010348,Ivatuba,2020-03-31,0.0,0,0,0,3.0,0.0,21.0,0.0
1010349,Ivatuba,2020-04-01,0.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
1010350,Ivatuba,2020-04-02,0.0,0,0,0,0.0,0.0,0.0,0.0
1010351,Ivatuba,2020-04-03,0.0,0,0,0,0.0,0.0,0.0,0.0
1010352,Ivatuba,2020-04-04,0.0,0,0,0,0.0,0.0,0.0,0.0
1010353,Ivatuba,2020-04-05,0.0,0,0,0,0.0,0.0,0.0,0.0
1010354,Ivatuba,2020-04-06,0.0,0,0,0,0.0,0.0,0.0,0.0
1010355,Ivatuba,2020-04-07,0.0,0,0,0,0.0,0.0,0.0,0.0
1010356,Ivatuba,2020-04-08,0.0,0,0,0,0.0,0.0,0.0,0.0
1010357,Ivatuba,2020-04-09,0.0,0,0,0,0.0,0.0,0.0,0.0
1010358,Ivatuba,2020-04-10,0.0,0,0,0,0.0,0.0,0.0,0.0
1010359,Ivatuba,2020-04-11,0.0,0,0,0,0.0,0.0,0.0,0.0
1010360,Ivatuba,2020-04-12,0.0,0,0,0,0.0,0.0,0.0,0.0
1010361,Ivatuba,2020-04-13,0.0,0,0,0,0.0,0.0,0.0,0.0
1010362,Ivatuba,2020-04-14,0.0,0,0,0,0.0,0.0,0.0,0.0
1010363,Ivatuba,2020-04-15,0.0,0,0,0,0.0,0.0,0.0,0.0
1010364,Ivatuba,2020-04-16,0.0,0,0,0,0.0,0.0,0.0,0.0
1010365,Ivatuba,2020-04-17,0.0,0,0,0,0.0,0.0,0.0,0.0
1010366,Ivatuba,2020-04-18,0.0,0,0,0,0.0,0.0,0.0,0.0
1010367,Ivatuba,2020-04-19,0.0,0,0,0,0.0,0.0,0.0,0.0
1010368,Ivatuba,2020-04-20,0.0,0,0,0,0.0,0.0,0.0,0.0
1010369,Ivatuba,2020-04-21,0.0,0,0,0,0.0,0.0,0.0,0.0
1010370,Ivatuba,2020-04-22,0.0,0,0,0,0.0,0.0,0.0,0.0
1010371,Ivatuba,2020-04-23,0.0,0,0,0,0.0,0.0,0.0,0.0
1010372,Ivatuba,2020-04-24,0.0,0,0,0,0.0,0.0,0.0,0.0
1010373,Ivatuba,2020-04-25,0.0,0,0,0,0.0,0.0,0.0,0.0
1010374,Ivatuba,2020-04-26,0.0,0,0,0,0.0,0.0,0.0,0.0
1010375,Ivatuba,2020-04-27,0.0,0,0,0,0.0,0.0,0.0,0.0
1010376,Ivatuba,2020-04-28,0.0,0,0,0,0.0,0.0,0.0,0.0
1010377,Ivatuba,2020-04-29,0.0,0,0,0,0.0,0.0,0.0,0.0
1010378,Ivatuba,2020-04-30,0.0,0,0,0,0.0,0.0,0.0,0.0
1010379,Ivatuba,2020-05-01,0.0,0,0,0,0.0,0.0,0.0,0.0
1010380,Ivatuba,2020-05-02,0.0,0,0,0,0.0,0.0,0.0,0.0
1010381,Ivatuba,2020-05-03,0.0,0,0,0,0.0,0.0,0.0,0.0
1010382,Ivatuba,2020-05-04,0.0,0,0,0,0.0,0.0,0.0,0.0
1010383,Ivatuba,2020-05-05,0.0,0,0,0,0.0,0.0,0.0,0.0
1010384,Ivatuba,2020-05-06,0.0,0,0,0,0.0,0.0,0.0,0.0
1010385,Ivatuba,2020-05-07,0.0,0,0,0,0.0,0.0,0.0,0.0
1010386,Ivatuba,2020-05-08,0.0,0,0,0,0.0,0.0,0.0,0.0
1010387,Ivatuba,2020-05-09,0.0,0,0,0,0.0,0.0,0.0,0.0
1010388,Ivatuba,2020-05-10,0.0,0,0,0,0.0,0.0,0.0,0.0
1010389,Ivatuba,2020-05-11,0.0,0,0,0,0.0,0.0,0.0,0.0
1010390,Ivatuba,2020-05-12,0.0,0,0,0,0.0,0.0,0.0,0.0
1010391,Ivatuba,2020-05-13,0.0,0,0,0,0.0,0.0,0.0,0.0
1010392,Ivatuba,2020-05-14,0.0,0,0,0,0.0,0.0,0.0,0.0
1010393,Ivatuba,2020-05-15,0.0,0,0,0,0.0,0.0,0.0,0.0
1010394,Ivatuba,2020-05-16,0.0,0,0,0,0.0,0.0,0.0,0.0
1010395,Ivatuba,2020-05-17,0.0,0,0,0,0.0,0.0,0.0,0.0
1010396,Ivatuba,2020-05-18,0.0,0,0,0,0.0,0.0,0.0,0.0
1010397,Ivatuba,2020-05-19,0.0,0,0,0,0.0,0.0,0.0,0.0
1010398,Ivatuba,2020-05-20,0.0,0,0,0,0.0,0.0,0.0,0.0
1010399,Ivatuba,2020-05-21,0.0,0,0,0,0.0,0.0,0.0,0.0
1010400,Ivatuba,2020-05-22,0.0,0,0,0,0.0,0.0,0.0,0.0
1010401,Ivatuba,2020-05-23,0.0,0,0,0,0.0,0.0,0.0,0.0
1010402,Ivatuba,2020-05-24,0.0,0,0,0,0.0,0.0,0.0,0.0
1010403,Ivatuba,2020-05-25,0.0,0,0,0,0.0,0.0,0.0,0.0
1010404,Ivatuba,2020-05-26,0.0,0,0,0,0.0,0.0,0.0,0.0
1010405,Ivatuba,2020-05-27,0.0,0,0,0,0.0,0.0,0.0,0.0
1010406,Ivatuba,2020-05-28,0.0,0,0,0,0.0,0.0,0.0,0.0
1010407,Ivatuba,2020-05-29,0.0,0,0,0,0.0,0.0,0.0,0.0
1010408,Ivatuba,2020-05-30,0.0,0,0,0,0.0,0.0,0.0,0.0
1010409,Ivatuba,2020-05-31,0.0,0,0,0,0.0,0.0,0.0,0.0
1010410,Ivatuba,2020-06-01,0.0,0,0,0,0.0,0.0,0.0,0.0
1010411,Ivatuba,2020-06-02,0.0,0,0,0,0.0,0.0,0.0,0.0
1010412,Ivatuba,2020-06-03,0.0,0,0,0,0.0,0.0,0.0,0.0
1010413,Ivatuba,2020-06-04,0.0,0,0,0,0.0,0.0,0.0,0.0
1010414,Ivatuba,2020-06-05,0.0,0,0,0,0.0,0.0,0.0,0.0
1010415,Ivatuba,2020-06-06,0.0,0,0,0,0.0,0.0,0.0,0.0
1010416,Ivatuba,2020-06-07,0.0,0,0,0,0.0,0.0,0.0,0.0
1010417,Ivatuba,2020-06-08,0.0,0,0,0,0.0,0.0,0.0,0.0
1010418,Ivatuba,2020-06-09,0.0,0,0,0,0.0,0.0,0.0,0.0
1010419,Ivatuba,2020-06-10,0.0,0,0,0,0.0,0.0,0.0,0.0
1010420,Ivatuba,2020-06-11,0.0,0,0,0,0.0,0.0,0.0,0.0
1010421,Ivatuba,2020-06-12,0.0,0,0,0,0.0,0.0,0.0,0.0
1010422,Ivatuba,2020-06-13,0.0,0,0,0,0.0,0.0,0.0,0.0
1010423,Ivatuba,2020-06-14,0.0,0,0,0,0.0,0.0,0.0,0.0
1010424,Ivatuba,2020-06-15,0.0,0,0,0,0.0,0.0,0.0,0.0
1010425,Ivatuba,2020-06-16,0.0,0,0,0,0.0,0.0,0.0,0.0
