index,municipio,data,casosAcumulado,casosNovos,obitosAcumulado,obitosNovos,daily_cases_moving_average,daily_deaths_moving_average,sum_of_daily_cases_week,sum_of_daily_deaths_week
1055145,Içara,2020-03-27,0.0,0,0,0,9.0,0.14285714285714285,63.0,1.0
1055146,Içara,2020-03-28,1.0,1,0,0,6.285714285714286,0.14285714285714285,44.0,1.0
1055147,Içara,2020-03-29,1.0,0,0,0,6.285714285714286,0.14285714285714285,44.0,1.0
1055148,Içara,2020-03-30,1.0,0,0,0,6.285714285714286,0.14285714285714285,44.0,1.0
1055149,Içara,2020-03-31,1.0,0,0,0,4.857142857142857,0.14285714285714285,34.0,1.0
1055150,Içara,2020-04-01,1.0,0,0,0,2.4285714285714284,0.0,17.0,0.0
1055151,Içara,2020-04-02,1.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
1055152,Içara,2020-04-03,1.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
1055153,Içara,2020-04-04,1.0,0,0,0,0.0,0.0,0.0,0.0
1055154,Içara,2020-04-05,1.0,0,0,0,0.0,0.0,0.0,0.0
1055155,Içara,2020-04-06,1.0,0,0,0,0.0,0.0,0.0,0.0
1055156,Içara,2020-04-07,1.0,0,0,0,0.0,0.0,0.0,0.0
1055157,Içara,2020-04-08,1.0,0,0,0,0.0,0.0,0.0,0.0
1055158,Içara,2020-04-09,1.0,0,0,0,0.0,0.0,0.0,0.0
1055159,Içara,2020-04-10,7.0,6,0,0,0.8571428571428571,0.0,6.0,0.0
1055160,Içara,2020-04-11,7.0,0,0,0,0.8571428571428571,0.0,6.0,0.0
1055161,Içara,2020-04-12,7.0,0,0,0,0.8571428571428571,0.0,6.0,0.0
1055162,Içara,2020-04-13,7.0,0,0,0,0.8571428571428571,0.0,6.0,0.0
1055163,Içara,2020-04-14,7.0,0,0,0,0.8571428571428571,0.0,6.0,0.0
1055164,Içara,2020-04-15,7.0,0,0,0,0.8571428571428571,0.0,6.0,0.0
1055165,Içara,2020-04-16,7.0,0,0,0,0.8571428571428571,0.0,6.0,0.0
1055166,Içara,2020-04-17,7.0,0,0,0,0.0,0.0,0.0,0.0
1055167,Içara,2020-04-18,7.0,0,0,0,0.0,0.0,0.0,0.0
1055168,Içara,2020-04-19,7.0,0,0,0,0.0,0.0,0.0,0.0
1055169,Içara,2020-04-20,7.0,0,0,0,0.0,0.0,0.0,0.0
1055170,Içara,2020-04-21,7.0,0,0,0,0.0,0.0,0.0,0.0
1055171,Içara,2020-04-22,7.0,0,0,0,0.0,0.0,0.0,0.0
1055172,Içara,2020-04-23,7.0,0,0,0,0.0,0.0,0.0,0.0
1055173,Içara,2020-04-24,7.0,0,0,0,0.0,0.0,0.0,0.0
1055174,Içara,2020-04-25,8.0,1,0,0,0.14285714285714285,0.0,1.0,0.0
1055175,Içara,2020-04-26,8.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
1055176,Içara,2020-04-27,8.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
