municipio,data,casosAcumulado,casosNovos,obitosAcumulado,obitosNovos,daily cases moving average,daily deaths moving average,sum_of_daily_cases_week,sum_of_daily_deaths_week
Jacinto,27-03-2020,0,0,0,0,5.214285714285714,0.21428571428571427,29.0,2.0
Jacinto,28-03-2020,0,0,0,0,5.214285714285714,0.21428571428571427,23.0,2.0
Jacinto,29-03-2020,0,0,0,0,4.0,0.21428571428571427,16.0,2.0
Jacinto,30-03-2020,0,0,0,0,3.857142857142857,0.21428571428571427,16.0,2.0
Jacinto,31-03-2020,0,0,0,0,3.142857142857143,0.21428571428571427,2.0,1.0
Jacinto,01-04-2020,0,0,0,0,2.142857142857143,0.21428571428571427,0.0,0.0
Jacinto,02-04-2020,0,0,0,0,2.142857142857143,0.21428571428571427,0.0,0.0
Jacinto,03-04-2020,0,0,0,0,2.0714285714285716,0.14285714285714285,0.0,0.0
Jacinto,04-04-2020,0,0,0,0,1.6428571428571428,0.14285714285714285,0.0,0.0
Jacinto,05-04-2020,0,0,0,0,1.1428571428571428,0.14285714285714285,0.0,0.0
Jacinto,06-04-2020,0,0,0,0,1.1428571428571428,0.14285714285714285,0.0,0.0
Jacinto,07-04-2020,0,0,0,0,0.14285714285714285,0.07142857142857142,0.0,0.0
Jacinto,08-04-2020,0,0,0,0,0.0,0.0,0.0,0.0
Jacinto,09-04-2020,0,0,0,0,0.0,0.0,0.0,0.0
Jacinto,10-04-2020,0,0,0,0,0.0,0.0,0.0,0.0
Jacinto,11-04-2020,0,0,0,0,0.0,0.0,0.0,0.0
Jacinto,12-04-2020,0,0,0,0,0.0,0.0,0.0,0.0
Jacinto,13-04-2020,0,0,0,0,0.0,0.0,0.0,0.0
Jacinto,14-04-2020,0,0,0,0,0.0,0.0,0.0,0.0
Jacinto,15-04-2020,0,0,0,0,0.0,0.0,0.0,0.0
Jacinto,16-04-2020,0,0,0,0,0.0,0.0,0.0,0.0
Jacinto,17-04-2020,0,0,0,0,0.0,0.0,0.0,0.0
Jacinto,18-04-2020,0,0,0,0,0.0,0.0,0.0,0.0
Jacinto,19-04-2020,0,0,0,0,0.0,0.0,0.0,0.0
Jacinto,20-04-2020,0,0,0,0,0.0,0.0,0.0,0.0
Jacinto,21-04-2020,0,0,0,0,0.0,0.0,0.0,0.0
Jacinto,22-04-2020,0,0,0,0,0.0,0.0,0.0,0.0
Jacinto,23-04-2020,0,0,0,0,0.0,0.0,0.0,0.0
Jacinto,24-04-2020,0,0,0,0,0.0,0.0,0.0,0.0
Jacinto,25-04-2020,0,0,0,0,0.0,0.0,0.0,0.0
Jacinto,26-04-2020,0,0,0,0,0.0,0.0,0.0,0.0
Jacinto,27-04-2020,0,0,0,0,0.0,0.0,0.0,0.0
Jacinto,28-04-2020,0,0,0,0,0.0,0.0,0.0,0.0
Jacinto,29-04-2020,0,0,0,0,0.0,0.0,0.0,0.0
Jacinto,30-04-2020,0,0,0,0,0.0,0.0,0.0,0.0
Jacinto,01-05-2020,0,0,0,0,0.0,0.0,0.0,0.0
Jacinto,02-05-2020,0,0,0,0,0.0,0.0,0.0,0.0
Jacinto,03-05-2020,0,0,0,0,0.0,0.0,0.0,0.0
Jacinto,04-05-2020,0,0,0,0,0.0,0.0,0.0,0.0
Jacinto,05-05-2020,0,0,0,0,0.0,0.0,0.0,0.0
Jacinto,06-05-2020,0,0,0,0,0.0,0.0,0.0,0.0
Jacinto,07-05-2020,0,0,0,0,0.0,0.0,0.0,0.0
Jacinto,08-05-2020,0,0,0,0,0.0,0.0,0.0,0.0
Jacinto,09-05-2020,0,0,0,0,0.0,0.0,0.0,0.0
Jacinto,10-05-2020,0,0,0,0,0.0,0.0,0.0,0.0
Jacinto,11-05-2020,0,0,0,0,0.0,0.0,0.0,0.0
Jacinto,12-05-2020,0,0,0,0,0.0,0.0,0.0,0.0
Jacinto,13-05-2020,0,0,0,0,0.0,0.0,0.0,0.0
