index,municipio,data,casosAcumulado,casosNovos,obitosAcumulado,obitosNovos,daily_cases_moving_average,daily_deaths_moving_average,sum_of_daily_cases_week,sum_of_daily_deaths_week
993388,Jaguaribe,2020-03-27,0.0,0,0,0,2.4285714285714284,0.0,17.0,0.0
993389,Jaguaribe,2020-03-28,0.0,0,0,0,2.4285714285714284,0.0,17.0,0.0
993390,Jaguaribe,2020-03-29,0.0,0,0,0,2.4285714285714284,0.0,17.0,0.0
993391,Jaguaribe,2020-03-30,0.0,0,0,0,2.0,0.0,14.0,0.0
993392,Jaguaribe,2020-03-31,0.0,0,0,0,1.7142857142857142,0.0,12.0,0.0
993393,Jaguaribe,2020-04-01,0.0,0,0,0,1.4285714285714286,0.0,10.0,0.0
993394,Jaguaribe,2020-04-02,1.0,1,1,1,0.14285714285714285,0.14285714285714285,1.0,1.0
993395,Jaguaribe,2020-04-03,1.0,0,1,0,0.14285714285714285,0.14285714285714285,1.0,1.0
993396,Jaguaribe,2020-04-04,1.0,0,1,0,0.14285714285714285,0.14285714285714285,1.0,1.0
993397,Jaguaribe,2020-04-05,2.0,1,1,0,0.2857142857142857,0.14285714285714285,2.0,1.0
993398,Jaguaribe,2020-04-06,2.0,0,1,0,0.2857142857142857,0.14285714285714285,2.0,1.0
993399,Jaguaribe,2020-04-07,3.0,1,1,0,0.42857142857142855,0.14285714285714285,3.0,1.0
993400,Jaguaribe,2020-04-08,3.0,0,1,0,0.42857142857142855,0.14285714285714285,3.0,1.0
993401,Jaguaribe,2020-04-09,3.0,0,1,0,0.2857142857142857,0.0,2.0,0.0
993402,Jaguaribe,2020-04-10,3.0,0,1,0,0.2857142857142857,0.0,2.0,0.0
993403,Jaguaribe,2020-04-11,4.0,1,1,0,0.42857142857142855,0.0,3.0,0.0
993404,Jaguaribe,2020-04-12,5.0,1,1,0,0.42857142857142855,0.0,3.0,0.0
993405,Jaguaribe,2020-04-13,5.0,0,2,1,0.42857142857142855,0.14285714285714285,3.0,1.0
993406,Jaguaribe,2020-04-14,5.0,0,2,0,0.2857142857142857,0.14285714285714285,2.0,1.0
993407,Jaguaribe,2020-04-15,5.0,0,2,0,0.2857142857142857,0.14285714285714285,2.0,1.0
993408,Jaguaribe,2020-04-16,5.0,0,2,0,0.2857142857142857,0.14285714285714285,2.0,1.0
993409,Jaguaribe,2020-04-17,7.0,2,2,0,0.5714285714285714,0.14285714285714285,4.0,1.0
993410,Jaguaribe,2020-04-18,7.0,0,2,0,0.42857142857142855,0.14285714285714285,3.0,1.0
993411,Jaguaribe,2020-04-19,10.0,3,2,0,0.7142857142857143,0.14285714285714285,5.0,1.0
993412,Jaguaribe,2020-04-20,10.0,0,2,0,0.7142857142857143,0.0,5.0,0.0
993413,Jaguaribe,2020-04-21,11.0,1,2,0,0.8571428571428571,0.0,6.0,0.0
993414,Jaguaribe,2020-04-22,11.0,0,2,0,0.8571428571428571,0.0,6.0,0.0
993415,Jaguaribe,2020-04-23,11.0,0,2,0,0.8571428571428571,0.0,6.0,0.0
993416,Jaguaribe,2020-04-24,12.0,1,2,0,0.7142857142857143,0.0,5.0,0.0
993417,Jaguaribe,2020-04-25,12.0,0,2,0,0.7142857142857143,0.0,5.0,0.0
993418,Jaguaribe,2020-04-26,12.0,0,2,0,0.2857142857142857,0.0,2.0,0.0
993419,Jaguaribe,2020-04-27,12.0,0,2,0,0.2857142857142857,0.0,2.0,0.0
993420,Jaguaribe,2020-04-28,14.0,2,2,0,0.42857142857142855,0.0,3.0,0.0
993421,Jaguaribe,2020-04-29,14.0,0,2,0,0.42857142857142855,0.0,3.0,0.0
993422,Jaguaribe,2020-04-30,14.0,0,2,0,0.42857142857142855,0.0,3.0,0.0
993423,Jaguaribe,2020-05-01,13.0,-1,2,0,0.14285714285714285,0.0,1.0,0.0
993424,Jaguaribe,2020-05-02,13.0,0,2,0,0.14285714285714285,0.0,1.0,0.0
993425,Jaguaribe,2020-05-03,13.0,0,2,0,0.14285714285714285,0.0,1.0,0.0
993426,Jaguaribe,2020-05-04,14.0,1,2,0,0.2857142857142857,0.0,2.0,0.0
993427,Jaguaribe,2020-05-05,14.0,0,2,0,0.0,0.0,0.0,0.0
993428,Jaguaribe,2020-05-06,15.0,1,2,0,0.14285714285714285,0.0,1.0,0.0
993429,Jaguaribe,2020-05-07,22.0,7,2,0,1.1428571428571428,0.0,8.0,0.0
993430,Jaguaribe,2020-05-08,22.0,0,3,1,1.2857142857142858,0.14285714285714285,9.0,1.0
993431,Jaguaribe,2020-05-09,22.0,0,3,0,1.2857142857142858,0.14285714285714285,9.0,1.0
993432,Jaguaribe,2020-05-10,23.0,1,3,0,1.4285714285714286,0.14285714285714285,10.0,1.0
993433,Jaguaribe,2020-05-11,24.0,1,3,0,1.4285714285714286,0.14285714285714285,10.0,1.0
993434,Jaguaribe,2020-05-12,26.0,2,3,0,1.7142857142857142,0.14285714285714285,12.0,1.0
993435,Jaguaribe,2020-05-13,28.0,2,4,1,1.8571428571428572,0.2857142857142857,13.0,2.0
993436,Jaguaribe,2020-05-14,28.0,0,4,0,0.8571428571428571,0.2857142857142857,6.0,2.0
993437,Jaguaribe,2020-05-15,37.0,9,4,0,2.142857142857143,0.14285714285714285,15.0,1.0
993438,Jaguaribe,2020-05-16,40.0,3,4,0,2.5714285714285716,0.14285714285714285,18.0,1.0
993439,Jaguaribe,2020-05-17,39.0,-1,4,0,2.2857142857142856,0.14285714285714285,16.0,1.0
993440,Jaguaribe,2020-05-18,40.0,1,4,0,2.2857142857142856,0.14285714285714285,16.0,1.0
993441,Jaguaribe,2020-05-19,42.0,2,4,0,2.2857142857142856,0.14285714285714285,16.0,1.0
993442,Jaguaribe,2020-05-20,58.0,16,4,0,4.285714285714286,0.0,30.0,0.0
993443,Jaguaribe,2020-05-21,58.0,0,5,1,4.285714285714286,0.14285714285714285,30.0,1.0
993444,Jaguaribe,2020-05-22,66.0,8,5,0,4.142857142857143,0.14285714285714285,29.0,1.0
993445,Jaguaribe,2020-05-23,66.0,0,5,0,3.7142857142857144,0.14285714285714285,26.0,1.0
993446,Jaguaribe,2020-05-24,66.0,0,5,0,3.857142857142857,0.14285714285714285,27.0,1.0
993447,Jaguaribe,2020-05-25,67.0,1,5,0,3.857142857142857,0.14285714285714285,27.0,1.0
993448,Jaguaribe,2020-05-26,67.0,0,5,0,3.5714285714285716,0.14285714285714285,25.0,1.0
993449,Jaguaribe,2020-05-27,68.0,1,6,1,1.4285714285714286,0.2857142857142857,10.0,2.0
993450,Jaguaribe,2020-05-28,68.0,0,6,0,1.4285714285714286,0.14285714285714285,10.0,1.0
993451,Jaguaribe,2020-05-29,68.0,0,6,0,0.2857142857142857,0.14285714285714285,2.0,1.0
993452,Jaguaribe,2020-05-30,119.0,51,6,0,7.571428571428571,0.14285714285714285,53.0,1.0
993453,Jaguaribe,2020-05-31,121.0,2,6,0,7.857142857142857,0.14285714285714285,55.0,1.0
993454,Jaguaribe,2020-06-01,123.0,2,6,0,8.0,0.14285714285714285,56.0,1.0
993455,Jaguaribe,2020-06-02,123.0,0,6,0,8.0,0.14285714285714285,56.0,1.0
993456,Jaguaribe,2020-06-03,128.0,5,6,0,8.571428571428571,0.0,60.0,0.0
993457,Jaguaribe,2020-06-04,144.0,16,7,1,10.857142857142858,0.14285714285714285,76.0,1.0
993458,Jaguaribe,2020-06-05,144.0,0,7,0,10.857142857142858,0.14285714285714285,76.0,1.0
993459,Jaguaribe,2020-06-06,146.0,2,7,0,3.857142857142857,0.14285714285714285,27.0,1.0
993460,Jaguaribe,2020-06-07,146.0,0,7,0,3.5714285714285716,0.14285714285714285,25.0,1.0
993461,Jaguaribe,2020-06-08,148.0,2,7,0,3.5714285714285716,0.14285714285714285,25.0,1.0
993462,Jaguaribe,2020-06-09,148.0,0,7,0,3.5714285714285716,0.14285714285714285,25.0,1.0
993463,Jaguaribe,2020-06-10,149.0,1,8,1,3.0,0.2857142857142857,21.0,2.0
993464,Jaguaribe,2020-06-11,161.0,12,8,0,2.4285714285714284,0.14285714285714285,17.0,1.0
993465,Jaguaribe,2020-06-12,163.0,2,9,1,2.7142857142857144,0.2857142857142857,19.0,2.0
993466,Jaguaribe,2020-06-13,166.0,3,9,0,2.857142857142857,0.2857142857142857,20.0,2.0
993467,Jaguaribe,2020-06-14,166.0,0,9,0,2.857142857142857,0.2857142857142857,20.0,2.0
993468,Jaguaribe,2020-06-15,166.0,0,9,0,2.5714285714285716,0.2857142857142857,18.0,2.0
993469,Jaguaribe,2020-06-16,171.0,5,9,0,3.2857142857142856,0.2857142857142857,23.0,2.0
993470,Jaguaribe,2020-06-17,176.0,5,9,0,3.857142857142857,0.14285714285714285,27.0,1.0
993471,Jaguaribe,2020-06-18,180.0,4,9,0,2.7142857142857144,0.14285714285714285,19.0,1.0
993472,Jaguaribe,2020-06-19,187.0,7,11,2,3.4285714285714284,0.2857142857142857,24.0,2.0
993473,Jaguaribe,2020-06-20,188.0,1,11,0,3.142857142857143,0.2857142857142857,22.0,2.0
993474,Jaguaribe,2020-06-21,188.0,0,11,0,3.142857142857143,0.2857142857142857,22.0,2.0
993475,Jaguaribe,2020-06-22,188.0,0,11,0,3.142857142857143,0.2857142857142857,22.0,2.0
993476,Jaguaribe,2020-06-23,189.0,1,11,0,2.5714285714285716,0.2857142857142857,18.0,2.0
993477,Jaguaribe,2020-06-24,197.0,8,11,0,3.0,0.2857142857142857,21.0,2.0
993478,Jaguaribe,2020-06-25,207.0,10,11,0,3.857142857142857,0.2857142857142857,27.0,2.0
993479,Jaguaribe,2020-06-26,230.0,23,11,0,6.142857142857143,0.0,43.0,0.0
993480,Jaguaribe,2020-06-27,244.0,14,11,0,8.0,0.0,56.0,0.0
993481,Jaguaribe,2020-06-28,244.0,0,11,0,8.0,0.0,56.0,0.0
993482,Jaguaribe,2020-06-29,245.0,1,11,0,8.142857142857142,0.0,57.0,0.0
993483,Jaguaribe,2020-06-30,248.0,3,13,2,8.428571428571429,0.2857142857142857,59.0,2.0
993484,Jaguaribe,2020-07-01,251.0,3,13,0,7.714285714285714,0.2857142857142857,54.0,2.0
993485,Jaguaribe,2020-07-02,289.0,38,13,0,11.714285714285714,0.2857142857142857,82.0,2.0
993486,Jaguaribe,2020-07-03,301.0,12,13,0,10.142857142857142,0.2857142857142857,71.0,2.0
993487,Jaguaribe,2020-07-04,317.0,16,14,1,10.428571428571429,0.42857142857142855,73.0,3.0
993488,Jaguaribe,2020-07-05,317.0,0,14,0,10.428571428571429,0.42857142857142855,73.0,3.0
993489,Jaguaribe,2020-07-06,318.0,1,14,0,10.428571428571429,0.42857142857142855,73.0,3.0
993490,Jaguaribe,2020-07-07,322.0,4,14,0,10.571428571428571,0.14285714285714285,74.0,1.0
993491,Jaguaribe,2020-07-08,349.0,27,15,1,14.0,0.2857142857142857,98.0,2.0
993492,Jaguaribe,2020-07-09,379.0,30,16,1,12.857142857142858,0.42857142857142855,90.0,3.0
993493,Jaguaribe,2020-07-10,398.0,19,17,1,13.857142857142858,0.5714285714285714,97.0,4.0
993494,Jaguaribe,2020-07-11,401.0,3,16,-1,12.0,0.2857142857142857,84.0,2.0
993495,Jaguaribe,2020-07-12,403.0,2,16,0,12.285714285714286,0.2857142857142857,86.0,2.0
993496,Jaguaribe,2020-07-13,423.0,20,17,1,15.0,0.42857142857142855,105.0,3.0
993497,Jaguaribe,2020-07-14,439.0,16,17,0,16.714285714285715,0.42857142857142855,117.0,3.0
993498,Jaguaribe,2020-07-15,475.0,36,18,1,18.0,0.42857142857142855,126.0,3.0
