index,municipio,data,casosAcumulado,casosNovos,obitosAcumulado,obitosNovos,daily_cases_moving_average,daily_deaths_moving_average,sum_of_daily_cases_week,sum_of_daily_deaths_week
1001410,Jaramataia,2020-03-27,0.0,0,0,0,87.71428571428571,1.1428571428571428,614.0,8.0
1001411,Jaramataia,2020-03-28,0.0,0,0,0,69.71428571428571,1.0,488.0,7.0
1001412,Jaramataia,2020-03-29,0.0,0,0,0,54.285714285714285,0.7142857142857143,380.0,5.0
1001413,Jaramataia,2020-03-30,0.0,0,0,0,52.142857142857146,0.7142857142857143,365.0,5.0
1001414,Jaramataia,2020-03-31,0.0,0,0,0,50.142857142857146,0.5714285714285714,351.0,4.0
1001415,Jaramataia,2020-04-01,0.0,0,0,0,29.428571428571427,0.2857142857142857,206.0,2.0
1001416,Jaramataia,2020-04-02,0.0,0,0,0,0.0,0.0,0.0,0.0
1001417,Jaramataia,2020-04-03,0.0,0,0,0,0.0,0.0,0.0,0.0
1001418,Jaramataia,2020-04-04,0.0,0,0,0,0.0,0.0,0.0,0.0
1001419,Jaramataia,2020-04-05,0.0,0,0,0,0.0,0.0,0.0,0.0
1001420,Jaramataia,2020-04-06,0.0,0,0,0,0.0,0.0,0.0,0.0
1001421,Jaramataia,2020-04-07,0.0,0,0,0,0.0,0.0,0.0,0.0
1001422,Jaramataia,2020-04-08,0.0,0,0,0,0.0,0.0,0.0,0.0
1001423,Jaramataia,2020-04-09,0.0,0,0,0,0.0,0.0,0.0,0.0
1001424,Jaramataia,2020-04-10,0.0,0,0,0,0.0,0.0,0.0,0.0
1001425,Jaramataia,2020-04-11,0.0,0,0,0,0.0,0.0,0.0,0.0
1001426,Jaramataia,2020-04-12,0.0,0,0,0,0.0,0.0,0.0,0.0
1001427,Jaramataia,2020-04-13,0.0,0,0,0,0.0,0.0,0.0,0.0
1001428,Jaramataia,2020-04-14,0.0,0,0,0,0.0,0.0,0.0,0.0
1001429,Jaramataia,2020-04-15,0.0,0,0,0,0.0,0.0,0.0,0.0
1001430,Jaramataia,2020-04-16,0.0,0,0,0,0.0,0.0,0.0,0.0
1001431,Jaramataia,2020-04-17,0.0,0,0,0,0.0,0.0,0.0,0.0
1001432,Jaramataia,2020-04-18,0.0,0,0,0,0.0,0.0,0.0,0.0
1001433,Jaramataia,2020-04-19,0.0,0,0,0,0.0,0.0,0.0,0.0
1001434,Jaramataia,2020-04-20,0.0,0,0,0,0.0,0.0,0.0,0.0
1001435,Jaramataia,2020-04-21,0.0,0,0,0,0.0,0.0,0.0,0.0
1001436,Jaramataia,2020-04-22,0.0,0,0,0,0.0,0.0,0.0,0.0
1001437,Jaramataia,2020-04-23,0.0,0,0,0,0.0,0.0,0.0,0.0
1001438,Jaramataia,2020-04-24,0.0,0,0,0,0.0,0.0,0.0,0.0
1001439,Jaramataia,2020-04-25,0.0,0,0,0,0.0,0.0,0.0,0.0
1001440,Jaramataia,2020-04-26,0.0,0,0,0,0.0,0.0,0.0,0.0
1001441,Jaramataia,2020-04-27,0.0,0,0,0,0.0,0.0,0.0,0.0
1001442,Jaramataia,2020-04-28,0.0,0,0,0,0.0,0.0,0.0,0.0
1001443,Jaramataia,2020-04-29,0.0,0,0,0,0.0,0.0,0.0,0.0
1001444,Jaramataia,2020-04-30,0.0,0,0,0,0.0,0.0,0.0,0.0
1001445,Jaramataia,2020-05-01,0.0,0,0,0,0.0,0.0,0.0,0.0
1001446,Jaramataia,2020-05-02,1.0,1,0,0,0.14285714285714285,0.0,1.0,0.0
1001447,Jaramataia,2020-05-03,1.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
1001448,Jaramataia,2020-05-04,1.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
1001449,Jaramataia,2020-05-05,1.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
1001450,Jaramataia,2020-05-06,1.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
