index,municipio,data,casosAcumulado,casosNovos,obitosAcumulado,obitosNovos,daily_cases_moving_average,daily_deaths_moving_average,sum_of_daily_cases_week,sum_of_daily_deaths_week
1048363,Jari,2020-03-27,0.0,0,0,0,22.714285714285715,0.42857142857142855,159.0,3.0
1048364,Jari,2020-03-28,0.0,0,0,0,17.571428571428573,0.42857142857142855,123.0,3.0
1048365,Jari,2020-03-29,0.0,0,0,0,10.0,0.14285714285714285,70.0,1.0
1048366,Jari,2020-03-30,0.0,0,0,0,5.857142857142857,0.0,41.0,0.0
1048367,Jari,2020-03-31,0.0,0,0,0,5.571428571428571,0.0,39.0,0.0
1048368,Jari,2020-04-01,0.0,0,0,0,4.285714285714286,0.0,30.0,0.0
1048369,Jari,2020-04-02,0.0,0,0,0,0.0,0.0,0.0,0.0
1048370,Jari,2020-04-03,0.0,0,0,0,0.0,0.0,0.0,0.0
1048371,Jari,2020-04-04,0.0,0,0,0,0.0,0.0,0.0,0.0
1048372,Jari,2020-04-05,0.0,0,0,0,0.0,0.0,0.0,0.0
1048373,Jari,2020-04-06,0.0,0,0,0,0.0,0.0,0.0,0.0
1048374,Jari,2020-04-07,0.0,0,0,0,0.0,0.0,0.0,0.0
1048375,Jari,2020-04-08,0.0,0,0,0,0.0,0.0,0.0,0.0
1048376,Jari,2020-04-09,0.0,0,0,0,0.0,0.0,0.0,0.0
1048377,Jari,2020-04-10,0.0,0,0,0,0.0,0.0,0.0,0.0
1048378,Jari,2020-04-11,0.0,0,0,0,0.0,0.0,0.0,0.0
1048379,Jari,2020-04-12,0.0,0,0,0,0.0,0.0,0.0,0.0
1048380,Jari,2020-04-13,0.0,0,0,0,0.0,0.0,0.0,0.0
1048381,Jari,2020-04-14,0.0,0,0,0,0.0,0.0,0.0,0.0
1048382,Jari,2020-04-15,0.0,0,0,0,0.0,0.0,0.0,0.0
1048383,Jari,2020-04-16,0.0,0,0,0,0.0,0.0,0.0,0.0
1048384,Jari,2020-04-17,0.0,0,0,0,0.0,0.0,0.0,0.0
1048385,Jari,2020-04-18,0.0,0,0,0,0.0,0.0,0.0,0.0
1048386,Jari,2020-04-19,0.0,0,0,0,0.0,0.0,0.0,0.0
1048387,Jari,2020-04-20,0.0,0,0,0,0.0,0.0,0.0,0.0
1048388,Jari,2020-04-21,0.0,0,0,0,0.0,0.0,0.0,0.0
1048389,Jari,2020-04-22,0.0,0,0,0,0.0,0.0,0.0,0.0
1048390,Jari,2020-04-23,0.0,0,0,0,0.0,0.0,0.0,0.0
1048391,Jari,2020-04-24,0.0,0,0,0,0.0,0.0,0.0,0.0
1048392,Jari,2020-04-25,0.0,0,0,0,0.0,0.0,0.0,0.0
1048393,Jari,2020-04-26,0.0,0,0,0,0.0,0.0,0.0,0.0
1048394,Jari,2020-04-27,0.0,0,0,0,0.0,0.0,0.0,0.0
1048395,Jari,2020-04-28,0.0,0,0,0,0.0,0.0,0.0,0.0
1048396,Jari,2020-04-29,0.0,0,0,0,0.0,0.0,0.0,0.0
1048397,Jari,2020-04-30,0.0,0,0,0,0.0,0.0,0.0,0.0
1048398,Jari,2020-05-01,0.0,0,0,0,0.0,0.0,0.0,0.0
1048399,Jari,2020-05-02,0.0,0,0,0,0.0,0.0,0.0,0.0
1048400,Jari,2020-05-03,0.0,0,0,0,0.0,0.0,0.0,0.0
1048401,Jari,2020-05-04,0.0,0,0,0,0.0,0.0,0.0,0.0
1048402,Jari,2020-05-05,0.0,0,0,0,0.0,0.0,0.0,0.0
1048403,Jari,2020-05-06,0.0,0,0,0,0.0,0.0,0.0,0.0
1048404,Jari,2020-05-07,0.0,0,0,0,0.0,0.0,0.0,0.0
1048405,Jari,2020-05-08,0.0,0,0,0,0.0,0.0,0.0,0.0
1048406,Jari,2020-05-09,0.0,0,0,0,0.0,0.0,0.0,0.0
1048407,Jari,2020-05-10,0.0,0,0,0,0.0,0.0,0.0,0.0
1048408,Jari,2020-05-11,0.0,0,0,0,0.0,0.0,0.0,0.0
1048409,Jari,2020-05-12,0.0,0,0,0,0.0,0.0,0.0,0.0
1048410,Jari,2020-05-13,0.0,0,0,0,0.0,0.0,0.0,0.0
1048411,Jari,2020-05-14,0.0,0,0,0,0.0,0.0,0.0,0.0
1048412,Jari,2020-05-15,0.0,0,0,0,0.0,0.0,0.0,0.0
1048413,Jari,2020-05-16,0.0,0,0,0,0.0,0.0,0.0,0.0
1048414,Jari,2020-05-17,0.0,0,0,0,0.0,0.0,0.0,0.0
1048415,Jari,2020-05-18,0.0,0,0,0,0.0,0.0,0.0,0.0
1048416,Jari,2020-05-19,0.0,0,0,0,0.0,0.0,0.0,0.0
1048417,Jari,2020-05-20,0.0,0,0,0,0.0,0.0,0.0,0.0
1048418,Jari,2020-05-21,0.0,0,0,0,0.0,0.0,0.0,0.0
1048419,Jari,2020-05-22,0.0,0,0,0,0.0,0.0,0.0,0.0
1048420,Jari,2020-05-23,0.0,0,0,0,0.0,0.0,0.0,0.0
1048421,Jari,2020-05-24,0.0,0,0,0,0.0,0.0,0.0,0.0
1048422,Jari,2020-05-25,0.0,0,0,0,0.0,0.0,0.0,0.0
1048423,Jari,2020-05-26,0.0,0,0,0,0.0,0.0,0.0,0.0
1048424,Jari,2020-05-27,0.0,0,0,0,0.0,0.0,0.0,0.0
1048425,Jari,2020-05-28,0.0,0,0,0,0.0,0.0,0.0,0.0
1048426,Jari,2020-05-29,0.0,0,0,0,0.0,0.0,0.0,0.0
1048427,Jari,2020-05-30,0.0,0,0,0,0.0,0.0,0.0,0.0
1048428,Jari,2020-05-31,0.0,0,0,0,0.0,0.0,0.0,0.0
1048429,Jari,2020-06-01,0.0,0,0,0,0.0,0.0,0.0,0.0
1048430,Jari,2020-06-02,0.0,0,0,0,0.0,0.0,0.0,0.0
1048431,Jari,2020-06-03,0.0,0,0,0,0.0,0.0,0.0,0.0
1048432,Jari,2020-06-04,0.0,0,0,0,0.0,0.0,0.0,0.0
1048433,Jari,2020-06-05,0.0,0,0,0,0.0,0.0,0.0,0.0
1048434,Jari,2020-06-06,0.0,0,0,0,0.0,0.0,0.0,0.0
1048435,Jari,2020-06-07,0.0,0,0,0,0.0,0.0,0.0,0.0
1048436,Jari,2020-06-08,0.0,0,0,0,0.0,0.0,0.0,0.0
1048437,Jari,2020-06-09,0.0,0,0,0,0.0,0.0,0.0,0.0
1048438,Jari,2020-06-10,0.0,0,0,0,0.0,0.0,0.0,0.0
1048439,Jari,2020-06-11,0.0,0,0,0,0.0,0.0,0.0,0.0
1048440,Jari,2020-06-12,0.0,0,0,0,0.0,0.0,0.0,0.0
1048441,Jari,2020-06-13,0.0,0,0,0,0.0,0.0,0.0,0.0
1048442,Jari,2020-06-14,0.0,0,0,0,0.0,0.0,0.0,0.0
1048443,Jari,2020-06-15,0.0,0,0,0,0.0,0.0,0.0,0.0
1048444,Jari,2020-06-16,0.0,0,0,0,0.0,0.0,0.0,0.0
1048445,Jari,2020-06-17,0.0,0,0,0,0.0,0.0,0.0,0.0
1048446,Jari,2020-06-18,0.0,0,0,0,0.0,0.0,0.0,0.0
1048447,Jari,2020-06-19,0.0,0,0,0,0.0,0.0,0.0,0.0
1048448,Jari,2020-06-20,0.0,0,0,0,0.0,0.0,0.0,0.0
1048449,Jari,2020-06-21,0.0,0,0,0,0.0,0.0,0.0,0.0
1048450,Jari,2020-06-22,0.0,0,0,0,0.0,0.0,0.0,0.0
1048451,Jari,2020-06-23,0.0,0,0,0,0.0,0.0,0.0,0.0
1048452,Jari,2020-06-24,0.0,0,0,0,0.0,0.0,0.0,0.0
1048453,Jari,2020-06-25,0.0,0,0,0,0.0,0.0,0.0,0.0
1048454,Jari,2020-06-26,0.0,0,0,0,0.0,0.0,0.0,0.0
1048455,Jari,2020-06-27,0.0,0,0,0,0.0,0.0,0.0,0.0
1048456,Jari,2020-06-28,0.0,0,0,0,0.0,0.0,0.0,0.0
1048457,Jari,2020-06-29,0.0,0,0,0,0.0,0.0,0.0,0.0
1048458,Jari,2020-06-30,0.0,0,0,0,0.0,0.0,0.0,0.0
1048459,Jari,2020-07-01,0.0,0,0,0,0.0,0.0,0.0,0.0
1048460,Jari,2020-07-02,0.0,0,0,0,0.0,0.0,0.0,0.0
1048461,Jari,2020-07-03,0.0,0,0,0,0.0,0.0,0.0,0.0
1048462,Jari,2020-07-04,0.0,0,0,0,0.0,0.0,0.0,0.0
1048463,Jari,2020-07-05,0.0,0,0,0,0.0,0.0,0.0,0.0
1048464,Jari,2020-07-06,0.0,0,0,0,0.0,0.0,0.0,0.0
1048465,Jari,2020-07-07,0.0,0,0,0,0.0,0.0,0.0,0.0
1048466,Jari,2020-07-08,0.0,0,0,0,0.0,0.0,0.0,0.0
1048467,Jari,2020-07-09,0.0,0,0,0,0.0,0.0,0.0,0.0
1048468,Jari,2020-07-10,0.0,0,0,0,0.0,0.0,0.0,0.0
1048469,Jari,2020-07-11,0.0,0,0,0,0.0,0.0,0.0,0.0
1048470,Jari,2020-07-12,0.0,0,0,0,0.0,0.0,0.0,0.0
1048471,Jari,2020-07-13,0.0,0,0,0,0.0,0.0,0.0,0.0
1048472,Jari,2020-07-14,0.0,0,0,0,0.0,0.0,0.0,0.0
1048473,Jari,2020-07-15,0.0,0,0,0,0.0,0.0,0.0,0.0
1048474,Jari,2020-07-16,0.0,0,0,0,0.0,0.0,0.0,0.0
1048475,Jari,2020-07-17,0.0,0,0,0,0.0,0.0,0.0,0.0
1048476,Jari,2020-07-18,0.0,0,0,0,0.0,0.0,0.0,0.0
1048477,Jari,2020-07-19,0.0,0,0,0,0.0,0.0,0.0,0.0
1048478,Jari,2020-07-20,0.0,0,0,0,0.0,0.0,0.0,0.0
1048479,Jari,2020-07-21,0.0,0,0,0,0.0,0.0,0.0,0.0
1048480,Jari,2020-07-22,0.0,0,0,0,0.0,0.0,0.0,0.0
1048481,Jari,2020-07-23,0.0,0,0,0,0.0,0.0,0.0,0.0
1048482,Jari,2020-07-24,0.0,0,0,0,0.0,0.0,0.0,0.0
1048483,Jari,2020-07-25,0.0,0,0,0,0.0,0.0,0.0,0.0
1048484,Jari,2020-07-26,0.0,0,0,0,0.0,0.0,0.0,0.0
1048485,Jari,2020-07-27,0.0,0,0,0,0.0,0.0,0.0,0.0
1048486,Jari,2020-07-28,2.0,2,0,0,0.2857142857142857,0.0,2.0,0.0
1048487,Jari,2020-07-29,2.0,0,0,0,0.2857142857142857,0.0,2.0,0.0
1048488,Jari,2020-07-30,2.0,0,0,0,0.2857142857142857,0.0,2.0,0.0
1048489,Jari,2020-07-31,2.0,0,0,0,0.2857142857142857,0.0,2.0,0.0
1048490,Jari,2020-08-01,2.0,0,0,0,0.2857142857142857,0.0,2.0,0.0
1048491,Jari,2020-08-02,2.0,0,0,0,0.2857142857142857,0.0,2.0,0.0
1048492,Jari,2020-08-03,2.0,0,0,0,0.2857142857142857,0.0,2.0,0.0
1048493,Jari,2020-08-04,2.0,0,0,0,0.0,0.0,0.0,0.0
1048494,Jari,2020-08-05,2.0,0,0,0,0.0,0.0,0.0,0.0
1048495,Jari,2020-08-06,2.0,0,0,0,0.0,0.0,0.0,0.0
1048496,Jari,2020-08-07,2.0,0,0,0,0.0,0.0,0.0,0.0
1048497,Jari,2020-08-08,2.0,0,0,0,0.0,0.0,0.0,0.0
1048498,Jari,2020-08-09,2.0,0,0,0,0.0,0.0,0.0,0.0
1048499,Jari,2020-08-10,2.0,0,0,0,0.0,0.0,0.0,0.0
1048500,Jari,2020-08-11,2.0,0,0,0,0.0,0.0,0.0,0.0
1048501,Jari,2020-08-12,2.0,0,0,0,0.0,0.0,0.0,0.0
1048502,Jari,2020-08-13,2.0,0,0,0,0.0,0.0,0.0,0.0
1048503,Jari,2020-08-14,2.0,0,0,0,0.0,0.0,0.0,0.0
1048504,Jari,2020-08-15,2.0,0,0,0,0.0,0.0,0.0,0.0
1048505,Jari,2020-08-16,2.0,0,0,0,0.0,0.0,0.0,0.0
1048506,Jari,2020-08-17,2.0,0,0,0,0.0,0.0,0.0,0.0
1048507,Jari,2020-08-18,2.0,0,0,0,0.0,0.0,0.0,0.0
1048508,Jari,2020-08-19,2.0,0,0,0,0.0,0.0,0.0,0.0
1048509,Jari,2020-08-20,2.0,0,0,0,0.0,0.0,0.0,0.0
1048510,Jari,2020-08-21,2.0,0,0,0,0.0,0.0,0.0,0.0
1048511,Jari,2020-08-22,4.0,2,0,0,0.2857142857142857,0.0,2.0,0.0
1048512,Jari,2020-08-23,4.0,0,0,0,0.2857142857142857,0.0,2.0,0.0
1048513,Jari,2020-08-24,4.0,0,0,0,0.2857142857142857,0.0,2.0,0.0
1048514,Jari,2020-08-25,4.0,0,0,0,0.2857142857142857,0.0,2.0,0.0
1048515,Jari,2020-08-26,4.0,0,0,0,0.2857142857142857,0.0,2.0,0.0
1048516,Jari,2020-08-27,4.0,0,0,0,0.2857142857142857,0.0,2.0,0.0
1048517,Jari,2020-08-28,4.0,0,0,0,0.2857142857142857,0.0,2.0,0.0
1048518,Jari,2020-08-29,4.0,0,0,0,0.0,0.0,0.0,0.0
1048519,Jari,2020-08-30,4.0,0,0,0,0.0,0.0,0.0,0.0
1048520,Jari,2020-08-31,4.0,0,0,0,0.0,0.0,0.0,0.0
1048521,Jari,2020-09-01,4.0,0,0,0,0.0,0.0,0.0,0.0
1048522,Jari,2020-09-02,4.0,0,0,0,0.0,0.0,0.0,0.0
1048523,Jari,2020-09-03,4.0,0,0,0,0.0,0.0,0.0,0.0
1048524,Jari,2020-09-04,4.0,0,0,0,0.0,0.0,0.0,0.0
1048525,Jari,2020-09-05,4.0,0,0,0,0.0,0.0,0.0,0.0
1048526,Jari,2020-09-06,4.0,0,0,0,0.0,0.0,0.0,0.0
1048527,Jari,2020-09-07,4.0,0,0,0,0.0,0.0,0.0,0.0
1048528,Jari,2020-09-08,4.0,0,0,0,0.0,0.0,0.0,0.0
1048529,Jari,2020-09-09,4.0,0,0,0,0.0,0.0,0.0,0.0
1048530,Jari,2020-09-10,4.0,0,0,0,0.0,0.0,0.0,0.0
1048531,Jari,2020-09-11,4.0,0,0,0,0.0,0.0,0.0,0.0
1048532,Jari,2020-09-12,4.0,0,0,0,0.0,0.0,0.0,0.0
1048533,Jari,2020-09-13,4.0,0,0,0,0.0,0.0,0.0,0.0
1048534,Jari,2020-09-14,4.0,0,0,0,0.0,0.0,0.0,0.0
1048535,Jari,2020-09-15,4.0,0,0,0,0.0,0.0,0.0,0.0
1048536,Jari,2020-09-16,4.0,0,0,0,0.0,0.0,0.0,0.0
1048537,Jari,2020-09-17,6.0,2,0,0,0.2857142857142857,0.0,2.0,0.0
1048538,Jari,2020-09-18,6.0,0,0,0,0.2857142857142857,0.0,2.0,0.0
1048539,Jari,2020-09-19,6.0,0,0,0,0.2857142857142857,0.0,2.0,0.0
1048540,Jari,2020-09-20,6.0,0,0,0,0.2857142857142857,0.0,2.0,0.0
1048541,Jari,2020-09-21,6.0,0,0,0,0.2857142857142857,0.0,2.0,0.0
1048542,Jari,2020-09-22,6.0,0,0,0,0.2857142857142857,0.0,2.0,0.0
1048543,Jari,2020-09-23,7.0,1,1,1,0.42857142857142855,0.14285714285714285,3.0,1.0
1048544,Jari,2020-09-24,7.0,0,1,0,0.14285714285714285,0.14285714285714285,1.0,1.0
1048545,Jari,2020-09-25,7.0,0,1,0,0.14285714285714285,0.14285714285714285,1.0,1.0
1048546,Jari,2020-09-26,7.0,0,1,0,0.14285714285714285,0.14285714285714285,1.0,1.0
1048547,Jari,2020-09-27,7.0,0,1,0,0.14285714285714285,0.14285714285714285,1.0,1.0
1048548,Jari,2020-09-28,7.0,0,1,0,0.14285714285714285,0.14285714285714285,1.0,1.0
1048549,Jari,2020-09-29,7.0,0,1,0,0.14285714285714285,0.14285714285714285,1.0,1.0
1048550,Jari,2020-09-30,7.0,0,1,0,0.0,0.0,0.0,0.0
1048551,Jari,2020-10-01,7.0,0,1,0,0.0,0.0,0.0,0.0
1048552,Jari,2020-10-02,7.0,0,1,0,0.0,0.0,0.0,0.0
1048553,Jari,2020-10-03,7.0,0,1,0,0.0,0.0,0.0,0.0
1048554,Jari,2020-10-04,7.0,0,1,0,0.0,0.0,0.0,0.0
