index,municipio,data,casosAcumulado,casosNovos,obitosAcumulado,obitosNovos,daily_cases_moving_average,daily_deaths_moving_average,sum_of_daily_cases_week,sum_of_daily_deaths_week
1026660,Jauru,2020-03-27,0.0,0,0,0,0.0,0.0,0.0,0.0
1026661,Jauru,2020-03-28,0.0,0,0,0,0.0,0.0,0.0,0.0
1026662,Jauru,2020-03-29,0.0,0,0,0,0.0,0.0,0.0,0.0
1026663,Jauru,2020-03-30,0.0,0,0,0,0.0,0.0,0.0,0.0
1026664,Jauru,2020-03-31,0.0,0,0,0,0.0,0.0,0.0,0.0
1026665,Jauru,2020-04-01,0.0,0,0,0,0.0,0.0,0.0,0.0
1026666,Jauru,2020-04-02,0.0,0,0,0,0.0,0.0,0.0,0.0
1026667,Jauru,2020-04-03,0.0,0,0,0,0.0,0.0,0.0,0.0
1026668,Jauru,2020-04-04,0.0,0,0,0,0.0,0.0,0.0,0.0
1026669,Jauru,2020-04-05,0.0,0,0,0,0.0,0.0,0.0,0.0
1026670,Jauru,2020-04-06,0.0,0,0,0,0.0,0.0,0.0,0.0
1026671,Jauru,2020-04-07,0.0,0,0,0,0.0,0.0,0.0,0.0
1026672,Jauru,2020-04-08,0.0,0,0,0,0.0,0.0,0.0,0.0
1026673,Jauru,2020-04-09,0.0,0,0,0,0.0,0.0,0.0,0.0
1026674,Jauru,2020-04-10,0.0,0,0,0,0.0,0.0,0.0,0.0
1026675,Jauru,2020-04-11,0.0,0,0,0,0.0,0.0,0.0,0.0
1026676,Jauru,2020-04-12,0.0,0,0,0,0.0,0.0,0.0,0.0
1026677,Jauru,2020-04-13,0.0,0,0,0,0.0,0.0,0.0,0.0
1026678,Jauru,2020-04-14,0.0,0,0,0,0.0,0.0,0.0,0.0
1026679,Jauru,2020-04-15,0.0,0,0,0,0.0,0.0,0.0,0.0
1026680,Jauru,2020-04-16,0.0,0,0,0,0.0,0.0,0.0,0.0
1026681,Jauru,2020-04-17,0.0,0,0,0,0.0,0.0,0.0,0.0
1026682,Jauru,2020-04-18,0.0,0,0,0,0.0,0.0,0.0,0.0
1026683,Jauru,2020-04-19,0.0,0,0,0,0.0,0.0,0.0,0.0
1026684,Jauru,2020-04-20,0.0,0,0,0,0.0,0.0,0.0,0.0
1026685,Jauru,2020-04-21,0.0,0,0,0,0.0,0.0,0.0,0.0
1026686,Jauru,2020-04-22,0.0,0,0,0,0.0,0.0,0.0,0.0
1026687,Jauru,2020-04-23,0.0,0,0,0,0.0,0.0,0.0,0.0
1026688,Jauru,2020-04-24,0.0,0,0,0,0.0,0.0,0.0,0.0
1026689,Jauru,2020-04-25,0.0,0,0,0,0.0,0.0,0.0,0.0
1026690,Jauru,2020-04-26,0.0,0,0,0,0.0,0.0,0.0,0.0
1026691,Jauru,2020-04-27,0.0,0,0,0,0.0,0.0,0.0,0.0
1026692,Jauru,2020-04-28,0.0,0,0,0,0.0,0.0,0.0,0.0
1026693,Jauru,2020-04-29,0.0,0,0,0,0.0,0.0,0.0,0.0
1026694,Jauru,2020-04-30,0.0,0,0,0,0.0,0.0,0.0,0.0
1026695,Jauru,2020-05-01,0.0,0,0,0,0.0,0.0,0.0,0.0
1026696,Jauru,2020-05-02,0.0,0,0,0,0.0,0.0,0.0,0.0
1026697,Jauru,2020-05-03,0.0,0,0,0,0.0,0.0,0.0,0.0
1026698,Jauru,2020-05-04,0.0,0,0,0,0.0,0.0,0.0,0.0
1026699,Jauru,2020-05-05,0.0,0,0,0,0.0,0.0,0.0,0.0
1026700,Jauru,2020-05-06,0.0,0,0,0,0.0,0.0,0.0,0.0
1026701,Jauru,2020-05-07,0.0,0,0,0,0.0,0.0,0.0,0.0
1026702,Jauru,2020-05-08,0.0,0,0,0,0.0,0.0,0.0,0.0
1026703,Jauru,2020-05-09,0.0,0,0,0,0.0,0.0,0.0,0.0
1026704,Jauru,2020-05-10,0.0,0,0,0,0.0,0.0,0.0,0.0
