index,municipio,data,casosAcumulado,casosNovos,obitosAcumulado,obitosNovos,daily_cases_moving_average,daily_deaths_moving_average,sum_of_daily_cases_week,sum_of_daily_deaths_week
1021767,Jerumenha,2020-03-27,0.0,0,0,0,0.2857142857142857,0.0,2.0,0.0
1021768,Jerumenha,2020-03-28,0.0,0,0,0,0.2857142857142857,0.0,2.0,0.0
1021769,Jerumenha,2020-03-29,0.0,0,0,0,0.2857142857142857,0.0,2.0,0.0
1021770,Jerumenha,2020-03-30,0.0,0,0,0,0.0,0.0,0.0,0.0
1021771,Jerumenha,2020-03-31,0.0,0,0,0,0.0,0.0,0.0,0.0
1021772,Jerumenha,2020-04-01,0.0,0,0,0,0.0,0.0,0.0,0.0
1021773,Jerumenha,2020-04-02,0.0,0,0,0,0.0,0.0,0.0,0.0
1021774,Jerumenha,2020-04-03,0.0,0,0,0,0.0,0.0,0.0,0.0
1021775,Jerumenha,2020-04-04,0.0,0,0,0,0.0,0.0,0.0,0.0
1021776,Jerumenha,2020-04-05,0.0,0,0,0,0.0,0.0,0.0,0.0
1021777,Jerumenha,2020-04-06,0.0,0,0,0,0.0,0.0,0.0,0.0
1021778,Jerumenha,2020-04-07,0.0,0,0,0,0.0,0.0,0.0,0.0
1021779,Jerumenha,2020-04-08,0.0,0,0,0,0.0,0.0,0.0,0.0
1021780,Jerumenha,2020-04-09,0.0,0,0,0,0.0,0.0,0.0,0.0
1021781,Jerumenha,2020-04-10,0.0,0,0,0,0.0,0.0,0.0,0.0
1021782,Jerumenha,2020-04-11,0.0,0,0,0,0.0,0.0,0.0,0.0
1021783,Jerumenha,2020-04-12,0.0,0,0,0,0.0,0.0,0.0,0.0
1021784,Jerumenha,2020-04-13,0.0,0,0,0,0.0,0.0,0.0,0.0
1021785,Jerumenha,2020-04-14,0.0,0,0,0,0.0,0.0,0.0,0.0
1021786,Jerumenha,2020-04-15,0.0,0,0,0,0.0,0.0,0.0,0.0
1021787,Jerumenha,2020-04-16,0.0,0,0,0,0.0,0.0,0.0,0.0
1021788,Jerumenha,2020-04-17,0.0,0,0,0,0.0,0.0,0.0,0.0
1021789,Jerumenha,2020-04-18,0.0,0,0,0,0.0,0.0,0.0,0.0
1021790,Jerumenha,2020-04-19,0.0,0,0,0,0.0,0.0,0.0,0.0
1021791,Jerumenha,2020-04-20,0.0,0,0,0,0.0,0.0,0.0,0.0
1021792,Jerumenha,2020-04-21,0.0,0,0,0,0.0,0.0,0.0,0.0
1021793,Jerumenha,2020-04-22,0.0,0,0,0,0.0,0.0,0.0,0.0
1021794,Jerumenha,2020-04-23,0.0,0,0,0,0.0,0.0,0.0,0.0
1021795,Jerumenha,2020-04-24,0.0,0,0,0,0.0,0.0,0.0,0.0
1021796,Jerumenha,2020-04-25,0.0,0,0,0,0.0,0.0,0.0,0.0
1021797,Jerumenha,2020-04-26,0.0,0,0,0,0.0,0.0,0.0,0.0
1021798,Jerumenha,2020-04-27,0.0,0,0,0,0.0,0.0,0.0,0.0
1021799,Jerumenha,2020-04-28,0.0,0,0,0,0.0,0.0,0.0,0.0
1021800,Jerumenha,2020-04-29,0.0,0,0,0,0.0,0.0,0.0,0.0
1021801,Jerumenha,2020-04-30,0.0,0,0,0,0.0,0.0,0.0,0.0
1021802,Jerumenha,2020-05-01,0.0,0,0,0,0.0,0.0,0.0,0.0
1021803,Jerumenha,2020-05-02,0.0,0,0,0,0.0,0.0,0.0,0.0
1021804,Jerumenha,2020-05-03,0.0,0,0,0,0.0,0.0,0.0,0.0
1021805,Jerumenha,2020-05-04,0.0,0,0,0,0.0,0.0,0.0,0.0
1021806,Jerumenha,2020-05-05,0.0,0,0,0,0.0,0.0,0.0,0.0
1021807,Jerumenha,2020-05-06,0.0,0,0,0,0.0,0.0,0.0,0.0
