index,municipio,data,casosAcumulado,casosNovos,obitosAcumulado,obitosNovos,daily_cases_moving_average,daily_deaths_moving_average,sum_of_daily_cases_week,sum_of_daily_deaths_week
1066770,Jesuítas,2020-03-27,0.0,0,0,0,1.7142857142857142,0.0,12.0,0.0
1066771,Jesuítas,2020-03-28,0.0,0,0,0,1.7142857142857142,0.0,12.0,0.0
1066772,Jesuítas,2020-03-29,0.0,0,0,0,1.2857142857142858,0.0,9.0,0.0
1066773,Jesuítas,2020-03-30,0.0,0,0,0,1.2857142857142858,0.0,9.0,0.0
1066774,Jesuítas,2020-03-31,0.0,0,0,0,1.1428571428571428,0.0,8.0,0.0
1066775,Jesuítas,2020-04-01,0.0,0,0,0,0.0,0.0,0.0,0.0
1066776,Jesuítas,2020-04-02,0.0,0,0,0,0.0,0.0,0.0,0.0
1066777,Jesuítas,2020-04-03,0.0,0,0,0,0.0,0.0,0.0,0.0
1066778,Jesuítas,2020-04-04,0.0,0,0,0,0.0,0.0,0.0,0.0
1066779,Jesuítas,2020-04-05,0.0,0,0,0,0.0,0.0,0.0,0.0
1066780,Jesuítas,2020-04-06,0.0,0,0,0,0.0,0.0,0.0,0.0
1066781,Jesuítas,2020-04-07,0.0,0,0,0,0.0,0.0,0.0,0.0
1066782,Jesuítas,2020-04-08,0.0,0,0,0,0.0,0.0,0.0,0.0
1066783,Jesuítas,2020-04-09,0.0,0,0,0,0.0,0.0,0.0,0.0
1066784,Jesuítas,2020-04-10,0.0,0,0,0,0.0,0.0,0.0,0.0
1066785,Jesuítas,2020-04-11,0.0,0,0,0,0.0,0.0,0.0,0.0
1066786,Jesuítas,2020-04-12,0.0,0,0,0,0.0,0.0,0.0,0.0
1066787,Jesuítas,2020-04-13,0.0,0,0,0,0.0,0.0,0.0,0.0
1066788,Jesuítas,2020-04-14,0.0,0,0,0,0.0,0.0,0.0,0.0
1066789,Jesuítas,2020-04-15,0.0,0,0,0,0.0,0.0,0.0,0.0
1066790,Jesuítas,2020-04-16,0.0,0,0,0,0.0,0.0,0.0,0.0
1066791,Jesuítas,2020-04-17,0.0,0,0,0,0.0,0.0,0.0,0.0
1066792,Jesuítas,2020-04-18,0.0,0,0,0,0.0,0.0,0.0,0.0
1066793,Jesuítas,2020-04-19,0.0,0,0,0,0.0,0.0,0.0,0.0
1066794,Jesuítas,2020-04-20,0.0,0,0,0,0.0,0.0,0.0,0.0
1066795,Jesuítas,2020-04-21,0.0,0,0,0,0.0,0.0,0.0,0.0
1066796,Jesuítas,2020-04-22,0.0,0,0,0,0.0,0.0,0.0,0.0
1066797,Jesuítas,2020-04-23,0.0,0,0,0,0.0,0.0,0.0,0.0
1066798,Jesuítas,2020-04-24,0.0,0,0,0,0.0,0.0,0.0,0.0
1066799,Jesuítas,2020-04-25,0.0,0,0,0,0.0,0.0,0.0,0.0
1066800,Jesuítas,2020-04-26,0.0,0,0,0,0.0,0.0,0.0,0.0
1066801,Jesuítas,2020-04-27,0.0,0,0,0,0.0,0.0,0.0,0.0
1066802,Jesuítas,2020-04-28,0.0,0,0,0,0.0,0.0,0.0,0.0
1066803,Jesuítas,2020-04-29,0.0,0,0,0,0.0,0.0,0.0,0.0
1066804,Jesuítas,2020-04-30,0.0,0,0,0,0.0,0.0,0.0,0.0
1066805,Jesuítas,2020-05-01,0.0,0,0,0,0.0,0.0,0.0,0.0
1066806,Jesuítas,2020-05-02,0.0,0,0,0,0.0,0.0,0.0,0.0
1066807,Jesuítas,2020-05-03,0.0,0,0,0,0.0,0.0,0.0,0.0
1066808,Jesuítas,2020-05-04,0.0,0,0,0,0.0,0.0,0.0,0.0
1066809,Jesuítas,2020-05-05,0.0,0,0,0,0.0,0.0,0.0,0.0
1066810,Jesuítas,2020-05-06,0.0,0,0,0,0.0,0.0,0.0,0.0
1066811,Jesuítas,2020-05-07,0.0,0,0,0,0.0,0.0,0.0,0.0
1066812,Jesuítas,2020-05-08,0.0,0,0,0,0.0,0.0,0.0,0.0
1066813,Jesuítas,2020-05-09,0.0,0,0,0,0.0,0.0,0.0,0.0
1066814,Jesuítas,2020-05-10,0.0,0,0,0,0.0,0.0,0.0,0.0
1066815,Jesuítas,2020-05-11,0.0,0,0,0,0.0,0.0,0.0,0.0
1066816,Jesuítas,2020-05-12,0.0,0,0,0,0.0,0.0,0.0,0.0
1066817,Jesuítas,2020-05-13,0.0,0,0,0,0.0,0.0,0.0,0.0
1066818,Jesuítas,2020-05-14,0.0,0,0,0,0.0,0.0,0.0,0.0
1066819,Jesuítas,2020-05-15,0.0,0,0,0,0.0,0.0,0.0,0.0
1066820,Jesuítas,2020-05-16,0.0,0,0,0,0.0,0.0,0.0,0.0
1066821,Jesuítas,2020-05-17,0.0,0,0,0,0.0,0.0,0.0,0.0
1066822,Jesuítas,2020-05-18,0.0,0,0,0,0.0,0.0,0.0,0.0
1066823,Jesuítas,2020-05-19,0.0,0,0,0,0.0,0.0,0.0,0.0
1066824,Jesuítas,2020-05-20,0.0,0,0,0,0.0,0.0,0.0,0.0
1066825,Jesuítas,2020-05-21,0.0,0,0,0,0.0,0.0,0.0,0.0
