index,municipio,data,casosAcumulado,casosNovos,obitosAcumulado,obitosNovos,daily_cases_moving_average,daily_deaths_moving_average,sum_of_daily_cases_week,sum_of_daily_deaths_week
1034984,Joaquim Pires,2020-03-27,0.0,0,0,0,0.5714285714285714,0.2857142857142857,4.0,2.0
1034985,Joaquim Pires,2020-03-28,0.0,0,0,0,0.5714285714285714,0.14285714285714285,4.0,1.0
1034986,Joaquim Pires,2020-03-29,0.0,0,0,0,0.5714285714285714,0.14285714285714285,4.0,1.0
1034987,Joaquim Pires,2020-03-30,0.0,0,0,0,0.42857142857142855,0.14285714285714285,3.0,1.0
1034988,Joaquim Pires,2020-03-31,0.0,0,0,0,3.857142857142857,2.2857142857142856,27.0,16.0
1034989,Joaquim Pires,2020-04-01,0.0,0,0,0,0.0,0.0,0.0,0.0
1034990,Joaquim Pires,2020-04-02,0.0,0,0,0,0.0,0.0,0.0,0.0
1034991,Joaquim Pires,2020-04-03,0.0,0,0,0,0.0,0.0,0.0,0.0
1034992,Joaquim Pires,2020-04-04,0.0,0,0,0,0.0,0.0,0.0,0.0
1034993,Joaquim Pires,2020-04-05,0.0,0,0,0,0.0,0.0,0.0,0.0
1034994,Joaquim Pires,2020-04-06,0.0,0,0,0,0.0,0.0,0.0,0.0
1034995,Joaquim Pires,2020-04-07,0.0,0,0,0,0.0,0.0,0.0,0.0
1034996,Joaquim Pires,2020-04-08,0.0,0,0,0,0.0,0.0,0.0,0.0
1034997,Joaquim Pires,2020-04-09,0.0,0,0,0,0.0,0.0,0.0,0.0
1034998,Joaquim Pires,2020-04-10,0.0,0,0,0,0.0,0.0,0.0,0.0
1034999,Joaquim Pires,2020-04-11,0.0,0,0,0,0.0,0.0,0.0,0.0
1035000,Joaquim Pires,2020-04-12,0.0,0,0,0,0.0,0.0,0.0,0.0
1035001,Joaquim Pires,2020-04-13,0.0,0,0,0,0.0,0.0,0.0,0.0
1035002,Joaquim Pires,2020-04-14,0.0,0,0,0,0.0,0.0,0.0,0.0
1035003,Joaquim Pires,2020-04-15,0.0,0,0,0,0.0,0.0,0.0,0.0
1035004,Joaquim Pires,2020-04-16,0.0,0,0,0,0.0,0.0,0.0,0.0
1035005,Joaquim Pires,2020-04-17,0.0,0,0,0,0.0,0.0,0.0,0.0
1035006,Joaquim Pires,2020-04-18,0.0,0,0,0,0.0,0.0,0.0,0.0
1035007,Joaquim Pires,2020-04-19,0.0,0,0,0,0.0,0.0,0.0,0.0
1035008,Joaquim Pires,2020-04-20,0.0,0,0,0,0.0,0.0,0.0,0.0
1035009,Joaquim Pires,2020-04-21,0.0,0,0,0,0.0,0.0,0.0,0.0
1035010,Joaquim Pires,2020-04-22,0.0,0,0,0,0.0,0.0,0.0,0.0
1035011,Joaquim Pires,2020-04-23,0.0,0,0,0,0.0,0.0,0.0,0.0
1035012,Joaquim Pires,2020-04-24,0.0,0,0,0,0.0,0.0,0.0,0.0
1035013,Joaquim Pires,2020-04-25,0.0,0,0,0,0.0,0.0,0.0,0.0
1035014,Joaquim Pires,2020-04-26,0.0,0,0,0,0.0,0.0,0.0,0.0
1035015,Joaquim Pires,2020-04-27,0.0,0,0,0,0.0,0.0,0.0,0.0
1035016,Joaquim Pires,2020-04-28,0.0,0,0,0,0.0,0.0,0.0,0.0
1035017,Joaquim Pires,2020-04-29,0.0,0,0,0,0.0,0.0,0.0,0.0
1035018,Joaquim Pires,2020-04-30,0.0,0,0,0,0.0,0.0,0.0,0.0
1035019,Joaquim Pires,2020-05-01,0.0,0,0,0,0.0,0.0,0.0,0.0
1035020,Joaquim Pires,2020-05-02,0.0,0,0,0,0.0,0.0,0.0,0.0
1035021,Joaquim Pires,2020-05-03,0.0,0,0,0,0.0,0.0,0.0,0.0
1035022,Joaquim Pires,2020-05-04,0.0,0,0,0,0.0,0.0,0.0,0.0
1035023,Joaquim Pires,2020-05-05,0.0,0,0,0,0.0,0.0,0.0,0.0
1035024,Joaquim Pires,2020-05-06,0.0,0,0,0,0.0,0.0,0.0,0.0
1035025,Joaquim Pires,2020-05-07,0.0,0,0,0,0.0,0.0,0.0,0.0
1035026,Joaquim Pires,2020-05-08,0.0,0,0,0,0.0,0.0,0.0,0.0
1035027,Joaquim Pires,2020-05-09,0.0,0,0,0,0.0,0.0,0.0,0.0
1035028,Joaquim Pires,2020-05-10,0.0,0,0,0,0.0,0.0,0.0,0.0
1035029,Joaquim Pires,2020-05-11,0.0,0,0,0,0.0,0.0,0.0,0.0
1035030,Joaquim Pires,2020-05-12,0.0,0,0,0,0.0,0.0,0.0,0.0
1035031,Joaquim Pires,2020-05-13,0.0,0,0,0,0.0,0.0,0.0,0.0
1035032,Joaquim Pires,2020-05-14,0.0,0,0,0,0.0,0.0,0.0,0.0
1035033,Joaquim Pires,2020-05-15,0.0,0,0,0,0.0,0.0,0.0,0.0
1035034,Joaquim Pires,2020-05-16,0.0,0,0,0,0.0,0.0,0.0,0.0
1035035,Joaquim Pires,2020-05-17,0.0,0,0,0,0.0,0.0,0.0,0.0
1035036,Joaquim Pires,2020-05-18,0.0,0,0,0,0.0,0.0,0.0,0.0
1035037,Joaquim Pires,2020-05-19,0.0,0,0,0,0.0,0.0,0.0,0.0
1035038,Joaquim Pires,2020-05-20,0.0,0,0,0,0.0,0.0,0.0,0.0
1035039,Joaquim Pires,2020-05-21,2.0,2,0,0,0.2857142857142857,0.0,2.0,0.0
1035040,Joaquim Pires,2020-05-22,2.0,0,0,0,0.2857142857142857,0.0,2.0,0.0
1035041,Joaquim Pires,2020-05-23,3.0,1,0,0,0.42857142857142855,0.0,3.0,0.0
1035042,Joaquim Pires,2020-05-24,3.0,0,0,0,0.42857142857142855,0.0,3.0,0.0
1035043,Joaquim Pires,2020-05-25,3.0,0,0,0,0.42857142857142855,0.0,3.0,0.0
1035044,Joaquim Pires,2020-05-26,4.0,1,0,0,0.5714285714285714,0.0,4.0,0.0
1035045,Joaquim Pires,2020-05-27,5.0,1,0,0,0.7142857142857143,0.0,5.0,0.0
1035046,Joaquim Pires,2020-05-28,5.0,0,0,0,0.42857142857142855,0.0,3.0,0.0
1035047,Joaquim Pires,2020-05-29,6.0,1,0,0,0.5714285714285714,0.0,4.0,0.0
1035048,Joaquim Pires,2020-05-30,6.0,0,0,0,0.42857142857142855,0.0,3.0,0.0
1035049,Joaquim Pires,2020-05-31,6.0,0,0,0,0.42857142857142855,0.0,3.0,0.0
1035050,Joaquim Pires,2020-06-01,6.0,0,0,0,0.42857142857142855,0.0,3.0,0.0
1035051,Joaquim Pires,2020-06-02,6.0,0,0,0,0.2857142857142857,0.0,2.0,0.0
1035052,Joaquim Pires,2020-06-03,6.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
1035053,Joaquim Pires,2020-06-04,6.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
1035054,Joaquim Pires,2020-06-05,6.0,0,0,0,0.0,0.0,0.0,0.0
1035055,Joaquim Pires,2020-06-06,6.0,0,0,0,0.0,0.0,0.0,0.0
1035056,Joaquim Pires,2020-06-07,6.0,0,0,0,0.0,0.0,0.0,0.0
1035057,Joaquim Pires,2020-06-08,6.0,0,0,0,0.0,0.0,0.0,0.0
1035058,Joaquim Pires,2020-06-09,6.0,0,0,0,0.0,0.0,0.0,0.0
1035059,Joaquim Pires,2020-06-10,6.0,0,0,0,0.0,0.0,0.0,0.0
1035060,Joaquim Pires,2020-06-11,7.0,1,0,0,0.14285714285714285,0.0,1.0,0.0
1035061,Joaquim Pires,2020-06-12,8.0,1,0,0,0.2857142857142857,0.0,2.0,0.0
1035062,Joaquim Pires,2020-06-13,8.0,0,0,0,0.2857142857142857,0.0,2.0,0.0
1035063,Joaquim Pires,2020-06-14,8.0,0,0,0,0.2857142857142857,0.0,2.0,0.0
1035064,Joaquim Pires,2020-06-15,8.0,0,0,0,0.2857142857142857,0.0,2.0,0.0
1035065,Joaquim Pires,2020-06-16,8.0,0,0,0,0.2857142857142857,0.0,2.0,0.0
1035066,Joaquim Pires,2020-06-17,10.0,2,0,0,0.5714285714285714,0.0,4.0,0.0
1035067,Joaquim Pires,2020-06-18,10.0,0,0,0,0.42857142857142855,0.0,3.0,0.0
1035068,Joaquim Pires,2020-06-19,10.0,0,0,0,0.2857142857142857,0.0,2.0,0.0
1035069,Joaquim Pires,2020-06-20,34.0,24,0,0,3.7142857142857144,0.0,26.0,0.0
1035070,Joaquim Pires,2020-06-21,36.0,2,0,0,4.0,0.0,28.0,0.0
1035071,Joaquim Pires,2020-06-22,36.0,0,0,0,4.0,0.0,28.0,0.0
1035072,Joaquim Pires,2020-06-23,36.0,0,0,0,4.0,0.0,28.0,0.0
1035073,Joaquim Pires,2020-06-24,42.0,6,0,0,4.571428571428571,0.0,32.0,0.0
1035074,Joaquim Pires,2020-06-25,43.0,1,0,0,4.714285714285714,0.0,33.0,0.0
1035075,Joaquim Pires,2020-06-26,66.0,23,0,0,8.0,0.0,56.0,0.0
1035076,Joaquim Pires,2020-06-27,66.0,0,0,0,4.571428571428571,0.0,32.0,0.0
1035077,Joaquim Pires,2020-06-28,73.0,7,0,0,5.285714285714286,0.0,37.0,0.0
1035078,Joaquim Pires,2020-06-29,77.0,4,1,1,5.857142857142857,0.14285714285714285,41.0,1.0
1035079,Joaquim Pires,2020-06-30,77.0,0,1,0,5.857142857142857,0.14285714285714285,41.0,1.0
1035080,Joaquim Pires,2020-07-01,81.0,4,1,0,5.571428571428571,0.14285714285714285,39.0,1.0
1035081,Joaquim Pires,2020-07-02,83.0,2,1,0,5.714285714285714,0.14285714285714285,40.0,1.0
1035082,Joaquim Pires,2020-07-03,85.0,2,2,1,2.7142857142857144,0.2857142857142857,19.0,2.0
1035083,Joaquim Pires,2020-07-04,87.0,2,2,0,3.0,0.2857142857142857,21.0,2.0
1035084,Joaquim Pires,2020-07-05,88.0,1,2,0,2.142857142857143,0.2857142857142857,15.0,2.0
1035085,Joaquim Pires,2020-07-06,92.0,4,3,1,2.142857142857143,0.2857142857142857,15.0,2.0
1035086,Joaquim Pires,2020-07-07,93.0,1,3,0,2.2857142857142856,0.2857142857142857,16.0,2.0
1035087,Joaquim Pires,2020-07-08,93.0,0,3,0,1.7142857142857142,0.2857142857142857,12.0,2.0
1035088,Joaquim Pires,2020-07-09,99.0,6,3,0,2.2857142857142856,0.2857142857142857,16.0,2.0
1035089,Joaquim Pires,2020-07-10,214.0,115,3,0,18.428571428571427,0.14285714285714285,129.0,1.0
1035090,Joaquim Pires,2020-07-11,214.0,0,3,0,18.142857142857142,0.14285714285714285,127.0,1.0
1035091,Joaquim Pires,2020-07-12,234.0,20,4,1,20.857142857142858,0.2857142857142857,146.0,2.0
1035092,Joaquim Pires,2020-07-13,235.0,1,4,0,20.428571428571427,0.14285714285714285,143.0,1.0
1035093,Joaquim Pires,2020-07-14,235.0,0,4,0,20.285714285714285,0.14285714285714285,142.0,1.0
1035094,Joaquim Pires,2020-07-15,236.0,1,4,0,20.428571428571427,0.14285714285714285,143.0,1.0
1035095,Joaquim Pires,2020-07-16,238.0,2,4,0,19.857142857142858,0.14285714285714285,139.0,1.0
1035096,Joaquim Pires,2020-07-17,238.0,0,4,0,3.4285714285714284,0.14285714285714285,24.0,1.0
1035097,Joaquim Pires,2020-07-18,238.0,0,4,0,3.4285714285714284,0.14285714285714285,24.0,1.0
1035098,Joaquim Pires,2020-07-19,238.0,0,4,0,0.5714285714285714,0.0,4.0,0.0
1035099,Joaquim Pires,2020-07-20,239.0,1,4,0,0.5714285714285714,0.0,4.0,0.0
1035100,Joaquim Pires,2020-07-21,239.0,0,4,0,0.5714285714285714,0.0,4.0,0.0
1035101,Joaquim Pires,2020-07-22,259.0,20,4,0,3.2857142857142856,0.0,23.0,0.0
1035102,Joaquim Pires,2020-07-23,264.0,5,4,0,3.7142857142857144,0.0,26.0,0.0
1035103,Joaquim Pires,2020-07-24,275.0,11,4,0,5.285714285714286,0.0,37.0,0.0
1035104,Joaquim Pires,2020-07-25,279.0,4,4,0,5.857142857142857,0.0,41.0,0.0
1035105,Joaquim Pires,2020-07-26,285.0,6,4,0,6.714285714285714,0.0,47.0,0.0
1035106,Joaquim Pires,2020-07-27,285.0,0,4,0,6.571428571428571,0.0,46.0,0.0
1035107,Joaquim Pires,2020-07-28,286.0,1,5,1,6.714285714285714,0.14285714285714285,47.0,1.0
1035108,Joaquim Pires,2020-07-29,310.0,24,5,0,7.285714285714286,0.14285714285714285,51.0,1.0
1035109,Joaquim Pires,2020-07-30,313.0,3,5,0,7.0,0.14285714285714285,49.0,1.0
1035110,Joaquim Pires,2020-07-31,321.0,8,6,1,6.571428571428571,0.2857142857142857,46.0,2.0
1035111,Joaquim Pires,2020-08-01,337.0,16,6,0,8.285714285714286,0.2857142857142857,58.0,2.0
1035112,Joaquim Pires,2020-08-02,346.0,9,6,0,8.714285714285714,0.2857142857142857,61.0,2.0
1035113,Joaquim Pires,2020-08-03,346.0,0,6,0,8.714285714285714,0.2857142857142857,61.0,2.0
1035114,Joaquim Pires,2020-08-04,361.0,15,6,0,10.714285714285714,0.14285714285714285,75.0,1.0
1035115,Joaquim Pires,2020-08-05,372.0,11,6,0,8.857142857142858,0.14285714285714285,62.0,1.0
1035116,Joaquim Pires,2020-08-06,378.0,6,6,0,9.285714285714286,0.14285714285714285,65.0,1.0
1035117,Joaquim Pires,2020-08-07,387.0,9,6,0,9.428571428571429,0.0,66.0,0.0
1035118,Joaquim Pires,2020-08-08,389.0,2,7,1,7.428571428571429,0.14285714285714285,52.0,1.0
1035119,Joaquim Pires,2020-08-09,398.0,9,7,0,7.428571428571429,0.14285714285714285,52.0,1.0
1035120,Joaquim Pires,2020-08-10,404.0,6,7,0,8.285714285714286,0.14285714285714285,58.0,1.0
1035121,Joaquim Pires,2020-08-11,406.0,2,7,0,6.428571428571429,0.14285714285714285,45.0,1.0
1035122,Joaquim Pires,2020-08-12,416.0,10,7,0,6.285714285714286,0.14285714285714285,44.0,1.0
1035123,Joaquim Pires,2020-08-13,416.0,0,7,0,5.428571428571429,0.14285714285714285,38.0,1.0
