index,municipio,data,casosAcumulado,casosNovos,obitosAcumulado,obitosNovos,daily_cases_moving_average,daily_deaths_moving_average,sum_of_daily_cases_week,sum_of_daily_deaths_week
1027862,João Alfredo,2020-03-27,0.0,0,0,0,0.8571428571428571,0.0,6.0,0.0
1027863,João Alfredo,2020-03-28,0.0,0,0,0,1.0,0.0,7.0,0.0
1027864,João Alfredo,2020-03-29,0.0,0,0,0,-0.14285714285714285,0.0,-1.0,0.0
1027865,João Alfredo,2020-03-30,0.0,0,0,0,0.5714285714285714,0.0,4.0,0.0
1027866,João Alfredo,2020-03-31,0.0,0,0,0,0.2857142857142857,0.0,2.0,0.0
1027867,João Alfredo,2020-04-01,0.0,0,0,0,0.2857142857142857,0.0,2.0,0.0
1027868,João Alfredo,2020-04-02,0.0,0,0,0,0.0,0.0,0.0,0.0
1027869,João Alfredo,2020-04-03,0.0,0,0,0,0.0,0.0,0.0,0.0
1027870,João Alfredo,2020-04-04,0.0,0,0,0,0.0,0.0,0.0,0.0
1027871,João Alfredo,2020-04-05,0.0,0,0,0,0.0,0.0,0.0,0.0
1027872,João Alfredo,2020-04-06,0.0,0,0,0,0.0,0.0,0.0,0.0
1027873,João Alfredo,2020-04-07,0.0,0,0,0,0.0,0.0,0.0,0.0
1027874,João Alfredo,2020-04-08,0.0,0,0,0,0.0,0.0,0.0,0.0
1027875,João Alfredo,2020-04-09,1.0,1,0,0,0.14285714285714285,0.0,1.0,0.0
1027876,João Alfredo,2020-04-10,1.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
1027877,João Alfredo,2020-04-11,1.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
1027878,João Alfredo,2020-04-12,2.0,1,0,0,0.2857142857142857,0.0,2.0,0.0
1027879,João Alfredo,2020-04-13,3.0,1,0,0,0.42857142857142855,0.0,3.0,0.0
1027880,João Alfredo,2020-04-14,3.0,0,0,0,0.42857142857142855,0.0,3.0,0.0
1027881,João Alfredo,2020-04-15,4.0,1,0,0,0.5714285714285714,0.0,4.0,0.0
1027882,João Alfredo,2020-04-16,4.0,0,0,0,0.42857142857142855,0.0,3.0,0.0
1027883,João Alfredo,2020-04-17,4.0,0,0,0,0.42857142857142855,0.0,3.0,0.0
1027884,João Alfredo,2020-04-18,4.0,0,0,0,0.42857142857142855,0.0,3.0,0.0
1027885,João Alfredo,2020-04-19,5.0,1,0,0,0.42857142857142855,0.0,3.0,0.0
1027886,João Alfredo,2020-04-20,5.0,0,0,0,0.2857142857142857,0.0,2.0,0.0
1027887,João Alfredo,2020-04-21,5.0,0,0,0,0.2857142857142857,0.0,2.0,0.0
1027888,João Alfredo,2020-04-22,5.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
1027889,João Alfredo,2020-04-23,5.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
