index,municipio,data,casosAcumulado,casosNovos,obitosAcumulado,obitosNovos,daily_cases_moving_average,daily_deaths_moving_average,sum_of_daily_cases_week,sum_of_daily_deaths_week
1036502,João Dias,2020-03-27,0.0,0,0,0,5.428571428571429,0.0,38.0,0.0
1036503,João Dias,2020-03-28,0.0,0,0,0,5.428571428571429,0.0,38.0,0.0
1036504,João Dias,2020-03-29,0.0,0,0,0,3.0,0.0,21.0,0.0
1036505,João Dias,2020-03-30,0.0,0,0,0,1.2857142857142858,0.0,9.0,0.0
1036506,João Dias,2020-03-31,0.0,0,0,0,0.8571428571428571,0.0,6.0,0.0
1036507,João Dias,2020-04-01,0.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
1036508,João Dias,2020-04-02,0.0,0,0,0,0.0,0.0,0.0,0.0
1036509,João Dias,2020-04-03,0.0,0,0,0,0.0,0.0,0.0,0.0
1036510,João Dias,2020-04-04,0.0,0,0,0,0.0,0.0,0.0,0.0
1036511,João Dias,2020-04-05,0.0,0,0,0,0.0,0.0,0.0,0.0
1036512,João Dias,2020-04-06,0.0,0,0,0,0.0,0.0,0.0,0.0
1036513,João Dias,2020-04-07,0.0,0,0,0,0.0,0.0,0.0,0.0
1036514,João Dias,2020-04-08,0.0,0,0,0,0.0,0.0,0.0,0.0
1036515,João Dias,2020-04-09,0.0,0,0,0,0.0,0.0,0.0,0.0
1036516,João Dias,2020-04-10,0.0,0,0,0,0.0,0.0,0.0,0.0
1036517,João Dias,2020-04-11,0.0,0,0,0,0.0,0.0,0.0,0.0
1036518,João Dias,2020-04-12,0.0,0,0,0,0.0,0.0,0.0,0.0
1036519,João Dias,2020-04-13,0.0,0,0,0,0.0,0.0,0.0,0.0
1036520,João Dias,2020-04-14,0.0,0,0,0,0.0,0.0,0.0,0.0
1036521,João Dias,2020-04-15,0.0,0,0,0,0.0,0.0,0.0,0.0
1036522,João Dias,2020-04-16,0.0,0,0,0,0.0,0.0,0.0,0.0
1036523,João Dias,2020-04-17,0.0,0,0,0,0.0,0.0,0.0,0.0
1036524,João Dias,2020-04-18,0.0,0,0,0,0.0,0.0,0.0,0.0
1036525,João Dias,2020-04-19,0.0,0,0,0,0.0,0.0,0.0,0.0
1036526,João Dias,2020-04-20,0.0,0,0,0,0.0,0.0,0.0,0.0
1036527,João Dias,2020-04-21,0.0,0,0,0,0.0,0.0,0.0,0.0
1036528,João Dias,2020-04-22,0.0,0,0,0,0.0,0.0,0.0,0.0
1036529,João Dias,2020-04-23,0.0,0,0,0,0.0,0.0,0.0,0.0
1036530,João Dias,2020-04-24,0.0,0,0,0,0.0,0.0,0.0,0.0
1036531,João Dias,2020-04-25,0.0,0,0,0,0.0,0.0,0.0,0.0
1036532,João Dias,2020-04-26,0.0,0,0,0,0.0,0.0,0.0,0.0
1036533,João Dias,2020-04-27,0.0,0,0,0,0.0,0.0,0.0,0.0
1036534,João Dias,2020-04-28,0.0,0,0,0,0.0,0.0,0.0,0.0
1036535,João Dias,2020-04-29,0.0,0,0,0,0.0,0.0,0.0,0.0
1036536,João Dias,2020-04-30,0.0,0,0,0,0.0,0.0,0.0,0.0
1036537,João Dias,2020-05-01,0.0,0,0,0,0.0,0.0,0.0,0.0
1036538,João Dias,2020-05-02,0.0,0,0,0,0.0,0.0,0.0,0.0
1036539,João Dias,2020-05-03,0.0,0,0,0,0.0,0.0,0.0,0.0
1036540,João Dias,2020-05-04,0.0,0,0,0,0.0,0.0,0.0,0.0
1036541,João Dias,2020-05-05,0.0,0,0,0,0.0,0.0,0.0,0.0
1036542,João Dias,2020-05-06,0.0,0,0,0,0.0,0.0,0.0,0.0
1036543,João Dias,2020-05-07,0.0,0,0,0,0.0,0.0,0.0,0.0
1036544,João Dias,2020-05-08,0.0,0,0,0,0.0,0.0,0.0,0.0
1036545,João Dias,2020-05-09,0.0,0,0,0,0.0,0.0,0.0,0.0
1036546,João Dias,2020-05-10,0.0,0,0,0,0.0,0.0,0.0,0.0
1036547,João Dias,2020-05-11,0.0,0,0,0,0.0,0.0,0.0,0.0
1036548,João Dias,2020-05-12,0.0,0,0,0,0.0,0.0,0.0,0.0
1036549,João Dias,2020-05-13,0.0,0,0,0,0.0,0.0,0.0,0.0
1036550,João Dias,2020-05-14,0.0,0,0,0,0.0,0.0,0.0,0.0
1036551,João Dias,2020-05-15,0.0,0,0,0,0.0,0.0,0.0,0.0
1036552,João Dias,2020-05-16,0.0,0,0,0,0.0,0.0,0.0,0.0
1036553,João Dias,2020-05-17,0.0,0,0,0,0.0,0.0,0.0,0.0
1036554,João Dias,2020-05-18,0.0,0,0,0,0.0,0.0,0.0,0.0
1036555,João Dias,2020-05-19,0.0,0,0,0,0.0,0.0,0.0,0.0
1036556,João Dias,2020-05-20,0.0,0,0,0,0.0,0.0,0.0,0.0
1036557,João Dias,2020-05-21,0.0,0,0,0,0.0,0.0,0.0,0.0
1036558,João Dias,2020-05-22,0.0,0,0,0,0.0,0.0,0.0,0.0
1036559,João Dias,2020-05-23,0.0,0,0,0,0.0,0.0,0.0,0.0
1036560,João Dias,2020-05-24,0.0,0,0,0,0.0,0.0,0.0,0.0
1036561,João Dias,2020-05-25,0.0,0,0,0,0.0,0.0,0.0,0.0
1036562,João Dias,2020-05-26,0.0,0,0,0,0.0,0.0,0.0,0.0
1036563,João Dias,2020-05-27,0.0,0,0,0,0.0,0.0,0.0,0.0
1036564,João Dias,2020-05-28,0.0,0,0,0,0.0,0.0,0.0,0.0
1036565,João Dias,2020-05-29,0.0,0,0,0,0.0,0.0,0.0,0.0
1036566,João Dias,2020-05-30,0.0,0,0,0,0.0,0.0,0.0,0.0
1036567,João Dias,2020-05-31,0.0,0,0,0,0.0,0.0,0.0,0.0
1036568,João Dias,2020-06-01,0.0,0,0,0,0.0,0.0,0.0,0.0
1036569,João Dias,2020-06-02,0.0,0,0,0,0.0,0.0,0.0,0.0
1036570,João Dias,2020-06-03,0.0,0,0,0,0.0,0.0,0.0,0.0
1036571,João Dias,2020-06-04,0.0,0,0,0,0.0,0.0,0.0,0.0
1036572,João Dias,2020-06-05,0.0,0,0,0,0.0,0.0,0.0,0.0
1036573,João Dias,2020-06-06,0.0,0,0,0,0.0,0.0,0.0,0.0
1036574,João Dias,2020-06-07,0.0,0,0,0,0.0,0.0,0.0,0.0
1036575,João Dias,2020-06-08,0.0,0,0,0,0.0,0.0,0.0,0.0
1036576,João Dias,2020-06-09,0.0,0,0,0,0.0,0.0,0.0,0.0
