index,municipio,data,casosAcumulado,casosNovos,obitosAcumulado,obitosNovos,daily_cases_moving_average,daily_deaths_moving_average,sum_of_daily_cases_week,sum_of_daily_deaths_week
1108310,Junco do Seridó,2020-03-27,0.0,0,0,0,0.42857142857142855,0.0,3.0,0.0
1108311,Junco do Seridó,2020-03-28,0.0,0,0,0,0.42857142857142855,0.0,3.0,0.0
1108312,Junco do Seridó,2020-03-29,0.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
1108313,Junco do Seridó,2020-03-30,0.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
1108314,Junco do Seridó,2020-03-31,0.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
1108315,Junco do Seridó,2020-04-01,0.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
1108316,Junco do Seridó,2020-04-02,0.0,0,0,0,0.0,0.0,0.0,0.0
1108317,Junco do Seridó,2020-04-03,0.0,0,0,0,0.0,0.0,0.0,0.0
1108318,Junco do Seridó,2020-04-04,1.0,1,1,1,0.14285714285714285,0.14285714285714285,1.0,1.0
1108319,Junco do Seridó,2020-04-05,1.0,0,1,0,0.14285714285714285,0.14285714285714285,1.0,1.0
1108320,Junco do Seridó,2020-04-06,1.0,0,1,0,0.14285714285714285,0.14285714285714285,1.0,1.0
1108321,Junco do Seridó,2020-04-07,1.0,0,1,0,0.14285714285714285,0.14285714285714285,1.0,1.0
1108322,Junco do Seridó,2020-04-08,1.0,0,1,0,0.14285714285714285,0.14285714285714285,1.0,1.0
1108323,Junco do Seridó,2020-04-09,1.0,0,1,0,0.14285714285714285,0.14285714285714285,1.0,1.0
1108324,Junco do Seridó,2020-04-10,1.0,0,1,0,0.14285714285714285,0.14285714285714285,1.0,1.0
1108325,Junco do Seridó,2020-04-11,1.0,0,1,0,0.0,0.0,0.0,0.0
1108326,Junco do Seridó,2020-04-12,1.0,0,1,0,0.0,0.0,0.0,0.0
1108327,Junco do Seridó,2020-04-13,1.0,0,1,0,0.0,0.0,0.0,0.0
1108328,Junco do Seridó,2020-04-14,3.0,2,1,0,0.2857142857142857,0.0,2.0,0.0
1108329,Junco do Seridó,2020-04-15,3.0,0,1,0,0.2857142857142857,0.0,2.0,0.0
1108330,Junco do Seridó,2020-04-16,3.0,0,1,0,0.2857142857142857,0.0,2.0,0.0
1108331,Junco do Seridó,2020-04-17,3.0,0,1,0,0.2857142857142857,0.0,2.0,0.0
1108332,Junco do Seridó,2020-04-18,3.0,0,1,0,0.2857142857142857,0.0,2.0,0.0
1108333,Junco do Seridó,2020-04-19,3.0,0,1,0,0.2857142857142857,0.0,2.0,0.0
1108334,Junco do Seridó,2020-04-20,3.0,0,1,0,0.2857142857142857,0.0,2.0,0.0
1108335,Junco do Seridó,2020-04-21,3.0,0,1,0,0.0,0.0,0.0,0.0
1108336,Junco do Seridó,2020-04-22,3.0,0,1,0,0.0,0.0,0.0,0.0
1108337,Junco do Seridó,2020-04-23,3.0,0,1,0,0.0,0.0,0.0,0.0
1108338,Junco do Seridó,2020-04-24,3.0,0,1,0,0.0,0.0,0.0,0.0
1108339,Junco do Seridó,2020-04-25,3.0,0,1,0,0.0,0.0,0.0,0.0
1108340,Junco do Seridó,2020-04-26,3.0,0,1,0,0.0,0.0,0.0,0.0
1108341,Junco do Seridó,2020-04-27,3.0,0,1,0,0.0,0.0,0.0,0.0
1108342,Junco do Seridó,2020-04-28,3.0,0,1,0,0.0,0.0,0.0,0.0
1108343,Junco do Seridó,2020-04-29,3.0,0,1,0,0.0,0.0,0.0,0.0
1108344,Junco do Seridó,2020-04-30,3.0,0,1,0,0.0,0.0,0.0,0.0
1108345,Junco do Seridó,2020-05-01,3.0,0,1,0,0.0,0.0,0.0,0.0
1108346,Junco do Seridó,2020-05-02,3.0,0,1,0,0.0,0.0,0.0,0.0
