index,municipio,data,casosAcumulado,casosNovos,obitosAcumulado,obitosNovos,daily_cases_moving_average,daily_deaths_moving_average,sum_of_daily_cases_week,sum_of_daily_deaths_week
1132096,Lago dos Rodrigues,2020-03-27,0.0,0,0,0,0.2857142857142857,0.0,2.0,0.0
1132097,Lago dos Rodrigues,2020-03-28,0.0,0,0,0,0.2857142857142857,0.0,2.0,0.0
1132098,Lago dos Rodrigues,2020-03-29,0.0,0,0,0,0.2857142857142857,0.0,2.0,0.0
1132099,Lago dos Rodrigues,2020-03-30,0.0,0,0,0,0.2857142857142857,0.0,2.0,0.0
1132100,Lago dos Rodrigues,2020-03-31,0.0,0,0,0,0.2857142857142857,0.0,2.0,0.0
1132101,Lago dos Rodrigues,2020-04-01,0.0,0,0,0,0.2857142857142857,0.0,2.0,0.0
1132102,Lago dos Rodrigues,2020-04-02,0.0,0,0,0,0.0,0.0,0.0,0.0
1132103,Lago dos Rodrigues,2020-04-03,0.0,0,0,0,0.0,0.0,0.0,0.0
1132104,Lago dos Rodrigues,2020-04-04,0.0,0,0,0,0.0,0.0,0.0,0.0
1132105,Lago dos Rodrigues,2020-04-05,0.0,0,0,0,0.0,0.0,0.0,0.0
1132106,Lago dos Rodrigues,2020-04-06,0.0,0,0,0,0.0,0.0,0.0,0.0
1132107,Lago dos Rodrigues,2020-04-07,0.0,0,0,0,0.0,0.0,0.0,0.0
1132108,Lago dos Rodrigues,2020-04-08,0.0,0,0,0,0.0,0.0,0.0,0.0
1132109,Lago dos Rodrigues,2020-04-09,0.0,0,0,0,0.0,0.0,0.0,0.0
1132110,Lago dos Rodrigues,2020-04-10,0.0,0,0,0,0.0,0.0,0.0,0.0
1132111,Lago dos Rodrigues,2020-04-11,0.0,0,0,0,0.0,0.0,0.0,0.0
1132112,Lago dos Rodrigues,2020-04-12,0.0,0,0,0,0.0,0.0,0.0,0.0
1132113,Lago dos Rodrigues,2020-04-13,0.0,0,0,0,0.0,0.0,0.0,0.0
1132114,Lago dos Rodrigues,2020-04-14,0.0,0,0,0,0.0,0.0,0.0,0.0
1132115,Lago dos Rodrigues,2020-04-15,0.0,0,0,0,0.0,0.0,0.0,0.0
1132116,Lago dos Rodrigues,2020-04-16,0.0,0,0,0,0.0,0.0,0.0,0.0
1132117,Lago dos Rodrigues,2020-04-17,0.0,0,0,0,0.0,0.0,0.0,0.0
1132118,Lago dos Rodrigues,2020-04-18,0.0,0,0,0,0.0,0.0,0.0,0.0
1132119,Lago dos Rodrigues,2020-04-19,0.0,0,0,0,0.0,0.0,0.0,0.0
1132120,Lago dos Rodrigues,2020-04-20,0.0,0,0,0,0.0,0.0,0.0,0.0
1132121,Lago dos Rodrigues,2020-04-21,0.0,0,0,0,0.0,0.0,0.0,0.0
