index,municipio,data,casosAcumulado,casosNovos,obitosAcumulado,obitosNovos,daily_cases_moving_average,daily_deaths_moving_average,sum_of_daily_cases_week,sum_of_daily_deaths_week
1059651,Lagoa Alegre,2020-03-27,0.0,0,0,0,0.8571428571428571,0.0,6.0,0.0
1059652,Lagoa Alegre,2020-03-28,0.0,0,0,0,0.8571428571428571,0.0,6.0,0.0
1059653,Lagoa Alegre,2020-03-29,0.0,0,0,0,0.8571428571428571,0.0,6.0,0.0
1059654,Lagoa Alegre,2020-03-30,0.0,0,0,0,0.0,0.0,0.0,0.0
1059655,Lagoa Alegre,2020-03-31,0.0,0,0,0,0.0,0.0,0.0,0.0
1059656,Lagoa Alegre,2020-04-01,0.0,0,0,0,0.0,0.0,0.0,0.0
1059657,Lagoa Alegre,2020-04-02,0.0,0,0,0,0.0,0.0,0.0,0.0
1059658,Lagoa Alegre,2020-04-03,0.0,0,0,0,0.0,0.0,0.0,0.0
1059659,Lagoa Alegre,2020-04-04,0.0,0,0,0,0.0,0.0,0.0,0.0
1059660,Lagoa Alegre,2020-04-05,0.0,0,0,0,0.0,0.0,0.0,0.0
1059661,Lagoa Alegre,2020-04-06,0.0,0,0,0,0.0,0.0,0.0,0.0
1059662,Lagoa Alegre,2020-04-07,0.0,0,0,0,0.0,0.0,0.0,0.0
1059663,Lagoa Alegre,2020-04-08,0.0,0,0,0,0.0,0.0,0.0,0.0
1059664,Lagoa Alegre,2020-04-09,0.0,0,0,0,0.0,0.0,0.0,0.0
1059665,Lagoa Alegre,2020-04-10,0.0,0,0,0,0.0,0.0,0.0,0.0
1059666,Lagoa Alegre,2020-04-11,0.0,0,0,0,0.0,0.0,0.0,0.0
1059667,Lagoa Alegre,2020-04-12,0.0,0,0,0,0.0,0.0,0.0,0.0
1059668,Lagoa Alegre,2020-04-13,0.0,0,0,0,0.0,0.0,0.0,0.0
1059669,Lagoa Alegre,2020-04-14,0.0,0,0,0,0.0,0.0,0.0,0.0
1059670,Lagoa Alegre,2020-04-15,0.0,0,0,0,0.0,0.0,0.0,0.0
1059671,Lagoa Alegre,2020-04-16,0.0,0,0,0,0.0,0.0,0.0,0.0
1059672,Lagoa Alegre,2020-04-17,0.0,0,0,0,0.0,0.0,0.0,0.0
1059673,Lagoa Alegre,2020-04-18,0.0,0,0,0,0.0,0.0,0.0,0.0
1059674,Lagoa Alegre,2020-04-19,0.0,0,0,0,0.0,0.0,0.0,0.0
1059675,Lagoa Alegre,2020-04-20,0.0,0,0,0,0.0,0.0,0.0,0.0
1059676,Lagoa Alegre,2020-04-21,0.0,0,0,0,0.0,0.0,0.0,0.0
1059677,Lagoa Alegre,2020-04-22,0.0,0,0,0,0.0,0.0,0.0,0.0
1059678,Lagoa Alegre,2020-04-23,0.0,0,0,0,0.0,0.0,0.0,0.0
1059679,Lagoa Alegre,2020-04-24,0.0,0,0,0,0.0,0.0,0.0,0.0
1059680,Lagoa Alegre,2020-04-25,0.0,0,0,0,0.0,0.0,0.0,0.0
1059681,Lagoa Alegre,2020-04-26,0.0,0,0,0,0.0,0.0,0.0,0.0
1059682,Lagoa Alegre,2020-04-27,0.0,0,0,0,0.0,0.0,0.0,0.0
1059683,Lagoa Alegre,2020-04-28,0.0,0,0,0,0.0,0.0,0.0,0.0
1059684,Lagoa Alegre,2020-04-29,0.0,0,0,0,0.0,0.0,0.0,0.0
1059685,Lagoa Alegre,2020-04-30,0.0,0,0,0,0.0,0.0,0.0,0.0
