index,municipio,data,casosAcumulado,casosNovos,obitosAcumulado,obitosNovos,daily_cases_moving_average,daily_deaths_moving_average,sum_of_daily_cases_week,sum_of_daily_deaths_week
1063440,Lagoa Formosa,2020-03-27,0.0,0,0,0,6.285714285714286,0.0,44.0,0.0
1063441,Lagoa Formosa,2020-03-28,0.0,0,0,0,4.285714285714286,0.0,30.0,0.0
1063442,Lagoa Formosa,2020-03-29,0.0,0,0,0,4.285714285714286,0.0,30.0,0.0
1063443,Lagoa Formosa,2020-03-30,0.0,0,0,0,4.285714285714286,0.0,30.0,0.0
1063444,Lagoa Formosa,2020-03-31,0.0,0,0,0,4.285714285714286,0.0,30.0,0.0
1063445,Lagoa Formosa,2020-04-01,0.0,0,0,0,0.7142857142857143,0.0,5.0,0.0
1063446,Lagoa Formosa,2020-04-02,0.0,0,0,0,0.0,0.0,0.0,0.0
1063447,Lagoa Formosa,2020-04-03,0.0,0,0,0,0.0,0.0,0.0,0.0
1063448,Lagoa Formosa,2020-04-04,0.0,0,0,0,0.0,0.0,0.0,0.0
1063449,Lagoa Formosa,2020-04-05,0.0,0,0,0,0.0,0.0,0.0,0.0
1063450,Lagoa Formosa,2020-04-06,0.0,0,0,0,0.0,0.0,0.0,0.0
1063451,Lagoa Formosa,2020-04-07,0.0,0,0,0,0.0,0.0,0.0,0.0
1063452,Lagoa Formosa,2020-04-08,0.0,0,0,0,0.0,0.0,0.0,0.0
1063453,Lagoa Formosa,2020-04-09,0.0,0,0,0,0.0,0.0,0.0,0.0
1063454,Lagoa Formosa,2020-04-10,0.0,0,0,0,0.0,0.0,0.0,0.0
1063455,Lagoa Formosa,2020-04-11,0.0,0,0,0,0.0,0.0,0.0,0.0
1063456,Lagoa Formosa,2020-04-12,0.0,0,0,0,0.0,0.0,0.0,0.0
1063457,Lagoa Formosa,2020-04-13,0.0,0,0,0,0.0,0.0,0.0,0.0
1063458,Lagoa Formosa,2020-04-14,0.0,0,0,0,0.0,0.0,0.0,0.0
1063459,Lagoa Formosa,2020-04-15,0.0,0,0,0,0.0,0.0,0.0,0.0
1063460,Lagoa Formosa,2020-04-16,0.0,0,0,0,0.0,0.0,0.0,0.0
1063461,Lagoa Formosa,2020-04-17,0.0,0,0,0,0.0,0.0,0.0,0.0
1063462,Lagoa Formosa,2020-04-18,0.0,0,0,0,0.0,0.0,0.0,0.0
1063463,Lagoa Formosa,2020-04-19,0.0,0,0,0,0.0,0.0,0.0,0.0
1063464,Lagoa Formosa,2020-04-20,0.0,0,0,0,0.0,0.0,0.0,0.0
1063465,Lagoa Formosa,2020-04-21,0.0,0,0,0,0.0,0.0,0.0,0.0
1063466,Lagoa Formosa,2020-04-22,0.0,0,0,0,0.0,0.0,0.0,0.0
1063467,Lagoa Formosa,2020-04-23,0.0,0,0,0,0.0,0.0,0.0,0.0
1063468,Lagoa Formosa,2020-04-24,0.0,0,0,0,0.0,0.0,0.0,0.0
