index,municipio,data,casosAcumulado,casosNovos,obitosAcumulado,obitosNovos,daily_cases_moving_average,daily_deaths_moving_average,sum_of_daily_cases_week,sum_of_daily_deaths_week
1097811,Lagoa dos Três Cantos,2020-03-27,0.0,0,0,0,4.0,0.0,28.0,0.0
1097812,Lagoa dos Três Cantos,2020-03-28,0.0,0,0,0,4.0,0.0,28.0,0.0
1097813,Lagoa dos Três Cantos,2020-03-29,0.0,0,0,0,4.0,0.0,28.0,0.0
1097814,Lagoa dos Três Cantos,2020-03-30,0.0,0,0,0,0.0,0.0,0.0,0.0
1097815,Lagoa dos Três Cantos,2020-03-31,0.0,0,0,0,0.0,0.0,0.0,0.0
1097816,Lagoa dos Três Cantos,2020-04-01,0.0,0,0,0,0.0,0.0,0.0,0.0
1097817,Lagoa dos Três Cantos,2020-04-02,0.0,0,0,0,0.0,0.0,0.0,0.0
1097818,Lagoa dos Três Cantos,2020-04-03,0.0,0,0,0,0.0,0.0,0.0,0.0
1097819,Lagoa dos Três Cantos,2020-04-04,0.0,0,0,0,0.0,0.0,0.0,0.0
1097820,Lagoa dos Três Cantos,2020-04-05,0.0,0,0,0,0.0,0.0,0.0,0.0
1097821,Lagoa dos Três Cantos,2020-04-06,0.0,0,0,0,0.0,0.0,0.0,0.0
1097822,Lagoa dos Três Cantos,2020-04-07,0.0,0,0,0,0.0,0.0,0.0,0.0
1097823,Lagoa dos Três Cantos,2020-04-08,0.0,0,0,0,0.0,0.0,0.0,0.0
1097824,Lagoa dos Três Cantos,2020-04-09,0.0,0,0,0,0.0,0.0,0.0,0.0
1097825,Lagoa dos Três Cantos,2020-04-10,0.0,0,0,0,0.0,0.0,0.0,0.0
1097826,Lagoa dos Três Cantos,2020-04-11,0.0,0,0,0,0.0,0.0,0.0,0.0
1097827,Lagoa dos Três Cantos,2020-04-12,0.0,0,0,0,0.0,0.0,0.0,0.0
1097828,Lagoa dos Três Cantos,2020-04-13,0.0,0,0,0,0.0,0.0,0.0,0.0
1097829,Lagoa dos Três Cantos,2020-04-14,0.0,0,0,0,0.0,0.0,0.0,0.0
1097830,Lagoa dos Três Cantos,2020-04-15,0.0,0,0,0,0.0,0.0,0.0,0.0
1097831,Lagoa dos Três Cantos,2020-04-16,0.0,0,0,0,0.0,0.0,0.0,0.0
1097832,Lagoa dos Três Cantos,2020-04-17,0.0,0,0,0,0.0,0.0,0.0,0.0
1097833,Lagoa dos Três Cantos,2020-04-18,0.0,0,0,0,0.0,0.0,0.0,0.0
1097834,Lagoa dos Três Cantos,2020-04-19,0.0,0,0,0,0.0,0.0,0.0,0.0
1097835,Lagoa dos Três Cantos,2020-04-20,0.0,0,0,0,0.0,0.0,0.0,0.0
1097836,Lagoa dos Três Cantos,2020-04-21,0.0,0,0,0,0.0,0.0,0.0,0.0
1097837,Lagoa dos Três Cantos,2020-04-22,0.0,0,0,0,0.0,0.0,0.0,0.0
1097838,Lagoa dos Três Cantos,2020-04-23,0.0,0,0,0,0.0,0.0,0.0,0.0
1097839,Lagoa dos Três Cantos,2020-04-24,0.0,0,0,0,0.0,0.0,0.0,0.0
1097840,Lagoa dos Três Cantos,2020-04-25,0.0,0,0,0,0.0,0.0,0.0,0.0
1097841,Lagoa dos Três Cantos,2020-04-26,0.0,0,0,0,0.0,0.0,0.0,0.0
1097842,Lagoa dos Três Cantos,2020-04-27,0.0,0,0,0,0.0,0.0,0.0,0.0
1097843,Lagoa dos Três Cantos,2020-04-28,0.0,0,0,0,0.0,0.0,0.0,0.0
1097844,Lagoa dos Três Cantos,2020-04-29,0.0,0,0,0,0.0,0.0,0.0,0.0
1097845,Lagoa dos Três Cantos,2020-04-30,0.0,0,0,0,0.0,0.0,0.0,0.0
1097846,Lagoa dos Três Cantos,2020-05-01,0.0,0,0,0,0.0,0.0,0.0,0.0
1097847,Lagoa dos Três Cantos,2020-05-02,0.0,0,0,0,0.0,0.0,0.0,0.0
1097848,Lagoa dos Três Cantos,2020-05-03,0.0,0,0,0,0.0,0.0,0.0,0.0
1097849,Lagoa dos Três Cantos,2020-05-04,0.0,0,0,0,0.0,0.0,0.0,0.0
1097850,Lagoa dos Três Cantos,2020-05-05,0.0,0,0,0,0.0,0.0,0.0,0.0
1097851,Lagoa dos Três Cantos,2020-05-06,0.0,0,0,0,0.0,0.0,0.0,0.0
1097852,Lagoa dos Três Cantos,2020-05-07,0.0,0,0,0,0.0,0.0,0.0,0.0
1097853,Lagoa dos Três Cantos,2020-05-08,0.0,0,0,0,0.0,0.0,0.0,0.0
1097854,Lagoa dos Três Cantos,2020-05-09,0.0,0,0,0,0.0,0.0,0.0,0.0
1097855,Lagoa dos Três Cantos,2020-05-10,0.0,0,0,0,0.0,0.0,0.0,0.0
1097856,Lagoa dos Três Cantos,2020-05-11,0.0,0,0,0,0.0,0.0,0.0,0.0
1097857,Lagoa dos Três Cantos,2020-05-12,0.0,0,0,0,0.0,0.0,0.0,0.0
1097858,Lagoa dos Três Cantos,2020-05-13,0.0,0,0,0,0.0,0.0,0.0,0.0
1097859,Lagoa dos Três Cantos,2020-05-14,0.0,0,0,0,0.0,0.0,0.0,0.0
1097860,Lagoa dos Três Cantos,2020-05-15,0.0,0,0,0,0.0,0.0,0.0,0.0
1097861,Lagoa dos Três Cantos,2020-05-16,0.0,0,0,0,0.0,0.0,0.0,0.0
1097862,Lagoa dos Três Cantos,2020-05-17,0.0,0,0,0,0.0,0.0,0.0,0.0
1097863,Lagoa dos Três Cantos,2020-05-18,0.0,0,0,0,0.0,0.0,0.0,0.0
1097864,Lagoa dos Três Cantos,2020-05-19,0.0,0,0,0,0.0,0.0,0.0,0.0
1097865,Lagoa dos Três Cantos,2020-05-20,0.0,0,0,0,0.0,0.0,0.0,0.0
1097866,Lagoa dos Três Cantos,2020-05-21,0.0,0,0,0,0.0,0.0,0.0,0.0
1097867,Lagoa dos Três Cantos,2020-05-22,0.0,0,0,0,0.0,0.0,0.0,0.0
1097868,Lagoa dos Três Cantos,2020-05-23,0.0,0,0,0,0.0,0.0,0.0,0.0
1097869,Lagoa dos Três Cantos,2020-05-24,0.0,0,0,0,0.0,0.0,0.0,0.0
1097870,Lagoa dos Três Cantos,2020-05-25,0.0,0,0,0,0.0,0.0,0.0,0.0
1097871,Lagoa dos Três Cantos,2020-05-26,0.0,0,0,0,0.0,0.0,0.0,0.0
1097872,Lagoa dos Três Cantos,2020-05-27,0.0,0,0,0,0.0,0.0,0.0,0.0
1097873,Lagoa dos Três Cantos,2020-05-28,0.0,0,0,0,0.0,0.0,0.0,0.0
1097874,Lagoa dos Três Cantos,2020-05-29,0.0,0,0,0,0.0,0.0,0.0,0.0
1097875,Lagoa dos Três Cantos,2020-05-30,0.0,0,0,0,0.0,0.0,0.0,0.0
1097876,Lagoa dos Três Cantos,2020-05-31,0.0,0,0,0,0.0,0.0,0.0,0.0
1097877,Lagoa dos Três Cantos,2020-06-01,0.0,0,0,0,0.0,0.0,0.0,0.0
1097878,Lagoa dos Três Cantos,2020-06-02,0.0,0,0,0,0.0,0.0,0.0,0.0
1097879,Lagoa dos Três Cantos,2020-06-03,0.0,0,0,0,0.0,0.0,0.0,0.0
1097880,Lagoa dos Três Cantos,2020-06-04,0.0,0,0,0,0.0,0.0,0.0,0.0
1097881,Lagoa dos Três Cantos,2020-06-05,0.0,0,0,0,0.0,0.0,0.0,0.0
1097882,Lagoa dos Três Cantos,2020-06-06,0.0,0,0,0,0.0,0.0,0.0,0.0
