index,municipio,data,casosAcumulado,casosNovos,obitosAcumulado,obitosNovos,daily_cases_moving_average,daily_deaths_moving_average,sum_of_daily_cases_week,sum_of_daily_deaths_week
1129842,Lagoão,2020-03-27,0.0,0,0,0,1.5714285714285714,0.0,11.0,0.0
1129843,Lagoão,2020-03-28,0.0,0,0,0,0.7142857142857143,0.0,5.0,0.0
1129844,Lagoão,2020-03-29,0.0,0,0,0,0.2857142857142857,0.0,2.0,0.0
1129845,Lagoão,2020-03-30,0.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
1129846,Lagoão,2020-03-31,0.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
1129847,Lagoão,2020-04-01,0.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
1129848,Lagoão,2020-04-02,0.0,0,0,0,0.0,0.0,0.0,0.0
1129849,Lagoão,2020-04-03,0.0,0,0,0,0.0,0.0,0.0,0.0
1129850,Lagoão,2020-04-04,0.0,0,0,0,0.0,0.0,0.0,0.0
1129851,Lagoão,2020-04-05,0.0,0,0,0,0.0,0.0,0.0,0.0
1129852,Lagoão,2020-04-06,0.0,0,0,0,0.0,0.0,0.0,0.0
1129853,Lagoão,2020-04-07,0.0,0,0,0,0.0,0.0,0.0,0.0
1129854,Lagoão,2020-04-08,0.0,0,0,0,0.0,0.0,0.0,0.0
1129855,Lagoão,2020-04-09,0.0,0,0,0,0.0,0.0,0.0,0.0
1129856,Lagoão,2020-04-10,0.0,0,0,0,0.0,0.0,0.0,0.0
1129857,Lagoão,2020-04-11,0.0,0,0,0,0.0,0.0,0.0,0.0
1129858,Lagoão,2020-04-12,0.0,0,0,0,0.0,0.0,0.0,0.0
1129859,Lagoão,2020-04-13,0.0,0,0,0,0.0,0.0,0.0,0.0
1129860,Lagoão,2020-04-14,0.0,0,0,0,0.0,0.0,0.0,0.0
1129861,Lagoão,2020-04-15,0.0,0,0,0,0.0,0.0,0.0,0.0
1129862,Lagoão,2020-04-16,0.0,0,0,0,0.0,0.0,0.0,0.0
1129863,Lagoão,2020-04-17,0.0,0,0,0,0.0,0.0,0.0,0.0
1129864,Lagoão,2020-04-18,0.0,0,0,0,0.0,0.0,0.0,0.0
1129865,Lagoão,2020-04-19,0.0,0,0,0,0.0,0.0,0.0,0.0
1129866,Lagoão,2020-04-20,0.0,0,0,0,0.0,0.0,0.0,0.0
1129867,Lagoão,2020-04-21,0.0,0,0,0,0.0,0.0,0.0,0.0
1129868,Lagoão,2020-04-22,0.0,0,0,0,0.0,0.0,0.0,0.0
1129869,Lagoão,2020-04-23,0.0,0,0,0,0.0,0.0,0.0,0.0
1129870,Lagoão,2020-04-24,0.0,0,0,0,0.0,0.0,0.0,0.0
1129871,Lagoão,2020-04-25,0.0,0,0,0,0.0,0.0,0.0,0.0
1129872,Lagoão,2020-04-26,0.0,0,0,0,0.0,0.0,0.0,0.0
1129873,Lagoão,2020-04-27,0.0,0,0,0,0.0,0.0,0.0,0.0
1129874,Lagoão,2020-04-28,0.0,0,0,0,0.0,0.0,0.0,0.0
1129875,Lagoão,2020-04-29,0.0,0,0,0,0.0,0.0,0.0,0.0
