index,municipio,data,casosAcumulado,casosNovos,obitosAcumulado,obitosNovos,daily_cases_moving_average,daily_deaths_moving_average,sum_of_daily_cases_week,sum_of_daily_deaths_week
1128669,Lajedinho,2020-03-27,0.0,0,0,0,0.14285714285714285,0.14285714285714285,1.0,1.0
1128670,Lajedinho,2020-03-28,0.0,0,0,0,0.0,0.0,0.0,0.0
1128671,Lajedinho,2020-03-29,0.0,0,0,0,0.0,0.0,0.0,0.0
1128672,Lajedinho,2020-03-30,0.0,0,0,0,0.0,0.0,0.0,0.0
1128673,Lajedinho,2020-03-31,0.0,0,0,0,0.0,0.0,0.0,0.0
1128674,Lajedinho,2020-04-01,0.0,0,0,0,0.0,0.0,0.0,0.0
1128675,Lajedinho,2020-04-02,0.0,0,0,0,0.0,0.0,0.0,0.0
1128676,Lajedinho,2020-04-03,0.0,0,0,0,0.0,0.0,0.0,0.0
1128677,Lajedinho,2020-04-04,0.0,0,0,0,0.0,0.0,0.0,0.0
1128678,Lajedinho,2020-04-05,0.0,0,0,0,0.0,0.0,0.0,0.0
1128679,Lajedinho,2020-04-06,0.0,0,0,0,0.0,0.0,0.0,0.0
1128680,Lajedinho,2020-04-07,0.0,0,0,0,0.0,0.0,0.0,0.0
1128681,Lajedinho,2020-04-08,0.0,0,0,0,0.0,0.0,0.0,0.0
1128682,Lajedinho,2020-04-09,0.0,0,0,0,0.0,0.0,0.0,0.0
1128683,Lajedinho,2020-04-10,0.0,0,0,0,0.0,0.0,0.0,0.0
1128684,Lajedinho,2020-04-11,0.0,0,0,0,0.0,0.0,0.0,0.0
1128685,Lajedinho,2020-04-12,0.0,0,0,0,0.0,0.0,0.0,0.0
1128686,Lajedinho,2020-04-13,0.0,0,0,0,0.0,0.0,0.0,0.0
1128687,Lajedinho,2020-04-14,0.0,0,0,0,0.0,0.0,0.0,0.0
1128688,Lajedinho,2020-04-15,0.0,0,0,0,0.0,0.0,0.0,0.0
1128689,Lajedinho,2020-04-16,0.0,0,0,0,0.0,0.0,0.0,0.0
1128690,Lajedinho,2020-04-17,0.0,0,0,0,0.0,0.0,0.0,0.0
1128691,Lajedinho,2020-04-18,0.0,0,0,0,0.0,0.0,0.0,0.0
1128692,Lajedinho,2020-04-19,0.0,0,0,0,0.0,0.0,0.0,0.0
1128693,Lajedinho,2020-04-20,0.0,0,0,0,0.0,0.0,0.0,0.0
1128694,Lajedinho,2020-04-21,0.0,0,0,0,0.0,0.0,0.0,0.0
1128695,Lajedinho,2020-04-22,0.0,0,0,0,0.0,0.0,0.0,0.0
1128696,Lajedinho,2020-04-23,0.0,0,0,0,0.0,0.0,0.0,0.0
1128697,Lajedinho,2020-04-24,0.0,0,0,0,0.0,0.0,0.0,0.0
1128698,Lajedinho,2020-04-25,0.0,0,0,0,0.0,0.0,0.0,0.0
1128699,Lajedinho,2020-04-26,0.0,0,0,0,0.0,0.0,0.0,0.0
1128700,Lajedinho,2020-04-27,0.0,0,0,0,0.0,0.0,0.0,0.0
1128701,Lajedinho,2020-04-28,0.0,0,0,0,0.0,0.0,0.0,0.0
1128702,Lajedinho,2020-04-29,0.0,0,0,0,0.0,0.0,0.0,0.0
1128703,Lajedinho,2020-04-30,0.0,0,0,0,0.0,0.0,0.0,0.0
1128704,Lajedinho,2020-05-01,0.0,0,0,0,0.0,0.0,0.0,0.0
1128705,Lajedinho,2020-05-02,0.0,0,0,0,0.0,0.0,0.0,0.0
1128706,Lajedinho,2020-05-03,0.0,0,0,0,0.0,0.0,0.0,0.0
1128707,Lajedinho,2020-05-04,0.0,0,0,0,0.0,0.0,0.0,0.0
1128708,Lajedinho,2020-05-05,0.0,0,0,0,0.0,0.0,0.0,0.0
1128709,Lajedinho,2020-05-06,0.0,0,0,0,0.0,0.0,0.0,0.0
1128710,Lajedinho,2020-05-07,0.0,0,0,0,0.0,0.0,0.0,0.0
1128711,Lajedinho,2020-05-08,0.0,0,0,0,0.0,0.0,0.0,0.0
1128712,Lajedinho,2020-05-09,0.0,0,0,0,0.0,0.0,0.0,0.0
1128713,Lajedinho,2020-05-10,0.0,0,0,0,0.0,0.0,0.0,0.0
1128714,Lajedinho,2020-05-11,0.0,0,0,0,0.0,0.0,0.0,0.0
1128715,Lajedinho,2020-05-12,0.0,0,0,0,0.0,0.0,0.0,0.0
1128716,Lajedinho,2020-05-13,0.0,0,0,0,0.0,0.0,0.0,0.0
1128717,Lajedinho,2020-05-14,0.0,0,0,0,0.0,0.0,0.0,0.0
1128718,Lajedinho,2020-05-15,0.0,0,0,0,0.0,0.0,0.0,0.0
1128719,Lajedinho,2020-05-16,0.0,0,0,0,0.0,0.0,0.0,0.0
1128720,Lajedinho,2020-05-17,0.0,0,0,0,0.0,0.0,0.0,0.0
1128721,Lajedinho,2020-05-18,0.0,0,0,0,0.0,0.0,0.0,0.0
1128722,Lajedinho,2020-05-19,0.0,0,0,0,0.0,0.0,0.0,0.0
1128723,Lajedinho,2020-05-20,0.0,0,0,0,0.0,0.0,0.0,0.0
1128724,Lajedinho,2020-05-21,0.0,0,0,0,0.0,0.0,0.0,0.0
1128725,Lajedinho,2020-05-22,0.0,0,0,0,0.0,0.0,0.0,0.0
1128726,Lajedinho,2020-05-23,0.0,0,0,0,0.0,0.0,0.0,0.0
1128727,Lajedinho,2020-05-24,0.0,0,0,0,0.0,0.0,0.0,0.0
1128728,Lajedinho,2020-05-25,0.0,0,0,0,0.0,0.0,0.0,0.0
1128729,Lajedinho,2020-05-26,0.0,0,0,0,0.0,0.0,0.0,0.0
1128730,Lajedinho,2020-05-27,0.0,0,0,0,0.0,0.0,0.0,0.0
1128731,Lajedinho,2020-05-28,0.0,0,0,0,0.0,0.0,0.0,0.0
1128732,Lajedinho,2020-05-29,0.0,0,0,0,0.0,0.0,0.0,0.0
1128733,Lajedinho,2020-05-30,0.0,0,0,0,0.0,0.0,0.0,0.0
1128734,Lajedinho,2020-05-31,0.0,0,0,0,0.0,0.0,0.0,0.0
1128735,Lajedinho,2020-06-01,0.0,0,0,0,0.0,0.0,0.0,0.0
1128736,Lajedinho,2020-06-02,0.0,0,0,0,0.0,0.0,0.0,0.0
1128737,Lajedinho,2020-06-03,0.0,0,0,0,0.0,0.0,0.0,0.0
1128738,Lajedinho,2020-06-04,0.0,0,0,0,0.0,0.0,0.0,0.0
1128739,Lajedinho,2020-06-05,0.0,0,0,0,0.0,0.0,0.0,0.0
1128740,Lajedinho,2020-06-06,0.0,0,0,0,0.0,0.0,0.0,0.0
1128741,Lajedinho,2020-06-07,0.0,0,0,0,0.0,0.0,0.0,0.0
