index,municipio,data,casosAcumulado,casosNovos,obitosAcumulado,obitosNovos,daily_cases_moving_average,daily_deaths_moving_average,sum_of_daily_cases_week,sum_of_daily_deaths_week
1177110,Leopoldo de Bulhões,2020-03-27,0.0,0,0,0,24.0,1.1428571428571428,168.0,8.0
1177111,Leopoldo de Bulhões,2020-03-28,0.0,0,0,0,24.0,1.1428571428571428,168.0,8.0
1177112,Leopoldo de Bulhões,2020-03-29,0.0,0,0,0,9.857142857142858,0.14285714285714285,69.0,1.0
1177113,Leopoldo de Bulhões,2020-03-30,0.0,0,0,0,6.571428571428571,0.0,46.0,0.0
1177114,Leopoldo de Bulhões,2020-03-31,0.0,0,0,0,3.7142857142857144,0.0,26.0,0.0
1177115,Leopoldo de Bulhões,2020-04-01,0.0,0,0,0,0.0,0.0,0.0,0.0
1177116,Leopoldo de Bulhões,2020-04-02,0.0,0,0,0,0.0,0.0,0.0,0.0
1177117,Leopoldo de Bulhões,2020-04-03,0.0,0,0,0,0.0,0.0,0.0,0.0
1177118,Leopoldo de Bulhões,2020-04-04,0.0,0,0,0,0.0,0.0,0.0,0.0
1177119,Leopoldo de Bulhões,2020-04-05,0.0,0,0,0,0.0,0.0,0.0,0.0
1177120,Leopoldo de Bulhões,2020-04-06,0.0,0,0,0,0.0,0.0,0.0,0.0
1177121,Leopoldo de Bulhões,2020-04-07,0.0,0,0,0,0.0,0.0,0.0,0.0
1177122,Leopoldo de Bulhões,2020-04-08,0.0,0,0,0,0.0,0.0,0.0,0.0
1177123,Leopoldo de Bulhões,2020-04-09,0.0,0,0,0,0.0,0.0,0.0,0.0
1177124,Leopoldo de Bulhões,2020-04-10,0.0,0,0,0,0.0,0.0,0.0,0.0
1177125,Leopoldo de Bulhões,2020-04-11,0.0,0,0,0,0.0,0.0,0.0,0.0
1177126,Leopoldo de Bulhões,2020-04-12,0.0,0,0,0,0.0,0.0,0.0,0.0
1177127,Leopoldo de Bulhões,2020-04-13,0.0,0,0,0,0.0,0.0,0.0,0.0
1177128,Leopoldo de Bulhões,2020-04-14,0.0,0,0,0,0.0,0.0,0.0,0.0
1177129,Leopoldo de Bulhões,2020-04-15,0.0,0,0,0,0.0,0.0,0.0,0.0
1177130,Leopoldo de Bulhões,2020-04-16,0.0,0,0,0,0.0,0.0,0.0,0.0
1177131,Leopoldo de Bulhões,2020-04-17,0.0,0,0,0,0.0,0.0,0.0,0.0
1177132,Leopoldo de Bulhões,2020-04-18,0.0,0,0,0,0.0,0.0,0.0,0.0
1177133,Leopoldo de Bulhões,2020-04-19,0.0,0,0,0,0.0,0.0,0.0,0.0
1177134,Leopoldo de Bulhões,2020-04-20,0.0,0,0,0,0.0,0.0,0.0,0.0
1177135,Leopoldo de Bulhões,2020-04-21,0.0,0,0,0,0.0,0.0,0.0,0.0
1177136,Leopoldo de Bulhões,2020-04-22,0.0,0,0,0,0.0,0.0,0.0,0.0
1177137,Leopoldo de Bulhões,2020-04-23,0.0,0,0,0,0.0,0.0,0.0,0.0
1177138,Leopoldo de Bulhões,2020-04-24,0.0,0,0,0,0.0,0.0,0.0,0.0
1177139,Leopoldo de Bulhões,2020-04-25,0.0,0,0,0,0.0,0.0,0.0,0.0
1177140,Leopoldo de Bulhões,2020-04-26,0.0,0,0,0,0.0,0.0,0.0,0.0
1177141,Leopoldo de Bulhões,2020-04-27,0.0,0,0,0,0.0,0.0,0.0,0.0
1177142,Leopoldo de Bulhões,2020-04-28,0.0,0,0,0,0.0,0.0,0.0,0.0
1177143,Leopoldo de Bulhões,2020-04-29,0.0,0,0,0,0.0,0.0,0.0,0.0
1177144,Leopoldo de Bulhões,2020-04-30,0.0,0,0,0,0.0,0.0,0.0,0.0
