index,municipio,data,casosAcumulado,casosNovos,obitosAcumulado,obitosNovos,daily_cases_moving_average,daily_deaths_moving_average,sum_of_daily_cases_week,sum_of_daily_deaths_week
1192749,Lizarda,2020-03-27,0.0,0,0,0,17.428571428571427,0.0,122.0,0.0
1192750,Lizarda,2020-03-28,0.0,0,0,0,12.857142857142858,0.0,90.0,0.0
1192751,Lizarda,2020-03-29,0.0,0,0,0,10.428571428571429,0.0,73.0,0.0
1192752,Lizarda,2020-03-30,0.0,0,0,0,6.857142857142857,0.0,48.0,0.0
1192753,Lizarda,2020-03-31,0.0,0,0,0,3.7142857142857144,0.0,26.0,0.0
1192754,Lizarda,2020-04-01,0.0,0,0,0,3.4285714285714284,0.0,24.0,0.0
1192755,Lizarda,2020-04-02,0.0,0,0,0,0.0,0.0,0.0,0.0
1192756,Lizarda,2020-04-03,0.0,0,0,0,0.0,0.0,0.0,0.0
1192757,Lizarda,2020-04-04,0.0,0,0,0,0.0,0.0,0.0,0.0
1192758,Lizarda,2020-04-05,0.0,0,0,0,0.0,0.0,0.0,0.0
1192759,Lizarda,2020-04-06,0.0,0,0,0,0.0,0.0,0.0,0.0
1192760,Lizarda,2020-04-07,0.0,0,0,0,0.0,0.0,0.0,0.0
1192761,Lizarda,2020-04-08,0.0,0,0,0,0.0,0.0,0.0,0.0
1192762,Lizarda,2020-04-09,0.0,0,0,0,0.0,0.0,0.0,0.0
1192763,Lizarda,2020-04-10,0.0,0,0,0,0.0,0.0,0.0,0.0
1192764,Lizarda,2020-04-11,0.0,0,0,0,0.0,0.0,0.0,0.0
1192765,Lizarda,2020-04-12,0.0,0,0,0,0.0,0.0,0.0,0.0
1192766,Lizarda,2020-04-13,0.0,0,0,0,0.0,0.0,0.0,0.0
1192767,Lizarda,2020-04-14,0.0,0,0,0,0.0,0.0,0.0,0.0
1192768,Lizarda,2020-04-15,0.0,0,0,0,0.0,0.0,0.0,0.0
1192769,Lizarda,2020-04-16,0.0,0,0,0,0.0,0.0,0.0,0.0
1192770,Lizarda,2020-04-17,0.0,0,0,0,0.0,0.0,0.0,0.0
1192771,Lizarda,2020-04-18,0.0,0,0,0,0.0,0.0,0.0,0.0
1192772,Lizarda,2020-04-19,0.0,0,0,0,0.0,0.0,0.0,0.0
1192773,Lizarda,2020-04-20,0.0,0,0,0,0.0,0.0,0.0,0.0
1192774,Lizarda,2020-04-21,0.0,0,0,0,0.0,0.0,0.0,0.0
1192775,Lizarda,2020-04-22,0.0,0,0,0,0.0,0.0,0.0,0.0
1192776,Lizarda,2020-04-23,0.0,0,0,0,0.0,0.0,0.0,0.0
1192777,Lizarda,2020-04-24,0.0,0,0,0,0.0,0.0,0.0,0.0
1192778,Lizarda,2020-04-25,0.0,0,0,0,0.0,0.0,0.0,0.0
1192779,Lizarda,2020-04-26,0.0,0,0,0,0.0,0.0,0.0,0.0
1192780,Lizarda,2020-04-27,0.0,0,0,0,0.0,0.0,0.0,0.0
1192781,Lizarda,2020-04-28,0.0,0,0,0,0.0,0.0,0.0,0.0
1192782,Lizarda,2020-04-29,0.0,0,0,0,0.0,0.0,0.0,0.0
1192783,Lizarda,2020-04-30,0.0,0,0,0,0.0,0.0,0.0,0.0
1192784,Lizarda,2020-05-01,0.0,0,0,0,0.0,0.0,0.0,0.0
1192785,Lizarda,2020-05-02,0.0,0,0,0,0.0,0.0,0.0,0.0
1192786,Lizarda,2020-05-03,0.0,0,0,0,0.0,0.0,0.0,0.0
1192787,Lizarda,2020-05-04,0.0,0,0,0,0.0,0.0,0.0,0.0
1192788,Lizarda,2020-05-05,1.0,1,1,1,0.14285714285714285,0.14285714285714285,1.0,1.0
1192789,Lizarda,2020-05-06,1.0,0,1,0,0.14285714285714285,0.14285714285714285,1.0,1.0
1192790,Lizarda,2020-05-07,1.0,0,1,0,0.14285714285714285,0.14285714285714285,1.0,1.0
1192791,Lizarda,2020-05-08,1.0,0,1,0,0.14285714285714285,0.14285714285714285,1.0,1.0
1192792,Lizarda,2020-05-09,1.0,0,1,0,0.14285714285714285,0.14285714285714285,1.0,1.0
1192793,Lizarda,2020-05-10,1.0,0,1,0,0.14285714285714285,0.14285714285714285,1.0,1.0
1192794,Lizarda,2020-05-11,1.0,0,1,0,0.14285714285714285,0.14285714285714285,1.0,1.0
1192795,Lizarda,2020-05-12,1.0,0,1,0,0.0,0.0,0.0,0.0
1192796,Lizarda,2020-05-13,1.0,0,1,0,0.0,0.0,0.0,0.0
1192797,Lizarda,2020-05-14,1.0,0,1,0,0.0,0.0,0.0,0.0
1192798,Lizarda,2020-05-15,1.0,0,1,0,0.0,0.0,0.0,0.0
1192799,Lizarda,2020-05-16,1.0,0,1,0,0.0,0.0,0.0,0.0
1192800,Lizarda,2020-05-17,1.0,0,1,0,0.0,0.0,0.0,0.0
1192801,Lizarda,2020-05-18,1.0,0,1,0,0.0,0.0,0.0,0.0
1192802,Lizarda,2020-05-19,1.0,0,1,0,0.0,0.0,0.0,0.0
1192803,Lizarda,2020-05-20,1.0,0,1,0,0.0,0.0,0.0,0.0
1192804,Lizarda,2020-05-21,1.0,0,1,0,0.0,0.0,0.0,0.0
1192805,Lizarda,2020-05-22,1.0,0,1,0,0.0,0.0,0.0,0.0
1192806,Lizarda,2020-05-23,1.0,0,1,0,0.0,0.0,0.0,0.0
1192807,Lizarda,2020-05-24,1.0,0,1,0,0.0,0.0,0.0,0.0
1192808,Lizarda,2020-05-25,1.0,0,1,0,0.0,0.0,0.0,0.0
1192809,Lizarda,2020-05-26,1.0,0,1,0,0.0,0.0,0.0,0.0
1192810,Lizarda,2020-05-27,1.0,0,1,0,0.0,0.0,0.0,0.0
1192811,Lizarda,2020-05-28,1.0,0,1,0,0.0,0.0,0.0,0.0
1192812,Lizarda,2020-05-29,1.0,0,1,0,0.0,0.0,0.0,0.0
1192813,Lizarda,2020-05-30,1.0,0,1,0,0.0,0.0,0.0,0.0
1192814,Lizarda,2020-05-31,1.0,0,1,0,0.0,0.0,0.0,0.0
1192815,Lizarda,2020-06-01,1.0,0,1,0,0.0,0.0,0.0,0.0
1192816,Lizarda,2020-06-02,1.0,0,1,0,0.0,0.0,0.0,0.0
1192817,Lizarda,2020-06-03,1.0,0,1,0,0.0,0.0,0.0,0.0
1192818,Lizarda,2020-06-04,1.0,0,1,0,0.0,0.0,0.0,0.0
1192819,Lizarda,2020-06-05,1.0,0,1,0,0.0,0.0,0.0,0.0
1192820,Lizarda,2020-06-06,1.0,0,1,0,0.0,0.0,0.0,0.0
1192821,Lizarda,2020-06-07,1.0,0,1,0,0.0,0.0,0.0,0.0
1192822,Lizarda,2020-06-08,1.0,0,1,0,0.0,0.0,0.0,0.0
1192823,Lizarda,2020-06-09,1.0,0,1,0,0.0,0.0,0.0,0.0
1192824,Lizarda,2020-06-10,1.0,0,1,0,0.0,0.0,0.0,0.0
1192825,Lizarda,2020-06-11,1.0,0,1,0,0.0,0.0,0.0,0.0
1192826,Lizarda,2020-06-12,1.0,0,1,0,0.0,0.0,0.0,0.0
1192827,Lizarda,2020-06-13,1.0,0,1,0,0.0,0.0,0.0,0.0
1192828,Lizarda,2020-06-14,1.0,0,1,0,0.0,0.0,0.0,0.0
1192829,Lizarda,2020-06-15,1.0,0,1,0,0.0,0.0,0.0,0.0
1192830,Lizarda,2020-06-16,1.0,0,1,0,0.0,0.0,0.0,0.0
1192831,Lizarda,2020-06-17,1.0,0,1,0,0.0,0.0,0.0,0.0
1192832,Lizarda,2020-06-18,1.0,0,1,0,0.0,0.0,0.0,0.0
1192833,Lizarda,2020-06-19,1.0,0,1,0,0.0,0.0,0.0,0.0
1192834,Lizarda,2020-06-20,1.0,0,1,0,0.0,0.0,0.0,0.0
1192835,Lizarda,2020-06-21,1.0,0,1,0,0.0,0.0,0.0,0.0
1192836,Lizarda,2020-06-22,1.0,0,1,0,0.0,0.0,0.0,0.0
1192837,Lizarda,2020-06-23,1.0,0,1,0,0.0,0.0,0.0,0.0
1192838,Lizarda,2020-06-24,1.0,0,0,-1,0.0,-0.14285714285714285,0.0,-1.0
1192839,Lizarda,2020-06-25,1.0,0,1,1,0.0,0.0,0.0,0.0
1192840,Lizarda,2020-06-26,1.0,0,1,0,0.0,0.0,0.0,0.0
1192841,Lizarda,2020-06-27,1.0,0,1,0,0.0,0.0,0.0,0.0
1192842,Lizarda,2020-06-28,1.0,0,1,0,0.0,0.0,0.0,0.0
1192843,Lizarda,2020-06-29,1.0,0,1,0,0.0,0.0,0.0,0.0
1192844,Lizarda,2020-06-30,1.0,0,1,0,0.0,0.0,0.0,0.0
1192845,Lizarda,2020-07-01,1.0,0,1,0,0.0,0.14285714285714285,0.0,1.0
1192846,Lizarda,2020-07-02,1.0,0,1,0,0.0,0.0,0.0,0.0
1192847,Lizarda,2020-07-03,1.0,0,1,0,0.0,0.0,0.0,0.0
1192848,Lizarda,2020-07-04,1.0,0,1,0,0.0,0.0,0.0,0.0
1192849,Lizarda,2020-07-05,1.0,0,1,0,0.0,0.0,0.0,0.0
1192850,Lizarda,2020-07-06,1.0,0,1,0,0.0,0.0,0.0,0.0
1192851,Lizarda,2020-07-07,1.0,0,1,0,0.0,0.0,0.0,0.0
1192852,Lizarda,2020-07-08,1.0,0,1,0,0.0,0.0,0.0,0.0
1192853,Lizarda,2020-07-09,2.0,1,1,0,0.14285714285714285,0.0,1.0,0.0
1192854,Lizarda,2020-07-10,5.0,3,1,0,0.5714285714285714,0.0,4.0,0.0
1192855,Lizarda,2020-07-11,7.0,2,1,0,0.8571428571428571,0.0,6.0,0.0
1192856,Lizarda,2020-07-12,9.0,2,1,0,1.1428571428571428,0.0,8.0,0.0
1192857,Lizarda,2020-07-13,13.0,4,1,0,1.7142857142857142,0.0,12.0,0.0
1192858,Lizarda,2020-07-14,17.0,4,1,0,2.2857142857142856,0.0,16.0,0.0
1192859,Lizarda,2020-07-15,17.0,0,1,0,2.2857142857142856,0.0,16.0,0.0
1192860,Lizarda,2020-07-16,17.0,0,1,0,2.142857142857143,0.0,15.0,0.0
1192861,Lizarda,2020-07-17,17.0,0,1,0,1.7142857142857142,0.0,12.0,0.0
1192862,Lizarda,2020-07-18,17.0,0,1,0,1.4285714285714286,0.0,10.0,0.0
1192863,Lizarda,2020-07-19,19.0,2,1,0,1.4285714285714286,0.0,10.0,0.0
1192864,Lizarda,2020-07-20,20.0,1,1,0,1.0,0.0,7.0,0.0
1192865,Lizarda,2020-07-21,20.0,0,1,0,0.42857142857142855,0.0,3.0,0.0
1192866,Lizarda,2020-07-22,20.0,0,1,0,0.42857142857142855,0.0,3.0,0.0
1192867,Lizarda,2020-07-23,20.0,0,1,0,0.42857142857142855,0.0,3.0,0.0
1192868,Lizarda,2020-07-24,20.0,0,1,0,0.42857142857142855,0.0,3.0,0.0
1192869,Lizarda,2020-07-25,25.0,5,1,0,1.1428571428571428,0.0,8.0,0.0
