index,municipio,data,casosAcumulado,casosNovos,obitosAcumulado,obitosNovos,daily_cases_moving_average,daily_deaths_moving_average,sum_of_daily_cases_week,sum_of_daily_deaths_week
1214946,Macedônia,2020-03-27,0.0,0,0,0,2.857142857142857,0.0,20.0,0.0
1214947,Macedônia,2020-03-28,0.0,0,0,0,2.7142857142857144,0.0,19.0,0.0
1214948,Macedônia,2020-03-29,0.0,0,0,0,1.8571428571428572,0.0,13.0,0.0
1214949,Macedônia,2020-03-30,0.0,0,0,0,1.1428571428571428,0.0,8.0,0.0
1214950,Macedônia,2020-03-31,0.0,0,0,0,0.8571428571428571,0.0,6.0,0.0
1214951,Macedônia,2020-04-01,0.0,0,0,0,0.8571428571428571,0.0,6.0,0.0
1214952,Macedônia,2020-04-02,0.0,0,0,0,0.0,0.0,0.0,0.0
1214953,Macedônia,2020-04-03,0.0,0,0,0,0.0,0.0,0.0,0.0
1214954,Macedônia,2020-04-04,0.0,0,0,0,0.0,0.0,0.0,0.0
1214955,Macedônia,2020-04-05,0.0,0,0,0,0.0,0.0,0.0,0.0
1214956,Macedônia,2020-04-06,0.0,0,0,0,0.0,0.0,0.0,0.0
1214957,Macedônia,2020-04-07,0.0,0,0,0,0.0,0.0,0.0,0.0
1214958,Macedônia,2020-04-08,0.0,0,0,0,0.0,0.0,0.0,0.0
1214959,Macedônia,2020-04-09,0.0,0,0,0,0.0,0.0,0.0,0.0
1214960,Macedônia,2020-04-10,0.0,0,0,0,0.0,0.0,0.0,0.0
1214961,Macedônia,2020-04-11,0.0,0,0,0,0.0,0.0,0.0,0.0
1214962,Macedônia,2020-04-12,0.0,0,0,0,0.0,0.0,0.0,0.0
1214963,Macedônia,2020-04-13,0.0,0,0,0,0.0,0.0,0.0,0.0
1214964,Macedônia,2020-04-14,0.0,0,0,0,0.0,0.0,0.0,0.0
1214965,Macedônia,2020-04-15,1.0,1,0,0,0.14285714285714285,0.0,1.0,0.0
1214966,Macedônia,2020-04-16,0.0,-1,0,0,0.0,0.0,0.0,0.0
1214967,Macedônia,2020-04-17,0.0,0,0,0,0.0,0.0,0.0,0.0
1214968,Macedônia,2020-04-18,0.0,0,0,0,0.0,0.0,0.0,0.0
1214969,Macedônia,2020-04-19,0.0,0,0,0,0.0,0.0,0.0,0.0
1214970,Macedônia,2020-04-20,0.0,0,0,0,0.0,0.0,0.0,0.0
1214971,Macedônia,2020-04-21,0.0,0,0,0,0.0,0.0,0.0,0.0
1214972,Macedônia,2020-04-22,0.0,0,0,0,-0.14285714285714285,0.0,-1.0,0.0
