index,municipio,data,casosAcumulado,casosNovos,obitosAcumulado,obitosNovos,daily_cases_moving_average,daily_deaths_moving_average,sum_of_daily_cases_week,sum_of_daily_deaths_week
1215228,Manhumirim,2020-03-27,0.0,0,0,0,42.857142857142854,1.4285714285714286,300.0,10.0
1215229,Manhumirim,2020-03-28,0.0,0,0,0,42.857142857142854,1.4285714285714286,300.0,10.0
1215230,Manhumirim,2020-03-29,0.0,0,0,0,31.571428571428573,1.1428571428571428,221.0,8.0
1215231,Manhumirim,2020-03-30,0.0,0,0,0,26.857142857142858,1.1428571428571428,188.0,8.0
1215232,Manhumirim,2020-03-31,0.0,0,0,0,22.714285714285715,0.42857142857142855,159.0,3.0
1215233,Manhumirim,2020-04-01,0.0,0,0,0,5.428571428571429,0.0,38.0,0.0
1215234,Manhumirim,2020-04-02,0.0,0,0,0,0.0,0.0,0.0,0.0
1215235,Manhumirim,2020-04-03,0.0,0,0,0,0.0,0.0,0.0,0.0
1215236,Manhumirim,2020-04-04,0.0,0,0,0,0.0,0.0,0.0,0.0
1215237,Manhumirim,2020-04-05,0.0,0,0,0,0.0,0.0,0.0,0.0
1215238,Manhumirim,2020-04-06,0.0,0,0,0,0.0,0.0,0.0,0.0
1215239,Manhumirim,2020-04-07,0.0,0,0,0,0.0,0.0,0.0,0.0
1215240,Manhumirim,2020-04-08,0.0,0,0,0,0.0,0.0,0.0,0.0
1215241,Manhumirim,2020-04-09,0.0,0,0,0,0.0,0.0,0.0,0.0
1215242,Manhumirim,2020-04-10,0.0,0,0,0,0.0,0.0,0.0,0.0
1215243,Manhumirim,2020-04-11,0.0,0,0,0,0.0,0.0,0.0,0.0
1215244,Manhumirim,2020-04-12,0.0,0,0,0,0.0,0.0,0.0,0.0
1215245,Manhumirim,2020-04-13,0.0,0,0,0,0.0,0.0,0.0,0.0
1215246,Manhumirim,2020-04-14,0.0,0,0,0,0.0,0.0,0.0,0.0
1215247,Manhumirim,2020-04-15,0.0,0,0,0,0.0,0.0,0.0,0.0
1215248,Manhumirim,2020-04-16,0.0,0,0,0,0.0,0.0,0.0,0.0
1215249,Manhumirim,2020-04-17,0.0,0,0,0,0.0,0.0,0.0,0.0
1215250,Manhumirim,2020-04-18,0.0,0,0,0,0.0,0.0,0.0,0.0
1215251,Manhumirim,2020-04-19,0.0,0,0,0,0.0,0.0,0.0,0.0
1215252,Manhumirim,2020-04-20,0.0,0,0,0,0.0,0.0,0.0,0.0
1215253,Manhumirim,2020-04-21,0.0,0,0,0,0.0,0.0,0.0,0.0
1215254,Manhumirim,2020-04-22,0.0,0,0,0,0.0,0.0,0.0,0.0
1215255,Manhumirim,2020-04-23,0.0,0,0,0,0.0,0.0,0.0,0.0
1215256,Manhumirim,2020-04-24,0.0,0,0,0,0.0,0.0,0.0,0.0
1215257,Manhumirim,2020-04-25,0.0,0,0,0,0.0,0.0,0.0,0.0
1215258,Manhumirim,2020-04-26,0.0,0,0,0,0.0,0.0,0.0,0.0
1215259,Manhumirim,2020-04-27,0.0,0,0,0,0.0,0.0,0.0,0.0
1215260,Manhumirim,2020-04-28,1.0,1,0,0,0.14285714285714285,0.0,1.0,0.0
1215261,Manhumirim,2020-04-29,0.0,-1,0,0,0.0,0.0,0.0,0.0
1215262,Manhumirim,2020-04-30,0.0,0,0,0,0.0,0.0,0.0,0.0
1215263,Manhumirim,2020-05-01,0.0,0,0,0,0.0,0.0,0.0,0.0
1215264,Manhumirim,2020-05-02,0.0,0,0,0,0.0,0.0,0.0,0.0
1215265,Manhumirim,2020-05-03,0.0,0,0,0,0.0,0.0,0.0,0.0
1215266,Manhumirim,2020-05-04,0.0,0,0,0,0.0,0.0,0.0,0.0
1215267,Manhumirim,2020-05-05,0.0,0,0,0,-0.14285714285714285,0.0,-1.0,0.0
1215268,Manhumirim,2020-05-06,0.0,0,0,0,0.0,0.0,0.0,0.0
1215269,Manhumirim,2020-05-07,0.0,0,0,0,0.0,0.0,0.0,0.0
1215270,Manhumirim,2020-05-08,0.0,0,0,0,0.0,0.0,0.0,0.0
1215271,Manhumirim,2020-05-09,0.0,0,0,0,0.0,0.0,0.0,0.0
1215272,Manhumirim,2020-05-10,0.0,0,0,0,0.0,0.0,0.0,0.0
1215273,Manhumirim,2020-05-11,0.0,0,0,0,0.0,0.0,0.0,0.0
1215274,Manhumirim,2020-05-12,0.0,0,0,0,0.0,0.0,0.0,0.0
1215275,Manhumirim,2020-05-13,0.0,0,0,0,0.0,0.0,0.0,0.0
1215276,Manhumirim,2020-05-14,0.0,0,0,0,0.0,0.0,0.0,0.0
1215277,Manhumirim,2020-05-15,0.0,0,0,0,0.0,0.0,0.0,0.0
1215278,Manhumirim,2020-05-16,0.0,0,0,0,0.0,0.0,0.0,0.0
1215279,Manhumirim,2020-05-17,0.0,0,0,0,0.0,0.0,0.0,0.0
1215280,Manhumirim,2020-05-18,0.0,0,0,0,0.0,0.0,0.0,0.0
1215281,Manhumirim,2020-05-19,0.0,0,0,0,0.0,0.0,0.0,0.0
1215282,Manhumirim,2020-05-20,0.0,0,0,0,0.0,0.0,0.0,0.0
1215283,Manhumirim,2020-05-21,0.0,0,0,0,0.0,0.0,0.0,0.0
1215284,Manhumirim,2020-05-22,0.0,0,0,0,0.0,0.0,0.0,0.0
