city,date,cases,daily cases,deaths,daily deaths,daily cases moving average,daily deaths moving average
Maraú,2020-03-27,0,0,0,0,,
Maraú,2020-03-28,0,0,0,0,,
Maraú,2020-03-29,0,0,0,0,,
Maraú,2020-03-30,0,0,0,0,,
Maraú,2020-03-31,0,0,0,0,,
Maraú,2020-04-01,0,0,0,0,,
Maraú,2020-04-02,0,0,0,0,,
Maraú,2020-04-03,0,0,0,0,,
Maraú,2020-04-04,0,0,0,0,,
Maraú,2020-04-05,0,0,0,0,,
Maraú,2020-04-06,0,0,0,0,,
Maraú,2020-04-07,0,0,0,0,,
Maraú,2020-04-08,0,0,0,0,,
Maraú,2020-04-09,0,0,0,0,0.0,0.0
Maraú,2020-04-10,0,0,0,0,0.0,0.0
Maraú,2020-04-11,0,0,0,0,0.0,0.0
Maraú,2020-04-12,0,0,0,0,0.0,0.0
Maraú,2020-04-13,0,0,0,0,0.0,0.0
Maraú,2020-04-14,0,0,0,0,0.0,0.0
Maraú,2020-04-15,0,0,0,0,0.0,0.0
Maraú,2020-04-16,0,0,0,0,0.0,0.0
Maraú,2020-04-17,0,0,0,0,0.0,0.0
Maraú,2020-04-18,0,0,0,0,0.0,0.0
Maraú,2020-04-19,0,0,0,0,0.0,0.0
Maraú,2020-04-20,0,0,0,0,0.0,0.0
Maraú,2020-04-21,0,0,0,0,0.0,0.0
Maraú,2020-04-22,0,0,0,0,0.0,0.0
Maraú,2020-04-23,0,0,0,0,0.0,0.0
Maraú,2020-04-24,0,0,0,0,0.0,0.0
Maraú,2020-04-25,0,0,0,0,0.0,0.0
Maraú,2020-04-26,0,0,0,0,0.0,0.0
Maraú,2020-04-27,0,0,0,0,0.0,0.0
Maraú,2020-04-28,0,0,0,0,0.0,0.0
Maraú,2020-04-29,1,1,0,0,0.07142857142857142,0.0
Maraú,2020-04-30,1,0,0,0,0.07142857142857142,0.0
Maraú,2020-05-01,1,0,0,0,0.07142857142857142,0.0
Maraú,2020-05-02,1,0,1,1,0.07142857142857142,0.07142857142857142
Maraú,2020-05-03,1,0,1,0,0.07142857142857142,0.07142857142857142
Maraú,2020-05-04,1,0,1,0,0.07142857142857142,0.07142857142857142
Maraú,2020-05-05,2,1,1,0,0.14285714285714285,0.07142857142857142
Maraú,2020-05-06,2,0,1,0,0.14285714285714285,0.07142857142857142
Maraú,2020-05-07,2,0,1,0,0.14285714285714285,0.07142857142857142
Maraú,2020-05-08,2,0,1,0,0.14285714285714285,0.07142857142857142
Maraú,2020-05-09,2,0,1,0,0.14285714285714285,0.07142857142857142
Maraú,2020-05-10,2,0,1,0,0.14285714285714285,0.07142857142857142
Maraú,2020-05-11,2,0,1,0,0.14285714285714285,0.07142857142857142
Maraú,2020-05-12,2,0,1,0,0.14285714285714285,0.07142857142857142
Maraú,2020-05-13,2,0,1,0,0.07142857142857142,0.07142857142857142
Maraú,2020-05-14,2,0,1,0,0.07142857142857142,0.07142857142857142
Maraú,2020-05-15,5,3,0,-1,0.2857142857142857,0.0
Maraú,2020-05-16,5,0,1,1,0.2857142857142857,0.0
Maraú,2020-05-17,4,-1,0,-1,0.21428571428571427,-0.07142857142857142
Maraú,2020-05-18,4,0,0,0,0.21428571428571427,-0.07142857142857142
Maraú,2020-05-19,5,1,1,1,0.21428571428571427,0.0
Maraú,2020-05-20,6,1,1,0,0.2857142857142857,0.0
Maraú,2020-05-21,7,1,1,0,0.35714285714285715,0.0
Maraú,2020-05-22,7,0,2,1,0.35714285714285715,0.07142857142857142
Maraú,2020-05-23,7,0,2,0,0.35714285714285715,0.07142857142857142
Maraú,2020-05-24,7,0,2,0,0.35714285714285715,0.07142857142857142
Maraú,2020-05-25,7,0,2,0,0.35714285714285715,0.07142857142857142
Maraú,2020-05-26,7,0,2,0,0.35714285714285715,0.07142857142857142
Maraú,2020-05-27,7,0,2,0,0.35714285714285715,0.07142857142857142
Maraú,2020-05-28,7,0,2,0,0.35714285714285715,0.07142857142857142
Maraú,2020-05-29,7,0,2,0,0.14285714285714285,0.14285714285714285
Maraú,2020-05-30,7,0,2,0,0.14285714285714285,0.07142857142857142
Maraú,2020-05-31,7,0,2,0,0.21428571428571427,0.14285714285714285
Maraú,2020-06-01,7,0,2,0,0.21428571428571427,0.14285714285714285
Maraú,2020-06-02,7,0,2,0,0.14285714285714285,0.07142857142857142
Maraú,2020-06-03,6,-1,2,0,0.0,0.07142857142857142
Maraú,2020-06-04,7,1,2,0,0.0,0.07142857142857142
Maraú,2020-06-05,7,0,2,0,0.0,0.0
Maraú,2020-06-06,7,0,2,0,0.0,0.0
Maraú,2020-06-07,7,0,2,0,0.0,0.0
Maraú,2020-06-08,7,0,2,0,0.0,0.0
Maraú,2020-06-09,10,3,2,0,0.21428571428571427,0.0
Maraú,2020-06-10,11,1,2,0,0.2857142857142857,0.0
Maraú,2020-06-11,14,3,2,0,0.5,0.0
Maraú,2020-06-12,14,0,2,0,0.5,0.0
Maraú,2020-06-13,14,0,2,0,0.5,0.0
Maraú,2020-06-14,14,0,2,0,0.5,0.0
Maraú,2020-06-15,14,0,2,0,0.5,0.0
Maraú,2020-06-16,16,2,2,0,0.6428571428571429,0.0
Maraú,2020-06-17,16,0,2,0,0.7142857142857143,0.0
Maraú,2020-06-18,16,0,2,0,0.6428571428571429,0.0
Maraú,2020-06-19,19,3,2,0,0.8571428571428571,0.0
Maraú,2020-06-20,19,0,2,0,0.8571428571428571,0.0
Maraú,2020-06-21,26,7,2,0,1.3571428571428572,0.0
Maraú,2020-06-22,26,0,2,0,1.3571428571428572,0.0
Maraú,2020-06-23,26,0,2,0,1.1428571428571428,0.0
Maraú,2020-06-24,28,2,2,0,1.2142857142857142,0.0
Maraú,2020-06-25,28,0,2,0,1.0,0.0
Maraú,2020-06-26,28,0,2,0,1.0,0.0
Maraú,2020-06-27,31,3,2,0,1.2142857142857142,0.0
Maraú,2020-06-28,34,3,2,0,1.4285714285714286,0.0
Maraú,2020-06-29,34,0,2,0,1.4285714285714286,0.0
Maraú,2020-06-30,34,0,2,0,1.2857142857142858,0.0
Maraú,2020-07-01,37,3,2,0,1.5,0.0
Maraú,2020-07-02,38,1,2,0,1.5714285714285714,0.0
Maraú,2020-07-03,44,6,2,0,1.7857142857142858,0.0
Maraú,2020-07-04,45,1,2,0,1.8571428571428572,0.0
Maraú,2020-07-05,45,0,2,0,1.3571428571428572,0.0
Maraú,2020-07-06,45,0,2,0,1.3571428571428572,0.0
Maraú,2020-07-07,48,3,2,0,1.5714285714285714,0.0
Maraú,2020-07-08,50,2,2,0,1.5714285714285714,0.0
Maraú,2020-07-09,50,0,2,0,1.5714285714285714,0.0
Maraú,2020-07-10,51,1,2,0,1.6428571428571428,0.0
Maraú,2020-07-11,57,6,2,0,1.8571428571428572,0.0
Maraú,2020-07-12,58,1,2,0,1.7142857142857142,0.0
Maraú,2020-07-13,58,0,2,0,1.7142857142857142,0.0
Maraú,2020-07-14,66,8,2,0,2.2857142857142856,0.0
Maraú,2020-07-15,79,13,2,0,3.0,0.0
Maraú,2020-07-16,84,5,2,0,3.2857142857142856,0.0
Maraú,2020-07-17,85,1,2,0,2.9285714285714284,0.0
Maraú,2020-07-18,85,0,3,1,2.857142857142857,0.07142857142857142
Maraú,2020-07-19,88,3,3,0,3.0714285714285716,0.07142857142857142
Maraú,2020-07-20,88,0,3,0,3.0714285714285716,0.07142857142857142
Maraú,2020-07-21,92,4,3,0,3.142857142857143,0.07142857142857142
Maraú,2020-07-22,107,15,3,0,4.071428571428571,0.07142857142857142
Maraú,2020-07-23,171,64,3,0,8.642857142857142,0.07142857142857142
Maraú,2020-07-24,175,4,3,0,8.857142857142858,0.07142857142857142
Maraú,2020-07-25,178,3,3,0,8.642857142857142,0.07142857142857142
Maraú,2020-07-26,178,0,3,0,8.571428571428571,0.07142857142857142
Maraú,2020-07-27,178,0,3,0,8.571428571428571,0.07142857142857142
Maraú,2020-07-28,183,5,3,0,8.357142857142858,0.07142857142857142
Maraú,2020-07-29,184,1,3,0,7.5,0.07142857142857142
Maraú,2020-07-30,185,1,3,0,7.214285714285714,0.07142857142857142
Maraú,2020-07-31,198,13,3,0,8.071428571428571,0.07142857142857142
Maraú,2020-08-01,200,2,3,0,8.214285714285714,0.0
Maraú,2020-08-02,200,0,3,0,8.0,0.0
Maraú,2020-08-03,201,1,3,0,8.071428571428571,0.0
Maraú,2020-08-04,205,4,3,0,8.071428571428571,0.0
Maraú,2020-08-05,209,4,3,0,7.285714285714286,0.0
Maraú,2020-08-06,228,19,3,0,4.071428571428571,0.0
Maraú,2020-08-07,232,4,3,0,4.071428571428571,0.0
Maraú,2020-08-08,233,1,3,0,3.9285714285714284,0.0
Maraú,2020-08-09,233,0,3,0,3.9285714285714284,0.0
Maraú,2020-08-10,233,0,3,0,3.9285714285714284,0.0
Maraú,2020-08-11,244,11,3,0,4.357142857142857,0.0
Maraú,2020-08-12,253,9,3,0,4.928571428571429,0.0
Maraú,2020-08-13,265,12,4,1,5.714285714285714,0.07142857142857142
Maraú,2020-08-14,269,4,4,0,5.071428571428571,0.07142857142857142
Maraú,2020-08-15,270,1,4,0,5.0,0.07142857142857142
Maraú,2020-08-16,272,2,4,0,5.142857142857143,0.07142857142857142
Maraú,2020-08-17,272,0,4,0,5.071428571428571,0.07142857142857142
Maraú,2020-08-18,273,1,4,0,4.857142857142857,0.07142857142857142
Maraú,2020-08-19,273,0,4,0,4.571428571428571,0.07142857142857142
Maraú,2020-08-20,299,26,4,0,5.071428571428571,0.07142857142857142
Maraú,2020-08-21,299,0,4,0,4.785714285714286,0.07142857142857142
Maraú,2020-08-22,306,7,4,0,5.214285714285714,0.07142857142857142
Maraú,2020-08-23,306,0,5,1,5.214285714285714,0.14285714285714285
Maraú,2020-08-24,306,0,5,0,5.214285714285714,0.14285714285714285
Maraú,2020-08-25,311,5,5,0,4.785714285714286,0.14285714285714285
Maraú,2020-08-26,316,5,5,0,4.5,0.14285714285714285
Maraú,2020-08-27,316,0,5,0,3.642857142857143,0.07142857142857142
Maraú,2020-08-28,316,0,6,1,3.357142857142857,0.14285714285714285
