index,municipio,data,casosAcumulado,casosNovos,obitosAcumulado,obitosNovos,daily_cases_moving_average,daily_deaths_moving_average,sum_of_daily_cases_week,sum_of_daily_deaths_week
1175160,Marilac,2020-03-27,0.0,0,0,0,24.142857142857142,1.5714285714285714,169.0,11.0
1175161,Marilac,2020-03-28,0.0,0,0,0,14.571428571428571,1.0,102.0,7.0
1175162,Marilac,2020-03-29,0.0,0,0,0,14.571428571428571,1.0,102.0,7.0
1175163,Marilac,2020-03-30,0.0,0,0,0,14.285714285714286,1.0,100.0,7.0
1175164,Marilac,2020-03-31,0.0,0,0,0,12.142857142857142,0.42857142857142855,85.0,3.0
1175165,Marilac,2020-04-01,0.0,0,0,0,5.428571428571429,0.0,38.0,0.0
1175166,Marilac,2020-04-02,0.0,0,0,0,0.0,0.0,0.0,0.0
1175167,Marilac,2020-04-03,0.0,0,0,0,0.0,0.0,0.0,0.0
1175168,Marilac,2020-04-04,0.0,0,0,0,0.0,0.0,0.0,0.0
1175169,Marilac,2020-04-05,0.0,0,0,0,0.0,0.0,0.0,0.0
1175170,Marilac,2020-04-06,0.0,0,0,0,0.0,0.0,0.0,0.0
1175171,Marilac,2020-04-07,0.0,0,0,0,0.0,0.0,0.0,0.0
1175172,Marilac,2020-04-08,0.0,0,0,0,0.0,0.0,0.0,0.0
1175173,Marilac,2020-04-09,0.0,0,0,0,0.0,0.0,0.0,0.0
1175174,Marilac,2020-04-10,0.0,0,0,0,0.0,0.0,0.0,0.0
1175175,Marilac,2020-04-11,0.0,0,0,0,0.0,0.0,0.0,0.0
1175176,Marilac,2020-04-12,0.0,0,0,0,0.0,0.0,0.0,0.0
1175177,Marilac,2020-04-13,0.0,0,0,0,0.0,0.0,0.0,0.0
1175178,Marilac,2020-04-14,0.0,0,0,0,0.0,0.0,0.0,0.0
1175179,Marilac,2020-04-15,0.0,0,0,0,0.0,0.0,0.0,0.0
1175180,Marilac,2020-04-16,0.0,0,0,0,0.0,0.0,0.0,0.0
1175181,Marilac,2020-04-17,0.0,0,0,0,0.0,0.0,0.0,0.0
1175182,Marilac,2020-04-18,0.0,0,0,0,0.0,0.0,0.0,0.0
1175183,Marilac,2020-04-19,0.0,0,0,0,0.0,0.0,0.0,0.0
1175184,Marilac,2020-04-20,0.0,0,0,0,0.0,0.0,0.0,0.0
1175185,Marilac,2020-04-21,0.0,0,0,0,0.0,0.0,0.0,0.0
1175186,Marilac,2020-04-22,0.0,0,0,0,0.0,0.0,0.0,0.0
1175187,Marilac,2020-04-23,0.0,0,0,0,0.0,0.0,0.0,0.0
1175188,Marilac,2020-04-24,0.0,0,0,0,0.0,0.0,0.0,0.0
1175189,Marilac,2020-04-25,0.0,0,0,0,0.0,0.0,0.0,0.0
1175190,Marilac,2020-04-26,0.0,0,0,0,0.0,0.0,0.0,0.0
1175191,Marilac,2020-04-27,0.0,0,0,0,0.0,0.0,0.0,0.0
1175192,Marilac,2020-04-28,0.0,0,0,0,0.0,0.0,0.0,0.0
1175193,Marilac,2020-04-29,0.0,0,0,0,0.0,0.0,0.0,0.0
1175194,Marilac,2020-04-30,0.0,0,0,0,0.0,0.0,0.0,0.0
1175195,Marilac,2020-05-01,0.0,0,0,0,0.0,0.0,0.0,0.0
1175196,Marilac,2020-05-02,0.0,0,0,0,0.0,0.0,0.0,0.0
1175197,Marilac,2020-05-03,0.0,0,0,0,0.0,0.0,0.0,0.0
1175198,Marilac,2020-05-04,0.0,0,0,0,0.0,0.0,0.0,0.0
1175199,Marilac,2020-05-05,0.0,0,0,0,0.0,0.0,0.0,0.0
1175200,Marilac,2020-05-06,0.0,0,0,0,0.0,0.0,0.0,0.0
1175201,Marilac,2020-05-07,0.0,0,0,0,0.0,0.0,0.0,0.0
1175202,Marilac,2020-05-08,0.0,0,0,0,0.0,0.0,0.0,0.0
1175203,Marilac,2020-05-09,0.0,0,0,0,0.0,0.0,0.0,0.0
1175204,Marilac,2020-05-10,0.0,0,0,0,0.0,0.0,0.0,0.0
1175205,Marilac,2020-05-11,0.0,0,0,0,0.0,0.0,0.0,0.0
1175206,Marilac,2020-05-12,0.0,0,0,0,0.0,0.0,0.0,0.0
1175207,Marilac,2020-05-13,0.0,0,0,0,0.0,0.0,0.0,0.0
1175208,Marilac,2020-05-14,0.0,0,0,0,0.0,0.0,0.0,0.0
1175209,Marilac,2020-05-15,0.0,0,0,0,0.0,0.0,0.0,0.0
1175210,Marilac,2020-05-16,0.0,0,0,0,0.0,0.0,0.0,0.0
1175211,Marilac,2020-05-17,0.0,0,0,0,0.0,0.0,0.0,0.0
1175212,Marilac,2020-05-18,0.0,0,0,0,0.0,0.0,0.0,0.0
1175213,Marilac,2020-05-19,0.0,0,0,0,0.0,0.0,0.0,0.0
1175214,Marilac,2020-05-20,0.0,0,0,0,0.0,0.0,0.0,0.0
1175215,Marilac,2020-05-21,0.0,0,0,0,0.0,0.0,0.0,0.0
1175216,Marilac,2020-05-22,0.0,0,0,0,0.0,0.0,0.0,0.0
1175217,Marilac,2020-05-23,0.0,0,0,0,0.0,0.0,0.0,0.0
1175218,Marilac,2020-05-24,0.0,0,0,0,0.0,0.0,0.0,0.0
1175219,Marilac,2020-05-25,0.0,0,0,0,0.0,0.0,0.0,0.0
1175220,Marilac,2020-05-26,0.0,0,0,0,0.0,0.0,0.0,0.0
1175221,Marilac,2020-05-27,0.0,0,0,0,0.0,0.0,0.0,0.0
1175222,Marilac,2020-05-28,0.0,0,0,0,0.0,0.0,0.0,0.0
1175223,Marilac,2020-05-29,0.0,0,0,0,0.0,0.0,0.0,0.0
1175224,Marilac,2020-05-30,0.0,0,0,0,0.0,0.0,0.0,0.0
1175225,Marilac,2020-05-31,0.0,0,0,0,0.0,0.0,0.0,0.0
1175226,Marilac,2020-06-01,0.0,0,0,0,0.0,0.0,0.0,0.0
1175227,Marilac,2020-06-02,0.0,0,0,0,0.0,0.0,0.0,0.0
1175228,Marilac,2020-06-03,0.0,0,0,0,0.0,0.0,0.0,0.0
1175229,Marilac,2020-06-04,0.0,0,0,0,0.0,0.0,0.0,0.0
1175230,Marilac,2020-06-05,0.0,0,0,0,0.0,0.0,0.0,0.0
1175231,Marilac,2020-06-06,0.0,0,0,0,0.0,0.0,0.0,0.0
1175232,Marilac,2020-06-07,0.0,0,0,0,0.0,0.0,0.0,0.0
1175233,Marilac,2020-06-08,0.0,0,0,0,0.0,0.0,0.0,0.0
1175234,Marilac,2020-06-09,0.0,0,0,0,0.0,0.0,0.0,0.0
1175235,Marilac,2020-06-10,0.0,0,0,0,0.0,0.0,0.0,0.0
1175236,Marilac,2020-06-11,0.0,0,0,0,0.0,0.0,0.0,0.0
1175237,Marilac,2020-06-12,0.0,0,0,0,0.0,0.0,0.0,0.0
1175238,Marilac,2020-06-13,0.0,0,0,0,0.0,0.0,0.0,0.0
1175239,Marilac,2020-06-14,0.0,0,0,0,0.0,0.0,0.0,0.0
1175240,Marilac,2020-06-15,0.0,0,0,0,0.0,0.0,0.0,0.0
1175241,Marilac,2020-06-16,0.0,0,0,0,0.0,0.0,0.0,0.0
