index,municipio,data,casosAcumulado,casosNovos,obitosAcumulado,obitosNovos,daily_cases_moving_average,daily_deaths_moving_average,sum_of_daily_cases_week,sum_of_daily_deaths_week
1225962,Marilena,2020-03-27,0.0,0,0,0,0.14285714285714285,0.2857142857142857,1.0,2.0
1225963,Marilena,2020-03-28,0.0,0,0,0,0.0,0.2857142857142857,0.0,2.0
1225964,Marilena,2020-03-29,0.0,0,0,0,0.0,0.2857142857142857,0.0,2.0
1225965,Marilena,2020-03-30,0.0,0,0,0,0.0,0.0,0.0,0.0
1225966,Marilena,2020-03-31,0.0,0,0,0,0.0,0.0,0.0,0.0
1225967,Marilena,2020-04-01,0.0,0,0,0,0.0,0.0,0.0,0.0
1225968,Marilena,2020-04-02,0.0,0,0,0,0.0,0.0,0.0,0.0
1225969,Marilena,2020-04-03,0.0,0,0,0,0.0,0.0,0.0,0.0
1225970,Marilena,2020-04-04,0.0,0,0,0,0.0,0.0,0.0,0.0
1225971,Marilena,2020-04-05,0.0,0,0,0,0.0,0.0,0.0,0.0
1225972,Marilena,2020-04-06,0.0,0,0,0,0.0,0.0,0.0,0.0
1225973,Marilena,2020-04-07,0.0,0,0,0,0.0,0.0,0.0,0.0
1225974,Marilena,2020-04-08,0.0,0,0,0,0.0,0.0,0.0,0.0
1225975,Marilena,2020-04-09,0.0,0,0,0,0.0,0.0,0.0,0.0
1225976,Marilena,2020-04-10,0.0,0,0,0,0.0,0.0,0.0,0.0
1225977,Marilena,2020-04-11,0.0,0,0,0,0.0,0.0,0.0,0.0
1225978,Marilena,2020-04-12,0.0,0,0,0,0.0,0.0,0.0,0.0
1225979,Marilena,2020-04-13,0.0,0,0,0,0.0,0.0,0.0,0.0
1225980,Marilena,2020-04-14,0.0,0,0,0,0.0,0.0,0.0,0.0
1225981,Marilena,2020-04-15,0.0,0,0,0,0.0,0.0,0.0,0.0
1225982,Marilena,2020-04-16,0.0,0,0,0,0.0,0.0,0.0,0.0
1225983,Marilena,2020-04-17,0.0,0,0,0,0.0,0.0,0.0,0.0
1225984,Marilena,2020-04-18,0.0,0,0,0,0.0,0.0,0.0,0.0
1225985,Marilena,2020-04-19,0.0,0,0,0,0.0,0.0,0.0,0.0
1225986,Marilena,2020-04-20,0.0,0,0,0,0.0,0.0,0.0,0.0
1225987,Marilena,2020-04-21,0.0,0,0,0,0.0,0.0,0.0,0.0
1225988,Marilena,2020-04-22,0.0,0,0,0,0.0,0.0,0.0,0.0
1225989,Marilena,2020-04-23,0.0,0,0,0,0.0,0.0,0.0,0.0
1225990,Marilena,2020-04-24,0.0,0,0,0,0.0,0.0,0.0,0.0
1225991,Marilena,2020-04-25,0.0,0,0,0,0.0,0.0,0.0,0.0
1225992,Marilena,2020-04-26,0.0,0,0,0,0.0,0.0,0.0,0.0
1225993,Marilena,2020-04-27,0.0,0,0,0,0.0,0.0,0.0,0.0
1225994,Marilena,2020-04-28,5.0,5,0,0,0.7142857142857143,0.0,5.0,0.0
1225995,Marilena,2020-04-29,6.0,1,0,0,0.8571428571428571,0.0,6.0,0.0
1225996,Marilena,2020-04-30,6.0,0,0,0,0.8571428571428571,0.0,6.0,0.0
1225997,Marilena,2020-05-01,6.0,0,0,0,0.8571428571428571,0.0,6.0,0.0
1225998,Marilena,2020-05-02,8.0,2,0,0,1.1428571428571428,0.0,8.0,0.0
1225999,Marilena,2020-05-03,8.0,0,0,0,1.1428571428571428,0.0,8.0,0.0
1226000,Marilena,2020-05-04,10.0,2,0,0,1.4285714285714286,0.0,10.0,0.0
1226001,Marilena,2020-05-05,10.0,0,0,0,0.7142857142857143,0.0,5.0,0.0
1226002,Marilena,2020-05-06,10.0,0,0,0,0.5714285714285714,0.0,4.0,0.0
1226003,Marilena,2020-05-07,10.0,0,0,0,0.5714285714285714,0.0,4.0,0.0
1226004,Marilena,2020-05-08,10.0,0,0,0,0.5714285714285714,0.0,4.0,0.0
1226005,Marilena,2020-05-09,10.0,0,0,0,0.2857142857142857,0.0,2.0,0.0
1226006,Marilena,2020-05-10,10.0,0,0,0,0.2857142857142857,0.0,2.0,0.0
1226007,Marilena,2020-05-11,10.0,0,0,0,0.0,0.0,0.0,0.0
1226008,Marilena,2020-05-12,10.0,0,0,0,0.0,0.0,0.0,0.0
1226009,Marilena,2020-05-13,10.0,0,0,0,0.0,0.0,0.0,0.0
1226010,Marilena,2020-05-14,10.0,0,0,0,0.0,0.0,0.0,0.0
1226011,Marilena,2020-05-15,10.0,0,0,0,0.0,0.0,0.0,0.0
1226012,Marilena,2020-05-16,10.0,0,0,0,0.0,0.0,0.0,0.0
1226013,Marilena,2020-05-17,10.0,0,0,0,0.0,0.0,0.0,0.0
1226014,Marilena,2020-05-18,10.0,0,0,0,0.0,0.0,0.0,0.0
1226015,Marilena,2020-05-19,10.0,0,0,0,0.0,0.0,0.0,0.0
1226016,Marilena,2020-05-20,10.0,0,0,0,0.0,0.0,0.0,0.0
1226017,Marilena,2020-05-21,10.0,0,0,0,0.0,0.0,0.0,0.0
1226018,Marilena,2020-05-22,10.0,0,0,0,0.0,0.0,0.0,0.0
1226019,Marilena,2020-05-23,10.0,0,0,0,0.0,0.0,0.0,0.0
1226020,Marilena,2020-05-24,10.0,0,0,0,0.0,0.0,0.0,0.0
1226021,Marilena,2020-05-25,10.0,0,0,0,0.0,0.0,0.0,0.0
1226022,Marilena,2020-05-26,10.0,0,0,0,0.0,0.0,0.0,0.0
1226023,Marilena,2020-05-27,10.0,0,0,0,0.0,0.0,0.0,0.0
1226024,Marilena,2020-05-28,10.0,0,0,0,0.0,0.0,0.0,0.0
1226025,Marilena,2020-05-29,10.0,0,0,0,0.0,0.0,0.0,0.0
1226026,Marilena,2020-05-30,10.0,0,0,0,0.0,0.0,0.0,0.0
1226027,Marilena,2020-05-31,10.0,0,0,0,0.0,0.0,0.0,0.0
1226028,Marilena,2020-06-01,10.0,0,0,0,0.0,0.0,0.0,0.0
1226029,Marilena,2020-06-02,10.0,0,0,0,0.0,0.0,0.0,0.0
1226030,Marilena,2020-06-03,10.0,0,0,0,0.0,0.0,0.0,0.0
1226031,Marilena,2020-06-04,10.0,0,0,0,0.0,0.0,0.0,0.0
1226032,Marilena,2020-06-05,10.0,0,0,0,0.0,0.0,0.0,0.0
1226033,Marilena,2020-06-06,10.0,0,0,0,0.0,0.0,0.0,0.0
1226034,Marilena,2020-06-07,10.0,0,0,0,0.0,0.0,0.0,0.0
1226035,Marilena,2020-06-08,10.0,0,0,0,0.0,0.0,0.0,0.0
1226036,Marilena,2020-06-09,10.0,0,0,0,0.0,0.0,0.0,0.0
1226037,Marilena,2020-06-10,10.0,0,0,0,0.0,0.0,0.0,0.0
1226038,Marilena,2020-06-11,10.0,0,0,0,0.0,0.0,0.0,0.0
1226039,Marilena,2020-06-12,10.0,0,0,0,0.0,0.0,0.0,0.0
1226040,Marilena,2020-06-13,10.0,0,0,0,0.0,0.0,0.0,0.0
