index,municipio,data,casosAcumulado,casosNovos,obitosAcumulado,obitosNovos,daily_cases_moving_average,daily_deaths_moving_average,sum_of_daily_cases_week,sum_of_daily_deaths_week
1246000,Mariluz,2020-03-27,0.0,0,0,0,8.857142857142858,0.0,62.0,0.0
1246001,Mariluz,2020-03-28,0.0,0,0,0,7.571428571428571,0.0,53.0,0.0
1246002,Mariluz,2020-03-29,0.0,0,0,0,4.428571428571429,0.0,31.0,0.0
1246003,Mariluz,2020-03-30,0.0,0,0,0,1.8571428571428572,0.0,13.0,0.0
1246004,Mariluz,2020-03-31,0.0,0,0,0,0.5714285714285714,0.0,4.0,0.0
1246005,Mariluz,2020-04-01,0.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
1246006,Mariluz,2020-04-02,0.0,0,0,0,0.0,0.0,0.0,0.0
1246007,Mariluz,2020-04-03,0.0,0,0,0,0.0,0.0,0.0,0.0
1246008,Mariluz,2020-04-04,0.0,0,0,0,0.0,0.0,0.0,0.0
1246009,Mariluz,2020-04-05,0.0,0,0,0,0.0,0.0,0.0,0.0
1246010,Mariluz,2020-04-06,0.0,0,0,0,0.0,0.0,0.0,0.0
1246011,Mariluz,2020-04-07,0.0,0,0,0,0.0,0.0,0.0,0.0
1246012,Mariluz,2020-04-08,0.0,0,0,0,0.0,0.0,0.0,0.0
1246013,Mariluz,2020-04-09,0.0,0,0,0,0.0,0.0,0.0,0.0
1246014,Mariluz,2020-04-10,0.0,0,0,0,0.0,0.0,0.0,0.0
1246015,Mariluz,2020-04-11,0.0,0,0,0,0.0,0.0,0.0,0.0
1246016,Mariluz,2020-04-12,0.0,0,0,0,0.0,0.0,0.0,0.0
1246017,Mariluz,2020-04-13,0.0,0,0,0,0.0,0.0,0.0,0.0
1246018,Mariluz,2020-04-14,0.0,0,0,0,0.0,0.0,0.0,0.0
1246019,Mariluz,2020-04-15,0.0,0,0,0,0.0,0.0,0.0,0.0
1246020,Mariluz,2020-04-16,0.0,0,0,0,0.0,0.0,0.0,0.0
1246021,Mariluz,2020-04-17,0.0,0,0,0,0.0,0.0,0.0,0.0
1246022,Mariluz,2020-04-18,0.0,0,0,0,0.0,0.0,0.0,0.0
1246023,Mariluz,2020-04-19,0.0,0,0,0,0.0,0.0,0.0,0.0
1246024,Mariluz,2020-04-20,0.0,0,0,0,0.0,0.0,0.0,0.0
1246025,Mariluz,2020-04-21,0.0,0,0,0,0.0,0.0,0.0,0.0
1246026,Mariluz,2020-04-22,0.0,0,0,0,0.0,0.0,0.0,0.0
1246027,Mariluz,2020-04-23,0.0,0,0,0,0.0,0.0,0.0,0.0
1246028,Mariluz,2020-04-24,0.0,0,0,0,0.0,0.0,0.0,0.0
1246029,Mariluz,2020-04-25,0.0,0,0,0,0.0,0.0,0.0,0.0
1246030,Mariluz,2020-04-26,0.0,0,0,0,0.0,0.0,0.0,0.0
1246031,Mariluz,2020-04-27,0.0,0,0,0,0.0,0.0,0.0,0.0
1246032,Mariluz,2020-04-28,0.0,0,0,0,0.0,0.0,0.0,0.0
1246033,Mariluz,2020-04-29,0.0,0,0,0,0.0,0.0,0.0,0.0
1246034,Mariluz,2020-04-30,0.0,0,0,0,0.0,0.0,0.0,0.0
1246035,Mariluz,2020-05-01,0.0,0,0,0,0.0,0.0,0.0,0.0
1246036,Mariluz,2020-05-02,0.0,0,0,0,0.0,0.0,0.0,0.0
1246037,Mariluz,2020-05-03,0.0,0,0,0,0.0,0.0,0.0,0.0
1246038,Mariluz,2020-05-04,0.0,0,0,0,0.0,0.0,0.0,0.0
1246039,Mariluz,2020-05-05,0.0,0,0,0,0.0,0.0,0.0,0.0
1246040,Mariluz,2020-05-06,0.0,0,0,0,0.0,0.0,0.0,0.0
1246041,Mariluz,2020-05-07,0.0,0,0,0,0.0,0.0,0.0,0.0
1246042,Mariluz,2020-05-08,0.0,0,0,0,0.0,0.0,0.0,0.0
1246043,Mariluz,2020-05-09,0.0,0,0,0,0.0,0.0,0.0,0.0
1246044,Mariluz,2020-05-10,0.0,0,0,0,0.0,0.0,0.0,0.0
1246045,Mariluz,2020-05-11,0.0,0,0,0,0.0,0.0,0.0,0.0
1246046,Mariluz,2020-05-12,0.0,0,0,0,0.0,0.0,0.0,0.0
1246047,Mariluz,2020-05-13,0.0,0,0,0,0.0,0.0,0.0,0.0
1246048,Mariluz,2020-05-14,0.0,0,0,0,0.0,0.0,0.0,0.0
1246049,Mariluz,2020-05-15,0.0,0,0,0,0.0,0.0,0.0,0.0
