index,municipio,data,casosAcumulado,casosNovos,obitosAcumulado,obitosNovos,daily_cases_moving_average,daily_deaths_moving_average,sum_of_daily_cases_week,sum_of_daily_deaths_week
1185351,Mata,2020-03-27,0.0,0,0,0,9.0,0.14285714285714285,63.0,1.0
1185352,Mata,2020-03-28,0.0,0,0,0,4.428571428571429,0.14285714285714285,31.0,1.0
1185353,Mata,2020-03-29,0.0,0,0,0,2.4285714285714284,0.14285714285714285,17.0,1.0
1185354,Mata,2020-03-30,0.0,0,0,0,2.2857142857142856,0.14285714285714285,16.0,1.0
1185355,Mata,2020-03-31,0.0,0,0,0,1.5714285714285714,0.0,11.0,0.0
1185356,Mata,2020-04-01,0.0,0,0,0,0.0,0.0,0.0,0.0
1185357,Mata,2020-04-02,0.0,0,0,0,0.0,0.0,0.0,0.0
1185358,Mata,2020-04-03,0.0,0,0,0,0.0,0.0,0.0,0.0
1185359,Mata,2020-04-04,0.0,0,0,0,0.0,0.0,0.0,0.0
1185360,Mata,2020-04-05,0.0,0,0,0,0.0,0.0,0.0,0.0
1185361,Mata,2020-04-06,0.0,0,0,0,0.0,0.0,0.0,0.0
1185362,Mata,2020-04-07,0.0,0,0,0,0.0,0.0,0.0,0.0
1185363,Mata,2020-04-08,0.0,0,0,0,0.0,0.0,0.0,0.0
1185364,Mata,2020-04-09,0.0,0,0,0,0.0,0.0,0.0,0.0
1185365,Mata,2020-04-10,0.0,0,0,0,0.0,0.0,0.0,0.0
1185366,Mata,2020-04-11,0.0,0,0,0,0.0,0.0,0.0,0.0
1185367,Mata,2020-04-12,0.0,0,0,0,0.0,0.0,0.0,0.0
1185368,Mata,2020-04-13,0.0,0,0,0,0.0,0.0,0.0,0.0
1185369,Mata,2020-04-14,0.0,0,0,0,0.0,0.0,0.0,0.0
1185370,Mata,2020-04-15,0.0,0,0,0,0.0,0.0,0.0,0.0
1185371,Mata,2020-04-16,0.0,0,0,0,0.0,0.0,0.0,0.0
1185372,Mata,2020-04-17,0.0,0,0,0,0.0,0.0,0.0,0.0
1185373,Mata,2020-04-18,0.0,0,0,0,0.0,0.0,0.0,0.0
1185374,Mata,2020-04-19,0.0,0,0,0,0.0,0.0,0.0,0.0
