index,municipio,data,casosAcumulado,casosNovos,obitosAcumulado,obitosNovos,daily_cases_moving_average,daily_deaths_moving_average,sum_of_daily_cases_week,sum_of_daily_deaths_week
1250235,Mateiros,2020-03-27,0.0,0,0,0,3.857142857142857,0.0,27.0,0.0
1250236,Mateiros,2020-03-28,0.0,0,0,0,1.4285714285714286,0.0,10.0,0.0
1250237,Mateiros,2020-03-29,0.0,0,0,0,1.4285714285714286,0.0,10.0,0.0
1250238,Mateiros,2020-03-30,0.0,0,0,0,0.8571428571428571,0.0,6.0,0.0
1250239,Mateiros,2020-03-31,0.0,0,0,0,0.42857142857142855,0.0,3.0,0.0
1250240,Mateiros,2020-04-01,0.0,0,0,0,0.0,0.0,0.0,0.0
1250241,Mateiros,2020-04-02,0.0,0,0,0,0.0,0.0,0.0,0.0
1250242,Mateiros,2020-04-03,0.0,0,0,0,0.0,0.0,0.0,0.0
1250243,Mateiros,2020-04-04,0.0,0,0,0,0.0,0.0,0.0,0.0
1250244,Mateiros,2020-04-05,0.0,0,0,0,0.0,0.0,0.0,0.0
1250245,Mateiros,2020-04-06,0.0,0,0,0,0.0,0.0,0.0,0.0
1250246,Mateiros,2020-04-07,0.0,0,0,0,0.0,0.0,0.0,0.0
1250247,Mateiros,2020-04-08,0.0,0,0,0,0.0,0.0,0.0,0.0
1250248,Mateiros,2020-04-09,0.0,0,0,0,0.0,0.0,0.0,0.0
1250249,Mateiros,2020-04-10,0.0,0,0,0,0.0,0.0,0.0,0.0
1250250,Mateiros,2020-04-11,0.0,0,0,0,0.0,0.0,0.0,0.0
1250251,Mateiros,2020-04-12,0.0,0,0,0,0.0,0.0,0.0,0.0
1250252,Mateiros,2020-04-13,0.0,0,0,0,0.0,0.0,0.0,0.0
1250253,Mateiros,2020-04-14,0.0,0,0,0,0.0,0.0,0.0,0.0
1250254,Mateiros,2020-04-15,0.0,0,0,0,0.0,0.0,0.0,0.0
1250255,Mateiros,2020-04-16,0.0,0,0,0,0.0,0.0,0.0,0.0
1250256,Mateiros,2020-04-17,0.0,0,0,0,0.0,0.0,0.0,0.0
1250257,Mateiros,2020-04-18,0.0,0,0,0,0.0,0.0,0.0,0.0
1250258,Mateiros,2020-04-19,0.0,0,0,0,0.0,0.0,0.0,0.0
1250259,Mateiros,2020-04-20,0.0,0,0,0,0.0,0.0,0.0,0.0
1250260,Mateiros,2020-04-21,0.0,0,0,0,0.0,0.0,0.0,0.0
1250261,Mateiros,2020-04-22,0.0,0,0,0,0.0,0.0,0.0,0.0
1250262,Mateiros,2020-04-23,0.0,0,0,0,0.0,0.0,0.0,0.0
1250263,Mateiros,2020-04-24,0.0,0,0,0,0.0,0.0,0.0,0.0
1250264,Mateiros,2020-04-25,0.0,0,0,0,0.0,0.0,0.0,0.0
1250265,Mateiros,2020-04-26,0.0,0,0,0,0.0,0.0,0.0,0.0
1250266,Mateiros,2020-04-27,0.0,0,0,0,0.0,0.0,0.0,0.0
1250267,Mateiros,2020-04-28,0.0,0,0,0,0.0,0.0,0.0,0.0
1250268,Mateiros,2020-04-29,0.0,0,0,0,0.0,0.0,0.0,0.0
1250269,Mateiros,2020-04-30,0.0,0,0,0,0.0,0.0,0.0,0.0
1250270,Mateiros,2020-05-01,0.0,0,0,0,0.0,0.0,0.0,0.0
1250271,Mateiros,2020-05-02,0.0,0,0,0,0.0,0.0,0.0,0.0
1250272,Mateiros,2020-05-03,0.0,0,0,0,0.0,0.0,0.0,0.0
1250273,Mateiros,2020-05-04,0.0,0,0,0,0.0,0.0,0.0,0.0
