index,municipio,data,casosAcumulado,casosNovos,obitosAcumulado,obitosNovos,daily_cases_moving_average,daily_deaths_moving_average,sum_of_daily_cases_week,sum_of_daily_deaths_week
1287879,Matina,2020-03-27,0.0,0,0,0,0.2857142857142857,0.14285714285714285,2.0,1.0
1287880,Matina,2020-03-28,0.0,0,0,0,0.2857142857142857,0.14285714285714285,2.0,1.0
1287881,Matina,2020-03-29,0.0,0,0,0,0.2857142857142857,0.0,2.0,0.0
1287882,Matina,2020-03-30,0.0,0,0,0,0.0,0.0,0.0,0.0
1287883,Matina,2020-03-31,0.0,0,0,0,0.0,0.0,0.0,0.0
1287884,Matina,2020-04-01,0.0,0,0,0,0.0,0.0,0.0,0.0
1287885,Matina,2020-04-02,0.0,0,0,0,0.0,0.0,0.0,0.0
1287886,Matina,2020-04-03,0.0,0,0,0,0.0,0.0,0.0,0.0
1287887,Matina,2020-04-04,0.0,0,0,0,0.0,0.0,0.0,0.0
1287888,Matina,2020-04-05,0.0,0,0,0,0.0,0.0,0.0,0.0
1287889,Matina,2020-04-06,0.0,0,0,0,0.0,0.0,0.0,0.0
1287890,Matina,2020-04-07,0.0,0,0,0,0.0,0.0,0.0,0.0
1287891,Matina,2020-04-08,0.0,0,0,0,0.0,0.0,0.0,0.0
1287892,Matina,2020-04-09,0.0,0,0,0,0.0,0.0,0.0,0.0
1287893,Matina,2020-04-10,0.0,0,0,0,0.0,0.0,0.0,0.0
1287894,Matina,2020-04-11,0.0,0,0,0,0.0,0.0,0.0,0.0
1287895,Matina,2020-04-12,0.0,0,0,0,0.0,0.0,0.0,0.0
1287896,Matina,2020-04-13,0.0,0,0,0,0.0,0.0,0.0,0.0
1287897,Matina,2020-04-14,0.0,0,0,0,0.0,0.0,0.0,0.0
1287898,Matina,2020-04-15,0.0,0,0,0,0.0,0.0,0.0,0.0
1287899,Matina,2020-04-16,0.0,0,0,0,0.0,0.0,0.0,0.0
1287900,Matina,2020-04-17,0.0,0,0,0,0.0,0.0,0.0,0.0
1287901,Matina,2020-04-18,0.0,0,0,0,0.0,0.0,0.0,0.0
1287902,Matina,2020-04-19,0.0,0,0,0,0.0,0.0,0.0,0.0
1287903,Matina,2020-04-20,0.0,0,0,0,0.0,0.0,0.0,0.0
1287904,Matina,2020-04-21,0.0,0,0,0,0.0,0.0,0.0,0.0
1287905,Matina,2020-04-22,0.0,0,0,0,0.0,0.0,0.0,0.0
1287906,Matina,2020-04-23,0.0,0,0,0,0.0,0.0,0.0,0.0
1287907,Matina,2020-04-24,0.0,0,0,0,0.0,0.0,0.0,0.0
1287908,Matina,2020-04-25,0.0,0,0,0,0.0,0.0,0.0,0.0
1287909,Matina,2020-04-26,0.0,0,0,0,0.0,0.0,0.0,0.0
1287910,Matina,2020-04-27,0.0,0,0,0,0.0,0.0,0.0,0.0
1287911,Matina,2020-04-28,0.0,0,0,0,0.0,0.0,0.0,0.0
1287912,Matina,2020-04-29,0.0,0,0,0,0.0,0.0,0.0,0.0
1287913,Matina,2020-04-30,0.0,0,0,0,0.0,0.0,0.0,0.0
1287914,Matina,2020-05-01,0.0,0,0,0,0.0,0.0,0.0,0.0
1287915,Matina,2020-05-02,0.0,0,0,0,0.0,0.0,0.0,0.0
1287916,Matina,2020-05-03,0.0,0,0,0,0.0,0.0,0.0,0.0
1287917,Matina,2020-05-04,0.0,0,0,0,0.0,0.0,0.0,0.0
1287918,Matina,2020-05-05,0.0,0,0,0,0.0,0.0,0.0,0.0
1287919,Matina,2020-05-06,0.0,0,0,0,0.0,0.0,0.0,0.0
1287920,Matina,2020-05-07,0.0,0,0,0,0.0,0.0,0.0,0.0
1287921,Matina,2020-05-08,0.0,0,0,0,0.0,0.0,0.0,0.0
1287922,Matina,2020-05-09,0.0,0,0,0,0.0,0.0,0.0,0.0
1287923,Matina,2020-05-10,0.0,0,0,0,0.0,0.0,0.0,0.0
1287924,Matina,2020-05-11,0.0,0,0,0,0.0,0.0,0.0,0.0
1287925,Matina,2020-05-12,0.0,0,0,0,0.0,0.0,0.0,0.0
1287926,Matina,2020-05-13,0.0,0,0,0,0.0,0.0,0.0,0.0
1287927,Matina,2020-05-14,0.0,0,0,0,0.0,0.0,0.0,0.0
