index,municipio,data,casosAcumulado,casosNovos,obitosAcumulado,obitosNovos,daily_cases_moving_average,daily_deaths_moving_average,sum_of_daily_cases_week,sum_of_daily_deaths_week
1268540,Maxaranguape,2020-03-27,0.0,0,0,0,6.285714285714286,0.14285714285714285,44.0,1.0
1268541,Maxaranguape,2020-03-28,0.0,0,0,0,4.428571428571429,0.0,31.0,0.0
1268542,Maxaranguape,2020-03-29,0.0,0,0,0,3.857142857142857,0.0,27.0,0.0
1268543,Maxaranguape,2020-03-30,0.0,0,0,0,2.4285714285714284,0.0,17.0,0.0
1268544,Maxaranguape,2020-03-31,0.0,0,0,0,1.7142857142857142,0.0,12.0,0.0
1268545,Maxaranguape,2020-04-01,0.0,0,0,0,1.0,0.0,7.0,0.0
1268546,Maxaranguape,2020-04-02,0.0,0,0,0,0.0,0.0,0.0,0.0
1268547,Maxaranguape,2020-04-03,0.0,0,0,0,0.0,0.0,0.0,0.0
1268548,Maxaranguape,2020-04-04,0.0,0,0,0,0.0,0.0,0.0,0.0
1268549,Maxaranguape,2020-04-05,0.0,0,0,0,0.0,0.0,0.0,0.0
1268550,Maxaranguape,2020-04-06,0.0,0,0,0,0.0,0.0,0.0,0.0
1268551,Maxaranguape,2020-04-07,0.0,0,0,0,0.0,0.0,0.0,0.0
1268552,Maxaranguape,2020-04-08,0.0,0,0,0,0.0,0.0,0.0,0.0
1268553,Maxaranguape,2020-04-09,0.0,0,0,0,0.0,0.0,0.0,0.0
1268554,Maxaranguape,2020-04-10,0.0,0,0,0,0.0,0.0,0.0,0.0
1268555,Maxaranguape,2020-04-11,0.0,0,0,0,0.0,0.0,0.0,0.0
1268556,Maxaranguape,2020-04-12,0.0,0,0,0,0.0,0.0,0.0,0.0
1268557,Maxaranguape,2020-04-13,0.0,0,0,0,0.0,0.0,0.0,0.0
1268558,Maxaranguape,2020-04-14,0.0,0,0,0,0.0,0.0,0.0,0.0
1268559,Maxaranguape,2020-04-15,0.0,0,0,0,0.0,0.0,0.0,0.0
1268560,Maxaranguape,2020-04-16,0.0,0,0,0,0.0,0.0,0.0,0.0
1268561,Maxaranguape,2020-04-17,0.0,0,0,0,0.0,0.0,0.0,0.0
1268562,Maxaranguape,2020-04-18,0.0,0,0,0,0.0,0.0,0.0,0.0
1268563,Maxaranguape,2020-04-19,0.0,0,0,0,0.0,0.0,0.0,0.0
1268564,Maxaranguape,2020-04-20,0.0,0,0,0,0.0,0.0,0.0,0.0
1268565,Maxaranguape,2020-04-21,0.0,0,0,0,0.0,0.0,0.0,0.0
1268566,Maxaranguape,2020-04-22,0.0,0,0,0,0.0,0.0,0.0,0.0
1268567,Maxaranguape,2020-04-23,0.0,0,0,0,0.0,0.0,0.0,0.0
1268568,Maxaranguape,2020-04-24,0.0,0,0,0,0.0,0.0,0.0,0.0
1268569,Maxaranguape,2020-04-25,0.0,0,0,0,0.0,0.0,0.0,0.0
1268570,Maxaranguape,2020-04-26,0.0,0,0,0,0.0,0.0,0.0,0.0
1268571,Maxaranguape,2020-04-27,0.0,0,0,0,0.0,0.0,0.0,0.0
1268572,Maxaranguape,2020-04-28,0.0,0,0,0,0.0,0.0,0.0,0.0
1268573,Maxaranguape,2020-04-29,0.0,0,0,0,0.0,0.0,0.0,0.0
1268574,Maxaranguape,2020-04-30,0.0,0,0,0,0.0,0.0,0.0,0.0
1268575,Maxaranguape,2020-05-01,0.0,0,0,0,0.0,0.0,0.0,0.0
1268576,Maxaranguape,2020-05-02,0.0,0,0,0,0.0,0.0,0.0,0.0
1268577,Maxaranguape,2020-05-03,1.0,1,0,0,0.14285714285714285,0.0,1.0,0.0
1268578,Maxaranguape,2020-05-04,1.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
1268579,Maxaranguape,2020-05-05,1.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
1268580,Maxaranguape,2020-05-06,1.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
1268581,Maxaranguape,2020-05-07,1.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
1268582,Maxaranguape,2020-05-08,1.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
1268583,Maxaranguape,2020-05-09,1.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
1268584,Maxaranguape,2020-05-10,1.0,0,0,0,0.0,0.0,0.0,0.0
1268585,Maxaranguape,2020-05-11,1.0,0,0,0,0.0,0.0,0.0,0.0
1268586,Maxaranguape,2020-05-12,1.0,0,0,0,0.0,0.0,0.0,0.0
1268587,Maxaranguape,2020-05-13,1.0,0,0,0,0.0,0.0,0.0,0.0
1268588,Maxaranguape,2020-05-14,1.0,0,0,0,0.0,0.0,0.0,0.0
