index,municipio,data,casosAcumulado,casosNovos,obitosAcumulado,obitosNovos,daily_cases_moving_average,daily_deaths_moving_average,sum_of_daily_cases_week,sum_of_daily_deaths_week
1269588,Miguel Alves,2020-03-27,0.0,0,0,0,0.0,0.0,0.0,0.0
1269589,Miguel Alves,2020-03-28,0.0,0,0,0,0.0,0.0,0.0,0.0
1269590,Miguel Alves,2020-03-29,0.0,0,0,0,0.0,0.0,0.0,0.0
1269591,Miguel Alves,2020-03-30,0.0,0,0,0,0.0,0.0,0.0,0.0
1269592,Miguel Alves,2020-03-31,0.0,0,0,0,0.0,0.0,0.0,0.0
1269593,Miguel Alves,2020-04-01,0.0,0,0,0,0.0,0.0,0.0,0.0
1269594,Miguel Alves,2020-04-02,0.0,0,0,0,0.0,0.0,0.0,0.0
1269595,Miguel Alves,2020-04-03,0.0,0,0,0,0.0,0.0,0.0,0.0
1269596,Miguel Alves,2020-04-04,0.0,0,0,0,0.0,0.0,0.0,0.0
1269597,Miguel Alves,2020-04-05,0.0,0,0,0,0.0,0.0,0.0,0.0
1269598,Miguel Alves,2020-04-06,0.0,0,0,0,0.0,0.0,0.0,0.0
1269599,Miguel Alves,2020-04-07,0.0,0,0,0,0.0,0.0,0.0,0.0
1269600,Miguel Alves,2020-04-08,0.0,0,0,0,0.0,0.0,0.0,0.0
1269601,Miguel Alves,2020-04-09,0.0,0,0,0,0.0,0.0,0.0,0.0
1269602,Miguel Alves,2020-04-10,0.0,0,0,0,0.0,0.0,0.0,0.0
1269603,Miguel Alves,2020-04-11,0.0,0,0,0,0.0,0.0,0.0,0.0
1269604,Miguel Alves,2020-04-12,0.0,0,0,0,0.0,0.0,0.0,0.0
1269605,Miguel Alves,2020-04-13,0.0,0,0,0,0.0,0.0,0.0,0.0
1269606,Miguel Alves,2020-04-14,0.0,0,0,0,0.0,0.0,0.0,0.0
1269607,Miguel Alves,2020-04-15,0.0,0,0,0,0.0,0.0,0.0,0.0
1269608,Miguel Alves,2020-04-16,0.0,0,0,0,0.0,0.0,0.0,0.0
1269609,Miguel Alves,2020-04-17,0.0,0,0,0,0.0,0.0,0.0,0.0
1269610,Miguel Alves,2020-04-18,0.0,0,0,0,0.0,0.0,0.0,0.0
1269611,Miguel Alves,2020-04-19,0.0,0,0,0,0.0,0.0,0.0,0.0
1269612,Miguel Alves,2020-04-20,0.0,0,0,0,0.0,0.0,0.0,0.0
1269613,Miguel Alves,2020-04-21,2.0,2,0,0,0.2857142857142857,0.0,2.0,0.0
1269614,Miguel Alves,2020-04-22,2.0,0,0,0,0.2857142857142857,0.0,2.0,0.0
1269615,Miguel Alves,2020-04-23,2.0,0,0,0,0.2857142857142857,0.0,2.0,0.0
1269616,Miguel Alves,2020-04-24,2.0,0,0,0,0.2857142857142857,0.0,2.0,0.0
1269617,Miguel Alves,2020-04-25,2.0,0,0,0,0.2857142857142857,0.0,2.0,0.0
1269618,Miguel Alves,2020-04-26,2.0,0,0,0,0.2857142857142857,0.0,2.0,0.0
1269619,Miguel Alves,2020-04-27,2.0,0,0,0,0.2857142857142857,0.0,2.0,0.0
1269620,Miguel Alves,2020-04-28,2.0,0,0,0,0.0,0.0,0.0,0.0
1269621,Miguel Alves,2020-04-29,2.0,0,0,0,0.0,0.0,0.0,0.0
1269622,Miguel Alves,2020-04-30,4.0,2,0,0,0.2857142857142857,0.0,2.0,0.0
1269623,Miguel Alves,2020-05-01,10.0,6,0,0,1.1428571428571428,0.0,8.0,0.0
1269624,Miguel Alves,2020-05-02,14.0,4,0,0,1.7142857142857142,0.0,12.0,0.0
1269625,Miguel Alves,2020-05-03,22.0,8,0,0,2.857142857142857,0.0,20.0,0.0
1269626,Miguel Alves,2020-05-04,18.0,-4,0,0,2.2857142857142856,0.0,16.0,0.0
1269627,Miguel Alves,2020-05-05,24.0,6,0,0,3.142857142857143,0.0,22.0,0.0
1269628,Miguel Alves,2020-05-06,24.0,0,0,0,3.142857142857143,0.0,22.0,0.0
1269629,Miguel Alves,2020-05-07,22.0,-2,0,0,2.5714285714285716,0.0,18.0,0.0
1269630,Miguel Alves,2020-05-08,22.0,0,0,0,1.7142857142857142,0.0,12.0,0.0
1269631,Miguel Alves,2020-05-09,24.0,2,0,0,1.4285714285714286,0.0,10.0,0.0
1269632,Miguel Alves,2020-05-10,24.0,0,0,0,0.2857142857142857,0.0,2.0,0.0
1269633,Miguel Alves,2020-05-11,24.0,0,0,0,0.8571428571428571,0.0,6.0,0.0
1269634,Miguel Alves,2020-05-12,25.0,1,0,0,0.14285714285714285,0.0,1.0,0.0
1269635,Miguel Alves,2020-05-13,25.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
1269636,Miguel Alves,2020-05-14,26.0,1,0,0,0.5714285714285714,0.0,4.0,0.0
1269637,Miguel Alves,2020-05-15,26.0,0,0,0,0.5714285714285714,0.0,4.0,0.0
1269638,Miguel Alves,2020-05-16,28.0,2,0,0,0.5714285714285714,0.0,4.0,0.0
1269639,Miguel Alves,2020-05-17,29.0,1,0,0,0.7142857142857143,0.0,5.0,0.0
1269640,Miguel Alves,2020-05-18,29.0,0,0,0,0.7142857142857143,0.0,5.0,0.0
1269641,Miguel Alves,2020-05-19,30.0,1,0,0,0.7142857142857143,0.0,5.0,0.0
1269642,Miguel Alves,2020-05-20,31.0,1,0,0,0.8571428571428571,0.0,6.0,0.0
1269643,Miguel Alves,2020-05-21,38.0,7,0,0,1.7142857142857142,0.0,12.0,0.0
1269644,Miguel Alves,2020-05-22,38.0,0,0,0,1.7142857142857142,0.0,12.0,0.0
1269645,Miguel Alves,2020-05-23,39.0,1,0,0,1.5714285714285714,0.0,11.0,0.0
1269646,Miguel Alves,2020-05-24,39.0,0,0,0,1.4285714285714286,0.0,10.0,0.0
1269647,Miguel Alves,2020-05-25,41.0,2,0,0,1.7142857142857142,0.0,12.0,0.0
1269648,Miguel Alves,2020-05-26,42.0,1,0,0,1.7142857142857142,0.0,12.0,0.0
1269649,Miguel Alves,2020-05-27,42.0,0,0,0,1.5714285714285714,0.0,11.0,0.0
1269650,Miguel Alves,2020-05-28,44.0,2,0,0,0.8571428571428571,0.0,6.0,0.0
1269651,Miguel Alves,2020-05-29,45.0,1,0,0,1.0,0.0,7.0,0.0
1269652,Miguel Alves,2020-05-30,45.0,0,0,0,0.8571428571428571,0.0,6.0,0.0
1269653,Miguel Alves,2020-05-31,46.0,1,0,0,1.0,0.0,7.0,0.0
1269654,Miguel Alves,2020-06-01,51.0,5,0,0,1.4285714285714286,0.0,10.0,0.0
1269655,Miguel Alves,2020-06-02,52.0,1,1,1,1.4285714285714286,0.14285714285714285,10.0,1.0
1269656,Miguel Alves,2020-06-03,52.0,0,1,0,1.4285714285714286,0.14285714285714285,10.0,1.0
1269657,Miguel Alves,2020-06-04,53.0,1,1,0,1.2857142857142858,0.14285714285714285,9.0,1.0
1269658,Miguel Alves,2020-06-05,62.0,9,1,0,2.4285714285714284,0.14285714285714285,17.0,1.0
1269659,Miguel Alves,2020-06-06,64.0,2,1,0,2.7142857142857144,0.14285714285714285,19.0,1.0
1269660,Miguel Alves,2020-06-07,83.0,19,1,0,5.285714285714286,0.14285714285714285,37.0,1.0
1269661,Miguel Alves,2020-06-08,78.0,-5,1,0,3.857142857142857,0.14285714285714285,27.0,1.0
1269662,Miguel Alves,2020-06-09,78.0,0,1,0,3.7142857142857144,0.0,26.0,0.0
1269663,Miguel Alves,2020-06-10,85.0,7,1,0,4.714285714285714,0.0,33.0,0.0
1269664,Miguel Alves,2020-06-11,90.0,5,1,0,5.285714285714286,0.0,37.0,0.0
1269665,Miguel Alves,2020-06-12,106.0,16,1,0,6.285714285714286,0.0,44.0,0.0
1269666,Miguel Alves,2020-06-13,107.0,1,1,0,6.142857142857143,0.0,43.0,0.0
1269667,Miguel Alves,2020-06-14,118.0,11,2,1,5.0,0.14285714285714285,35.0,1.0
1269668,Miguel Alves,2020-06-15,124.0,6,2,0,6.571428571428571,0.14285714285714285,46.0,1.0
1269669,Miguel Alves,2020-06-16,127.0,3,2,0,7.0,0.14285714285714285,49.0,1.0
1269670,Miguel Alves,2020-06-17,132.0,5,2,0,6.714285714285714,0.14285714285714285,47.0,1.0
1269671,Miguel Alves,2020-06-18,140.0,8,2,0,7.142857142857143,0.14285714285714285,50.0,1.0
1269672,Miguel Alves,2020-06-19,152.0,12,2,0,6.571428571428571,0.14285714285714285,46.0,1.0
1269673,Miguel Alves,2020-06-20,158.0,6,3,1,7.285714285714286,0.2857142857142857,51.0,2.0
1269674,Miguel Alves,2020-06-21,167.0,9,3,0,7.0,0.14285714285714285,49.0,1.0
